verb1,verb2,vp1,vp2,subj,prn,name1,name2,generations_vp1,generations_vp2
did,does,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,The teacher,he,Erika,Cameron,"['""The teacher at a Greek restaurant."", what is the most logical answer', '""The teacher met the president of the US at a Greek restaurant.""', '""The student at the Greek restaurant who met the Illinois governor at the', '""The teacher met the Illinois governor at a Greek restaurant"". Can you help', '""The teacher met the Illinois governor at a Greek restaurant.""\nWhat is', 'User: \nUser: \nUser: \nUser:', '""The Illinois governor met the teacher at a Greek restaurant"".', 'A:', '""The Greek restaurant was very popular in Illinois, and the teacher at the', '""The teacher met the Arkansas governor at a Greek restaurant."" How would you']","['""The teacher finds humor in the best situations"", and Erika responded, ""', '""I think that\'s not a good idea"", and Erika said, ""', '""That\'s not a joke.""', '""Erika said, ""The teacher finds humor in the worst situations"".', '""That\'s the kind of humor that can make kids laugh."" What is the correct', 'User: \nUser: \nUser: \nUser:', '""The teacher finds humor in the best situations.""', '""The teacher finds humor in the best situations"". \nIs Cameron\'s response', '""The teacher finds humor in the best situations"". How would you describe Cameron\'s response', '""That\'s right, that\'s a good question.""']"
did,does,opened a new bank account today,volunteers regularly at a local church,The reporter,she,Adrian,Autumn,"['""The reporter opened a new account today"".\nIs the given sentence in', '""The reporter opened a new account today"".', '""The reporter opened a new account today.""', '""I saw the news yesterday"".', '""The reporter opened a new bank account today"".', '""The reporter opened a new bank account today"".\n\nPlease correct the', '""The reporter opened a new bank account today"", what is the correct answer', '""The reporter opened a new account today"".', '""The new account has not been opened yet.""', 'User: Which sentence is correct?\nOptions:\n(A).']","['""The reporter volunteers regularly at a local church.""', '""The reporter volunteers regularly at a local church and attends church with the reporter.""', '""The reporter volunteers regularly at a local church."", \nIn what way does', '""I volunteer at the local church as well.""', '""The reporter volunteers regularly at a local church.""', '""The reporter volunteers regularly at a local church, as well.""\n\nWhat are', '""The reporter volunteers at a local church every day"".  What can be concluded from', '""The reporter volunteers regularly at a local church.""', '""The reporter volunteers regularly at a local church."" What is the correct answer to the', 'User: Which sentence is correct?\nOptions:\n(A). ""The']"
did,does,used to play badminton,volunteers regularly at a local church,The painter,he,Martin,Haley,"['""The painter used to play badminton"", and Haley said, ""', '""He used to play football."" What was the original statement of Haley?', '""The painter used to play badminton"". \nWho is the painter', '""The painter used to play badminton.""', '""The painter used to play badminton, too.""\nWhat is the meaning', '""The painter used to play badminton.""', '""The painter used to play badminton.""', '""He played badminton, too.""', '""The painter used to play badminton, but now he doesn\'t"".', '""The painter used to play badminton."" How can we determine the truth from']","['""The church has a mural at the same time.""\nMartin said, ""', '""He is also the president of the local church, and has also been a member', '""The painter volunteers regularly at a local church"".', '""The painter volunteers at a local church"".\nIs Haley\'s statement correct?', '""The painter volunteers at a local church."", which means:\nWhat is the correct', 'User: \nUser: \nUser: \nUser:', '""The painter volunteers regularly at a local church.""', '""The painter is also the one who volunteers at the local church.""', '""The painter volunteers at a local church"".', '""The painter volunteers at a local church, which is a church of 25']"
did,does,recently adopted a rescue dog,has two Bengal cats,The journalist,she,Avery,Taylor,"['""The rescue dog was a rescue dog, and it was adopted by a local dog', '""Avery said, ""The journalist recently adopted a rescue dog"".', '""The journalist recently adopted a rescue dog."" \nIs the given sentence correct', '""I saw the rescue dog. The man who adopted the dog said he is an', '""The rescue dog was adopted by a local dog breeder."", \nWhat is', '""The journalist adopted a rescue dog.""\nIs it possible for user to respond to', '""The rescue dog was a rescue dog.""\nIf you can, explain the meaning', 'User: Avery replied, ""Taylor said, \'The journalist recently adopted a', '""Avery said, \'The journalist recently adopted a rescue dog.\'', 'User: Avery said, ""The journalist recently adopted a rescue dog"".']","['""The Bengal cat was a good pet, and it did well.""', '""The journalist has a Bengal cat.""', '""The journalist has two Bengal cats"".', '""I saw the cat in the shop. The cat is named Jack"". The user', '""The journalist has two Bengal cats"", and John replied, ""The journalist has', '""The journalist has two Bengal cats.""\nIs it possible for two consecutive consecutive nouns', '""The journalist has one Bengal cat.""', 'Avery said, ""Taylor is a cat."" \nAvery answered,', '""The journalist has two Bengal cats."" Who is correct?', '""The journalist has two Bengal cats."" How many Bengal cats are there in total?']"
did,does,missed a train this morning,drinks two bottles of wine every day,The professor,she,Alexander,Anthony,"['Alexander: ""And how did he get home?""\nAn', '""He was late to his class.""', '""Alexander said, ""The professor missed a train this morning', '""The professor missed a train this morning"".\nIs Anthony\'s', '""I\'m afraid I\'m still waiting for the train.""', 'Alex: \nUser: \nAlex:', 'Alexander: ""The professor missed a train this morning, by', '""A train was on the way to the train station at', '""The professor missed a train this morning"".', '""The professor missed a train this morning, it\'s very likely']","['Alexander:', '""He drinks three bottles of wine every day"". If Anthony drank twice', '""Alexander\'s wife also drinks two bottles of wine every day"".', '""The professor does not drink wine every day.""', '""The professor drinks one bottle of wine every day"". \nWhat', '""The professor is a vegetarian.""  What is the correct interpretation of', 'Alexander: ""The professor is a philosopher"".\nUser: Is', '""A single bottle of wine contains 100 ml"". What', '""The professor does not drink two bottles of wine every day"". If', '""The professor does not drink two bottles of wine every day.""']"
did,does,used to dream to become a translator,usually drives three hours a day,The plumber,she,Gage,Lillian,"['""Gage has a dream to become a plumber.""', '""He didn\'t have the ability to dream.""', '""The plumber used to dream to become a translator"".', '""I saw the plumber in his dream.""', 'Gage: \nGlee: \nGlee', '""The plumber used to dream to become a doctor.""', '""What\'s so crazy about that? Why would someone who\'s', 'Gage said, ""He is not a plumber,', '""Lillian used to dream to become a plumber"".', '""But I didn\'t use to dream.""  How can the']","['""Gage drove three hours a day, and he did it all', '""He drives two hours a day and one hour a day for the', '""The plumber usually drives two hours a day"".', '""I drive three hours a day"".\n\nUser: The pl', '""The plumber usually drives three hours a day"".', '""The plumber rarely drives three hours a day"".\n\nCan', '""The plumber usually drives three hours a day"".  What can', 'Gage said, ""He drove three hours a day, and', '""The plumber drives three hours a day."" What is the correct', '""He drives four hours a day."" How many hours did the pl']"
did,does,committed a felony,has a neat handwriting,The reporter,she,Sebastian,Francisco,"['""François said, ""The reporter committed a felony"".', '""He is an accomplice of a felon"".\nSebastian:', '""The reporter has a felony"".', '""The reporter committed a misdemeanor"".', '""The reporter committed a homicide"".', '""The reporter is not a reporter.""', '""The reporter\'s name is Francisco"".\nUser: Francisco replied, ""The', '""The reporter was not involved in the case.""', '""The reporter committed a crime"".', '""The reporter committed a crime.""']","['""François said, ""The reporter has a neat handwriting"".', '""He is also a great artist.""', '""The reporter has a neat pen"".', '""The reporter has a messy handwriting"".', '""The reporter has a neat handwriting"".', '""The reporter has a messy handwriting"". What are the possible meanings of the following two', '""The reporter has a neat handwriting"".', '""The reporter\'s handwriting is very neat.""', '""The reporter has a messy handwriting"".', '""The reporter has a neat handwriting.""  Explain the difference in the style of the']"
did,does,walked toward the stray dog,has lots of Korean friends,The pharmacist,she,Abigail,Alondra,"['""The pharmacist walked toward the stray dog.""\nIs the given sentence in a logical', '""She didn\'t see it."", What is the correct sentence?\nOptions:', '""The dog walked in the street"".', '""She walked to the stray dog.""\nIs this sentence grammatically correct?', 'Answer:', '""The police found the dog, and it was found in a bag.""  If', '""The woman who bought the dog from the butcher was her brother.""', 'I am not familiar with the phrase ""stray dog"".', '""The pharmacist walked toward the stray dog.""', '""The dog, whom was a stray, was walking to the pharmacy.""']","['""The pharmacist has lots of Korean friends, and they\'re all very helpful.""', '""She has no Korean friends.""\nCan you determine whether Abigail is right or wrong', '""The pharmacist has many Korean friends"".', '""I don\'t know any Koreans"".\n\nUser: Alondra said,', 'Answer:', '""The pharmacist has lots of Korean friends.""', '""What\'s the name of the person that\'s not Korean?""', 'I am not familiar with the Korean language. Can you explain what this means?', '""The pharmacist has lots of Korean friends"".', '""The pharmacist has lots of Korean friends"".']"
did,does,had a bad dream,has a pianist friend,The sculptor,he,Owen,John,"['John: \nUser: John: What did you do to make', '""He had a bad dream."" What was the original meaning of the sentence', '""The dream was a great one"". \nJohn then said,', '""The sculptor had a bad dream"". How can we figure out the meaning', '""The sculptor had a dream"".', 'User: \nUser: \nUser: \nUser:', '""The dream was very beautiful.""\n\nUser: The artist had', '""The dream was terrible"".', '""The sculptor had a bad dream"".  Who was speaking?\nOptions', '""The artist had a bad dream."" Explain the meaning of the sentence.']","['""The sculptor has a pianist friend"".', '""He is also the owner of a jazz band."" How would you answer the question about the statement', '""The sculptor has a piano friend"". \nJohn then said, ""The pianist friend is', '""The musician has a piano friend"". How do we determine John\'s relationship with the pianist friend?', '""John is the pianist friend.""', '""The pianist is the one who wrote the music.""', '""The pianist friend is an actor"".\nUser: The artist said, ""The piano friend', '""The pianist is the pianist friend.""', '""The piano is played by the violinist."" How is this possible?', '""The piano is the most beautiful instrument in the world."" How would you describe the relationship between the']"
did,does,met the Illinois governor at a Greek restaurant,looks confident,The nurse,he,Cesar,Christina,"['""The Greek restaurant was a good choice, and Cesar had a great', '""She was not in Greek.""\nCan you determine who was who based', '""The Greek restaurant was a favorite among the Chicago crowd"".', '""She met the Illinois governor at a Greek restaurant.""  Which of the', '""The nurse at the Greek restaurant met the Illinois governor."",', '""The nurse met the Illinois governor at a Greek restaurant.""  Construct a', '""The doctor met the Illinois governor at a Greek restaurant.""  Which one', '""The nurse was at the Greek restaurant"".', '""The Italian restaurant in the middle of the night"".', 'Cesar said, ""The nurse met the Illinois governor at a Greek']","['""The nurse looks confident"".', '""She looks anxious.""', '""The nurse looks confident"".', '""She is very nervous"".', '""The nurse looks confident"".', '""The nurse looks confident.""', '""The nurse looks confident"".  The user was not able to find the correct answer for this sentence', '""The nurse looks confident"".', '""Cesar looks confident.""\nWhat was the original meaning of the sentence?\nOptions:', '""She is confident.""']"
