idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-3.4876508712768555,-3.202660083770752,-2.9474079608917236,-2.7345614433288574,-3.3776752948760986,-3.4465832710266113,-3.130575180053711,-3.300725221633911,-5.10329532623291,-4.463042259216309,-4.799966812133789,-4.609973430633545,-5.1096673011779785,-4.988040924072266
2,-3.976332187652588,-2.9562735557556152,-3.3985233306884766,-2.5871424674987793,-3.4465832710266113,-3.3776752948760986,-3.300725221633911,-3.130575180053711,-5.15922212600708,-4.7485671043396,-5.010212421417236,-4.330173492431641,-5.080060005187988,-4.616413116455078
3,-3.4876508712768555,-3.202660083770752,-4.477505683898926,-4.80338716506958,-3.3776752948760986,-3.4465832710266113,-4.373353004455566,-4.6885175704956055,-5.10329532623291,-5.634223937988281,-4.799966812133789,-4.609973430633545,-3.9779937267303467,-4.108346462249756
4,-3.976332187652588,-2.9562735557556152,-5.18116569519043,-4.393185615539551,-3.4465832710266113,-3.3776752948760986,-4.6885175704956055,-4.373353004455566,-5.15922212600708,-6.06508731842041,-5.010212421417236,-4.330173492431641,-4.2015461921691895,-3.8863537311553955
5,-3.4876508712768555,-3.202660083770752,-4.36113977432251,-4.623641014099121,-3.3776752948760986,-3.4465832710266113,-3.7169029712677,-4.200333118438721,-5.10329532623291,-6.033700466156006,-4.799966812133789,-4.609973430633545,-5.174047470092773,-5.324048042297363
6,-3.976332187652588,-2.9562735557556152,-5.068962097167969,-4.2152323722839355,-3.4465832710266113,-3.3776752948760986,-4.200333118438721,-3.7169029712677,-5.15922212600708,-6.41784143447876,-5.010212421417236,-4.330173492431641,-5.5293779373168945,-5.041532516479492
7,-3.4876508712768555,-3.202660083770752,-3.5609147548675537,-3.7882044315338135,-3.3776752948760986,-3.4465832710266113,-4.317568302154541,-4.730801582336426,-5.10329532623291,-5.335207462310791,-4.799966812133789,-4.609973430633545,-4.96566104888916,-5.1171875
8,-3.976332187652588,-2.9562735557556152,-4.418668746948242,-3.4003748893737793,-3.4465832710266113,-3.3776752948760986,-4.730801582336426,-4.317568302154541,-5.15922212600708,-5.766319274902344,-5.010212421417236,-4.330173492431641,-5.236088752746582,-4.557225704193115
9,-4.799156188964844,-4.888237953186035,-2.9474079608917236,-2.7345614433288574,-3.1646666526794434,-3.530071258544922,-3.130575180053711,-3.300725221633911,-6.992669105529785,-4.463042259216309,-3.737177610397339,-3.7767693996429443,-5.1096673011779785,-4.988040924072266
10,-5.474639415740967,-4.647225379943848,-3.3985233306884766,-2.5871424674987793,-3.530071258544922,-3.1646666526794434,-3.300725221633911,-3.130575180053711,-7.104773044586182,-4.7485671043396,-4.141133785247803,-3.7733943462371826,-5.080060005187988,-4.616413116455078
11,-4.799156188964844,-4.888237953186035,-4.477505683898926,-4.80338716506958,-3.1646666526794434,-3.530071258544922,-4.373353004455566,-4.6885175704956055,-6.992669105529785,-5.634223937988281,-3.737177610397339,-3.7767693996429443,-3.9779937267303467,-4.108346462249756
12,-5.474639415740967,-4.647225379943848,-5.18116569519043,-4.393185615539551,-3.530071258544922,-3.1646666526794434,-4.6885175704956055,-4.373353004455566,-7.104773044586182,-6.06508731842041,-4.141133785247803,-3.7733943462371826,-4.2015461921691895,-3.8863537311553955
13,-4.799156188964844,-4.888237953186035,-4.36113977432251,-4.623641014099121,-3.1646666526794434,-3.530071258544922,-3.7169029712677,-4.200333118438721,-6.992669105529785,-6.033700466156006,-3.737177610397339,-3.7767693996429443,-5.174047470092773,-5.324048042297363
14,-5.474639415740967,-4.647225379943848,-5.068962097167969,-4.2152323722839355,-3.530071258544922,-3.1646666526794434,-4.200333118438721,-3.7169029712677,-7.104773044586182,-6.41784143447876,-4.141133785247803,-3.7733943462371826,-5.5293779373168945,-5.041532516479492
15,-4.799156188964844,-4.888237953186035,-3.5609147548675537,-3.7882044315338135,-3.1646666526794434,-3.530071258544922,-4.317568302154541,-4.730801582336426,-6.992669105529785,-5.335207462310791,-3.737177610397339,-3.7767693996429443,-4.96566104888916,-5.1171875
16,-5.474639415740967,-4.647225379943848,-4.418668746948242,-3.4003748893737793,-3.530071258544922,-3.1646666526794434,-4.730801582336426,-4.317568302154541,-7.104773044586182,-5.766319274902344,-4.141133785247803,-3.7733943462371826,-5.236088752746582,-4.557225704193115
17,-4.425593852996826,-4.830059051513672,-2.9474079608917236,-2.7345614433288574,-3.217409610748291,-3.5153470039367676,-3.130575180053711,-3.300725221633911,-6.330910682678223,-4.463042259216309,-4.846253395080566,-5.04848575592041,-5.1096673011779785,-4.988040924072266
18,-5.283231258392334,-4.52119779586792,-3.3985233306884766,-2.5871424674987793,-3.5153470039367676,-3.217409610748291,-3.300725221633911,-3.130575180053711,-6.464565277099609,-4.7485671043396,-4.955017566680908,-4.574000358581543,-5.080060005187988,-4.616413116455078
19,-4.425593852996826,-4.830059051513672,-4.477505683898926,-4.80338716506958,-3.217409610748291,-3.5153470039367676,-4.373353004455566,-4.6885175704956055,-6.330910682678223,-5.634223937988281,-4.846253395080566,-5.04848575592041,-3.9779937267303467,-4.108346462249756
20,-5.283231258392334,-4.52119779586792,-5.18116569519043,-4.393185615539551,-3.5153470039367676,-3.217409610748291,-4.6885175704956055,-4.373353004455566,-6.464565277099609,-6.06508731842041,-4.955017566680908,-4.574000358581543,-4.2015461921691895,-3.8863537311553955
21,-4.425593852996826,-4.830059051513672,-4.36113977432251,-4.623641014099121,-3.217409610748291,-3.5153470039367676,-3.7169029712677,-4.200333118438721,-6.330910682678223,-6.033700466156006,-4.846253395080566,-5.04848575592041,-5.174047470092773,-5.324048042297363
22,-5.283231258392334,-4.52119779586792,-5.068962097167969,-4.2152323722839355,-3.5153470039367676,-3.217409610748291,-4.200333118438721,-3.7169029712677,-6.464565277099609,-6.41784143447876,-4.955017566680908,-4.574000358581543,-5.5293779373168945,-5.041532516479492
23,-4.425593852996826,-4.830059051513672,-3.5609147548675537,-3.7882044315338135,-3.217409610748291,-3.5153470039367676,-4.317568302154541,-4.730801582336426,-6.330910682678223,-5.335207462310791,-4.846253395080566,-5.04848575592041,-4.96566104888916,-5.1171875
24,-5.283231258392334,-4.52119779586792,-4.418668746948242,-3.4003748893737793,-3.5153470039367676,-3.217409610748291,-4.730801582336426,-4.317568302154541,-6.464565277099609,-5.766319274902344,-4.955017566680908,-4.574000358581543,-5.236088752746582,-4.557225704193115
25,-4.652524948120117,-4.8786940574646,-2.9474079608917236,-2.7345614433288574,-3.6773159503936768,-3.897021770477295,-3.130575180053711,-3.300725221633911,-6.2897047996521,-4.463042259216309,-3.6626884937286377,-3.7531564235687256,-5.1096673011779785,-4.988040924072266
