idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-3.6998867988586426,-3.037652015686035,-3.372939109802246,-2.5564403533935547,-3.5944013595581055,-3.6221790313720703,-3.311735153198242,-3.3740601539611816,-5.891067981719971,-5.073490619659424,-3.6851253509521484,-3.243635654449463,-4.847700595855713,-4.381130218505859
2,-3.394120693206787,-2.5872678756713867,-3.2223916053771973,-2.619537591934204,-3.6221790313720703,-3.5944013595581055,-3.3740601539611816,-3.311735153198242,-5.730113506317139,-5.169429302215576,-3.630141019821167,-3.0922389030456543,-4.456303119659424,-4.111814975738525
3,-3.6998867988586426,-3.037652015686035,-3.9618406295776367,-3.535227060317993,-3.5944013595581055,-3.6221790313720703,-4.175745487213135,-4.351221561431885,-5.891067981719971,-5.3296966552734375,-3.6851253509521484,-3.243635654449463,-3.351780652999878,-3.1811349391937256
4,-3.394120693206787,-2.5872678756713867,-4.169395446777344,-3.6144042015075684,-3.6221790313720703,-3.5944013595581055,-4.351221561431885,-4.175745487213135,-5.730113506317139,-5.308452129364014,-3.630141019821167,-3.0922389030456543,-3.3437867164611816,-3.1217904090881348
5,-3.6998867988586426,-3.037652015686035,-3.9538896083831787,-3.48140549659729,-3.5944013595581055,-3.6221790313720703,-3.6579012870788574,-3.9235453605651855,-5.891067981719971,-5.388711452484131,-3.6851253509521484,-3.243635654449463,-3.9373342990875244,-3.6673433780670166
6,-3.394120693206787,-2.5872678756713867,-4.032711982727051,-3.3159613609313965,-3.6221790313720703,-3.5944013595581055,-3.9235453605651855,-3.6579012870788574,-5.730113506317139,-5.334218502044678,-3.630141019821167,-3.0922389030456543,-4.036084175109863,-3.626512050628662
7,-3.6998867988586426,-3.037652015686035,-3.6915030479431152,-3.4361186027526855,-3.5944013595581055,-3.6221790313720703,-4.45817232131958,-4.698056697845459,-5.891067981719971,-5.28270959854126,-3.6851253509521484,-3.243635654449463,-4.421014785766602,-4.250758647918701
8,-3.394120693206787,-2.5872678756713867,-3.8739864826202393,-3.2412242889404297,-3.6221790313720703,-3.5944013595581055,-4.698056697845459,-4.45817232131958,-5.730113506317139,-5.164438724517822,-3.630141019821167,-3.0922389030456543,-4.361271858215332,-3.939429998397827
9,-4.272563934326172,-3.984816551208496,-3.372939109802246,-2.5564403533935547,-2.9549174308776855,-3.254725456237793,-3.311735153198242,-3.3740601539611816,-6.480430603027344,-5.073490619659424,-2.566629409790039,-2.438741683959961,-4.847700595855713,-4.381130218505859
10,-3.9958386421203613,-3.097705841064453,-3.2223916053771973,-2.619537591934204,-3.254725456237793,-2.9549174308776855,-3.3740601539611816,-3.311735153198242,-6.286599159240723,-5.169429302215576,-2.5493218898773193,-2.1501519680023193,-4.456303119659424,-4.111814975738525
11,-4.272563934326172,-3.984816551208496,-3.9618406295776367,-3.535227060317993,-2.9549174308776855,-3.254725456237793,-4.175745487213135,-4.351221561431885,-6.480430603027344,-5.3296966552734375,-2.566629409790039,-2.438741683959961,-3.351780652999878,-3.1811349391937256
12,-3.9958386421203613,-3.097705841064453,-4.169395446777344,-3.6144042015075684,-3.254725456237793,-2.9549174308776855,-4.351221561431885,-4.175745487213135,-6.286599159240723,-5.308452129364014,-2.5493218898773193,-2.1501519680023193,-3.3437867164611816,-3.1217904090881348
13,-4.272563934326172,-3.984816551208496,-3.9538896083831787,-3.48140549659729,-2.9549174308776855,-3.254725456237793,-3.6579012870788574,-3.9235453605651855,-6.480430603027344,-5.388711452484131,-2.566629409790039,-2.438741683959961,-3.9373342990875244,-3.6673433780670166
14,-3.9958386421203613,-3.097705841064453,-4.032711982727051,-3.3159613609313965,-3.254725456237793,-2.9549174308776855,-3.9235453605651855,-3.6579012870788574,-6.286599159240723,-5.334218502044678,-2.5493218898773193,-2.1501519680023193,-4.036084175109863,-3.626512050628662
15,-4.272563934326172,-3.984816551208496,-3.6915030479431152,-3.4361186027526855,-2.9549174308776855,-3.254725456237793,-4.45817232131958,-4.698056697845459,-6.480430603027344,-5.28270959854126,-2.566629409790039,-2.438741683959961,-4.421014785766602,-4.250758647918701
16,-3.9958386421203613,-3.097705841064453,-3.8739864826202393,-3.2412242889404297,-3.254725456237793,-2.9549174308776855,-4.698056697845459,-4.45817232131958,-6.286599159240723,-5.164438724517822,-2.5493218898773193,-2.1501519680023193,-4.361271858215332,-3.939429998397827
17,-4.80015754699707,-4.052924156188965,-3.372939109802246,-2.5564403533935547,-3.2867074012756348,-3.434821128845215,-3.311735153198242,-3.3740601539611816,-6.178661346435547,-5.073490619659424,-3.9088079929351807,-3.535191297531128,-4.847700595855713,-4.381130218505859
18,-4.2637505531311035,-3.8237667083740234,-3.2223916053771973,-2.619537591934204,-3.434821128845215,-3.2867074012756348,-3.3740601539611816,-3.311735153198242,-5.986642837524414,-5.169429302215576,-3.833631992340088,-3.6136398315429688,-4.456303119659424,-4.111814975738525
19,-4.80015754699707,-4.052924156188965,-3.9618406295776367,-3.535227060317993,-3.2867074012756348,-3.434821128845215,-4.175745487213135,-4.351221561431885,-6.178661346435547,-5.3296966552734375,-3.9088079929351807,-3.535191297531128,-3.351780652999878,-3.1811349391937256
20,-4.2637505531311035,-3.8237667083740234,-4.169395446777344,-3.6144042015075684,-3.434821128845215,-3.2867074012756348,-4.351221561431885,-4.175745487213135,-5.986642837524414,-5.308452129364014,-3.833631992340088,-3.6136398315429688,-3.3437867164611816,-3.1217904090881348
21,-4.80015754699707,-4.052924156188965,-3.9538896083831787,-3.48140549659729,-3.2867074012756348,-3.434821128845215,-3.6579012870788574,-3.9235453605651855,-6.178661346435547,-5.388711452484131,-3.9088079929351807,-3.535191297531128,-3.9373342990875244,-3.6673433780670166
22,-4.2637505531311035,-3.8237667083740234,-4.032711982727051,-3.3159613609313965,-3.434821128845215,-3.2867074012756348,-3.9235453605651855,-3.6579012870788574,-5.986642837524414,-5.334218502044678,-3.833631992340088,-3.6136398315429688,-4.036084175109863,-3.626512050628662
23,-4.80015754699707,-4.052924156188965,-3.6915030479431152,-3.4361186027526855,-3.2867074012756348,-3.434821128845215,-4.45817232131958,-4.698056697845459,-6.178661346435547,-5.28270959854126,-3.9088079929351807,-3.535191297531128,-4.421014785766602,-4.250758647918701
24,-4.2637505531311035,-3.8237667083740234,-3.8739864826202393,-3.2412242889404297,-3.434821128845215,-3.2867074012756348,-4.698056697845459,-4.45817232131958,-5.986642837524414,-5.164438724517822,-3.833631992340088,-3.6136398315429688,-4.361271858215332,-3.939429998397827
25,-4.916295528411865,-4.336609363555908,-3.372939109802246,-2.5564403533935547,-3.613368511199951,-3.757939338684082,-3.311735153198242,-3.3740601539611816,-6.3138346672058105,-5.073490619659424,-2.59529185295105,-2.363417625427246,-4.847700595855713,-4.381130218505859
26,-4.260357856750488,-3.3672637939453125,-3.2223916053771973,-2.619537591934204,-3.757939338684082,-3.613368511199951,-3.3740601539611816,-3.311735153198242,-6.213415622711182,-5.169429302215576,-2.5002663135528564,-2.143028736114502,-4.456303119659424,-4.111814975738525
27,-4.916295528411865,-4.336609363555908,-3.9618406295776367,-3.535227060317993,-3.613368511199951,-3.757939338684082,-4.175745487213135,-4.351221561431885,-6.3138346672058105,-5.3296966552734375,-2.59529185295105,-2.363417625427246,-3.351780652999878,-3.1811349391937256
28,-4.260357856750488,-3.3672637939453125,-4.169395446777344,-3.6144042015075684,-3.757939338684082,-3.613368511199951,-4.351221561431885,-4.175745487213135,-6.213415622711182,-5.308452129364014,-2.5002663135528564,-2.143028736114502,-3.3437867164611816,-3.1217904090881348
29,-4.916295528411865,-4.336609363555908,-3.9538896083831787,-3.48140549659729,-3.613368511199951,-3.757939338684082,-3.6579012870788574,-3.9235453605651855,-6.3138346672058105,-5.388711452484131,-2.59529185295105,-2.363417625427246,-3.9373342990875244,-3.6673433780670166
30,-4.260357856750488,-3.3672637939453125,-4.032711982727051,-3.3159613609313965,-3.757939338684082,-3.613368511199951,-3.9235453605651855,-3.6579012870788574,-6.213415622711182,-5.334218502044678,-2.5002663135528564,-2.143028736114502,-4.036084175109863,-3.626512050628662
31,-4.916295528411865,-4.336609363555908,-3.6915030479431152,-3.4361186027526855,-3.613368511199951,-3.757939338684082,-4.45817232131958,-4.698056697845459,-6.3138346672058105,-5.28270959854126,-2.59529185295105,-2.363417625427246,-4.421014785766602,-4.250758647918701
32,-4.260357856750488,-3.3672637939453125,-3.8739864826202393,-3.2412242889404297,-3.757939338684082,-3.613368511199951,-4.698056697845459,-4.45817232131958,-6.213415622711182,-5.164438724517822,-2.5002663135528564,-2.143028736114502,-4.361271858215332,-3.939429998397827
33,-2.695253372192383,-2.571957588195801,-3.1128714084625244,-3.1160969734191895,-4.462056636810303,-4.333921432495117,-3.5101661682128906,-3.4353106021881104,-5.625887870788574,-5.05827522277832,-3.0724093914031982,-2.9902124404907227,-4.641306400299072,-4.6431498527526855
34,-2.8803043365478516,-2.2529823780059814,-3.3501315116882324,-2.677781343460083,-4.333921432495117,-4.462056636810303,-3.4353106021881104,-3.5101661682128906,-5.4875712394714355,-5.086043834686279,-3.007789134979248,-2.5895745754241943,-4.58209228515625,-4.197892665863037
35,-2.695253372192383,-2.571957588195801,-3.8124711513519287,-4.058364391326904,-4.462056636810303,-4.333921432495117,-4.492277145385742,-4.59409236907959,-5.625887870788574,-5.3981146812438965,-3.0724093914031982,-2.9902124404907227,-3.372713565826416,-3.4710710048675537
36,-2.8803043365478516,-2.2529823780059814,-4.135890960693359,-3.342336416244507,-4.333921432495117,-4.462056636810303,-4.59409236907959,-4.492277145385742,-5.4875712394714355,-5.515366554260254,-3.007789134979248,-2.5895745754241943,-3.4318435192108154,-3.114421844482422
37,-2.695253372192383,-2.571957588195801,-3.7852585315704346,-3.9809675216674805,-4.462056636810303,-4.333921432495117,-3.985964775085449,-4.177509307861328,-5.625887870788574,-5.487321376800537,-3.0724093914031982,-2.9902124404907227,-3.885648727416992,-3.9974825382232666
38,-2.8803043365478516,-2.2529823780059814,-4.158560276031494,-3.316640853881836,-4.333921432495117,-4.462056636810303,-4.177509307861328,-3.985964775085449,-5.4875712394714355,-5.578832149505615,-3.007789134979248,-2.5895745754241943,-4.056844711303711,-3.5757477283477783
39,-2.695253372192383,-2.571957588195801,-3.5053815841674805,-3.583536148071289,-4.462056636810303,-4.333921432495117,-4.708933353424072,-4.802789211273193,-5.625887870788574,-5.3644795417785645,-3.0724093914031982,-2.9902124404907227,-4.1626811027526855,-4.214783668518066
40,-2.8803043365478516,-2.2529823780059814,-3.7556753158569336,-3.050591230392456,-4.333921432495117,-4.462056636810303,-4.802789211273193,-4.708933353424072,-5.4875712394714355,-5.459741115570068,-3.007789134979248,-2.5895745754241943,-4.195779800415039,-3.7257239818573
41,-3.03397274017334,-3.2333123683929443,-3.1128714084625244,-3.1160969734191895,-3.4325966835021973,-3.6049351692199707,-3.5101661682128906,-3.4353106021881104,-6.464860439300537,-5.05827522277832,-2.1888508796691895,-2.2774460315704346,-4.641306400299072,-4.6431498527526855
42,-3.5022807121276855,-2.8527324199676514,-3.3501315116882324,-2.677781343460083,-3.6049351692199707,-3.4325966835021973,-3.4353106021881104,-3.5101661682128906,-6.476391792297363,-5.086043834686279,-2.306044816970825,-2.0173568725585938,-4.58209228515625,-4.197892665863037
43,-3.03397274017334,-3.2333123683929443,-3.8124711513519287,-4.058364391326904,-3.4325966835021973,-3.6049351692199707,-4.492277145385742,-4.59409236907959,-6.464860439300537,-5.3981146812438965,-2.1888508796691895,-2.2774460315704346,-3.372713565826416,-3.4710710048675537
44,-3.5022807121276855,-2.8527324199676514,-4.135890960693359,-3.342336416244507,-3.6049351692199707,-3.4325966835021973,-4.59409236907959,-4.492277145385742,-6.476391792297363,-5.515366554260254,-2.306044816970825,-2.0173568725585938,-3.4318435192108154,-3.114421844482422
45,-3.03397274017334,-3.2333123683929443,-3.7852585315704346,-3.9809675216674805,-3.4325966835021973,-3.6049351692199707,-3.985964775085449,-4.177509307861328,-6.464860439300537,-5.487321376800537,-2.1888508796691895,-2.2774460315704346,-3.885648727416992,-3.9974825382232666
46,-3.5022807121276855,-2.8527324199676514,-4.158560276031494,-3.316640853881836,-3.6049351692199707,-3.4325966835021973,-4.177509307861328,-3.985964775085449,-6.476391792297363,-5.578832149505615,-2.306044816970825,-2.0173568725585938,-4.056844711303711,-3.5757477283477783
47,-3.03397274017334,-3.2333123683929443,-3.5053815841674805,-3.583536148071289,-3.4325966835021973,-3.6049351692199707,-4.708933353424072,-4.802789211273193,-6.464860439300537,-5.3644795417785645,-2.1888508796691895,-2.2774460315704346,-4.1626811027526855,-4.214783668518066
48,-3.5022807121276855,-2.8527324199676514,-3.7556753158569336,-3.050591230392456,-3.6049351692199707,-3.4325966835021973,-4.802789211273193,-4.708933353424072,-6.476391792297363,-5.459741115570068,-2.306044816970825,-2.0173568725585938,-4.195779800415039,-3.7257239818573
49,-3.3754801750183105,-3.500943422317505,-3.1128714084625244,-3.1160969734191895,-3.808856964111328,-3.879885673522949,-3.5101661682128906,-3.4353106021881104,-6.107285976409912,-5.05827522277832,-3.3160858154296875,-3.378817558288574,-4.641306400299072,-4.6431498527526855
50,-3.495107650756836,-2.8451614379882812,-3.3501315116882324,-2.677781343460083,-3.879885673522949,-3.808856964111328,-3.4353106021881104,-3.5101661682128906,-6.1573309898376465,-5.086043834686279,-3.230302333831787,-2.9053292274475098,-4.58209228515625,-4.197892665863037
