idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
1,-2.842329978942871,-2.8405094146728516,-2.5288326740264893,-2.6315386295318604,-4.0017852783203125,-4.022637844085693,-2.7927441596984863,-2.9654533863067627
2,-3.1557345390319824,-2.6548166275024414,-2.9330480098724365,-2.3258121013641357,-4.022637844085693,-4.0017852783203125,-2.9654533863067627,-2.7927441596984863
3,-2.842329978942871,-2.8405094146728516,-4.475047588348389,-4.705607891082764,-4.0017852783203125,-4.022637844085693,-3.946993112564087,-4.0344038009643555
4,-3.1557345390319824,-2.6548166275024414,-4.580745697021484,-3.893641471862793,-4.022637844085693,-4.0017852783203125,-4.0344038009643555,-3.946993112564087
5,-2.842329978942871,-2.8405094146728516,-4.110037803649902,-4.33449649810791,-4.0017852783203125,-4.022637844085693,-3.8108439445495605,-3.8519132137298584
6,-3.1557345390319824,-2.6548166275024414,-4.657135009765625,-3.9496638774871826,-4.022637844085693,-4.0017852783203125,-3.8519132137298584,-3.8108439445495605
7,-4.489744186401367,-4.054319381713867,-2.5288326740264893,-2.6315386295318604,-3.386021137237549,-3.519266128540039,-2.7927441596984863,-2.9654533863067627
8,-4.415777206420898,-3.7740001678466797,-2.9330480098724365,-2.3258121013641357,-3.519266128540039,-3.386021137237549,-2.9654533863067627,-2.7927441596984863
9,-4.489744186401367,-4.054319381713867,-4.475047588348389,-4.705607891082764,-3.386021137237549,-3.519266128540039,-3.946993112564087,-4.0344038009643555
10,-4.415777206420898,-3.7740001678466797,-4.580745697021484,-3.893641471862793,-3.519266128540039,-3.386021137237549,-4.0344038009643555,-3.946993112564087
11,-4.489744186401367,-4.054319381713867,-4.110037803649902,-4.33449649810791,-3.386021137237549,-3.519266128540039,-3.8108439445495605,-3.8519132137298584
12,-4.415777206420898,-3.7740001678466797,-4.657135009765625,-3.9496638774871826,-3.519266128540039,-3.386021137237549,-3.8519132137298584,-3.8108439445495605
13,-3.6099870204925537,-3.641352891921997,-2.5288326740264893,-2.6315386295318604,-2.5952117443084717,-2.806105136871338,-2.7927441596984863,-2.9654533863067627
14,-4.094144821166992,-3.5129010677337646,-2.9330480098724365,-2.3258121013641357,-2.806105136871338,-2.5952117443084717,-2.9654533863067627,-2.7927441596984863
15,-3.6099870204925537,-3.641352891921997,-4.475047588348389,-4.705607891082764,-2.5952117443084717,-2.806105136871338,-3.946993112564087,-4.0344038009643555
16,-4.094144821166992,-3.5129010677337646,-4.580745697021484,-3.893641471862793,-2.806105136871338,-2.5952117443084717,-4.0344038009643555,-3.946993112564087
17,-3.6099908351898193,-3.6413464546203613,-4.110039710998535,-4.33449649810791,-2.5952117443084717,-2.806105136871338,-3.8108439445495605,-3.8519132137298584
18,-4.09413480758667,-3.5129048824310303,-4.657135486602783,-3.9496655464172363,-2.806105136871338,-2.5952117443084717,-3.8519132137298584,-3.8108439445495605
19,-4.160284042358398,-3.878145217895508,-3.8699698448181152,-3.9046549797058105,-4.328673839569092,-4.392635345458984,-3.0174007415771484,-3.1969242095947266
20,-3.7023823261260986,-3.274688959121704,-3.555755376815796,-3.1236515045166016,-4.392635345458984,-4.328673839569092,-3.1969242095947266,-3.0174007415771484
21,-4.160284042358398,-3.878145217895508,-5.526010990142822,-5.564528942108154,-4.328673839569092,-4.392635345458984,-4.203095436096191,-4.214804649353027
22,-3.7023823261260986,-3.274688959121704,-5.4931559562683105,-4.928684234619141,-4.392635345458984,-4.328673839569092,-4.214804649353027,-4.203095436096191
23,-4.160284042358398,-3.878145217895508,-5.731296539306641,-5.584295272827148,-4.328673839569092,-4.392635345458984,-4.175955772399902,-4.053834438323975
24,-3.7023823261260986,-3.274688959121704,-5.287407875061035,-4.971796035766602,-4.392635345458984,-4.328673839569092,-4.053834438323975,-4.175955772399902
25,-4.987800598144531,-4.900744915008545,-3.8699698448181152,-3.9046549797058105,-3.841867446899414,-3.873133659362793,-3.0174007415771484,-3.1969242095947266
26,-4.948211669921875,-4.473073482513428,-3.555755376815796,-3.1236515045166016,-3.873133659362793,-3.841867446899414,-3.1969242095947266,-3.0174007415771484
27,-4.987800598144531,-4.900744915008545,-5.526010990142822,-5.564528942108154,-3.841867446899414,-3.873133659362793,-4.203095436096191,-4.214804649353027
28,-4.948211669921875,-4.473073482513428,-5.4931559562683105,-4.928684234619141,-3.873133659362793,-3.841867446899414,-4.214804649353027,-4.203095436096191
29,-4.987800598144531,-4.900744915008545,-5.731296539306641,-5.584295272827148,-3.841867446899414,-3.873133659362793,-4.175955772399902,-4.053834438323975
30,-4.948211669921875,-4.473073482513428,-5.287407875061035,-4.971796035766602,-3.873133659362793,-3.841867446899414,-4.053834438323975,-4.175955772399902
31,-4.280457973480225,-4.151937484741211,-3.8699698448181152,-3.9046549797058105,-2.9239368438720703,-3.046938419342041,-3.0174007415771484,-3.1969242095947266
32,-4.087337493896484,-3.749945878982544,-3.555755376815796,-3.1236515045166016,-3.046938419342041,-2.9239368438720703,-3.1969242095947266,-3.0174007415771484
33,-4.280457973480225,-4.151937484741211,-5.526010990142822,-5.564528942108154,-2.9239368438720703,-3.046938419342041,-4.203095436096191,-4.214804649353027
34,-4.087337493896484,-3.749945878982544,-5.4931559562683105,-4.928684234619141,-3.046938419342041,-2.9239368438720703,-4.214804649353027,-4.203095436096191
35,-4.280457973480225,-4.151937484741211,-5.731296539306641,-5.584295272827148,-2.9239368438720703,-3.046938419342041,-4.175955772399902,-4.053834438323975
36,-4.087337493896484,-3.749945878982544,-5.287407875061035,-4.971796035766602,-3.046938419342041,-2.9239368438720703,-4.053834438323975,-4.175955772399902
37,-3.5259413719177246,-3.3044943809509277,-3.1071279048919678,-2.868325710296631,-4.0017852783203125,-4.022637844085693,-2.7927441596984863,-2.9654533863067627
38,-3.4783833026885986,-3.2539424896240234,-2.9400722980499268,-2.8306703567504883,-4.022637844085693,-4.0017852783203125,-2.9654533863067627,-2.7927441596984863
39,-3.5259413719177246,-3.3044943809509277,-5.331614971160889,-5.401495933532715,-4.0017852783203125,-4.022637844085693,-3.946993112564087,-4.0344038009643555
40,-3.4783833026885986,-3.2539424896240234,-5.206077575683594,-4.992588043212891,-4.022637844085693,-4.0017852783203125,-4.0344038009643555,-3.946993112564087
41,-3.5259413719177246,-3.3044943809509277,-5.354828834533691,-5.229250431060791,-4.0017852783203125,-4.022637844085693,-3.8108439445495605,-3.8519132137298584
