idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
1,-5.190802097320557,-5.190929889678955,-4.173336505889893,-4.715266704559326,-3.518221855163574,-3.642920732498169,-2.9246654510498047,-3.0696446895599365
2,-5.064775466918945,-3.907752513885498,-5.083576202392578,-3.9010300636291504,-3.642920732498169,-3.518221855163574,-3.0696446895599365,-2.9246654510498047
3,-5.190802097320557,-5.190929889678955,-6.553232669830322,-7.624320030212402,-3.518221855163574,-3.642920732498169,-3.7241716384887695,-3.9862327575683594
4,-5.064775466918945,-3.907752513885498,-7.193305492401123,-5.999228477478027,-3.642920732498169,-3.518221855163574,-3.9862327575683594,-3.7241716384887695
5,-5.190802097320557,-5.190929889678955,-6.723371505737305,-7.571471214294434,-3.518221855163574,-3.642920732498169,-4.16688346862793,-4.149819374084473
6,-5.064775466918945,-3.907752513885498,-7.347700119018555,-5.945558071136475,-3.642920732498169,-3.518221855163574,-4.149819374084473,-4.16688346862793
7,-6.994986057281494,-5.708111763000488,-4.173336505889893,-4.715266704559326,-3.068690299987793,-3.3437111377716064,-2.9246654510498047,-3.0696446895599365
8,-6.260150909423828,-6.225522041320801,-5.083576202392578,-3.9010300636291504,-3.3437111377716064,-3.068690299987793,-3.0696446895599365,-2.9246654510498047
9,-6.994986057281494,-5.708111763000488,-6.553232669830322,-7.624320030212402,-3.068690299987793,-3.3437111377716064,-3.7241716384887695,-3.9862327575683594
10,-6.260150909423828,-6.225522041320801,-7.193305492401123,-5.999228477478027,-3.3437111377716064,-3.068690299987793,-3.9862327575683594,-3.7241716384887695
11,-6.994986057281494,-5.708111763000488,-6.723371505737305,-7.571471214294434,-3.068690299987793,-3.3437111377716064,-4.16688346862793,-4.149819374084473
12,-6.260150909423828,-6.225522041320801,-7.347700119018555,-5.945558071136475,-3.3437111377716064,-3.068690299987793,-4.149819374084473,-4.16688346862793
13,-4.880441665649414,-5.020051002502441,-4.173336505889893,-4.715266704559326,-2.586867332458496,-2.665959358215332,-2.9246654510498047,-3.0696446895599365
14,-5.517017364501953,-4.590807914733887,-5.083576202392578,-3.9010300636291504,-2.665959358215332,-2.586867332458496,-3.0696446895599365,-2.9246654510498047
15,-4.880441665649414,-5.020051002502441,-6.553232669830322,-7.624320030212402,-2.586867332458496,-2.665959358215332,-3.7241716384887695,-3.9862327575683594
16,-5.517017364501953,-4.590807914733887,-7.193305492401123,-5.999228477478027,-2.665959358215332,-2.586867332458496,-3.9862327575683594,-3.7241716384887695
17,-4.880441665649414,-5.020049571990967,-6.723381519317627,-7.571469306945801,-2.586867332458496,-2.665959358215332,-4.16688346862793,-4.149819374084473
