idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
1,-3.0056190490722656,-2.627758741378784,-2.9072747230529785,-2.522043466567993,-3.6920642852783203,-3.832709789276123,-2.866837501525879,-2.9778895378112793
2,-3.654562473297119,-2.9469339847564697,-3.275588274002075,-2.7510619163513184,-3.832709789276123,-3.6920642852783203,-2.9778895378112793,-2.866837501525879
3,-3.0056190490722656,-2.627758741378784,-3.8242294788360596,-3.846289873123169,-3.6920642852783203,-3.832709789276123,-3.799917697906494,-4.008906364440918
4,-3.654562473297119,-2.9469339847564697,-3.876591920852661,-3.4836466312408447,-3.832709789276123,-3.6920642852783203,-4.008906364440918,-3.799917697906494
5,-3.0056190490722656,-2.627758741378784,-3.412668228149414,-3.374953269958496,-3.6920642852783203,-3.832709789276123,-4.148251056671143,-4.221569538116455
6,-3.654562473297119,-2.9469339847564697,-3.5285048484802246,-3.111077070236206,-3.832709789276123,-3.6920642852783203,-4.221569538116455,-4.148251056671143
7,-4.123262882232666,-3.961409091949463,-2.9072747230529785,-2.522043466567993,-3.206665515899658,-3.444553852081299,-2.866837501525879,-2.9778895378112793
8,-4.232919692993164,-3.622734546661377,-3.275588274002075,-2.7510619163513184,-3.444553852081299,-3.206665515899658,-2.9778895378112793,-2.866837501525879
9,-4.123262882232666,-3.961409091949463,-3.8242294788360596,-3.846289873123169,-3.206665515899658,-3.444553852081299,-3.799917697906494,-4.008906364440918
10,-4.232919692993164,-3.622734546661377,-3.876591920852661,-3.4836466312408447,-3.444553852081299,-3.206665515899658,-4.008906364440918,-3.799917697906494
11,-4.123262882232666,-3.961409091949463,-3.412668228149414,-3.374953269958496,-3.206665515899658,-3.444553852081299,-4.148251056671143,-4.221569538116455
12,-4.232919692993164,-3.622734546661377,-3.5285048484802246,-3.111077070236206,-3.444553852081299,-3.206665515899658,-4.221569538116455,-4.148251056671143
13,-3.223459482192993,-2.8128843307495117,-2.9072747230529785,-2.522043466567993,-2.7721619606018066,-2.846214532852173,-2.866837501525879,-2.9778895378112793
