idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-5.017897129058838,-5.828679084777832,-5.043685436248779,-4.901245594024658,-3.194485664367676,-3.3970282077789307,-3.2138798236846924,-3.388808012008667,-8.983780860900879,-5.495598793029785,-8.475772857666016,-9.016294479370117,-10.213943481445312,-10.132549285888672
2,-6.3135223388671875,-4.918333053588867,-5.721770763397217,-4.595059871673584,-3.3970282077789307,-3.194485664367676,-3.388808012008667,-3.2138798236846924,-8.067648887634277,-5.744923114776611,-9.770662307739258,-8.840536117553711,-10.27023696899414,-9.626401901245117
3,-5.017897129058838,-5.828679084777832,-7.183268070220947,-8.819483757019043,-3.194485664367676,-3.3970282077789307,-4.416019916534424,-5.123165130615234,-8.983780860900879,-8.6842679977417,-8.475772857666016,-9.016294479370117,-7.034842014312744,-7.689328670501709
4,-6.3135223388671875,-4.918333053588867,-9.474732398986816,-6.531167984008789,-3.3970282077789307,-3.194485664367676,-5.123165130615234,-4.416019916534424,-8.067648887634277,-8.257579803466797,-9.770662307739258,-8.840536117553711,-7.814258098602295,-6.6368327140808105
5,-5.017897129058838,-5.828679084777832,-7.482039451599121,-8.482044219970703,-3.194485664367676,-3.3970282077789307,-4.326138496398926,-4.742098331451416,-8.983780860900879,-8.640533447265625,-8.475772857666016,-9.016294479370117,-9.337905883789062,-9.909337997436523
6,-6.3135223388671875,-4.918333053588867,-8.328191757202148,-7.1430277824401855,-3.3970282077789307,-3.194485664367676,-4.742098331451416,-4.326138496398926,-8.067648887634277,-8.222752571105957,-9.770662307739258,-8.840536117553711,-10.039668083190918,-9.362431526184082
7,-5.017897129058838,-5.828679084777832,-7.118862152099609,-8.531407356262207,-3.194485664367676,-3.3970282077789307,-4.175884246826172,-4.555298805236816,-8.983780860900879,-8.801347732543945,-8.475772857666016,-9.016294479370117,-10.494193077087402,-11.435890197753906
8,-6.3135223388671875,-4.918333053588867,-8.272621154785156,-6.9493303298950195,-3.3970282077789307,-3.194485664367676,-4.555298805236816,-4.175884246826172,-8.067648887634277,-7.591835975646973,-9.770662307739258,-8.840536117553711,-11.393092155456543,-10.51089859008789
9,-7.139042854309082,-7.344246864318848,-5.043685436248779,-4.901245594024658,-3.1707377433776855,-3.6129229068756104,-3.2138798236846924,-3.388808012008667,-9.212374687194824,-5.495598793029785,-6.855501651763916,-6.9467034339904785,-10.213943481445312,-10.132549285888672
10,-6.906096458435059,-5.854615688323975,-5.721770763397217,-4.595059871673584,-3.6129229068756104,-3.1707377433776855,-3.388808012008667,-3.2138798236846924,-9.336149215698242,-5.744923114776611,-7.777154922485352,-7.3098297119140625,-10.27023696899414,-9.626401901245117
11,-7.139042854309082,-7.344246864318848,-7.183268070220947,-8.819483757019043,-3.1707377433776855,-3.6129229068756104,-4.416019916534424,-5.123165130615234,-9.212374687194824,-8.6842679977417,-6.855501651763916,-6.9467034339904785,-7.034842014312744,-7.689328670501709
12,-6.906096458435059,-5.854615688323975,-9.474732398986816,-6.531167984008789,-3.6129229068756104,-3.1707377433776855,-5.123165130615234,-4.416019916534424,-9.336149215698242,-8.257579803466797,-7.777154922485352,-7.3098297119140625,-7.814258098602295,-6.6368327140808105
13,-7.139042854309082,-7.344246864318848,-7.482039451599121,-8.482044219970703,-3.1707377433776855,-3.6129229068756104,-4.326138496398926,-4.742098331451416,-9.212374687194824,-8.640533447265625,-6.855501651763916,-6.9467034339904785,-9.337905883789062,-9.909337997436523
14,-6.906096458435059,-5.854615688323975,-8.328191757202148,-7.1430277824401855,-3.6129229068756104,-3.1707377433776855,-4.742098331451416,-4.326138496398926,-9.336149215698242,-8.222752571105957,-7.777154922485352,-7.3098297119140625,-10.039668083190918,-9.362431526184082
15,-7.139042854309082,-7.344246864318848,-7.118862152099609,-8.531407356262207,-3.1707377433776855,-3.6129229068756104,-4.175884246826172,-4.555298805236816,-9.212374687194824,-8.801347732543945,-6.855501651763916,-6.9467034339904785,-10.494193077087402,-11.435890197753906
16,-6.906096458435059,-5.854615688323975,-8.272621154785156,-6.9493303298950195,-3.6129229068756104,-3.1707377433776855,-4.555298805236816,-4.175884246826172,-9.336149215698242,-7.591835975646973,-7.777154922485352,-7.3098297119140625,-11.393092155456543,-10.51089859008789
17,-8.705150604248047,-7.304876327514648,-5.043685436248779,-4.901245594024658,-3.557183265686035,-3.8744661808013916,-3.2138798236846924,-3.388808012008667,-9.24221134185791,-5.495598793029785,-9.614805221557617,-8.914668083190918,-10.213943481445312,-10.132549285888672
18,-8.505571365356445,-6.379117965698242,-5.721770763397217,-4.595059871673584,-3.8744661808013916,-3.557183265686035,-3.388808012008667,-3.2138798236846924,-8.986247062683105,-5.744923114776611,-9.65195083618164,-8.588723182678223,-10.27023696899414,-9.626401901245117
19,-8.705150604248047,-7.304876327514648,-7.183268070220947,-8.819483757019043,-3.557183265686035,-3.8744661808013916,-4.416019916534424,-5.123165130615234,-9.24221134185791,-8.6842679977417,-9.614805221557617,-8.914668083190918,-7.034842014312744,-7.689328670501709
