idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-2.5640993118286133,-2.3912367820739746,-2.7413148880004883,-2.9118995666503906,-3.190032482147217,-3.4761171340942383,-3.2106993198394775,-3.4094786643981934,-4.698557376861572,-3.8586432933807373,-2.9742774963378906,-2.8590354919433594,-3.768002510070801,-3.8654794692993164
2,-3.2124862670898438,-2.199035406112671,-3.6080985069274902,-2.5892889499664307,-3.4761171340942383,-3.190032482147217,-3.4094786643981934,-3.2106993198394775,-4.700319766998291,-3.92102313041687,-3.2816123962402344,-2.605978488922119,-4.211997985839844,-3.629821300506592
3,-2.5640993118286133,-2.3912367820739746,-3.4474406242370605,-3.6519410610198975,-3.190032482147217,-3.4761171340942383,-4.281555652618408,-4.783220291137695,-4.698557376861572,-4.736293315887451,-2.9742774963378906,-2.8590354919433594,-2.7444677352905273,-2.826267957687378
4,-3.2124862670898438,-2.199035406112671,-3.8955788612365723,-3.163381576538086,-3.4761171340942383,-3.190032482147217,-4.783220291137695,-4.281555652618408,-4.700319766998291,-4.882959842681885,-3.2816123962402344,-2.605978488922119,-2.833979368209839,-2.54110050201416
5,-2.5640993118286133,-2.3912367820739746,-3.6756186485290527,-4.1356730461120605,-3.190032482147217,-3.4761171340942383,-4.234408378601074,-4.463601589202881,-4.698557376861572,-4.241497993469238,-2.9742774963378906,-2.8590354919433594,-3.811026096343994,-4.073914527893066
6,-3.2124862670898438,-2.199035406112671,-4.213450908660889,-3.310713291168213,-3.4761171340942383,-3.190032482147217,-4.463601589202881,-4.234408378601074,-4.700319766998291,-4.371623992919922,-3.2816123962402344,-2.605978488922119,-3.9713027477264404,-3.4554526805877686
7,-2.5640993118286133,-2.3912367820739746,-3.423060417175293,-4.14346170425415,-3.190032482147217,-3.4761171340942383,-4.03997802734375,-4.377406120300293,-4.698557376861572,-4.497739791870117,-2.9742774963378906,-2.8590354919433594,-3.783822536468506,-4.264089584350586
8,-3.2124862670898438,-2.199035406112671,-4.1205902099609375,-3.176970958709717,-3.4761171340942383,-3.190032482147217,-4.377406120300293,-4.03997802734375,-4.700319766998291,-4.605865001678467,-3.2816123962402344,-2.605978488922119,-4.136399745941162,-3.5073204040527344
9,-3.2777304649353027,-3.071207284927368,-2.7413148880004883,-2.9118995666503906,-3.3205041885375977,-3.5732955932617188,-3.2106993198394775,-3.4094786643981934,-5.390684604644775,-3.8586432933807373,-2.3306691646575928,-2.2388811111450195,-3.768002510070801,-3.8654794692993164
10,-3.7490439414978027,-2.792450428009033,-3.6080985069274902,-2.5892889499664307,-3.5732955932617188,-3.3205041885375977,-3.4094786643981934,-3.2106993198394775,-5.245276927947998,-3.92102313041687,-2.5375568866729736,-2.1124041080474854,-4.211997985839844,-3.629821300506592
11,-3.2777304649353027,-3.071207284927368,-3.4474406242370605,-3.6519410610198975,-3.3205041885375977,-3.5732955932617188,-4.281555652618408,-4.783220291137695,-5.390684604644775,-4.736293315887451,-2.3306691646575928,-2.2388811111450195,-2.7444677352905273,-2.826267957687378
12,-3.7490439414978027,-2.792450428009033,-3.8955788612365723,-3.163381576538086,-3.5732955932617188,-3.3205041885375977,-4.783220291137695,-4.281555652618408,-5.245276927947998,-4.882959842681885,-2.5375568866729736,-2.1124041080474854,-2.833979368209839,-2.54110050201416
13,-3.2777304649353027,-3.071207284927368,-3.6756186485290527,-4.1356730461120605,-3.3205041885375977,-3.5732955932617188,-4.234408378601074,-4.463601589202881,-5.390684604644775,-4.241497993469238,-2.3306691646575928,-2.2388811111450195,-3.811026096343994,-4.073914527893066
14,-3.7490439414978027,-2.792450428009033,-4.213450908660889,-3.310713291168213,-3.5732955932617188,-3.3205041885375977,-4.463601589202881,-4.234408378601074,-5.245276927947998,-4.371623992919922,-2.5375568866729736,-2.1124041080474854,-3.9713027477264404,-3.4554526805877686
15,-3.2777304649353027,-3.071207284927368,-3.423060417175293,-4.14346170425415,-3.3205041885375977,-3.5732955932617188,-4.03997802734375,-4.377406120300293,-5.390684604644775,-4.497739791870117,-2.3306691646575928,-2.2388811111450195,-3.783822536468506,-4.264089584350586
16,-3.7490439414978027,-2.792450428009033,-4.1205902099609375,-3.176970958709717,-3.5732955932617188,-3.3205041885375977,-4.377406120300293,-4.03997802734375,-5.245276927947998,-4.605865001678467,-2.5375568866729736,-2.1124041080474854,-4.136399745941162,-3.5073204040527344
17,-4.033090114593506,-3.8226726055145264,-2.7413148880004883,-2.9118995666503906,-3.4096102714538574,-3.580756664276123,-3.2106993198394775,-3.4094786643981934,-5.476253986358643,-3.8586432933807373,-3.2339227199554443,-3.128713846206665,-3.768002510070801,-3.8654794692993164
18,-3.931649684906006,-3.784001111984253,-3.6080985069274902,-2.5892889499664307,-3.580756664276123,-3.4096102714538574,-3.4094786643981934,-3.2106993198394775,-5.370678901672363,-3.92102313041687,-3.1967978477478027,-3.1229734420776367,-4.211997985839844,-3.629821300506592
19,-4.033090114593506,-3.8226726055145264,-3.4474406242370605,-3.6519410610198975,-3.4096102714538574,-3.580756664276123,-4.281555652618408,-4.783220291137695,-5.476253986358643,-4.736293315887451,-3.2339227199554443,-3.128713846206665,-2.7444677352905273,-2.826267957687378
20,-3.931649684906006,-3.784001111984253,-3.8955788612365723,-3.163381576538086,-3.580756664276123,-3.4096102714538574,-4.783220291137695,-4.281555652618408,-5.370678901672363,-4.882959842681885,-3.1967978477478027,-3.1229734420776367,-2.833979368209839,-2.54110050201416
21,-4.033090114593506,-3.8226726055145264,-3.6756186485290527,-4.1356730461120605,-3.4096102714538574,-3.580756664276123,-4.234408378601074,-4.463601589202881,-5.476253986358643,-4.241497993469238,-3.2339227199554443,-3.128713846206665,-3.811026096343994,-4.073914527893066
22,-3.931649684906006,-3.784001111984253,-4.213450908660889,-3.310713291168213,-3.580756664276123,-3.4096102714538574,-4.463601589202881,-4.234408378601074,-5.370678901672363,-4.371623992919922,-3.1967978477478027,-3.1229734420776367,-3.9713027477264404,-3.4554526805877686
23,-4.033090114593506,-3.8226726055145264,-3.423060417175293,-4.14346170425415,-3.4096102714538574,-3.580756664276123,-4.03997802734375,-4.377406120300293,-5.476253986358643,-4.497739791870117,-3.2339227199554443,-3.128713846206665,-3.783822536468506,-4.264089584350586
24,-3.931649684906006,-3.784001111984253,-4.1205902099609375,-3.176970958709717,-3.580756664276123,-3.4096102714538574,-4.377406120300293,-4.03997802734375,-5.370678901672363,-4.605865001678467,-3.1967978477478027,-3.1229734420776367,-4.136399745941162,-3.5073204040527344
25,-3.6608614921569824,-3.544905185699463,-2.7413148880004883,-2.9118995666503906,-3.993229866027832,-4.221218109130859,-3.2106993198394775,-3.4094786643981934,-5.195680141448975,-3.8586432933807373,-2.337329149246216,-2.2909467220306396,-3.768002510070801,-3.8654794692993164
26,-3.9263439178466797,-3.373903751373291,-3.6080985069274902,-2.5892889499664307,-4.221218109130859,-3.993229866027832,-3.4094786643981934,-3.2106993198394775,-4.841057777404785,-3.92102313041687,-2.434285879135132,-2.2133100032806396,-4.211997985839844,-3.629821300506592
27,-3.6608614921569824,-3.544905185699463,-3.4474406242370605,-3.6519410610198975,-3.993229866027832,-4.221218109130859,-4.281555652618408,-4.783220291137695,-5.195680141448975,-4.736293315887451,-2.337329149246216,-2.2909467220306396,-2.7444677352905273,-2.826267957687378
28,-3.9263439178466797,-3.373903751373291,-3.8955788612365723,-3.163381576538086,-4.221218109130859,-3.993229866027832,-4.783220291137695,-4.281555652618408,-4.841057777404785,-4.882959842681885,-2.434285879135132,-2.2133100032806396,-2.833979368209839,-2.54110050201416
29,-3.6608614921569824,-3.544905185699463,-3.6756186485290527,-4.1356730461120605,-3.993229866027832,-4.221218109130859,-4.234408378601074,-4.463601589202881,-5.195680141448975,-4.241497993469238,-2.337329149246216,-2.2909467220306396,-3.811026096343994,-4.073914527893066
30,-3.9263439178466797,-3.373903751373291,-4.213450908660889,-3.310713291168213,-4.221218109130859,-3.993229866027832,-4.463601589202881,-4.234408378601074,-4.841057777404785,-4.371623992919922,-2.434285879135132,-2.2133100032806396,-3.9713027477264404,-3.4554526805877686
31,-3.6608614921569824,-3.544905185699463,-3.423060417175293,-4.14346170425415,-3.993229866027832,-4.221218109130859,-4.03997802734375,-4.377406120300293,-5.195680141448975,-4.497739791870117,-2.337329149246216,-2.2909467220306396,-3.783822536468506,-4.264089584350586
32,-3.9263439178466797,-3.373903751373291,-4.1205902099609375,-3.176970958709717,-4.221218109130859,-3.993229866027832,-4.377406120300293,-4.03997802734375,-4.841057777404785,-4.605865001678467,-2.434285879135132,-2.2133100032806396,-4.136399745941162,-3.5073204040527344
33,-2.693917751312256,-2.143387794494629,-2.6904895305633545,-2.243626832962036,-3.5435304641723633,-3.7775256633758545,-3.4893364906311035,-3.6481921672821045,-5.529378414154053,-4.384260654449463,-3.0245447158813477,-2.657524585723877,-4.706340789794922,-4.450990676879883
34,-2.8261470794677734,-1.7351760864257812,-3.0273051261901855,-1.9552123546600342,-3.7775256633758545,-3.5435304641723633,-3.6481921672821045,-3.4893364906311035,-5.01495361328125,-4.024481296539307,-3.057900905609131,-2.3305869102478027,-4.674333095550537,-4.061708450317383
35,-2.693917751312256,-2.143387794494629,-4.257201671600342,-4.298908233642578,-3.5435304641723633,-3.7775256633758545,-4.522968292236328,-4.904758930206299,-5.529378414154053,-6.282005310058594,-3.0245447158813477,-2.657524585723877,-2.977510929107666,-2.9941937923431396
36,-2.8261470794677734,-1.7351760864257812,-4.55764627456665,-3.521045207977295,-3.7775256633758545,-3.5435304641723633,-4.904758930206299,-4.522968292236328,-5.01495361328125,-5.835137367248535,-3.057900905609131,-2.3305869102478027,-3.1259677410125732,-2.711327314376831
