idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-21.148088455200195,-21.576723098754883,-25.841617584228516,-26.51774787902832,-13.707805633544922,-15.648015022277832,-12.193836212158203,-14.272845268249512,-22.946340560913086,-23.683897018432617,-33.1953125,-33.62394714355469,-57.005287170410156,-57.681419372558594
2,-25.164785385131836,-19.38315200805664,-29.853105545043945,-25.37403106689453,-15.648015022277832,-13.707805633544922,-14.272845268249512,-12.193836212158203,-24.082351684570312,-26.21501350402832,-36.753143310546875,-30.971508026123047,-60.04778289794922,-55.56870651245117
3,-21.148088455200195,-21.576723098754883,-29.163999557495117,-29.506425857543945,-13.707805633544922,-15.648015022277832,-19.40566635131836,-22.450817108154297,-22.946340560913086,-21.770872116088867,-33.1953125,-33.62394714355469,-55.45283508300781,-55.795257568359375
4,-25.164785385131836,-19.38315200805664,-32.21099090576172,-28.43233299255371,-15.648015022277832,-13.707805633544922,-22.450817108154297,-19.40566635131836,-24.082351684570312,-22.04569435119629,-36.753143310546875,-30.971508026123047,-57.68120193481445,-53.90254211425781
5,-21.148088455200195,-21.576723098754883,-38.706504821777344,-39.167457580566406,-13.707805633544922,-15.648015022277832,-16.165943145751953,-18.378253936767578,-22.946340560913086,-30.7056884765625,-33.1953125,-33.62394714355469,-58.593902587890625,-59.05485916137695
6,-25.164785385131836,-19.38315200805664,-41.533756256103516,-37.294456481933594,-15.648015022277832,-13.707805633544922,-18.378253936767578,-16.165943145751953,-24.082351684570312,-31.86424446105957,-36.753143310546875,-30.971508026123047,-62.29888153076172,-58.05958557128906
7,-21.148088455200195,-21.576723098754883,-34.687034606933594,-35.44001007080078,-13.707805633544922,-15.648015022277832,-16.007488250732422,-18.701160430908203,-22.946340560913086,-28.67685890197754,-33.1953125,-33.62394714355469,-49.36266326904297,-50.11563491821289
8,-25.164785385131836,-19.38315200805664,-38.20923614501953,-33.135658264160156,-15.648015022277832,-13.707805633544922,-18.701160430908203,-16.007488250732422,-24.082351684570312,-30.418245315551758,-36.753143310546875,-30.971508026123047,-52.59312438964844,-47.51954650878906
9,-22.619001388549805,-22.231096267700195,-25.841617584228516,-26.51774787902832,-12.648497581481934,-15.947265625,-12.193836212158203,-14.272845268249512,-22.429550170898438,-23.683897018432617,-42.89988708496094,-42.51197814941406,-57.005287170410156,-57.681419372558594
10,-26.467693328857422,-22.218368530273438,-29.853105545043945,-25.37403106689453,-15.947265625,-12.648497581481934,-14.272845268249512,-12.193836212158203,-22.468421936035156,-26.21501350402832,-46.72113800048828,-42.47180938720703,-60.04778289794922,-55.56870651245117
11,-22.619001388549805,-22.231096267700195,-29.163999557495117,-29.506425857543945,-12.648497581481934,-15.947265625,-19.40566635131836,-22.450817108154297,-22.429550170898438,-21.770872116088867,-42.89988708496094,-42.51197814941406,-55.45283508300781,-55.795257568359375
12,-26.467693328857422,-22.218368530273438,-32.21099090576172,-28.43233299255371,-15.947265625,-12.648497581481934,-22.450817108154297,-19.40566635131836,-22.468421936035156,-22.04569435119629,-46.72113800048828,-42.47180938720703,-57.68120193481445,-53.90254211425781
13,-22.619001388549805,-22.231096267700195,-38.706504821777344,-39.167457580566406,-12.648497581481934,-15.947265625,-16.165943145751953,-18.378253936767578,-22.429550170898438,-30.7056884765625,-42.89988708496094,-42.51197814941406,-58.593902587890625,-59.05485916137695
14,-26.467693328857422,-22.218368530273438,-41.533756256103516,-37.294456481933594,-15.947265625,-12.648497581481934,-18.378253936767578,-16.165943145751953,-22.468421936035156,-31.86424446105957,-46.72113800048828,-42.47180938720703,-62.29888153076172,-58.05958557128906
15,-22.619001388549805,-22.231096267700195,-34.687034606933594,-35.44001007080078,-12.648497581481934,-15.947265625,-16.007488250732422,-18.701160430908203,-22.429550170898438,-28.67685890197754,-42.89988708496094,-42.51197814941406,-49.36266326904297,-50.11563491821289
16,-26.467693328857422,-22.218368530273438,-38.20923614501953,-33.135658264160156,-15.947265625,-12.648497581481934,-18.701160430908203,-16.007488250732422,-22.468421936035156,-30.418245315551758,-46.72113800048828,-42.47180938720703,-52.59312438964844,-47.51954650878906
17,-25.226896286010742,-25.17837905883789,-25.841617584228516,-26.51774787902832,-16.635272979736328,-18.4647216796875,-12.193836212158203,-14.272845268249512,-22.694549560546875,-23.683897018432617,-47.27035903930664,-47.22184371948242,-57.005287170410156,-57.681419372558594
18,-30.317480087280273,-25.354305267333984,-29.853105545043945,-25.37403106689453,-18.4647216796875,-16.635272979736328,-14.272845268249512,-12.193836212158203,-24.484922409057617,-26.21501350402832,-50.7541618347168,-45.79098892211914,-60.04778289794922,-55.56870651245117
19,-25.226896286010742,-25.17837905883789,-29.163999557495117,-29.506425857543945,-16.635272979736328,-18.4647216796875,-19.40566635131836,-22.450817108154297,-22.694549560546875,-21.770872116088867,-47.27035903930664,-47.22184371948242,-55.45283508300781,-55.795257568359375
20,-30.317480087280273,-25.354305267333984,-32.21099090576172,-28.43233299255371,-18.4647216796875,-16.635272979736328,-22.450817108154297,-19.40566635131836,-24.484922409057617,-22.04569435119629,-50.7541618347168,-45.79098892211914,-57.68120193481445,-53.90254211425781
21,-25.226896286010742,-25.17837905883789,-38.706504821777344,-39.167457580566406,-16.635272979736328,-18.4647216796875,-16.165943145751953,-18.378253936767578,-22.694549560546875,-30.7056884765625,-47.27035903930664,-47.22184371948242,-58.593902587890625,-59.05485916137695
22,-30.317480087280273,-25.354305267333984,-41.533756256103516,-37.294456481933594,-18.4647216796875,-16.635272979736328,-18.378253936767578,-16.165943145751953,-24.484922409057617,-31.86424446105957,-50.7541618347168,-45.79098892211914,-62.29888153076172,-58.05958557128906
23,-25.226896286010742,-25.17837905883789,-34.687034606933594,-35.44001007080078,-16.635272979736328,-18.4647216796875,-16.007488250732422,-18.701160430908203,-22.694549560546875,-28.67685890197754,-47.27035903930664,-47.22184371948242,-49.36266326904297,-50.11563491821289
24,-30.317480087280273,-25.354305267333984,-38.20923614501953,-33.135658264160156,-18.4647216796875,-16.635272979736328,-18.701160430908203,-16.007488250732422,-24.484922409057617,-30.418245315551758,-50.7541618347168,-45.79098892211914,-52.59312438964844,-47.51954650878906
25,-24.31252670288086,-24.321577072143555,-25.841617584228516,-26.51774787902832,-16.532371520996094,-18.22026824951172,-12.193836212158203,-14.272845268249512,-18.746000289916992,-23.683897018432617,-47.17101287841797,-47.18006134033203,-57.005287170410156,-57.681419372558594
26,-28.458248138427734,-25.175018310546875,-29.853105545043945,-25.37403106689453,-18.22026824951172,-16.532371520996094,-14.272845268249512,-12.193836212158203,-19.60716438293457,-26.21501350402832,-47.46805191040039,-44.18482208251953,-60.04778289794922,-55.56870651245117
27,-24.31252670288086,-24.321577072143555,-29.163999557495117,-29.506425857543945,-16.532371520996094,-18.22026824951172,-19.40566635131836,-22.450817108154297,-18.746000289916992,-21.770872116088867,-47.17101287841797,-47.18006134033203,-55.45283508300781,-55.795257568359375
28,-28.458248138427734,-25.175018310546875,-32.21099090576172,-28.43233299255371,-18.22026824951172,-16.532371520996094,-22.450817108154297,-19.40566635131836,-19.60716438293457,-22.04569435119629,-47.46805191040039,-44.18482208251953,-57.68120193481445,-53.90254211425781
29,-24.31252670288086,-24.321577072143555,-38.706504821777344,-39.167457580566406,-16.532371520996094,-18.22026824951172,-16.165943145751953,-18.378253936767578,-18.746000289916992,-30.7056884765625,-47.17101287841797,-47.18006134033203,-58.593902587890625,-59.05485916137695
30,-28.458248138427734,-25.175018310546875,-41.533756256103516,-37.294456481933594,-18.22026824951172,-16.532371520996094,-18.378253936767578,-16.165943145751953,-19.60716438293457,-31.86424446105957,-47.46805191040039,-44.18482208251953,-62.29888153076172,-58.05958557128906
31,-24.31252670288086,-24.321577072143555,-34.687034606933594,-35.44001007080078,-16.532371520996094,-18.22026824951172,-16.007488250732422,-18.701160430908203,-18.746000289916992,-28.67685890197754,-47.17101287841797,-47.18006134033203,-49.36266326904297,-50.11563491821289
