idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-2.3650171756744385,-2.197390556335449,-2.6410722732543945,-2.7501883506774902,-3.371398687362671,-3.5192770957946777,-2.9431490898132324,-3.1986238956451416,-4.202414035797119,-4.098108291625977,-2.834652900695801,-2.7229020595550537,-4.0990705490112305,-4.1614227294921875
2,-3.0070300102233887,-2.22786021232605,-3.3336243629455566,-2.5343809127807617,-3.5192770957946777,-3.371398687362671,-3.1986238956451416,-2.9431490898132324,-4.377379894256592,-4.077960968017578,-3.2386398315429688,-2.71919322013855,-4.678901195526123,-4.222190856933594
3,-2.3650171756744385,-2.197390556335449,-3.2794580459594727,-3.792452096939087,-3.371398687362671,-3.5192770957946777,-4.203001976013184,-4.766982555389404,-4.202414035797119,-4.559861660003662,-2.834652900695801,-2.7229020595550537,-2.5607335567474365,-2.7659311294555664
4,-3.0070300102233887,-2.22786021232605,-4.059451103210449,-3.2659599781036377,-3.5192770957946777,-3.371398687362671,-4.766982555389404,-4.203001976013184,-4.377379894256592,-4.079693794250488,-3.2386398315429688,-2.71919322013855,-2.785914659500122,-2.4685182571411133
5,-2.3650171756744385,-2.197390556335449,-3.4756407737731934,-3.81124210357666,-3.371398687362671,-3.5192770957946777,-3.921325922012329,-4.166516304016113,-4.202414035797119,-4.500918865203857,-2.834652900695801,-2.7229020595550537,-3.7409021854400635,-3.932673931121826
6,-3.0070300102233887,-2.22786021232605,-4.213312149047852,-3.3734846115112305,-3.5192770957946777,-3.371398687362671,-4.166516304016113,-3.921325922012329,-4.377379894256592,-4.246425151824951,-3.2386398315429688,-2.71919322013855,-4.065150737762451,-3.5852489471435547
7,-2.3650171756744385,-2.197390556335449,-3.478874444961548,-3.9997167587280273,-3.371398687362671,-3.5192770957946777,-3.9426827430725098,-4.436581611633301,-4.202414035797119,-4.335848331451416,-2.834652900695801,-2.7229020595550537,-3.9813039302825928,-4.3285322189331055
8,-3.0070300102233887,-2.22786021232605,-4.1310133934021,-3.2766799926757812,-3.5192770957946777,-3.371398687362671,-4.436581611633301,-3.9426827430725098,-4.377379894256592,-4.165126323699951,-3.2386398315429688,-2.71919322013855,-4.3035688400268555,-3.734013319015503
9,-3.100717544555664,-2.889395236968994,-2.6410722732543945,-2.7501883506774902,-3.2619853019714355,-3.619590997695923,-2.9431490898132324,-3.1986238956451416,-4.719333171844482,-4.098108291625977,-2.3571128845214844,-2.2631921768188477,-4.0990705490112305,-4.1614227294921875
10,-3.5464353561401367,-2.7863211631774902,-3.3336243629455566,-2.5343809127807617,-3.619590997695923,-3.2619853019714355,-3.1986238956451416,-2.9431490898132324,-4.9936065673828125,-4.077960968017578,-2.680185556411743,-2.3423571586608887,-4.678901195526123,-4.222190856933594
11,-3.100717544555664,-2.889395236968994,-3.2794580459594727,-3.792452096939087,-3.2619853019714355,-3.619590997695923,-4.203001976013184,-4.766982555389404,-4.719333171844482,-4.559861660003662,-2.3571128845214844,-2.2631921768188477,-2.5607335567474365,-2.7659311294555664
12,-3.5464353561401367,-2.7863211631774902,-4.059451103210449,-3.2659599781036377,-3.619590997695923,-3.2619853019714355,-4.766982555389404,-4.203001976013184,-4.9936065673828125,-4.079693794250488,-2.680185556411743,-2.3423571586608887,-2.785914659500122,-2.4685182571411133
13,-3.100717544555664,-2.889395236968994,-3.4756407737731934,-3.81124210357666,-3.2619853019714355,-3.619590997695923,-3.921325922012329,-4.166516304016113,-4.719333171844482,-4.500918865203857,-2.3571128845214844,-2.2631921768188477,-3.7409021854400635,-3.932673931121826
14,-3.5464353561401367,-2.7863211631774902,-4.213312149047852,-3.3734846115112305,-3.619590997695923,-3.2619853019714355,-4.166516304016113,-3.921325922012329,-4.9936065673828125,-4.246425151824951,-2.680185556411743,-2.3423571586608887,-4.065150737762451,-3.5852489471435547
15,-3.100717544555664,-2.889395236968994,-3.478874444961548,-3.9997167587280273,-3.2619853019714355,-3.619590997695923,-3.9426827430725098,-4.436581611633301,-4.719333171844482,-4.335848331451416,-2.3571128845214844,-2.2631921768188477,-3.9813039302825928,-4.3285322189331055
16,-3.5464353561401367,-2.7863211631774902,-4.1310133934021,-3.2766799926757812,-3.619590997695923,-3.2619853019714355,-4.436581611633301,-3.9426827430725098,-4.9936065673828125,-4.165126323699951,-2.680185556411743,-2.3423571586608887,-4.3035688400268555,-3.734013319015503
17,-3.984886407852173,-3.990135431289673,-2.6410722732543945,-2.7501883506774902,-4.097057342529297,-4.157194137573242,-2.9431490898132324,-3.1986238956451416,-4.664945125579834,-4.098108291625977,-3.3683037757873535,-3.3709282875061035,-4.0990705490112305,-4.1614227294921875
18,-4.206852436065674,-3.9337270259857178,-3.3336243629455566,-2.5343809127807617,-4.157194137573242,-4.097057342529297,-3.1986238956451416,-2.9431490898132324,-4.835091590881348,-4.077960968017578,-3.5126659870147705,-3.376103162765503,-4.678901195526123,-4.222190856933594
19,-3.984886407852173,-3.990135431289673,-3.2794580459594727,-3.792452096939087,-4.097057342529297,-4.157194137573242,-4.203001976013184,-4.766982555389404,-4.664945125579834,-4.559861660003662,-3.3683037757873535,-3.3709282875061035,-2.5607335567474365,-2.7659311294555664
20,-4.206852436065674,-3.9337270259857178,-4.059451103210449,-3.2659599781036377,-4.157194137573242,-4.097057342529297,-4.766982555389404,-4.203001976013184,-4.835091590881348,-4.079693794250488,-3.5126659870147705,-3.376103162765503,-2.785914659500122,-2.4685182571411133
21,-3.984886407852173,-3.990135431289673,-3.4756407737731934,-3.81124210357666,-4.097057342529297,-4.157194137573242,-3.921325922012329,-4.166516304016113,-4.664945125579834,-4.500918865203857,-3.3683037757873535,-3.3709282875061035,-3.7409021854400635,-3.932673931121826
