idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-13.950603485107422,-12.810640335083008,-11.789632797241211,-10.93824577331543,-13.510700225830078,-13.786332130432129,-12.522300720214844,-13.202900886535645,-21.105222702026367,-19.07834815979004,-28.799800872802734,-27.659839630126953,-35.767669677734375,-34.916282653808594
2,-15.905329704284668,-11.825095176696777,-13.594093322753906,-10.348569869995117,-13.786332130432129,-13.510700225830078,-13.202900886535645,-12.522300720214844,-20.657268524169922,-19.624248504638672,-30.0612735748291,-25.981040954589844,-35.5604133605957,-32.31489562988281
3,-13.950603485107422,-12.810640335083008,-17.910022735595703,-19.21354866027832,-13.510700225830078,-13.786332130432129,-17.493412017822266,-18.754070281982422,-21.105222702026367,-24.935089111328125,-28.799800872802734,-27.659839630126953,-39.77994155883789,-41.083465576171875
4,-15.905329704284668,-11.825095176696777,-20.72466278076172,-17.572742462158203,-13.786332130432129,-13.510700225830078,-18.754070281982422,-17.493412017822266,-20.657268524169922,-25.51842498779297,-30.0612735748291,-25.981040954589844,-42.01545715332031,-38.8635368347168
5,-13.950603485107422,-12.810640335083008,-17.444561004638672,-18.494564056396484,-13.510700225830078,-13.786332130432129,-14.8676118850708,-16.801332473754883,-21.105222702026367,-26.021615982055664,-28.799800872802734,-27.659839630126953,-36.21833038330078,-37.268333435058594
6,-15.905329704284668,-11.825095176696777,-20.275850296020508,-16.860929489135742,-13.786332130432129,-13.510700225830078,-16.801332473754883,-14.8676118850708,-20.657268524169922,-26.817428588867188,-30.0612735748291,-25.981040954589844,-38.70564270019531,-35.29072570800781
7,-13.950603485107422,-12.810640335083008,-14.243659019470215,-15.152817726135254,-13.510700225830078,-13.786332130432129,-17.270273208618164,-18.923206329345703,-21.105222702026367,-23.032081604003906,-28.799800872802734,-27.659839630126953,-29.793968200683594,-30.703125
8,-15.905329704284668,-11.825095176696777,-17.67467498779297,-13.601499557495117,-13.786332130432129,-13.510700225830078,-18.923206329345703,-17.270273208618164,-20.657268524169922,-24.004894256591797,-30.0612735748291,-25.981040954589844,-31.41653060913086,-27.343353271484375
9,-19.196622848510742,-19.55295181274414,-11.789632797241211,-10.93824577331543,-12.658666610717773,-14.120285034179688,-12.522300720214844,-13.202900886535645,-30.016883850097656,-19.07834815979004,-33.63459777832031,-33.99092483520508,-35.767669677734375,-34.916282653808594
10,-21.898555755615234,-18.58890151977539,-13.594093322753906,-10.348569869995117,-14.120285034179688,-12.658666610717773,-13.202900886535645,-12.522300720214844,-29.58200454711914,-19.624248504638672,-37.27020263671875,-33.960548400878906,-35.5604133605957,-32.31489562988281
11,-19.196622848510742,-19.55295181274414,-17.910022735595703,-19.21354866027832,-12.658666610717773,-14.120285034179688,-17.493412017822266,-18.754070281982422,-30.016883850097656,-24.935089111328125,-33.63459777832031,-33.99092483520508,-39.77994155883789,-41.083465576171875
12,-21.898555755615234,-18.58890151977539,-20.72466278076172,-17.572742462158203,-14.120285034179688,-12.658666610717773,-18.754070281982422,-17.493412017822266,-29.58200454711914,-25.51842498779297,-37.27020263671875,-33.960548400878906,-42.01545715332031,-38.8635368347168
13,-19.196622848510742,-19.55295181274414,-17.444561004638672,-18.494564056396484,-12.658666610717773,-14.120285034179688,-14.8676118850708,-16.801332473754883,-30.016883850097656,-26.021615982055664,-33.63459777832031,-33.99092483520508,-36.21833038330078,-37.268333435058594
14,-21.898555755615234,-18.58890151977539,-20.275850296020508,-16.860929489135742,-14.120285034179688,-12.658666610717773,-16.801332473754883,-14.8676118850708,-29.58200454711914,-26.817428588867188,-37.27020263671875,-33.960548400878906,-38.70564270019531,-35.29072570800781
15,-19.196622848510742,-19.55295181274414,-14.243659019470215,-15.152817726135254,-12.658666610717773,-14.120285034179688,-17.270273208618164,-18.923206329345703,-30.016883850097656,-23.032081604003906,-33.63459777832031,-33.99092483520508,-29.793968200683594,-30.703125
16,-21.898555755615234,-18.58890151977539,-17.67467498779297,-13.601499557495117,-14.120285034179688,-12.658666610717773,-18.923206329345703,-17.270273208618164,-29.58200454711914,-24.004894256591797,-37.27020263671875,-33.960548400878906,-31.41653060913086,-27.343353271484375
17,-17.702375411987305,-19.320234298706055,-11.789632797241211,-10.93824577331543,-12.869638442993164,-14.06138801574707,-12.522300720214844,-13.202900886535645,-26.74186897277832,-19.07834815979004,-38.77002716064453,-40.38788604736328,-35.767669677734375,-34.916282653808594
18,-21.13292694091797,-18.08479118347168,-13.594093322753906,-10.348569869995117,-14.06138801574707,-12.869638442993164,-13.202900886535645,-12.522300720214844,-26.739850997924805,-19.624248504638672,-39.640140533447266,-36.592002868652344,-35.5604133605957,-32.31489562988281
19,-17.702375411987305,-19.320234298706055,-17.910022735595703,-19.21354866027832,-12.869638442993164,-14.06138801574707,-17.493412017822266,-18.754070281982422,-26.74186897277832,-24.935089111328125,-38.77002716064453,-40.38788604736328,-39.77994155883789,-41.083465576171875
20,-21.13292694091797,-18.08479118347168,-20.72466278076172,-17.572742462158203,-14.06138801574707,-12.869638442993164,-18.754070281982422,-17.493412017822266,-26.739850997924805,-25.51842498779297,-39.640140533447266,-36.592002868652344,-42.01545715332031,-38.8635368347168
21,-17.702375411987305,-19.320234298706055,-17.444561004638672,-18.494564056396484,-12.869638442993164,-14.06138801574707,-14.8676118850708,-16.801332473754883,-26.74186897277832,-26.021615982055664,-38.77002716064453,-40.38788604736328,-36.21833038330078,-37.268333435058594
22,-21.13292694091797,-18.08479118347168,-20.275850296020508,-16.860929489135742,-14.06138801574707,-12.869638442993164,-16.801332473754883,-14.8676118850708,-26.739850997924805,-26.817428588867188,-39.640140533447266,-36.592002868652344,-38.70564270019531,-35.29072570800781
23,-17.702375411987305,-19.320234298706055,-14.243659019470215,-15.152817726135254,-12.869638442993164,-14.06138801574707,-17.270273208618164,-18.923206329345703,-26.74186897277832,-23.032081604003906,-38.77002716064453,-40.38788604736328,-29.793968200683594,-30.703125
24,-21.13292694091797,-18.08479118347168,-17.67467498779297,-13.601499557495117,-14.06138801574707,-12.869638442993164,-18.923206329345703,-17.270273208618164,-26.739850997924805,-24.004894256591797,-39.640140533447266,-36.592002868652344,-31.41653060913086,-27.343353271484375
25,-18.61009979248047,-19.5147762298584,-11.789632797241211,-10.93824577331543,-14.709264755249023,-15.58808708190918,-12.522300720214844,-13.202900886535645,-26.15656280517578,-19.07834815979004,-36.62688446044922,-37.53156280517578,-35.767669677734375,-34.916282653808594
26,-21.190616607666016,-18.32502555847168,-13.594093322753906,-10.348569869995117,-15.58808708190918,-14.709264755249023,-13.202900886535645,-12.522300720214844,-25.915088653564453,-19.624248504638672,-36.86785888671875,-34.00226974487305,-35.5604133605957,-32.31489562988281
27,-18.61009979248047,-19.5147762298584,-17.910022735595703,-19.21354866027832,-14.709264755249023,-15.58808708190918,-17.493412017822266,-18.754070281982422,-26.15656280517578,-24.935089111328125,-36.62688446044922,-37.53156280517578,-39.77994155883789,-41.083465576171875
28,-21.190616607666016,-18.32502555847168,-20.72466278076172,-17.572742462158203,-15.58808708190918,-14.709264755249023,-18.754070281982422,-17.493412017822266,-25.915088653564453,-25.51842498779297,-36.86785888671875,-34.00226974487305,-42.01545715332031,-38.8635368347168
29,-18.61009979248047,-19.5147762298584,-17.444561004638672,-18.494564056396484,-14.709264755249023,-15.58808708190918,-14.8676118850708,-16.801332473754883,-26.15656280517578,-26.021615982055664,-36.62688446044922,-37.53156280517578,-36.21833038330078,-37.268333435058594
30,-21.190616607666016,-18.32502555847168,-20.275850296020508,-16.860929489135742,-15.58808708190918,-14.709264755249023,-16.801332473754883,-14.8676118850708,-25.915088653564453,-26.817428588867188,-36.86785888671875,-34.00226974487305,-38.70564270019531,-35.29072570800781
31,-18.61009979248047,-19.5147762298584,-14.243659019470215,-15.152817726135254,-14.709264755249023,-15.58808708190918,-17.270273208618164,-18.923206329345703,-26.15656280517578,-23.032081604003906,-36.62688446044922,-37.53156280517578,-29.793968200683594,-30.703125
32,-21.190616607666016,-18.32502555847168,-17.67467498779297,-13.601499557495117,-15.58808708190918,-14.709264755249023,-18.923206329345703,-17.270273208618164,-25.915088653564453,-24.004894256591797,-36.86785888671875,-34.00226974487305,-31.41653060913086,-27.343353271484375
33,-16.902273178100586,-17.621471405029297,-15.827528953552246,-16.963516235351562,-16.727964401245117,-16.5183048248291,-12.915176391601562,-12.75750732421875,-18.901002883911133,-20.56798553466797,-32.77006530761719,-33.489261627197266,-41.053592681884766,-42.18958282470703
34,-19.82027816772461,-15.346141815185547,-17.53788948059082,-13.7015962600708,-16.5183048248291,-16.727964401245117,-12.75750732421875,-12.915176391601562,-20.073410034179688,-20.55929183959961,-33.90333557128906,-29.429201126098633,-40.11485290527344,-36.27855682373047
35,-16.902273178100586,-17.621471405029297,-24.09798812866211,-26.32499885559082,-16.727964401245117,-16.5183048248291,-18.229969024658203,-19.245532989501953,-18.901002883911133,-26.77104949951172,-32.77006530761719,-33.489261627197266,-50.41455841064453,-52.641563415527344
