idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-14.79954719543457,-12.15060806274414,-13.491755485534668,-10.225761413574219,-18.294912338256836,-17.980276107788086
2,-13.576481819152832,-10.34907054901123,-12.889566421508789,-10.478150367736816,-18.438800811767578,-18.053691864013672
3,-14.79954719543457,-12.15060806274414,-15.847362518310547,-14.140908241271973,-18.294912338256836,-17.288196563720703
4,-13.576481819152832,-10.34907054901123,-16.677581787109375,-14.457616806030273,-18.438800811767578,-17.474506378173828
5,-14.79954719543457,-12.15060806274414,-15.815558433532715,-13.92562198638916,-18.294912338256836,-17.5575008392334
6,-13.576481819152832,-10.34907054901123,-16.130847930908203,-13.263845443725586,-18.438800811767578,-18.17679786682129
7,-14.79954719543457,-12.15060806274414,-14.766012191772461,-13.744474411010742,-18.294912338256836,-17.147998809814453
8,-13.576481819152832,-10.34907054901123,-15.49594497680664,-12.964897155761719,-18.438800811767578,-17.667028427124023
9,-17.090255737304688,-15.939266204833984,-13.491755485534668,-10.225761413574219,-19.22264289855957,-17.980276107788086
10,-15.983354568481445,-12.390824317932129,-12.889566421508789,-10.478150367736816,-19.07489013671875,-18.053691864013672
11,-17.090255737304688,-15.939266204833984,-15.847362518310547,-14.140908241271973,-19.22264289855957,-17.288196563720703
12,-15.983354568481445,-12.390824317932129,-16.677581787109375,-14.457616806030273,-19.07489013671875,-17.474506378173828
13,-17.090255737304688,-15.939266204833984,-15.815558433532715,-13.92562198638916,-19.22264289855957,-17.5575008392334
14,-15.983354568481445,-12.390824317932129,-16.130847930908203,-13.263845443725586,-19.07489013671875,-18.17679786682129
15,-17.090255737304688,-15.939266204833984,-14.766012191772461,-13.744474411010742,-19.22264289855957,-17.147998809814453
16,-15.983354568481445,-12.390824317932129,-15.49594497680664,-12.964897155761719,-19.07489013671875,-17.667028427124023
17,-19.20063018798828,-16.21169662475586,-13.491755485534668,-10.225761413574219,-17.774227142333984,-17.980276107788086
18,-17.055002212524414,-15.295066833496094,-12.889566421508789,-10.478150367736816,-17.679231643676758,-18.053691864013672
19,-19.20063018798828,-16.21169662475586,-15.847362518310547,-14.140908241271973,-17.774227142333984,-17.288196563720703
20,-17.055002212524414,-15.295066833496094,-16.677581787109375,-14.457616806030273,-17.679231643676758,-17.474506378173828
21,-19.20063018798828,-16.21169662475586,-15.815558433532715,-13.92562198638916,-17.774227142333984,-17.5575008392334
22,-17.055002212524414,-15.295066833496094,-16.130847930908203,-13.263845443725586,-17.679231643676758,-18.17679786682129
