idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-11.03857421875,-11.88915729522705,-10.767464637756348,-12.189169883728027,-25.633567810058594,-20.34670066833496
2,-13.591307640075684,-11.936969757080078,-13.088529586791992,-11.446198463439941,-25.54060935974121,-20.054018020629883
3,-11.03857421875,-11.88915729522705,-14.243463516235352,-16.01813507080078,-25.633567810058594,-25.21547508239746
4,-13.591307640075684,-11.936969757080078,-16.055320739746094,-13.91566276550293,-25.54060935974121,-24.908571243286133
5,-11.03857421875,-11.88915729522705,-15.819912910461426,-17.367435455322266,-25.633567810058594,-27.93433952331543
6,-13.591307640075684,-11.936969757080078,-18.161705017089844,-16.589967727661133,-25.54060935974121,-27.452529907226562
7,-11.03857421875,-11.88915729522705,-14.273641586303711,-15.576682090759277,-25.633567810058594,-27.384113311767578
8,-13.591307640075684,-11.936969757080078,-16.6966552734375,-14.841057777404785,-25.54060935974121,-27.15822982788086
9,-12.557579040527344,-12.458876609802246,-10.767464637756348,-12.189169883728027,-28.38479995727539,-20.34670066833496
10,-14.984209060668945,-13.138521194458008,-13.088529586791992,-11.446198463439941,-28.006784439086914,-20.054018020629883
11,-12.557579040527344,-12.458876609802246,-14.243463516235352,-16.01813507080078,-28.38479995727539,-25.21547508239746
12,-14.984209060668945,-13.138521194458008,-16.055320739746094,-13.91566276550293,-28.006784439086914,-24.908571243286133
13,-12.557579040527344,-12.458876609802246,-15.819912910461426,-17.367435455322266,-28.38479995727539,-27.93433952331543
14,-14.984209060668945,-13.138521194458008,-18.161705017089844,-16.589967727661133,-28.006784439086914,-27.452529907226562
15,-12.557579040527344,-12.458876609802246,-14.273641586303711,-15.576682090759277,-28.38479995727539,-27.384113311767578
16,-14.984209060668945,-13.138521194458008,-16.6966552734375,-14.841057777404785,-28.006784439086914,-27.15822982788086
17,-14.564319610595703,-14.945451736450195,-10.767464637756348,-12.189169883728027,-26.415990829467773,-20.34670066833496
18,-14.81169319152832,-15.718339920043945,-13.088529586791992,-11.446198463439941,-26.63752555847168,-20.054018020629883
19,-14.564319610595703,-14.945451736450195,-14.243463516235352,-16.01813507080078,-26.415990829467773,-25.21547508239746
20,-14.81169319152832,-15.718339920043945,-16.055320739746094,-13.91566276550293,-26.63752555847168,-24.908571243286133
21,-14.564319610595703,-14.945451736450195,-15.819912910461426,-17.367435455322266,-26.415990829467773,-27.93433952331543
22,-14.81169319152832,-15.718339920043945,-18.161705017089844,-16.589967727661133,-26.63752555847168,-27.452529907226562
23,-14.564319610595703,-14.945451736450195,-14.273641586303711,-15.576682090759277,-26.415990829467773,-27.384113311767578
24,-14.81169319152832,-15.718339920043945,-16.6966552734375,-14.841057777404785,-26.63752555847168,-27.15822982788086
25,-12.363306045532227,-13.16617488861084,-10.767464637756348,-12.189169883728027,-26.037456512451172,-20.34670066833496
26,-14.44593334197998,-14.209846496582031,-13.088529586791992,-11.446198463439941,-25.726058959960938,-20.054018020629883
27,-12.363306045532227,-13.16617488861084,-14.243463516235352,-16.01813507080078,-26.037456512451172,-25.21547508239746
28,-14.44593334197998,-14.209846496582031,-16.055320739746094,-13.91566276550293,-25.726058959960938,-24.908571243286133
29,-12.363306045532227,-13.16617488861084,-15.819912910461426,-17.367435455322266,-26.037456512451172,-27.93433952331543
30,-14.44593334197998,-14.209846496582031,-18.161705017089844,-16.589967727661133,-25.726058959960938,-27.452529907226562
31,-12.363306045532227,-13.16617488861084,-14.273641586303711,-15.576682090759277,-26.037456512451172,-27.384113311767578
32,-14.44593334197998,-14.209846496582031,-16.6966552734375,-14.841057777404785,-25.726058959960938,-27.15822982788086
33,-13.38691520690918,-12.619304656982422,-14.052434921264648,-14.303189277648926,-21.938709259033203,-18.29682159423828
34,-13.245832443237305,-12.281912803649902,-14.685174942016602,-13.248900413513184,-21.820737838745117,-18.20157241821289
35,-13.38691520690918,-12.619304656982422,-16.638301849365234,-17.589557647705078,-21.938709259033203,-23.31829071044922
36,-13.245832443237305,-12.281912803649902,-18.13229751586914,-16.316024780273438,-21.820737838745117,-23.69788932800293
37,-13.38691520690918,-12.619304656982422,-19.19976234436035,-19.682498931884766,-21.938709259033203,-25.660709381103516
38,-13.245832443237305,-12.281912803649902,-19.638916015625,-17.93244743347168,-21.820737838745117,-25.799510955810547
39,-13.38691520690918,-12.619304656982422,-17.725082397460938,-17.996849060058594,-21.938709259033203,-25.857620239257812
40,-13.245832443237305,-12.281912803649902,-18.694095611572266,-17.39557456970215,-21.820737838745117,-26.01795768737793
41,-15.178207397460938,-15.64588737487793,-14.052434921264648,-14.303189277648926,-25.172176361083984,-18.29682159423828
42,-16.120349884033203,-14.955501556396484,-14.685174942016602,-13.248900413513184,-26.308597564697266,-18.20157241821289
43,-15.178207397460938,-15.64588737487793,-16.638301849365234,-17.589557647705078,-25.172176361083984,-23.31829071044922
44,-16.120349884033203,-14.955501556396484,-18.13229751586914,-16.316024780273438,-26.308597564697266,-23.69788932800293
45,-15.178207397460938,-15.64588737487793,-19.19976234436035,-19.682498931884766,-25.172176361083984,-25.660709381103516
46,-16.120349884033203,-14.955501556396484,-19.638916015625,-17.93244743347168,-26.308597564697266,-25.799510955810547
47,-15.178207397460938,-15.64588737487793,-17.725082397460938,-17.996849060058594,-25.172176361083984,-25.857620239257812
48,-16.120349884033203,-14.955501556396484,-18.694095611572266,-17.39557456970215,-26.308597564697266,-26.01795768737793
49,-15.125995635986328,-15.278207778930664,-14.052434921264648,-14.303189277648926,-24.98404312133789,-18.29682159423828
50,-15.389448165893555,-14.518098831176758,-14.685174942016602,-13.248900413513184,-25.362934112548828,-18.20157241821289
51,-15.125995635986328,-15.278207778930664,-16.638301849365234,-17.589557647705078,-24.98404312133789,-23.31829071044922
52,-15.389448165893555,-14.518098831176758,-18.13229751586914,-16.316024780273438,-25.362934112548828,-23.69788932800293
53,-15.125995635986328,-15.278207778930664,-19.19976234436035,-19.682498931884766,-24.98404312133789,-25.660709381103516
54,-15.389448165893555,-14.518098831176758,-19.638916015625,-17.93244743347168,-25.362934112548828,-25.799510955810547
55,-15.125995635986328,-15.278207778930664,-17.725082397460938,-17.996849060058594,-24.98404312133789,-25.857620239257812
56,-15.389448165893555,-14.518098831176758,-18.694095611572266,-17.39557456970215,-25.362934112548828,-26.01795768737793
