idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-10.408773422241211,-9.170730590820312,-10.412047386169434,-9.50507640838623,-16.609397888183594,-16.50564956665039,-11.56318187713623,-12.245443344116211,-21.380321502685547,-22.145862579345703,-18.161985397338867,-16.92394256591797,-29.416339874267578,-28.509368896484375
2,-11.265313148498535,-8.963518142700195,-12.019960403442383,-9.30900764465332,-16.50564956665039,-16.609397888183594,-12.245443344116211,-11.56318187713623,-22.72247314453125,-22.785938262939453,-17.967914581298828,-15.666120529174805,-30.239364624023438,-27.528413772583008
3,-10.408773422241211,-9.170730590820312,-13.632804870605469,-14.998394012451172,-16.609397888183594,-16.50564956665039,-15.727293014526367,-15.969317436218262,-21.380321502685547,-24.23586654663086,-18.161985397338867,-16.92394256591797,-28.33183479309082,-29.697425842285156
4,-11.265313148498535,-8.963518142700195,-14.105185508728027,-11.663509368896484,-16.50564956665039,-16.609397888183594,-15.969317436218262,-15.727293014526367,-22.72247314453125,-24.019914627075195,-17.967914581298828,-15.666120529174805,-27.46875,-25.02707290649414
5,-10.408773422241211,-9.170730590820312,-12.466394424438477,-13.141754150390625,-16.609397888183594,-16.50564956665039,-15.273518562316895,-15.703422546386719,-21.380321502685547,-24.311405181884766,-18.161985397338867,-16.92394256591797,-24.624135971069336,-25.299495697021484
6,-11.265313148498535,-8.963518142700195,-13.525751113891602,-10.379253387451172,-16.50564956665039,-16.609397888183594,-15.703422546386719,-15.273518562316895,-22.72247314453125,-24.397319793701172,-17.967914581298828,-15.666120529174805,-24.151927947998047,-21.00543212890625
7,-10.408773422241211,-9.170730590820312,-11.2453031539917,-12.497160911560059,-16.609397888183594,-16.50564956665039,-13.745370864868164,-14.03101921081543,-21.380321502685547,-24.017967224121094,-18.161985397338867,-16.92394256591797,-22.70296287536621,-23.954818725585938
8,-11.265313148498535,-8.963518142700195,-12.499302864074707,-9.957060813903809,-16.50564956665039,-16.609397888183594,-14.03101921081543,-13.745370864868164,-22.72247314453125,-24.259933471679688,-17.967914581298828,-15.666120529174805,-22.064329147338867,-19.52208709716797
9,-13.947580337524414,-13.725008010864258,-10.412047386169434,-9.50507640838623,-13.176010131835938,-13.837749481201172,-11.56318187713623,-12.245443344116211,-26.168760299682617,-22.145862579345703,-21.485620498657227,-21.263050079345703,-29.416339874267578,-28.509368896484375
10,-15.570602416992188,-11.771352767944336,-12.019960403442383,-9.30900764465332,-13.837749481201172,-13.176010131835938,-12.245443344116211,-11.56318187713623,-25.500640869140625,-22.785938262939453,-22.599849700927734,-18.800600051879883,-30.239364624023438,-27.528413772583008
