idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-19.815685272216797,-22.224790573120117,-22.654314041137695,-21.03960609436035,-43.89729690551758,-35.37641525268555
2,-24.308340072631836,-21.74851417541504,-23.454801559448242,-21.192081451416016,-39.76736068725586,-32.924232482910156
3,-19.815685272216797,-22.224790573120117,-23.495105743408203,-27.729389190673828,-43.89729690551758,-42.34307861328125
4,-24.308340072631836,-21.74851417541504,-26.592144012451172,-21.010839462280273,-39.76736068725586,-40.5561637878418
5,-19.815685272216797,-22.224790573120117,-26.45965576171875,-30.888320922851562,-43.89729690551758,-43.854042053222656
6,-24.308340072631836,-21.74851417541504,-27.866256713867188,-25.943559646606445,-39.76736068725586,-40.097557067871094
7,-19.815685272216797,-22.224790573120117,-27.95429229736328,-33.624778747558594,-43.89729690551758,-45.09450149536133
8,-24.308340072631836,-21.74851417541504,-31.889558792114258,-27.186004638671875,-39.76736068725586,-43.51960754394531
9,-18.372058868408203,-19.168794631958008,-22.654314041137695,-21.03960609436035,-42.07078552246094,-35.37641525268555
10,-21.257610321044922,-18.09006690979004,-23.454801559448242,-21.192081451416016,-39.09560012817383,-32.924232482910156
11,-18.372058868408203,-19.168794631958008,-23.495105743408203,-27.729389190673828,-42.07078552246094,-42.34307861328125
12,-21.257610321044922,-18.09006690979004,-26.592144012451172,-21.010839462280273,-39.09560012817383,-40.5561637878418
13,-18.372058868408203,-19.168794631958008,-26.45965576171875,-30.888320922851562,-42.07078552246094,-43.854042053222656
14,-21.257610321044922,-18.09006690979004,-27.866256713867188,-25.943559646606445,-39.09560012817383,-40.097557067871094
15,-18.372058868408203,-19.168794631958008,-27.95429229736328,-33.624778747558594,-42.07078552246094,-45.09450149536133
16,-21.257610321044922,-18.09006690979004,-31.889558792114258,-27.186004638671875,-39.09560012817383,-43.51960754394531
17,-24.306602478027344,-24.112125396728516,-22.654314041137695,-21.03960609436035,-37.43928909301758,-35.37641525268555
18,-26.899009704589844,-21.701370239257812,-23.454801559448242,-21.192081451416016,-37.985774993896484,-32.924232482910156
19,-24.306602478027344,-24.112125396728516,-23.495105743408203,-27.729389190673828,-37.43928909301758,-42.34307861328125
20,-26.899009704589844,-21.701370239257812,-26.592144012451172,-21.010839462280273,-37.985774993896484,-40.5561637878418
21,-24.306602478027344,-24.112125396728516,-26.45965576171875,-30.888320922851562,-37.43928909301758,-43.854042053222656
22,-26.899009704589844,-21.701370239257812,-27.866256713867188,-25.943559646606445,-37.985774993896484,-40.097557067871094
23,-24.306602478027344,-24.112125396728516,-27.95429229736328,-33.624778747558594,-37.43928909301758,-45.09450149536133
24,-26.899009704589844,-21.701370239257812,-31.889558792114258,-27.186004638671875,-37.985774993896484,-43.51960754394531
