idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-10.256397247314453,-9.564947128295898,-10.965259552001953,-11.647597312927246,-19.51184844970703,-18.911712646484375
2,-12.849944114685059,-8.796141624450684,-14.432394027709961,-10.357155799865723,-19.824077606201172,-19.243118286132812
3,-10.256397247314453,-9.564947128295898,-13.789762496948242,-14.60776424407959,-19.51184844970703,-18.50497817993164
4,-12.849944114685059,-8.796141624450684,-15.582315444946289,-12.653526306152344,-19.824077606201172,-18.97630500793457
5,-10.256397247314453,-9.564947128295898,-14.702473640441895,-16.54269027709961,-19.51184844970703,-19.245914459228516
6,-12.849944114685059,-8.796141624450684,-16.853803634643555,-13.242853164672852,-19.824077606201172,-19.731121063232422
7,-10.256397247314453,-9.564947128295898,-13.692242622375488,-16.5738468170166,-19.51184844970703,-19.411457061767578
8,-12.849944114685059,-8.796141624450684,-16.48236083984375,-12.707883834838867,-19.824077606201172,-19.568645477294922
9,-13.110921859741211,-12.284828186035156,-10.965259552001953,-11.647597312927246,-20.95437240600586,-18.911712646484375
10,-14.996175765991211,-11.169801712036133,-14.432394027709961,-10.357155799865723,-21.15413475036621,-19.243118286132812
11,-13.110921859741211,-12.284828186035156,-13.789762496948242,-14.60776424407959,-20.95437240600586,-18.50497817993164
12,-14.996175765991211,-11.169801712036133,-15.582315444946289,-12.653526306152344,-21.15413475036621,-18.97630500793457
13,-13.110921859741211,-12.284828186035156,-14.702473640441895,-16.54269027709961,-20.95437240600586,-19.245914459228516
14,-14.996175765991211,-11.169801712036133,-16.853803634643555,-13.242853164672852,-21.15413475036621,-19.731121063232422
15,-13.110921859741211,-12.284828186035156,-13.692242622375488,-16.5738468170166,-20.95437240600586,-19.411457061767578
16,-14.996175765991211,-11.169801712036133,-16.48236083984375,-12.707883834838867,-21.15413475036621,-19.568645477294922
17,-16.132360458374023,-15.290690422058105,-10.965259552001953,-11.647597312927246,-19.995878219604492,-18.911712646484375
18,-15.726598739624023,-15.136004447937012,-14.432394027709961,-10.357155799865723,-20.852741241455078,-19.243118286132812
19,-16.132360458374023,-15.290690422058105,-13.789762496948242,-14.60776424407959,-19.995878219604492,-18.50497817993164
20,-15.726598739624023,-15.136004447937012,-15.582315444946289,-12.653526306152344,-20.852741241455078,-18.97630500793457
21,-16.132360458374023,-15.290690422058105,-14.702473640441895,-16.54269027709961,-19.995878219604492,-19.245914459228516
22,-15.726598739624023,-15.136004447937012,-16.853803634643555,-13.242853164672852,-20.852741241455078,-19.731121063232422
23,-16.132360458374023,-15.290690422058105,-13.692242622375488,-16.5738468170166,-19.995878219604492,-19.411457061767578
24,-15.726598739624023,-15.136004447937012,-16.48236083984375,-12.707883834838867,-20.852741241455078,-19.568645477294922
25,-14.643447875976562,-14.179620742797852,-10.965259552001953,-11.647597312927246,-19.588769912719727,-18.911712646484375
26,-15.705375671386719,-13.495615005493164,-14.432394027709961,-10.357155799865723,-20.790966033935547,-19.243118286132812
27,-14.643447875976562,-14.179620742797852,-13.789762496948242,-14.60776424407959,-19.588769912719727,-18.50497817993164
28,-15.705375671386719,-13.495615005493164,-15.582315444946289,-12.653526306152344,-20.790966033935547,-18.97630500793457
29,-14.643447875976562,-14.179620742797852,-14.702473640441895,-16.54269027709961,-19.588769912719727,-19.245914459228516
30,-15.705375671386719,-13.495615005493164,-16.853803634643555,-13.242853164672852,-20.790966033935547,-19.731121063232422
31,-14.643447875976562,-14.179620742797852,-13.692242622375488,-16.5738468170166,-19.588769912719727,-19.411457061767578
32,-15.705375671386719,-13.495615005493164,-16.48236083984375,-12.707883834838867,-20.790966033935547,-19.568645477294922
33,-10.775671005249023,-8.573551177978516,-10.761959075927734,-8.974508285522461,-23.63152503967285,-22.51470184326172
34,-11.304588317871094,-6.940704345703125,-12.109220504760742,-7.8208489418029785,-21.338111877441406,-21.379180908203125
35,-10.775671005249023,-8.573551177978516,-17.028806686401367,-17.195632934570312,-23.63152503967285,-25.154239654541016
36,-11.304588317871094,-6.940704345703125,-18.230587005615234,-14.08418083190918,-21.338111877441406,-20.277992248535156
37,-10.775671005249023,-8.573551177978516,-15.701848030090332,-16.41248893737793,-23.63152503967285,-23.445785522460938
38,-11.304588317871094,-6.940704345703125,-17.776798248291016,-13.148028373718262,-21.338111877441406,-20.80118751525879
39,-10.775671005249023,-8.573551177978516,-14.979828834533691,-15.779172897338867,-23.63152503967285,-24.264244079589844
40,-11.304588317871094,-6.940704345703125,-17.364940643310547,-12.650232315063477,-21.338111877441406,-20.90468978881836
41,-13.269410133361816,-9.539158821105957,-10.761959075927734,-8.974508285522461,-23.00885772705078,-22.51470184326172
42,-14.528823852539062,-10.0877103805542,-12.109220504760742,-7.8208489418029785,-21.993186950683594,-21.379180908203125
43,-13.269410133361816,-9.539158821105957,-17.028806686401367,-17.195632934570312,-23.00885772705078,-25.154239654541016
