idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-21.148088455200195,-21.576723098754883,-25.84161949157715,-26.517749786376953,-32.94965744018555,-34.74631118774414
2,-25.164785385131836,-19.38315200805664,-29.853105545043945,-25.37403106689453,-33.11296463012695,-36.44078063964844
3,-21.148088455200195,-21.576723098754883,-29.163999557495117,-29.506425857543945,-32.94965744018555,-31.420433044433594
4,-25.164785385131836,-19.38315200805664,-32.21099090576172,-28.43233299255371,-33.11296463012695,-30.563583374023438
5,-21.148088455200195,-21.576723098754883,-38.706504821777344,-39.167457580566406,-32.94965744018555,-43.77488708496094
6,-25.164785385131836,-19.38315200805664,-41.53375244140625,-37.29445266723633,-33.11296463012695,-43.42610168457031
7,-21.148088455200195,-21.576723098754883,-34.687034606933594,-35.44001007080078,-32.94965744018555,-41.544944763183594
8,-25.164785385131836,-19.38315200805664,-38.20923614501953,-33.135658264160156,-33.11296463012695,-39.80473709106445
9,-22.619001388549805,-22.231094360351562,-25.84161949157715,-26.517749786376953,-32.59621810913086,-34.74631118774414
10,-26.467693328857422,-22.218368530273438,-29.853105545043945,-25.37403106689453,-30.854629516601562,-36.44078063964844
11,-22.619001388549805,-22.231094360351562,-29.163999557495117,-29.506425857543945,-32.59621810913086,-31.420433044433594
12,-26.467693328857422,-22.218368530273438,-32.21099090576172,-28.43233299255371,-30.854629516601562,-30.563583374023438
13,-22.619001388549805,-22.231094360351562,-38.706504821777344,-39.167457580566406,-32.59621810913086,-43.77488708496094
14,-26.467693328857422,-22.218368530273438,-41.53375244140625,-37.29445266723633,-30.854629516601562,-43.42610168457031
15,-22.619001388549805,-22.231094360351562,-34.687034606933594,-35.44001007080078,-32.59621810913086,-41.544944763183594
16,-26.467693328857422,-22.218368530273438,-38.20923614501953,-33.135658264160156,-30.854629516601562,-39.80473709106445
17,-25.226896286010742,-25.17837905883789,-25.84161949157715,-26.517749786376953,-30.711994171142578,-34.74631118774414
18,-30.317480087280273,-25.35430335998535,-29.853105545043945,-25.37403106689453,-30.984153747558594,-36.44078063964844
19,-25.226896286010742,-25.17837905883789,-29.163999557495117,-29.506425857543945,-30.711994171142578,-31.420433044433594
20,-30.317480087280273,-25.35430335998535,-32.21099090576172,-28.43233299255371,-30.984153747558594,-30.563583374023438
21,-25.226896286010742,-25.17837905883789,-38.706504821777344,-39.167457580566406,-30.711994171142578,-43.77488708496094
22,-30.317480087280273,-25.35430335998535,-41.53375244140625,-37.29445266723633,-30.984153747558594,-43.42610168457031
23,-25.226896286010742,-25.17837905883789,-34.687034606933594,-35.44001007080078,-30.711994171142578,-41.544944763183594
24,-30.317480087280273,-25.35430335998535,-38.20923614501953,-33.135658264160156,-30.984153747558594,-39.80473709106445
25,-24.31252670288086,-24.321578979492188,-25.84161949157715,-26.517749786376953,-28.714935302734375,-34.74631118774414
26,-28.458248138427734,-25.175018310546875,-29.853105545043945,-25.37403106689453,-29.295238494873047,-36.44078063964844
27,-24.31252670288086,-24.321578979492188,-29.163999557495117,-29.506425857543945,-28.714935302734375,-31.420433044433594
28,-28.458248138427734,-25.175018310546875,-32.21099090576172,-28.43233299255371,-29.295238494873047,-30.563583374023438
29,-24.31252670288086,-24.321578979492188,-38.706504821777344,-39.167457580566406,-28.714935302734375,-43.77488708496094
30,-28.458248138427734,-25.175018310546875,-41.53375244140625,-37.29445266723633,-29.295238494873047,-43.42610168457031
31,-24.31252670288086,-24.321578979492188,-34.687034606933594,-35.44001007080078,-28.714935302734375,-41.544944763183594
32,-28.458248138427734,-25.175018310546875,-38.20923614501953,-33.135658264160156,-29.295238494873047,-39.80473709106445
33,-27.9495849609375,-26.720046997070312,-26.993898391723633,-26.987810134887695,-36.234344482421875,-33.35057830810547
34,-26.092435836791992,-22.940860748291016,-28.006031036376953,-23.638540267944336,-35.006980895996094,-33.08662414550781
35,-27.9495849609375,-26.720046997070312,-30.72907257080078,-32.474327087402344,-36.234344482421875,-34.064510345458984
36,-26.092435836791992,-22.940860748291016,-32.88128662109375,-30.7447566986084,-35.006980895996094,-33.48921585083008
37,-27.9495849609375,-26.720046997070312,-34.50285339355469,-35.67070007324219,-36.234344482421875,-38.898136138916016
38,-26.092435836791992,-22.940860748291016,-36.77187728881836,-34.64931869506836,-35.006980895996094,-39.416351318359375
39,-27.9495849609375,-26.720046997070312,-36.134483337402344,-36.61576843261719,-36.234344482421875,-41.441795349121094
40,-26.092435836791992,-22.940860748291016,-38.81549835205078,-36.91975021362305,-35.006980895996094,-42.1055908203125
41,-27.63016128540039,-26.47267723083496,-26.993898391723633,-26.987810134887695,-33.719749450683594,-33.35057830810547
42,-27.355987548828125,-25.48812484741211,-28.006031036376953,-23.638540267944336,-33.9316520690918,-33.08662414550781
43,-27.63016128540039,-26.47267723083496,-30.72907257080078,-32.474327087402344,-33.719749450683594,-34.064510345458984
44,-27.355987548828125,-25.48812484741211,-32.88128662109375,-30.7447566986084,-33.9316520690918,-33.48921585083008
