idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-9.460068702697754,-8.789563179016113,-10.564289093017578,-11.000753402709961,-16.9257869720459,-17.181732177734375
2,-12.028120994567871,-8.9114408493042,-13.33449649810791,-10.137523651123047,-18.37755584716797,-18.12970542907715
3,-9.460068702697754,-8.789563179016113,-13.11783218383789,-15.169808387756348,-16.9257869720459,-17.50652503967285
4,-12.028120994567871,-8.9114408493042,-16.237804412841797,-13.06383991241455,-18.37755584716797,-17.69605827331543
5,-9.460068702697754,-8.789563179016113,-13.902563095092773,-15.244970321655273,-16.9257869720459,-18.040653228759766
6,-12.028120994567871,-8.9114408493042,-16.853248596191406,-13.493938446044922,-18.37755584716797,-18.703981399536133
7,-9.460068702697754,-8.789563179016113,-13.915497779846191,-15.99886703491211,-16.9257869720459,-18.99458122253418
8,-12.028120994567871,-8.9114408493042,-16.5240535736084,-13.106719970703125,-18.37755584716797,-19.158935546875
9,-12.402870178222656,-11.557580947875977,-10.564289093017578,-11.000753402709961,-20.19858741760254,-17.181732177734375
10,-14.18574047088623,-11.145285606384277,-13.33449649810791,-10.137523651123047,-22.04499053955078,-18.12970542907715
11,-12.402870178222656,-11.557580947875977,-13.11783218383789,-15.169808387756348,-20.19858741760254,-17.50652503967285
12,-14.18574047088623,-11.145285606384277,-16.237804412841797,-13.06383991241455,-22.04499053955078,-17.69605827331543
13,-12.402870178222656,-11.557580947875977,-13.902563095092773,-15.244970321655273,-20.19858741760254,-18.040653228759766
14,-14.18574047088623,-11.145285606384277,-16.853248596191406,-13.493938446044922,-22.04499053955078,-18.703981399536133
15,-12.402870178222656,-11.557580947875977,-13.915497779846191,-15.99886703491211,-20.19858741760254,-18.99458122253418
16,-14.18574047088623,-11.145285606384277,-16.5240535736084,-13.106719970703125,-22.04499053955078,-19.158935546875
17,-15.939545631408691,-15.960542678833008,-10.564289093017578,-11.000753402709961,-19.47127914428711,-17.181732177734375
18,-16.827407836914062,-15.734907150268555,-13.33449649810791,-10.137523651123047,-20.13726234436035,-18.12970542907715
19,-15.939545631408691,-15.960542678833008,-13.11783218383789,-15.169808387756348,-19.47127914428711,-17.50652503967285
20,-16.827407836914062,-15.734907150268555,-16.237804412841797,-13.06383991241455,-20.13726234436035,-17.69605827331543
21,-15.939545631408691,-15.960542678833008,-13.902563095092773,-15.244970321655273,-19.47127914428711,-18.040653228759766
22,-16.827407836914062,-15.734907150268555,-16.853248596191406,-13.493938446044922,-20.13726234436035,-18.703981399536133
23,-15.939545631408691,-15.960542678833008,-13.915497779846191,-15.99886703491211,-19.47127914428711,-18.99458122253418
24,-16.827407836914062,-15.734907150268555,-16.5240535736084,-13.106719970703125,-20.13726234436035,-19.158935546875
25,-14.563416481018066,-14.286998748779297,-10.564289093017578,-11.000753402709961,-17.912918090820312,-17.181732177734375
26,-17.166793823242188,-14.900165557861328,-13.33449649810791,-10.137523651123047,-19.155834197998047,-18.12970542907715
27,-14.563416481018066,-14.286998748779297,-13.11783218383789,-15.169808387756348,-17.912918090820312,-17.50652503967285
28,-17.166793823242188,-14.900165557861328,-16.237804412841797,-13.06383991241455,-19.155834197998047,-17.69605827331543
29,-14.563416481018066,-14.286998748779297,-13.902563095092773,-15.244970321655273,-17.912918090820312,-18.040653228759766
