idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-4.114148139953613,-3.3794145584106445,-4.009984970092773,-3.3853437900543213,-4.434487819671631,-3.934767246246338
2,-3.9252243041992188,-3.4689292907714844,-3.9764461517333984,-3.456874370574951,-4.565334320068359,-3.989861249923706
3,-4.114148139953613,-3.3794145584106445,-3.9618406295776367,-3.535227060317993,-4.434487819671631,-5.3296966552734375
4,-3.9252243041992188,-3.4689292907714844,-4.169395446777344,-3.6144042015075684,-4.565334320068359,-5.308452129364014
5,-4.114148139953613,-3.3794145584106445,-3.9538896083831787,-3.48140549659729,-4.434487819671631,-5.388711452484131
6,-3.9252243041992188,-3.4689292907714844,-4.032711982727051,-3.3159613609313965,-4.565334320068359,-5.334218502044678
7,-4.114148139953613,-3.3794145584106445,-3.6915030479431152,-3.4361186027526855,-4.434487819671631,-5.28270959854126
8,-3.9252243041992188,-3.4689292907714844,-3.8739864826202393,-3.2412242889404297,-4.565334320068359,-5.164438724517822
9,-4.272563934326172,-3.984816551208496,-4.009984970092773,-3.3853437900543213,-6.480430603027344,-3.934767246246338
10,-3.9958386421203613,-3.097705841064453,-3.9764461517333984,-3.456874370574951,-6.286599159240723,-3.989861249923706
11,-4.272563934326172,-3.984816551208496,-3.9618406295776367,-3.535227060317993,-6.480430603027344,-5.3296966552734375
12,-3.9958386421203613,-3.097705841064453,-4.169395446777344,-3.6144042015075684,-6.286599159240723,-5.308452129364014
13,-4.272563934326172,-3.984816551208496,-3.9538896083831787,-3.48140549659729,-6.480430603027344,-5.388711452484131
14,-3.9958386421203613,-3.097705841064453,-4.032711982727051,-3.3159613609313965,-6.286599159240723,-5.334218502044678
15,-4.272563934326172,-3.984816551208496,-3.6915030479431152,-3.4361186027526855,-6.480430603027344,-5.28270959854126
16,-3.9958386421203613,-3.097705841064453,-3.8739864826202393,-3.2412242889404297,-6.286599159240723,-5.164438724517822
17,-4.80015754699707,-4.052924156188965,-4.009984970092773,-3.3853437900543213,-6.178661346435547,-3.934767246246338
18,-4.2637505531311035,-3.8237667083740234,-3.9764461517333984,-3.456874370574951,-5.986642837524414,-3.989861249923706
19,-4.80015754699707,-4.052924156188965,-3.9618406295776367,-3.535227060317993,-6.178661346435547,-5.3296966552734375
20,-4.2637505531311035,-3.8237667083740234,-4.169395446777344,-3.6144042015075684,-5.986642837524414,-5.308452129364014
21,-4.80015754699707,-4.052924156188965,-3.9538896083831787,-3.48140549659729,-6.178661346435547,-5.388711452484131
22,-4.2637505531311035,-3.8237667083740234,-4.032711982727051,-3.3159613609313965,-5.986642837524414,-5.334218502044678
