idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-4.03077507019043,-3.92490553855896,-3.706028461456299,-3.844127655029297,-3.4707584381103516,-3.179457187652588
2,-4.308061599731445,-4.016574382781982,-4.177352428436279,-3.639798164367676,-3.493532657623291,-3.307027578353882
3,-4.03077507019043,-3.92490553855896,-4.475047588348389,-4.705607891082764,-3.4707584381103516,-4.673150062561035
4,-4.308061599731445,-4.016574382781982,-4.580745697021484,-3.893641948699951,-3.493532657623291,-4.7609429359436035
5,-4.03077507019043,-3.92490553855896,-4.5950493812561035,-4.734436511993408,-3.4707584381103516,-5.214876174926758
6,-4.308061599731445,-4.016574382781982,-4.920865535736084,-4.446638584136963,-3.493532657623291,-5.242700099945068
7,-4.03077507019043,-3.92490553855896,-3.7038683891296387,-4.003061771392822,-3.4707584381103516,-4.600872993469238
8,-4.308061599731445,-4.016574382781982,-4.350371837615967,-3.6085410118103027,-3.493532657623291,-4.682313442230225
9,-4.489744663238525,-4.054319381713867,-3.706028461456299,-3.844127655029297,-5.650915622711182,-3.179457187652588
10,-4.415777206420898,-3.774000406265259,-4.177352428436279,-3.639798164367676,-5.926973342895508,-3.307027578353882
11,-4.489744663238525,-4.054319381713867,-4.475047588348389,-4.705607891082764,-5.650915622711182,-4.673150062561035
12,-4.415777206420898,-3.774000406265259,-4.580745697021484,-3.893641948699951,-5.926973342895508,-4.7609429359436035
13,-4.489744663238525,-4.054319381713867,-4.5950493812561035,-4.734436511993408,-5.650915622711182,-5.214876174926758
14,-4.415777206420898,-3.774000406265259,-4.920865535736084,-4.446638584136963,-5.926973342895508,-5.242700099945068
15,-4.489744663238525,-4.054319381713867,-3.7038683891296387,-4.003061771392822,-5.650915622711182,-4.600872993469238
16,-4.415777206420898,-3.774000406265259,-4.350371837615967,-3.6085410118103027,-5.926973342895508,-4.682313442230225
17,-4.733318328857422,-5.139276027679443,-3.706028461456299,-3.844127655029297,-5.4537835121154785,-3.179457187652588
18,-4.733541965484619,-4.3333516120910645,-4.177352428436279,-3.639798164367676,-5.460965633392334,-3.307027578353882
19,-4.733318328857422,-5.139276027679443,-4.475047588348389,-4.705607891082764,-5.4537835121154785,-4.673150062561035
20,-4.733541965484619,-4.3333516120910645,-4.580745697021484,-3.893641948699951,-5.460965633392334,-4.7609429359436035
21,-4.733318328857422,-5.139276027679443,-4.5950493812561035,-4.734436511993408,-5.4537835121154785,-5.214876174926758
22,-4.733541965484619,-4.3333516120910645,-4.920865535736084,-4.446638584136963,-5.460965633392334,-5.242700099945068
23,-4.733318328857422,-5.139276027679443,-3.7038683891296387,-4.003061771392822,-5.4537835121154785,-4.600872993469238
24,-4.733541965484619,-4.3333516120910645,-4.350371837615967,-3.6085410118103027,-5.460965633392334,-4.682313442230225
25,-4.18705940246582,-4.221607685089111,-3.706028461456299,-3.844127655029297,-4.566072940826416,-3.179457187652588
26,-4.163193225860596,-3.8045036792755127,-4.177352428436279,-3.639798164367676,-4.91939640045166,-3.307027578353882
27,-4.18705940246582,-4.221607685089111,-4.475047588348389,-4.705607891082764,-4.566072940826416,-4.673150062561035
28,-4.163193225860596,-3.8045036792755127,-4.580745697021484,-3.893641948699951,-4.91939640045166,-4.7609429359436035
29,-4.18705940246582,-4.221607685089111,-4.5950493812561035,-4.734436511993408,-4.566072940826416,-5.214876174926758
30,-4.163193225860596,-3.8045036792755127,-4.920865535736084,-4.446638584136963,-4.91939640045166,-5.242700099945068
