idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-7.021833896636963,-6.808019638061523,-7.525874137878418,-7.135444641113281,-6.328244686126709,-4.807452201843262
2,-7.281820297241211,-5.747914791107178,-7.942487716674805,-6.832706928253174,-5.093603610992432,-5.102475166320801
3,-7.021833896636963,-6.808019638061523,-7.183268070220947,-8.819483757019043,-6.328244686126709,-8.6842679977417
4,-7.281820297241211,-5.747914791107178,-9.474732398986816,-6.531167984008789,-5.093603610992432,-8.257579803466797
5,-7.021833896636963,-6.808019638061523,-7.482039451599121,-8.482043266296387,-6.328244686126709,-8.640533447265625
6,-7.281820297241211,-5.747914791107178,-8.328192710876465,-7.143027305603027,-5.093603610992432,-8.222752571105957
7,-7.021833896636963,-6.808019638061523,-7.118862152099609,-8.531407356262207,-6.328244686126709,-8.801347732543945
8,-7.281820297241211,-5.747914791107178,-8.27262020111084,-6.9493303298950195,-5.093603610992432,-7.591835975646973
9,-7.139042854309082,-7.344246864318848,-7.525874137878418,-7.135444641113281,-9.212374687194824,-4.807452201843262
10,-6.906096458435059,-5.854616165161133,-7.942487716674805,-6.832706928253174,-9.336149215698242,-5.102475166320801
11,-7.139042854309082,-7.344246864318848,-7.183268070220947,-8.819483757019043,-9.212374687194824,-8.6842679977417
12,-6.906096458435059,-5.854616165161133,-9.474732398986816,-6.531167984008789,-9.336149215698242,-8.257579803466797
13,-7.139042854309082,-7.344246864318848,-7.482039451599121,-8.482043266296387,-9.212374687194824,-8.640533447265625
14,-6.906096458435059,-5.854616165161133,-8.328192710876465,-7.143027305603027,-9.336149215698242,-8.222752571105957
15,-7.139042854309082,-7.344246864318848,-7.118862152099609,-8.531407356262207,-9.212374687194824,-8.801347732543945
16,-6.906096458435059,-5.854616165161133,-8.27262020111084,-6.9493303298950195,-9.336149215698242,-7.591835975646973
17,-8.705150604248047,-7.304876327514648,-7.525874137878418,-7.135444641113281,-9.24221134185791,-4.807452201843262
18,-8.505571365356445,-6.379117965698242,-7.942487716674805,-6.832706928253174,-8.986247062683105,-5.102475166320801
19,-8.705150604248047,-7.304876327514648,-7.183268070220947,-8.819483757019043,-9.24221134185791,-8.6842679977417
20,-8.505571365356445,-6.379117965698242,-9.474732398986816,-6.531167984008789,-8.986247062683105,-8.257579803466797
21,-8.705150604248047,-7.304876327514648,-7.482039451599121,-8.482043266296387,-9.24221134185791,-8.640533447265625
22,-8.505571365356445,-6.379117965698242,-8.328192710876465,-7.143027305603027,-8.986247062683105,-8.222752571105957
23,-8.705150604248047,-7.304876327514648,-7.118862152099609,-8.531407356262207,-9.24221134185791,-8.801347732543945
24,-8.505571365356445,-6.379117965698242,-8.27262020111084,-6.9493303298950195,-8.986247062683105,-7.591835975646973
25,-7.351430892944336,-6.527043342590332,-7.525874137878418,-7.135444641113281,-8.89803695678711,-4.807452201843262
26,-7.464273929595947,-7.079604148864746,-7.942487716674805,-6.832706928253174,-8.631129264831543,-5.102475166320801
27,-7.351430892944336,-6.527043342590332,-7.183268070220947,-8.819483757019043,-8.89803695678711,-8.6842679977417
28,-7.464273929595947,-7.079604148864746,-9.474732398986816,-6.531167984008789,-8.631129264831543,-8.257579803466797
29,-7.351430892944336,-6.527043342590332,-7.482039451599121,-8.482043266296387,-8.89803695678711,-8.640533447265625
30,-7.464273929595947,-7.079604148864746,-8.328192710876465,-7.143027305603027,-8.631129264831543,-8.222752571105957
31,-7.351430892944336,-6.527043342590332,-7.118862152099609,-8.531407356262207,-8.89803695678711,-8.801347732543945
32,-7.464273929595947,-7.079604148864746,-8.27262020111084,-6.9493303298950195,-8.631129264831543,-7.591835975646973
33,-8.976295471191406,-9.389505386352539,-7.6598029136657715,-8.549612998962402,-6.957160472869873,-4.72186803817749
34,-8.381977081298828,-6.986352443695068,-8.035097122192383,-6.397841453552246,-6.548242092132568,-4.220086574554443
35,-8.976295471191406,-9.389505386352539,-9.330677032470703,-11.064620018005371,-6.957160472869873,-7.604114532470703
36,-8.381977081298828,-6.986352443695068,-9.020454406738281,-8.587730407714844,-6.548242092132568,-7.334404945373535
37,-8.976295471191406,-9.389505386352539,-10.060388565063477,-11.880627632141113,-6.957160472869873,-8.655054092407227
38,-8.381977081298828,-6.986352443695068,-10.49811840057373,-9.420001983642578,-6.548242092132568,-8.417342185974121
39,-8.976295471191406,-9.389505386352539,-8.717191696166992,-9.780649185180664,-6.957160472869873,-7.955560207366943
40,-8.381977081298828,-6.986352443695068,-8.699090957641602,-8.519579887390137,-6.548242092132568,-7.344919681549072
41,-8.162576675415039,-9.593406677246094,-7.6598029136657715,-8.549612998962402,-10.86020278930664,-4.72186803817749
42,-9.542765617370605,-7.312041282653809,-8.035097122192383,-6.397841453552246,-10.136917114257812,-4.220086574554443
43,-8.162576675415039,-9.593406677246094,-9.330677032470703,-11.064620018005371,-10.86020278930664,-7.604114532470703
44,-9.542765617370605,-7.312041282653809,-9.020454406738281,-8.587730407714844,-10.136917114257812,-7.334404945373535
