idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-4.145970821380615,-3.9976391792297363,-4.2976555824279785,-4.413022041320801,-3.8611202239990234,-3.447463274002075
2,-4.5147385597229,-3.581782817840576,-5.143401145935059,-4.076272964477539,-3.74406361579895,-3.3892388343811035
3,-4.145970821380615,-3.9976391792297363,-3.4474406242370605,-3.6519410610198975,-3.8611202239990234,-4.736293315887451
4,-4.5147385597229,-3.581782817840576,-3.8955788612365723,-3.163381576538086,-3.74406361579895,-4.882959842681885
5,-4.145970821380615,-3.9976391792297363,-3.6756186485290527,-4.135672569274902,-3.8611202239990234,-4.241497993469238
6,-4.5147385597229,-3.581782817840576,-4.213450908660889,-3.310713291168213,-3.74406361579895,-4.371623992919922
7,-4.145970821380615,-3.9976391792297363,-3.423060417175293,-4.14346170425415,-3.8611202239990234,-4.497739791870117
8,-4.5147385597229,-3.581782817840576,-4.1205902099609375,-3.176970958709717,-3.74406361579895,-4.605865001678467
9,-3.2777304649353027,-3.071207284927368,-4.2976555824279785,-4.413022041320801,-5.390684604644775,-3.447463274002075
10,-3.7490439414978027,-2.792450428009033,-5.143401145935059,-4.076272964477539,-5.245276927947998,-3.3892388343811035
11,-3.2777304649353027,-3.071207284927368,-3.4474406242370605,-3.6519410610198975,-5.390684604644775,-4.736293315887451
12,-3.7490439414978027,-2.792450428009033,-3.8955788612365723,-3.163381576538086,-5.245276927947998,-4.882959842681885
13,-3.2777304649353027,-3.071207284927368,-3.6756186485290527,-4.135672569274902,-5.390684604644775,-4.241497993469238
14,-3.7490439414978027,-2.792450428009033,-4.213450908660889,-3.310713291168213,-5.245276927947998,-4.371623992919922
15,-3.2777304649353027,-3.071207284927368,-3.423060417175293,-4.14346170425415,-5.390684604644775,-4.497739791870117
16,-3.7490439414978027,-2.792450428009033,-4.1205902099609375,-3.176970958709717,-5.245276927947998,-4.605865001678467
17,-4.033089637756348,-3.8226726055145264,-4.2976555824279785,-4.413022041320801,-5.476254463195801,-3.447463274002075
18,-3.931649684906006,-3.784000873565674,-5.143401145935059,-4.076272964477539,-5.370678901672363,-3.3892388343811035
19,-4.033089637756348,-3.8226726055145264,-3.4474406242370605,-3.6519410610198975,-5.476254463195801,-4.736293315887451
20,-3.931649684906006,-3.784000873565674,-3.8955788612365723,-3.163381576538086,-5.370678901672363,-4.882959842681885
21,-4.033089637756348,-3.8226726055145264,-3.6756186485290527,-4.135672569274902,-5.476254463195801,-4.241497993469238
22,-3.931649684906006,-3.784000873565674,-4.213450908660889,-3.310713291168213,-5.370678901672363,-4.371623992919922
23,-4.033089637756348,-3.8226726055145264,-3.423060417175293,-4.14346170425415,-5.476254463195801,-4.497739791870117
24,-3.931649684906006,-3.784000873565674,-4.1205902099609375,-3.176970958709717,-5.370678901672363,-4.605865001678467
25,-3.6608617305755615,-3.544905185699463,-4.2976555824279785,-4.413022041320801,-5.195680141448975,-3.447463274002075
26,-3.9263439178466797,-3.373903751373291,-5.143401145935059,-4.076272964477539,-4.841057777404785,-3.3892388343811035
27,-3.6608617305755615,-3.544905185699463,-3.4474406242370605,-3.6519410610198975,-5.195680141448975,-4.736293315887451
28,-3.9263439178466797,-3.373903751373291,-3.8955788612365723,-3.163381576538086,-4.841057777404785,-4.882959842681885
29,-3.6608617305755615,-3.544905185699463,-3.6756186485290527,-4.135672569274902,-5.195680141448975,-4.241497993469238
30,-3.9263439178466797,-3.373903751373291,-4.213450908660889,-3.310713291168213,-4.841057777404785,-4.371623992919922
31,-3.6608617305755615,-3.544905185699463,-3.423060417175293,-4.14346170425415,-5.195680141448975,-4.497739791870117
32,-3.9263439178466797,-3.373903751373291,-4.1205902099609375,-3.176970958709717,-4.841057777404785,-4.605865001678467
33,-4.0027289390563965,-3.352396011352539,-4.2468485832214355,-3.7703135013580322,-4.435296535491943,-4.108206272125244
34,-4.352077007293701,-3.067955493927002,-4.676692485809326,-3.4358959197998047,-4.121623992919922,-3.8576149940490723
35,-4.0027289390563965,-3.352396011352539,-4.257201671600342,-4.298908233642578,-4.435296535491943,-6.282005310058594
36,-4.352077007293701,-3.067955493927002,-4.557646751403809,-3.521045446395874,-4.121623992919922,-5.835137844085693
37,-4.0027289390563965,-3.352396011352539,-3.925462007522583,-4.103122234344482,-4.435296535491943,-5.985083103179932
38,-4.352077007293701,-3.067955493927002,-4.444199562072754,-3.2870070934295654,-4.121623992919922,-5.362313747406006
39,-4.0027289390563965,-3.352396011352539,-3.744957447052002,-3.944793224334717,-4.435296535491943,-5.84103536605835
40,-4.352077007293701,-3.067955493927002,-4.341235160827637,-3.162558078765869,-4.121623992919922,-5.077833652496338
41,-3.317352533340454,-2.3847897052764893,-4.2468485832214355,-3.7703135013580322,-6.664961338043213,-4.108206272125244
42,-3.6322059631347656,-2.52192759513855,-4.676692485809326,-3.4358959197998047,-6.035526275634766,-3.8576149940490723
43,-3.317352533340454,-2.3847897052764893,-4.257201671600342,-4.298908233642578,-6.664961338043213,-6.282005310058594
44,-3.6322059631347656,-2.52192759513855,-4.557646751403809,-3.521045446395874,-6.035526275634766,-5.835137844085693
45,-3.317352533340454,-2.3847897052764893,-3.925462007522583,-4.103122234344482,-6.664961338043213,-5.985083103179932
46,-3.6322059631347656,-2.52192759513855,-4.444199562072754,-3.2870070934295654,-6.035526275634766,-5.362313747406006
47,-3.317352533340454,-2.3847897052764893,-3.744957447052002,-3.944793224334717,-6.664961338043213,-5.84103536605835
48,-3.6322059631347656,-2.52192759513855,-4.341235160827637,-3.162558078765869,-6.035526275634766,-5.077833652496338
49,-4.0034284591674805,-4.2154221534729,-4.2468485832214355,-3.7703135013580322,-7.150338172912598,-4.108206272125244
50,-4.851849555969238,-3.511791706085205,-4.676692485809326,-3.4358959197998047,-6.366756439208984,-3.8576149940490723
51,-4.0034284591674805,-4.2154221534729,-4.257201671600342,-4.298908233642578,-7.150338172912598,-6.282005310058594
52,-4.851849555969238,-3.511791706085205,-4.557646751403809,-3.521045446395874,-6.366756439208984,-5.835137844085693
53,-4.0034284591674805,-4.2154221534729,-3.925462007522583,-4.103122234344482,-7.150338172912598,-5.985083103179932
54,-4.851849555969238,-3.511791706085205,-4.444199562072754,-3.2870070934295654,-6.366756439208984,-5.362313747406006
55,-4.0034284591674805,-4.2154221534729,-3.744957447052002,-3.944793224334717,-7.150338172912598,-5.84103536605835
56,-4.851849555969238,-3.511791706085205,-4.341235160827637,-3.162558078765869,-6.366756439208984,-5.077833652496338
57,-3.5422847270965576,-3.3606975078582764,-4.2468485832214355,-3.7703135013580322,-5.77931547164917,-4.108206272125244
58,-4.740467071533203,-3.0740513801574707,-4.676692485809326,-3.4358959197998047,-5.531136989593506,-3.8576149940490723
59,-3.5422847270965576,-3.3606975078582764,-4.257201671600342,-4.298908233642578,-5.77931547164917,-6.282005310058594
60,-4.740467071533203,-3.0740513801574707,-4.557646751403809,-3.521045446395874,-5.531136989593506,-5.835137844085693
61,-3.5422847270965576,-3.3606975078582764,-3.925462007522583,-4.103122234344482,-5.77931547164917,-5.985083103179932
62,-4.740467071533203,-3.0740513801574707,-4.444199562072754,-3.2870070934295654,-5.531136989593506,-5.362313747406006
63,-3.5422847270965576,-3.3606975078582764,-3.744957447052002,-3.944793224334717,-5.77931547164917,-5.84103536605835
64,-4.740467071533203,-3.0740513801574707,-4.341235160827637,-3.162558078765869,-5.531136989593506,-5.077833652496338
65,-4.209694862365723,-3.5982038974761963,-4.7030439376831055,-4.3835954666137695,-4.154285907745361,-4.038590908050537
66,-3.8664984703063965,-3.7634637355804443,-4.579339981079102,-4.348224639892578,-4.666966438293457,-4.151340961456299
67,-4.209694862365723,-3.5982038974761963,-3.9967994689941406,-4.324069023132324,-4.154285907745361,-5.656052112579346
68,-3.8664984703063965,-3.7634637355804443,-3.982943058013916,-3.631056547164917,-4.666966438293457,-5.526089191436768
69,-4.209694862365723,-3.5982038974761963,-3.6764674186706543,-3.8061585426330566,-4.154285907745361,-5.226537227630615
70,-3.8664984703063965,-3.7634637355804443,-3.6673855781555176,-3.25998592376709,-4.666966438293457,-5.37697172164917
71,-4.209694862365723,-3.5982038974761963,-3.490142583847046,-3.7910118103027344,-4.154285907745361,-5.425287246704102
72,-3.8664984703063965,-3.7634637355804443,-3.6312103271484375,-3.02003812789917,-4.666966438293457,-5.559154033660889
73,-3.8494138717651367,-2.9857423305511475,-4.7030439376831055,-4.3835954666137695,-6.182807922363281,-4.038590908050537
74,-2.9868311882019043,-3.0460453033447266,-4.579339981079102,-4.348224639892578,-5.980273723602295,-4.151340961456299
75,-3.8494138717651367,-2.9857423305511475,-3.9967994689941406,-4.324069023132324,-6.182807922363281,-5.656052112579346
76,-2.9868311882019043,-3.0460453033447266,-3.982943058013916,-3.631056547164917,-5.980273723602295,-5.526089191436768
77,-3.8494138717651367,-2.9857423305511475,-3.6764674186706543,-3.8061585426330566,-6.182807922363281,-5.226537227630615
78,-2.9868311882019043,-3.0460453033447266,-3.6673855781555176,-3.25998592376709,-5.980273723602295,-5.37697172164917
79,-3.8494138717651367,-2.9857423305511475,-3.490142583847046,-3.7910118103027344,-6.182807922363281,-5.425287246704102
80,-2.9868311882019043,-3.0460453033447266,-3.6312103271484375,-3.02003812789917,-5.980273723602295,-5.559154033660889
81,-3.8961591720581055,-3.919302463531494,-4.7030439376831055,-4.3835954666137695,-6.363653659820557,-4.038590908050537
82,-4.106897830963135,-3.5324060916900635,-4.579339981079102,-4.348224639892578,-6.406455993652344,-4.151340961456299
83,-3.8961591720581055,-3.919302463531494,-3.9967994689941406,-4.324069023132324,-6.363653659820557,-5.656052112579346
84,-4.106897830963135,-3.5324060916900635,-3.982943058013916,-3.631056547164917,-6.406455993652344,-5.526089191436768
85,-3.8961591720581055,-3.919302463531494,-3.6764674186706543,-3.8061585426330566,-6.363653659820557,-5.226537227630615
86,-4.106897830963135,-3.5324060916900635,-3.6673855781555176,-3.25998592376709,-6.406455993652344,-5.37697172164917
87,-3.8961591720581055,-3.919302463531494,-3.490142583847046,-3.7910118103027344,-6.363653659820557,-5.425287246704102
88,-4.106897830963135,-3.5324060916900635,-3.6312103271484375,-3.02003812789917,-6.406455993652344,-5.559154033660889
89,-3.85292387008667,-3.5252132415771484,-4.7030439376831055,-4.3835954666137695,-5.840784072875977,-4.038590908050537
90,-3.6785778999328613,-3.2495064735412598,-4.579339981079102,-4.348224639892578,-5.7957682609558105,-4.151340961456299
91,-3.85292387008667,-3.5252132415771484,-3.9967994689941406,-4.324069023132324,-5.840784072875977,-5.656052112579346
92,-3.6785778999328613,-3.2495064735412598,-3.982943058013916,-3.631056547164917,-5.7957682609558105,-5.526089191436768
93,-3.85292387008667,-3.5252132415771484,-3.6764674186706543,-3.8061585426330566,-5.840784072875977,-5.226537227630615
94,-3.6785778999328613,-3.2495064735412598,-3.6673855781555176,-3.25998592376709,-5.7957682609558105,-5.37697172164917
95,-3.85292387008667,-3.5252132415771484,-3.490142583847046,-3.7910118103027344,-5.840784072875977,-5.425287246704102
96,-3.6785778999328613,-3.2495064735412598,-3.6312103271484375,-3.02003812789917,-5.7957682609558105,-5.559154033660889
97,-3.9766318798065186,-3.633967161178589,-4.572421073913574,-4.445990085601807,-4.7954583168029785,-4.495189189910889
98,-4.168281078338623,-3.3235185146331787,-4.927304267883301,-3.734473705291748,-4.249626159667969,-3.7765815258026123
99,-3.9766318798065186,-3.633967161178589,-3.811572551727295,-3.9754323959350586,-4.7954583168029785,-5.689743518829346
100,-4.168281078338623,-3.3235185146331787,-4.209920883178711,-3.720996379852295,-4.249626159667969,-5.4100542068481445
101,-3.9766318798065186,-3.633967161178589,-3.6609015464782715,-3.9143011569976807,-4.7954583168029785,-5.344839572906494
102,-4.168281078338623,-3.3235185146331787,-4.313852310180664,-3.5074477195739746,-4.249626159667969,-5.1455864906311035
103,-3.9766318798065186,-3.633967161178589,-3.502079725265503,-3.6311821937561035,-4.7954583168029785,-5.493802070617676
104,-4.168281078338623,-3.3235185146331787,-4.03677225112915,-3.2626829147338867,-4.249626159667969,-5.443694591522217
105,-3.512160301208496,-3.153900146484375,-4.572421073913574,-4.445990085601807,-6.007443904876709,-4.495189189910889
106,-3.630415439605713,-3.2511346340179443,-4.927304267883301,-3.734473705291748,-5.693089008331299,-3.7765815258026123
107,-3.512160301208496,-3.153900146484375,-3.811572551727295,-3.9754323959350586,-6.007443904876709,-5.689743518829346
108,-3.630415439605713,-3.2511346340179443,-4.209920883178711,-3.720996379852295,-5.693089008331299,-5.4100542068481445
109,-3.512160301208496,-3.153900146484375,-3.6609015464782715,-3.9143011569976807,-6.007443904876709,-5.344839572906494
110,-3.630415439605713,-3.2511346340179443,-4.313852310180664,-3.5074477195739746,-5.693089008331299,-5.1455864906311035
111,-3.512160301208496,-3.153900146484375,-3.502079725265503,-3.6311821937561035,-6.007443904876709,-5.493802070617676
112,-3.630415439605713,-3.2511346340179443,-4.03677225112915,-3.2626829147338867,-5.693089008331299,-5.443694591522217
113,-3.6596169471740723,-3.3528318405151367,-4.572421073913574,-4.445990085601807,-5.952601909637451,-4.495189189910889
114,-4.098517417907715,-3.900753974914551,-4.927304267883301,-3.734473705291748,-5.835920810699463,-3.7765815258026123
115,-3.6596169471740723,-3.3528318405151367,-3.811572551727295,-3.9754323959350586,-5.952601909637451,-5.689743518829346
