idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-5.022590637207031,-5.338273525238037,-5.50787878036499,-5.8444132804870605,-2.822627544403076,-2.427342414855957
2,-6.105937480926514,-4.957959175109863,-6.291802883148193,-5.187644004821777,-2.855829954147339,-2.5662779808044434
3,-5.022590637207031,-5.338273525238037,-5.832799911499023,-5.901284694671631,-2.822627544403076,-4.363462924957275
4,-6.105937480926514,-4.957959175109863,-6.442198276519775,-5.686466693878174,-2.855829954147339,-4.40017032623291
5,-5.022590637207031,-5.338273525238037,-7.7413010597229,-7.833491802215576,-2.822627544403076,-5.9639811515808105
6,-6.105937480926514,-4.957959175109863,-8.306751251220703,-7.45889139175415,-2.855829954147339,-6.085352897644043
7,-5.022590637207031,-5.338273525238037,-6.93740701675415,-7.0880022048950195,-2.822627544403076,-5.286543369293213
8,-6.105937480926514,-4.957959175109863,-7.641847133636475,-6.627131938934326,-2.855829954147339,-5.574505805969238
9,-4.523800373077393,-4.446219444274902,-5.50787878036499,-5.8444132804870605,-4.75077486038208,-2.427342414855957
10,-5.293538570404053,-4.443673610687256,-6.291802883148193,-5.187644004821777,-4.594552040100098,-2.5662779808044434
11,-4.523800373077393,-4.446219444274902,-5.832799911499023,-5.901284694671631,-4.75077486038208,-4.363462924957275
12,-5.293538570404053,-4.443673610687256,-6.442198276519775,-5.686466693878174,-4.594552040100098,-4.40017032623291
13,-4.523800373077393,-4.446219444274902,-7.7413010597229,-7.833491802215576,-4.75077486038208,-5.9639811515808105
14,-5.293538570404053,-4.443673610687256,-8.306751251220703,-7.45889139175415,-4.594552040100098,-6.085352897644043
15,-4.523800373077393,-4.446219444274902,-6.93740701675415,-7.0880022048950195,-4.75077486038208,-5.286543369293213
16,-5.293538570404053,-4.443673610687256,-7.641847133636475,-6.627131938934326,-4.594552040100098,-5.574505805969238
17,-5.045379161834717,-5.035676002502441,-5.50787878036499,-5.8444132804870605,-4.831294536590576,-2.427342414855957
18,-6.063496112823486,-5.070861339569092,-6.291802883148193,-5.187644004821777,-5.108595848083496,-2.5662779808044434
19,-5.045379161834717,-5.035676002502441,-5.832799911499023,-5.901284694671631,-4.831294536590576,-4.363462924957275
20,-6.063496112823486,-5.070861339569092,-6.442198276519775,-5.686466693878174,-5.108595848083496,-4.40017032623291
21,-5.045379161834717,-5.035676002502441,-7.7413010597229,-7.833491802215576,-4.831294536590576,-5.9639811515808105
22,-6.063496112823486,-5.070861339569092,-8.306751251220703,-7.45889139175415,-5.108595848083496,-6.085352897644043
