idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-3.725285053253174,-3.5534286499023438,-4.05522346496582,-4.240106582641602,-3.725248336791992,-3.4054512977600098
2,-4.351047039031982,-3.4615955352783203,-4.796528339385986,-4.0073018074035645,-3.8388657569885254,-3.3942463397979736
3,-3.725285053253174,-3.5534286499023438,-3.2794580459594727,-3.792452096939087,-3.725248336791992,-4.559861660003662
4,-4.351047039031982,-3.4615955352783203,-4.059451103210449,-3.2659599781036377,-3.8388657569885254,-4.079693794250488
5,-3.725285053253174,-3.5534286499023438,-3.4756407737731934,-3.81124210357666,-3.725248336791992,-4.500918865203857
6,-4.351047039031982,-3.4615955352783203,-4.213312149047852,-3.3734846115112305,-3.8388657569885254,-4.246425151824951
7,-3.725285053253174,-3.5534286499023438,-3.478874444961548,-3.9997167587280273,-3.725248336791992,-4.335848331451416
8,-4.351047039031982,-3.4615955352783203,-4.1310133934021,-3.2766799926757812,-3.8388657569885254,-4.165126323699951
9,-3.100717544555664,-2.889395236968994,-4.05522346496582,-4.240106582641602,-4.719333171844482,-3.4054512977600098
10,-3.5464353561401367,-2.7863214015960693,-4.796528339385986,-4.0073018074035645,-4.993607044219971,-3.3942463397979736
11,-3.100717544555664,-2.889395236968994,-3.2794580459594727,-3.792452096939087,-4.719333171844482,-4.559861660003662
12,-3.5464353561401367,-2.7863214015960693,-4.059451103210449,-3.2659599781036377,-4.993607044219971,-4.079693794250488
13,-3.100717544555664,-2.889395236968994,-3.4756407737731934,-3.81124210357666,-4.719333171844482,-4.500918865203857
14,-3.5464353561401367,-2.7863214015960693,-4.213312149047852,-3.3734846115112305,-4.993607044219971,-4.246425151824951
15,-3.100717544555664,-2.889395236968994,-3.478874444961548,-3.9997167587280273,-4.719333171844482,-4.335848331451416
16,-3.5464353561401367,-2.7863214015960693,-4.1310133934021,-3.2766799926757812,-4.993607044219971,-4.165126323699951
17,-3.984886407852173,-3.990135669708252,-4.05522346496582,-4.240106582641602,-4.664945125579834,-3.4054512977600098
18,-4.206852436065674,-3.9337270259857178,-4.796528339385986,-4.0073018074035645,-4.8350911140441895,-3.3942463397979736
19,-3.984886407852173,-3.990135669708252,-3.2794580459594727,-3.792452096939087,-4.664945125579834,-4.559861660003662
20,-4.206852436065674,-3.9337270259857178,-4.059451103210449,-3.2659599781036377,-4.8350911140441895,-4.079693794250488
21,-3.984886407852173,-3.990135669708252,-3.4756407737731934,-3.81124210357666,-4.664945125579834,-4.500918865203857
22,-4.206852436065674,-3.9337270259857178,-4.213312149047852,-3.3734846115112305,-4.8350911140441895,-4.246425151824951
23,-3.984886407852173,-3.990135669708252,-3.478874444961548,-3.9997167587280273,-4.664945125579834,-4.335848331451416
24,-4.206852436065674,-3.9337270259857178,-4.1310133934021,-3.2766799926757812,-4.8350911140441895,-4.165126323699951
25,-3.6408538818359375,-3.5717499256134033,-4.05522346496582,-4.240106582641602,-4.447365760803223,-3.4054512977600098
26,-4.291698455810547,-3.725041389465332,-4.796528339385986,-4.0073018074035645,-4.619555950164795,-3.3942463397979736
27,-3.6408538818359375,-3.5717499256134033,-3.2794580459594727,-3.792452096939087,-4.447365760803223,-4.559861660003662
28,-4.291698455810547,-3.725041389465332,-4.059451103210449,-3.2659599781036377,-4.619555950164795,-4.079693794250488
29,-3.6408538818359375,-3.5717499256134033,-3.4756407737731934,-3.81124210357666,-4.447365760803223,-4.500918865203857
30,-4.291698455810547,-3.725041389465332,-4.213312149047852,-3.3734846115112305,-4.619555950164795,-4.246425151824951
31,-3.6408538818359375,-3.5717499256134033,-3.478874444961548,-3.9997167587280273,-4.447365760803223,-4.335848331451416
32,-4.291698455810547,-3.725041389465332,-4.1310133934021,-3.2766799926757812,-4.619555950164795,-4.165126323699951
33,-3.674046754837036,-3.6245338916778564,-3.9937314987182617,-4.041289329528809,-3.6444976329803467,-3.310035467147827
34,-3.950507164001465,-3.1799216270446777,-4.1917524337768555,-3.5731921195983887,-3.7977066040039062,-3.3990325927734375
35,-3.674046754837036,-3.6245338916778564,-3.7122793197631836,-4.2133073806762695,-3.6444976329803467,-3.970080614089966
36,-3.950507164001465,-3.1799216270446777,-3.863677501678467,-3.4009151458740234,-3.7977066040039062,-4.338296413421631
37,-3.674046754837036,-3.6245338916778564,-3.9180479049682617,-4.227892875671387,-3.6444976329803467,-3.974313497543335
38,-3.950507164001465,-3.1799216270446777,-4.133478164672852,-3.559610605239868,-3.7977066040039062,-4.238377571105957
39,-3.674046754837036,-3.6245338916778564,-3.903529405593872,-4.175421714782715,-3.6444976329803467,-3.994189500808716
40,-3.950507164001465,-3.1799216270446777,-3.8490490913391113,-3.4144234657287598,-3.7977066040039062,-4.301967144012451
41,-3.397787570953369,-3.3539130687713623,-3.9937314987182617,-4.041289329528809,-4.728698253631592,-3.310035467147827
42,-3.3113884925842285,-2.7271618843078613,-4.1917524337768555,-3.5731921195983887,-4.862735748291016,-3.3990325927734375
43,-3.397787570953369,-3.3539130687713623,-3.7122793197631836,-4.2133073806762695,-4.728698253631592,-3.970080614089966
44,-3.3113884925842285,-2.7271618843078613,-3.863677501678467,-3.4009151458740234,-4.862735748291016,-4.338296413421631
45,-3.397787570953369,-3.3539130687713623,-3.9180479049682617,-4.227892875671387,-4.728698253631592,-3.974313497543335
46,-3.3113884925842285,-2.7271618843078613,-4.133478164672852,-3.559610605239868,-4.862735748291016,-4.238377571105957
47,-3.397787570953369,-3.3539130687713623,-3.903529405593872,-4.175421714782715,-4.728698253631592,-3.994189500808716
48,-3.3113884925842285,-2.7271618843078613,-3.8490490913391113,-3.4144234657287598,-4.862735748291016,-4.301967144012451
49,-3.763622760772705,-3.8370277881622314,-3.9937314987182617,-4.041289329528809,-4.58531379699707,-3.310035467147827
50,-3.7826225757598877,-3.703331470489502,-4.1917524337768555,-3.5731921195983887,-5.105014324188232,-3.3990325927734375
51,-3.763622760772705,-3.8370277881622314,-3.7122793197631836,-4.2133073806762695,-4.58531379699707,-3.970080614089966
52,-3.7826225757598877,-3.703331470489502,-3.863677501678467,-3.4009151458740234,-5.105014324188232,-4.338296413421631
53,-3.763622760772705,-3.8370277881622314,-3.9180479049682617,-4.227892875671387,-4.58531379699707,-3.974313497543335
54,-3.7826225757598877,-3.703331470489502,-4.133478164672852,-3.559610605239868,-5.105014324188232,-4.238377571105957
55,-3.763622760772705,-3.8370277881622314,-3.903529405593872,-4.175421714782715,-4.58531379699707,-3.994189500808716
56,-3.7826225757598877,-3.703331470489502,-3.8490490913391113,-3.4144234657287598,-5.105014324188232,-4.301967144012451
57,-3.9328699111938477,-4.073714733123779,-3.9937314987182617,-4.041289329528809,-4.197561264038086,-3.310035467147827
58,-4.029601097106934,-3.6591875553131104,-4.1917524337768555,-3.5731921195983887,-4.526975154876709,-3.3990325927734375
59,-3.9328699111938477,-4.073714733123779,-3.7122793197631836,-4.2133073806762695,-4.197561264038086,-3.970080614089966
60,-4.029601097106934,-3.6591875553131104,-3.863677501678467,-3.4009151458740234,-4.526975154876709,-4.338296413421631
61,-3.9328699111938477,-4.073714733123779,-3.9180479049682617,-4.227892875671387,-4.197561264038086,-3.974313497543335
62,-4.029601097106934,-3.6591875553131104,-4.133478164672852,-3.559610605239868,-4.526975154876709,-4.238377571105957
63,-3.9328699111938477,-4.073714733123779,-3.903529405593872,-4.175421714782715,-4.197561264038086,-3.994189500808716
64,-4.029601097106934,-3.6591875553131104,-3.8490490913391113,-3.4144234657287598,-4.526975154876709,-4.301967144012451
65,-3.9619321823120117,-3.4547176361083984,-4.195786952972412,-3.906048059463501,-3.8997104167938232,-3.4352219104766846
66,-3.570244073867798,-3.390522003173828,-4.087798595428467,-3.849259853363037,-4.076998233795166,-3.687018632888794
67,-3.9619321823120117,-3.4547176361083984,-3.876901865005493,-3.854719877243042,-3.8997104167938232,-3.9859650135040283
68,-3.570244073867798,-3.390522003173828,-3.5252485275268555,-3.283623218536377,-4.076998233795166,-4.124112606048584
69,-3.9619321823120117,-3.4547176361083984,-3.7656593322753906,-3.6803789138793945,-3.8997104167938232,-3.975451707839966
70,-3.570244073867798,-3.390522003173828,-3.46240234375,-3.19868803024292,-4.076998233795166,-4.22713565826416
71,-3.9619321823120117,-3.4547176361083984,-3.7643914222717285,-3.8213415145874023,-3.8997104167938232,-3.913360595703125
72,-3.570244073867798,-3.390522003173828,-3.9191055297851562,-3.3403079509735107,-4.076998233795166,-4.137528896331787
73,-3.7859573364257812,-2.9206743240356445,-4.195786952972412,-3.906048059463501,-4.738413333892822,-3.4352219104766846
74,-3.0208091735839844,-3.0729641914367676,-4.087798595428467,-3.849259853363037,-4.646350860595703,-3.687018632888794
75,-3.7859573364257812,-2.9206743240356445,-3.876901865005493,-3.854719877243042,-4.738413333892822,-3.9859650135040283
76,-3.0208091735839844,-3.0729641914367676,-3.5252485275268555,-3.283623218536377,-4.646350860595703,-4.124112606048584
77,-3.7859573364257812,-2.9206743240356445,-3.7656593322753906,-3.6803789138793945,-4.738413333892822,-3.975451707839966
78,-3.0208091735839844,-3.0729641914367676,-3.46240234375,-3.19868803024292,-4.646350860595703,-4.22713565826416
79,-3.7859573364257812,-2.9206743240356445,-3.7643914222717285,-3.8213415145874023,-4.738413333892822,-3.913360595703125
80,-3.0208091735839844,-3.0729641914367676,-3.9191055297851562,-3.3403079509735107,-4.646350860595703,-4.137528896331787
81,-4.093961715698242,-3.545515298843384,-4.195786952972412,-3.906048059463501,-4.6918864250183105,-3.4352219104766846
82,-3.7749364376068115,-3.991868019104004,-4.087798595428467,-3.849259853363037,-4.746952533721924,-3.687018632888794
