idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-12.675212860107422,-15.075115203857422,-11.887460708618164,-13.317313194274902,-14.377605438232422,-14.488716125488281,-13.246939659118652,-13.496240615844727,-24.71487808227539,-22.446304321289062,-20.79341697692871,-23.193317413330078,-31.700511932373047,-33.13036346435547
2,-12.487689018249512,-12.33292007446289,-11.251686096191406,-11.845766067504883,-14.488716125488281,-14.377605438232422,-13.496240615844727,-13.246939659118652,-24.942569732666016,-22.53818702697754,-20.05356216430664,-19.89879608154297,-29.58763313293457,-30.181713104248047
3,-12.675212860107422,-15.075115203857422,-16.060792922973633,-17.719932556152344,-14.377605438232422,-14.488716125488281,-16.70298194885254,-17.40488624572754,-24.71487808227539,-25.51801300048828,-20.79341697692871,-23.193317413330078,-33.376312255859375,-35.03544998168945
4,-12.487689018249512,-12.33292007446289,-16.085643768310547,-15.601922035217285,-14.488716125488281,-14.377605438232422,-17.40488624572754,-16.70298194885254,-24.942569732666016,-24.59716033935547,-20.05356216430664,-19.89879608154297,-32.76860046386719,-32.284881591796875
5,-12.675212860107422,-15.075115203857422,-15.800697326660156,-18.238059997558594,-14.377605438232422,-14.488716125488281,-14.63160514831543,-15.694180488586426,-24.71487808227539,-24.364032745361328,-20.79341697692871,-23.193317413330078,-27.805774688720703,-30.24313735961914
6,-12.487689018249512,-12.33292007446289,-15.587839126586914,-14.782903671264648,-14.488716125488281,-14.377605438232422,-15.694180488586426,-14.63160514831543,-24.942569732666016,-23.84508514404297,-20.05356216430664,-19.89879608154297,-27.56631851196289,-26.76138687133789
7,-12.675212860107422,-15.075115203857422,-13.963630676269531,-16.597476959228516,-14.377605438232422,-14.488716125488281,-17.83268928527832,-18.792226791381836,-24.71487808227539,-24.511146545410156,-20.79341697692871,-23.193317413330078,-25.386211395263672,-28.020057678222656
8,-12.487689018249512,-12.33292007446289,-15.156866073608398,-14.122994422912598,-14.488716125488281,-14.377605438232422,-18.792226791381836,-17.83268928527832,-24.942569732666016,-23.939884185791016,-20.05356216430664,-19.89879608154297,-26.225997924804688,-25.192123413085938
9,-16.42450714111328,-18.854297637939453,-11.887460708618164,-13.317313194274902,-11.819669723510742,-13.018901824951172,-13.246939659118652,-13.496240615844727,-27.461868286132812,-22.446304321289062,-21.981834411621094,-24.411624908447266,-31.700511932373047,-33.13036346435547
10,-16.283082962036133,-14.867047309875488,-11.251686096191406,-11.845766067504883,-13.018901824951172,-11.819669723510742,-13.496240615844727,-13.246939659118652,-26.986507415771484,-22.53818702697754,-22.215513229370117,-20.79947853088379,-29.58763313293457,-30.181713104248047
11,-16.42450714111328,-18.854297637939453,-16.060792922973633,-17.719932556152344,-11.819669723510742,-13.018901824951172,-16.70298194885254,-17.40488624572754,-27.461868286132812,-25.51801300048828,-21.981834411621094,-24.411624908447266,-33.376312255859375,-35.03544998168945
12,-16.283082962036133,-14.867047309875488,-16.085643768310547,-15.601922035217285,-13.018901824951172,-11.819669723510742,-17.40488624572754,-16.70298194885254,-26.986507415771484,-24.59716033935547,-22.215513229370117,-20.79947853088379,-32.76860046386719,-32.284881591796875
13,-16.42450714111328,-18.854297637939453,-15.800697326660156,-18.238059997558594,-11.819669723510742,-13.018901824951172,-14.63160514831543,-15.694180488586426,-27.461868286132812,-24.364032745361328,-21.981834411621094,-24.411624908447266,-27.805774688720703,-30.24313735961914
14,-16.283082962036133,-14.867047309875488,-15.587839126586914,-14.782903671264648,-13.018901824951172,-11.819669723510742,-15.694180488586426,-14.63160514831543,-26.986507415771484,-23.84508514404297,-22.215513229370117,-20.79947853088379,-27.56631851196289,-26.76138687133789
15,-16.42450714111328,-18.854297637939453,-13.963630676269531,-16.597476959228516,-11.819669723510742,-13.018901824951172,-17.83268928527832,-18.792226791381836,-27.461868286132812,-24.511146545410156,-21.981834411621094,-24.411624908447266,-25.386211395263672,-28.020057678222656
16,-16.283082962036133,-14.867047309875488,-15.156866073608398,-14.122994422912598,-13.018901824951172,-11.819669723510742,-18.792226791381836,-17.83268928527832,-26.986507415771484,-23.939884185791016,-22.215513229370117,-20.79947853088379,-26.225997924804688,-25.192123413085938
17,-18.34262466430664,-18.028724670410156,-11.887460708618164,-13.317313194274902,-13.146829605102539,-13.73928451538086,-13.246939659118652,-13.496240615844727,-25.982398986816406,-22.446304321289062,-30.498287200927734,-30.18438720703125,-31.700511932373047,-33.13036346435547
18,-17.180221557617188,-16.60997772216797,-11.251686096191406,-11.845766067504883,-13.73928451538086,-13.146829605102539,-13.496240615844727,-13.246939659118652,-25.402889251708984,-22.53818702697754,-29.61380386352539,-29.043560028076172,-29.58763313293457,-30.181713104248047
19,-18.34262466430664,-18.028724670410156,-16.060792922973633,-17.719932556152344,-13.146829605102539,-13.73928451538086,-16.70298194885254,-17.40488624572754,-25.982398986816406,-25.51801300048828,-30.498287200927734,-30.18438720703125,-33.376312255859375,-35.03544998168945
20,-17.180221557617188,-16.60997772216797,-16.085643768310547,-15.601922035217285,-13.73928451538086,-13.146829605102539,-17.40488624572754,-16.70298194885254,-25.402889251708984,-24.59716033935547,-29.61380386352539,-29.043560028076172,-32.76860046386719,-32.284881591796875
21,-18.34262466430664,-18.028724670410156,-15.800697326660156,-18.238059997558594,-13.146829605102539,-13.73928451538086,-14.63160514831543,-15.694180488586426,-25.982398986816406,-24.364032745361328,-30.498287200927734,-30.18438720703125,-27.805774688720703,-30.24313735961914
22,-17.180221557617188,-16.60997772216797,-15.587839126586914,-14.782903671264648,-13.73928451538086,-13.146829605102539,-15.694180488586426,-14.63160514831543,-25.402889251708984,-23.84508514404297,-29.61380386352539,-29.043560028076172,-27.56631851196289,-26.76138687133789
23,-18.34262466430664,-18.028724670410156,-13.963630676269531,-16.597476959228516,-13.146829605102539,-13.73928451538086,-17.83268928527832,-18.792226791381836,-25.982398986816406,-24.511146545410156,-30.498287200927734,-30.18438720703125,-25.386211395263672,-28.020057678222656
24,-17.180221557617188,-16.60997772216797,-15.156866073608398,-14.122994422912598,-13.73928451538086,-13.146829605102539,-18.792226791381836,-17.83268928527832,-25.402889251708984,-23.939884185791016,-29.61380386352539,-29.043560028076172,-26.225997924804688,-25.192123413085938
25,-18.645111083984375,-19.97854232788086,-11.887460708618164,-13.317313194274902,-14.453474044799805,-15.031757354736328,-13.246939659118652,-13.496240615844727,-26.60039520263672,-22.446304321289062,-25.254226684570312,-26.587657928466797,-31.700511932373047,-33.13036346435547
26,-16.770532608032227,-15.418285369873047,-11.251686096191406,-11.845766067504883,-15.031757354736328,-14.453474044799805,-13.496240615844727,-13.246939659118652,-25.78392791748047,-22.53818702697754,-23.25103759765625,-21.89879035949707,-29.58763313293457,-30.181713104248047
27,-18.645111083984375,-19.97854232788086,-16.060792922973633,-17.719932556152344,-14.453474044799805,-15.031757354736328,-16.70298194885254,-17.40488624572754,-26.60039520263672,-25.51801300048828,-25.254226684570312,-26.587657928466797,-33.376312255859375,-35.03544998168945
28,-16.770532608032227,-15.418285369873047,-16.085643768310547,-15.601922035217285,-15.031757354736328,-14.453474044799805,-17.40488624572754,-16.70298194885254,-25.78392791748047,-24.59716033935547,-23.25103759765625,-21.89879035949707,-32.76860046386719,-32.284881591796875
29,-18.645111083984375,-19.97854232788086,-15.800697326660156,-18.238059997558594,-14.453474044799805,-15.031757354736328,-14.63160514831543,-15.694180488586426,-26.60039520263672,-24.364032745361328,-25.254226684570312,-26.587657928466797,-27.805774688720703,-30.24313735961914
30,-16.770532608032227,-15.418285369873047,-15.587839126586914,-14.782903671264648,-15.031757354736328,-14.453474044799805,-15.694180488586426,-14.63160514831543,-25.78392791748047,-23.84508514404297,-23.25103759765625,-21.89879035949707,-27.56631851196289,-26.76138687133789
31,-18.645111083984375,-19.97854232788086,-13.963630676269531,-16.597476959228516,-14.453474044799805,-15.031757354736328,-17.83268928527832,-18.792226791381836,-26.60039520263672,-24.511146545410156,-25.254226684570312,-26.587657928466797,-25.386211395263672,-28.020057678222656
32,-16.770532608032227,-15.418285369873047,-15.156866073608398,-14.122994422912598,-15.031757354736328,-14.453474044799805,-18.792226791381836,-17.83268928527832,-25.78392791748047,-23.939884185791016,-23.25103759765625,-21.89879035949707,-26.225997924804688,-25.192123413085938
33,-10.710267066955566,-11.972917556762695,-12.344100952148438,-13.734962463378906,-17.84822654724121,-17.335683822631836,-14.040664672851562,-13.741242408752441,-24.048095703125,-21.57280731201172,-18.418781280517578,-19.681434631347656,-30.806438446044922,-32.197296142578125
34,-11.877202987670898,-9.942793846130371,-14.409807205200195,-12.208266258239746,-17.335683822631836,-17.84822654724121,-13.741242408752441,-14.040664672851562,-23.92513656616211,-21.19586944580078,-19.206634521484375,-17.2722225189209,-33.121185302734375,-30.919645309448242
35,-10.710267066955566,-11.972917556762695,-14.754474639892578,-17.17308807373047,-17.84822654724121,-17.335683822631836,-17.969106674194336,-18.37636947631836,-24.048095703125,-24.417247772216797,-18.418781280517578,-19.681434631347656,-32.85440444946289,-35.27301788330078
36,-11.877202987670898,-9.942793846130371,-17.399112701416016,-14.896039962768555,-17.335683822631836,-17.84822654724121,-18.37636947631836,-17.969106674194336,-23.92513656616211,-24.675193786621094,-19.206634521484375,-17.2722225189209,-35.286949157714844,-32.78387451171875
37,-10.710267066955566,-11.972917556762695,-14.920948028564453,-17.259546279907227,-17.84822654724121,-17.335683822631836,-15.943859100341797,-16.710037231445312,-24.048095703125,-24.585636138916016,-18.418781280517578,-19.681434631347656,-27.24614715576172,-29.58474349975586
38,-11.877202987670898,-9.942793846130371,-17.1632022857666,-14.598438262939453,-17.335683822631836,-17.84822654724121,-16.710037231445312,-15.943859100341797,-23.92513656616211,-24.528047561645508,-19.206634521484375,-17.2722225189209,-29.22787857055664,-26.66311264038086
39,-10.710267066955566,-11.972917556762695,-14.071280479431152,-15.891372680664062,-17.84822654724121,-17.335683822631836,-18.83573341369629,-19.211156845092773,-24.048095703125,-23.299880981445312,-18.418781280517578,-19.681434631347656,-24.740921020507812,-26.561016082763672
40,-11.877202987670898,-9.942793846130371,-15.779254913330078,-13.7373046875,-17.335683822631836,-17.84822654724121,-19.211156845092773,-18.83573341369629,-23.92513656616211,-23.857484817504883,-19.206634521484375,-17.2722225189209,-26.394987106323242,-24.353036880493164
41,-12.808443069458008,-14.638559341430664,-12.344100952148438,-13.734962463378906,-13.730386734008789,-14.419740676879883,-14.040664672851562,-13.741242408752441,-27.90804100036621,-21.57280731201172,-20.912731170654297,-22.742847442626953,-30.806438446044922,-32.197296142578125
42,-14.633500099182129,-12.571788787841797,-14.409807205200195,-12.208266258239746,-14.419740676879883,-13.730386734008789,-13.741242408752441,-14.040664672851562,-28.03690528869629,-21.19586944580078,-22.50767707824707,-20.445966720581055,-33.121185302734375,-30.919645309448242
43,-12.808443069458008,-14.638559341430664,-14.754474639892578,-17.17308807373047,-13.730386734008789,-14.419740676879883,-17.969106674194336,-18.37636947631836,-27.90804100036621,-24.417247772216797,-20.912731170654297,-22.742847442626953,-32.85440444946289,-35.27301788330078
44,-14.633500099182129,-12.571788787841797,-17.399112701416016,-14.896039962768555,-14.419740676879883,-13.730386734008789,-18.37636947631836,-17.969106674194336,-28.03690528869629,-24.675193786621094,-22.50767707824707,-20.445966720581055,-35.286949157714844,-32.78387451171875
45,-12.808443069458008,-14.638559341430664,-14.920948028564453,-17.259546279907227,-13.730386734008789,-14.419740676879883,-15.943859100341797,-16.710037231445312,-27.90804100036621,-24.585636138916016,-20.912731170654297,-22.742847442626953,-27.24614715576172,-29.58474349975586
46,-14.633500099182129,-12.571788787841797,-17.1632022857666,-14.598438262939453,-14.419740676879883,-13.730386734008789,-16.710037231445312,-15.943859100341797,-28.03690528869629,-24.528047561645508,-22.50767707824707,-20.445966720581055,-29.22787857055664,-26.66311264038086
47,-12.808443069458008,-14.638559341430664,-14.071280479431152,-15.891372680664062,-13.730386734008789,-14.419740676879883,-18.83573341369629,-19.211156845092773,-27.90804100036621,-23.299880981445312,-20.912731170654297,-22.742847442626953,-24.740921020507812,-26.561016082763672
48,-14.633500099182129,-12.571788787841797,-15.779254913330078,-13.7373046875,-14.419740676879883,-13.730386734008789,-19.211156845092773,-18.83573341369629,-28.03690528869629,-23.857484817504883,-22.50767707824707,-20.445966720581055,-26.394987106323242,-24.353036880493164
49,-13.613492965698242,-15.217201232910156,-12.344100952148438,-13.734962463378906,-15.235427856445312,-15.519542694091797,-14.040664672851562,-13.741242408752441,-26.487407684326172,-21.57280731201172,-26.663225173950195,-28.26693344116211,-30.806438446044922,-32.197296142578125
50,-15.03166389465332,-12.471731185913086,-14.409807205200195,-12.208266258239746,-15.519542694091797,-15.235427856445312,-13.741242408752441,-14.040664672851562,-25.91402816772461,-21.19586944580078,-27.715797424316406,-25.155866622924805,-33.121185302734375,-30.919645309448242
51,-13.613492965698242,-15.217201232910156,-14.754474639892578,-17.17308807373047,-15.235427856445312,-15.519542694091797,-17.969106674194336,-18.37636947631836,-26.487407684326172,-24.417247772216797,-26.663225173950195,-28.26693344116211,-32.85440444946289,-35.27301788330078
52,-15.03166389465332,-12.471731185913086,-17.399112701416016,-14.896039962768555,-15.519542694091797,-15.235427856445312,-18.37636947631836,-17.969106674194336,-25.91402816772461,-24.675193786621094,-27.715797424316406,-25.155866622924805,-35.286949157714844,-32.78387451171875
53,-13.613492965698242,-15.217201232910156,-14.920948028564453,-17.259546279907227,-15.235427856445312,-15.519542694091797,-15.943859100341797,-16.710037231445312,-26.487407684326172,-24.585636138916016,-26.663225173950195,-28.26693344116211,-27.24614715576172,-29.58474349975586
54,-15.03166389465332,-12.471731185913086,-17.1632022857666,-14.598438262939453,-15.519542694091797,-15.235427856445312,-16.710037231445312,-15.943859100341797,-25.91402816772461,-24.528047561645508,-27.715797424316406,-25.155866622924805,-29.22787857055664,-26.66311264038086
55,-13.613492965698242,-15.217201232910156,-14.071280479431152,-15.891372680664062,-15.235427856445312,-15.519542694091797,-18.83573341369629,-19.211156845092773,-26.487407684326172,-23.299880981445312,-26.663225173950195,-28.26693344116211,-24.740921020507812,-26.561016082763672
56,-15.03166389465332,-12.471731185913086,-15.779254913330078,-13.7373046875,-15.519542694091797,-15.235427856445312,-19.211156845092773,-18.83573341369629,-25.91402816772461,-23.857484817504883,-27.715797424316406,-25.155866622924805,-26.394987106323242,-24.353036880493164
57,-13.992378234863281,-15.81120491027832,-12.344100952148438,-13.734962463378906,-16.24007797241211,-16.459409713745117,-14.040664672851562,-13.741242408752441,-26.762680053710938,-21.57280731201172,-22.695518493652344,-24.51434326171875,-30.806438446044922,-32.197296142578125
58,-16.237716674804688,-13.514120101928711,-14.409807205200195,-12.208266258239746,-16.459409713745117,-16.24007797241211,-13.741242408752441,-14.040664672851562,-26.1402530670166,-21.19586944580078,-24.987171173095703,-22.26357650756836,-33.121185302734375,-30.919645309448242
59,-13.992378234863281,-15.81120491027832,-14.754474639892578,-17.17308807373047,-16.24007797241211,-16.459409713745117,-17.969106674194336,-18.37636947631836,-26.762680053710938,-24.417247772216797,-22.695518493652344,-24.51434326171875,-32.85440444946289,-35.27301788330078
60,-16.237716674804688,-13.514120101928711,-17.399112701416016,-14.896039962768555,-16.459409713745117,-16.24007797241211,-18.37636947631836,-17.969106674194336,-26.1402530670166,-24.675193786621094,-24.987171173095703,-22.26357650756836,-35.286949157714844,-32.78387451171875
61,-13.992378234863281,-15.81120491027832,-14.920948028564453,-17.259546279907227,-16.24007797241211,-16.459409713745117,-15.943859100341797,-16.710037231445312,-26.762680053710938,-24.585636138916016,-22.695518493652344,-24.51434326171875,-27.24614715576172,-29.58474349975586
62,-16.237716674804688,-13.514120101928711,-17.1632022857666,-14.598438262939453,-16.459409713745117,-16.24007797241211,-16.710037231445312,-15.943859100341797,-26.1402530670166,-24.528047561645508,-24.987171173095703,-22.26357650756836,-29.22787857055664,-26.66311264038086
63,-13.992378234863281,-15.81120491027832,-14.071280479431152,-15.891372680664062,-16.24007797241211,-16.459409713745117,-18.83573341369629,-19.211156845092773,-26.762680053710938,-23.299880981445312,-22.695518493652344,-24.51434326171875,-24.740921020507812,-26.561016082763672
64,-16.237716674804688,-13.514120101928711,-15.779254913330078,-13.7373046875,-16.459409713745117,-16.24007797241211,-19.211156845092773,-18.83573341369629,-26.1402530670166,-23.857484817504883,-24.987171173095703,-22.26357650756836,-26.394987106323242,-24.353036880493164
65,-9.205763816833496,-10.443525314331055,-9.467126846313477,-10.953486442565918,-14.377605438232422,-14.488716125488281,-13.246939659118652,-13.496240615844727,-24.17090606689453,-21.719846725463867,-15.95464038848877,-17.192401885986328,-27.795623779296875,-29.281984329223633
66,-9.746139526367188,-9.225221633911133,-10.108356475830078,-9.101972579956055,-14.488716125488281,-14.377605438232422,-13.496240615844727,-13.246939659118652,-25.404037475585938,-22.14858627319336,-17.120594024658203,-16.59967613220215,-29.0158748626709,-28.009490966796875
67,-9.205763816833496,-10.443525314331055,-11.6212158203125,-13.510270118713379,-14.377605438232422,-14.488716125488281,-16.70298194885254,-17.40488624572754,-24.17090606689453,-23.341020584106445,-15.95464038848877,-17.192401885986328,-30.831239700317383,-32.720298767089844
68,-9.746139526367188,-9.225221633911133,-13.134621620178223,-11.76240348815918,-14.488716125488281,-14.377605438232422,-17.40488624572754,-16.70298194885254,-25.404037475585938,-24.088621139526367,-17.120594024658203,-16.59967613220215,-32.707908630371094,-31.335691452026367
69,-9.205763816833496,-10.443525314331055,-11.783819198608398,-13.572296142578125,-14.377605438232422,-14.488716125488281,-14.63160514831543,-15.694180488586426,-24.17090606689453,-23.18407440185547,-15.95464038848877,-17.192401885986328,-24.44281768798828,-26.23129653930664
70,-9.746139526367188,-9.225221633911133,-12.794797897338867,-11.4388427734375,-14.488716125488281,-14.377605438232422,-15.694180488586426,-14.63160514831543,-25.404037475585938,-23.709579467773438,-17.120594024658203,-16.59967613220215,-25.649415969848633,-24.293460845947266
71,-9.205763816833496,-10.443525314331055,-11.371837615966797,-13.038080215454102,-14.377605438232422,-14.488716125488281,-17.83268928527832,-18.792226791381836,-24.17090606689453,-22.931171417236328,-15.95464038848877,-17.192401885986328,-22.5997371673584,-24.265979766845703
72,-9.746139526367188,-9.225221633911133,-12.386709213256836,-11.232816696166992,-14.488716125488281,-14.377605438232422,-18.792226791381836,-17.83268928527832,-25.404037475585938,-23.99748992919922,-17.120594024658203,-16.59967613220215,-24.072114944458008,-22.918224334716797
73,-11.478087425231934,-12.861164093017578,-9.467126846313477,-10.953486442565918,-11.819669723510742,-13.018901824951172,-13.246939659118652,-13.496240615844727,-28.549089431762695,-21.719846725463867,-18.870502471923828,-20.25358009338379,-27.795623779296875,-29.281984329223633
74,-12.324104309082031,-11.622578620910645,-10.108356475830078,-9.101972579956055,-13.018901824951172,-11.819669723510742,-13.496240615844727,-13.246939659118652,-29.53854751586914,-22.14858627319336,-19.76597023010254,-19.06444549560547,-29.0158748626709,-28.009490966796875
75,-11.478087425231934,-12.861164093017578,-11.6212158203125,-13.510270118713379,-11.819669723510742,-13.018901824951172,-16.70298194885254,-17.40488624572754,-28.549089431762695,-23.341020584106445,-18.870502471923828,-20.25358009338379,-30.831239700317383,-32.720298767089844
76,-12.324104309082031,-11.622578620910645,-13.134621620178223,-11.76240348815918,-13.018901824951172,-11.819669723510742,-17.40488624572754,-16.70298194885254,-29.53854751586914,-24.088621139526367,-19.76597023010254,-19.06444549560547,-32.707908630371094,-31.335691452026367
77,-11.478087425231934,-12.861164093017578,-11.783819198608398,-13.572296142578125,-11.819669723510742,-13.018901824951172,-14.63160514831543,-15.694180488586426,-28.549089431762695,-23.18407440185547,-18.870502471923828,-20.25358009338379,-24.44281768798828,-26.23129653930664
