idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-11.648126602172852,-11.43602180480957,-10.279668807983398,-10.935874938964844,-16.00714111328125,-16.090551376342773,-11.170978546142578,-11.86181354522705,-17.440141677856445,-14.638261795043945,-24.060680389404297,-23.84857177734375,-36.015838623046875,-36.67204666137695
2,-12.531329154968262,-11.142474174499512,-11.602313041687012,-10.307750701904297,-16.090551376342773,-16.00714111328125,-11.86181354522705,-11.170978546142578,-17.191844940185547,-14.620737075805664,-25.278602600097656,-23.889747619628906,-36.20304489135742,-34.908485412597656
3,-11.648126602172852,-11.43602180480957,-18.250911712646484,-19.7978572845459,-16.00714111328125,-16.090551376342773,-15.787972450256348,-16.137615203857422,-17.440141677856445,-19.519826889038086,-24.060680389404297,-23.84857177734375,-39.401702880859375,-40.94865036010742
4,-12.531329154968262,-11.142474174499512,-18.854581832885742,-17.886154174804688,-16.090551376342773,-16.00714111328125,-16.137615203857422,-15.787972450256348,-17.191844940185547,-19.917545318603516,-25.278602600097656,-23.889747619628906,-39.915283203125,-38.94685363769531
5,-11.648126602172852,-11.43602180480957,-18.860063552856445,-19.13455581665039,-16.00714111328125,-16.090551376342773,-15.771125793457031,-15.971065521240234,-17.440141677856445,-21.6110897064209,-24.060680389404297,-23.84857177734375,-35.90119934082031,-36.175689697265625
6,-12.531329154968262,-11.142474174499512,-20.515636444091797,-20.024097442626953,-16.090551376342773,-16.00714111328125,-15.971065521240234,-15.771125793457031,-17.191844940185547,-22.260515213012695,-25.278602600097656,-23.889747619628906,-37.613407135009766,-37.12186813354492
7,-11.648126602172852,-11.43602180480957,-15.13093376159668,-16.759910583496094,-16.00714111328125,-16.090551376342773,-13.58266830444336,-13.749794006347656,-17.440141677856445,-18.4310245513916,-24.060680389404297,-23.84857177734375,-31.587478637695312,-33.216453552246094
8,-12.531329154968262,-11.142474174499512,-17.67804527282715,-17.070446014404297,-16.090551376342773,-16.00714111328125,-13.749794006347656,-13.58266830444336,-17.191844940185547,-19.193117141723633,-25.278602600097656,-23.889747619628906,-34.307132720947266,-33.69953536987305
9,-19.199262619018555,-18.359569549560547,-10.279668807983398,-10.935874938964844,-13.544084548950195,-14.077064514160156,-11.170978546142578,-11.86181354522705,-23.882978439331055,-14.638261795043945,-33.881168365478516,-33.041473388671875,-36.015838623046875,-36.67204666137695
10,-20.346187591552734,-19.223529815673828,-11.602313041687012,-10.307750701904297,-14.077064514160156,-13.544084548950195,-11.86181354522705,-11.170978546142578,-21.95927619934082,-14.620737075805664,-34.78774642944336,-33.66509246826172,-36.20304489135742,-34.908485412597656
11,-19.199262619018555,-18.359569549560547,-18.250911712646484,-19.7978572845459,-13.544084548950195,-14.077064514160156,-15.787972450256348,-16.137615203857422,-23.882978439331055,-19.519826889038086,-33.881168365478516,-33.041473388671875,-39.401702880859375,-40.94865036010742
12,-20.346187591552734,-19.223529815673828,-18.854581832885742,-17.886154174804688,-14.077064514160156,-13.544084548950195,-16.137615203857422,-15.787972450256348,-21.95927619934082,-19.917545318603516,-34.78774642944336,-33.66509246826172,-39.915283203125,-38.94685363769531
13,-19.199262619018555,-18.359569549560547,-18.860063552856445,-19.13455581665039,-13.544084548950195,-14.077064514160156,-15.771125793457031,-15.971065521240234,-23.882978439331055,-21.6110897064209,-33.881168365478516,-33.041473388671875,-35.90119934082031,-36.175689697265625
14,-20.346187591552734,-19.223529815673828,-20.515636444091797,-20.024097442626953,-14.077064514160156,-13.544084548950195,-15.971065521240234,-15.771125793457031,-21.95927619934082,-22.260515213012695,-34.78774642944336,-33.66509246826172,-37.613407135009766,-37.12186813354492
15,-19.199262619018555,-18.359569549560547,-15.13093376159668,-16.759910583496094,-13.544084548950195,-14.077064514160156,-13.58266830444336,-13.749794006347656,-23.882978439331055,-18.4310245513916,-33.881168365478516,-33.041473388671875,-31.587478637695312,-33.216453552246094
16,-20.346187591552734,-19.223529815673828,-17.67804527282715,-17.070446014404297,-14.077064514160156,-13.544084548950195,-13.749794006347656,-13.58266830444336,-21.95927619934082,-19.193117141723633,-34.78774642944336,-33.66509246826172,-34.307132720947266,-33.69953536987305
17,-18.8944091796875,-20.11174201965332,-10.279668807983398,-10.935874938964844,-14.034367561340332,-14.3140869140625,-11.170978546142578,-11.86181354522705,-22.50947380065918,-14.638261795043945,-37.134708404541016,-38.35204315185547,-36.015838623046875,-36.67204666137695
18,-20.504390716552734,-17.76309585571289,-11.602313041687012,-10.307750701904297,-14.3140869140625,-14.034367561340332,-11.86181354522705,-11.170978546142578,-20.707332611083984,-14.620737075805664,-41.310333251953125,-38.56903839111328,-36.20304489135742,-34.908485412597656
19,-18.8944091796875,-20.11174201965332,-18.250911712646484,-19.7978572845459,-14.034367561340332,-14.3140869140625,-15.787972450256348,-16.137615203857422,-22.50947380065918,-19.519826889038086,-37.134708404541016,-38.35204315185547,-39.401702880859375,-40.94865036010742
20,-20.504390716552734,-17.76309585571289,-18.854581832885742,-17.886154174804688,-14.3140869140625,-14.034367561340332,-16.137615203857422,-15.787972450256348,-20.707332611083984,-19.917545318603516,-41.310333251953125,-38.56903839111328,-39.915283203125,-38.94685363769531
21,-18.8944091796875,-20.11174201965332,-18.860063552856445,-19.13455581665039,-14.034367561340332,-14.3140869140625,-15.771125793457031,-15.971065521240234,-22.50947380065918,-21.6110897064209,-37.134708404541016,-38.35204315185547,-35.90119934082031,-36.175689697265625
22,-20.504390716552734,-17.76309585571289,-20.515636444091797,-20.024097442626953,-14.3140869140625,-14.034367561340332,-15.971065521240234,-15.771125793457031,-20.707332611083984,-22.260515213012695,-41.310333251953125,-38.56903839111328,-37.613407135009766,-37.12186813354492
23,-18.8944091796875,-20.11174201965332,-15.13093376159668,-16.759910583496094,-14.034367561340332,-14.3140869140625,-13.58266830444336,-13.749794006347656,-22.50947380065918,-18.4310245513916,-37.134708404541016,-38.35204315185547,-31.587478637695312,-33.216453552246094
24,-20.504390716552734,-17.76309585571289,-17.67804527282715,-17.070446014404297,-14.3140869140625,-14.034367561340332,-13.749794006347656,-13.58266830444336,-20.707332611083984,-19.193117141723633,-41.310333251953125,-38.56903839111328,-34.307132720947266,-33.69953536987305
25,-16.453327178955078,-16.747600555419922,-10.279668807983398,-10.935874938964844,-16.34980010986328,-16.667747497558594,-11.170978546142578,-11.86181354522705,-18.682363510131836,-14.638261795043945,-28.614337921142578,-28.908611297607422,-36.015838623046875,-36.67204666137695
26,-17.5732479095459,-16.366249084472656,-11.602313041687012,-10.307750701904297,-16.667747497558594,-16.34980010986328,-11.86181354522705,-11.170978546142578,-18.08444595336914,-14.620737075805664,-30.542186737060547,-29.335189819335938,-36.20304489135742,-34.908485412597656
27,-16.453327178955078,-16.747600555419922,-18.250911712646484,-19.7978572845459,-16.34980010986328,-16.667747497558594,-15.787972450256348,-16.137615203857422,-18.682363510131836,-19.519826889038086,-28.614337921142578,-28.908611297607422,-39.401702880859375,-40.94865036010742
28,-17.5732479095459,-16.366249084472656,-18.854581832885742,-17.886154174804688,-16.667747497558594,-16.34980010986328,-16.137615203857422,-15.787972450256348,-18.08444595336914,-19.917545318603516,-30.542186737060547,-29.335189819335938,-39.915283203125,-38.94685363769531
29,-16.453327178955078,-16.747600555419922,-18.860063552856445,-19.13455581665039,-16.34980010986328,-16.667747497558594,-15.771125793457031,-15.971065521240234,-18.682363510131836,-21.6110897064209,-28.614337921142578,-28.908611297607422,-35.90119934082031,-36.175689697265625
30,-17.5732479095459,-16.366249084472656,-20.515636444091797,-20.024097442626953,-16.667747497558594,-16.34980010986328,-15.971065521240234,-15.771125793457031,-18.08444595336914,-22.260515213012695,-30.542186737060547,-29.335189819335938,-37.613407135009766,-37.12186813354492
31,-16.453327178955078,-16.747600555419922,-15.13093376159668,-16.759910583496094,-16.34980010986328,-16.667747497558594,-13.58266830444336,-13.749794006347656,-18.682363510131836,-18.4310245513916,-28.614337921142578,-28.908611297607422,-31.587478637695312,-33.216453552246094
32,-17.5732479095459,-16.366249084472656,-17.67804527282715,-17.070446014404297,-16.667747497558594,-16.34980010986328,-13.749794006347656,-13.58266830444336,-18.08444595336914,-19.193117141723633,-30.542186737060547,-29.335189819335938,-34.307132720947266,-33.69953536987305
33,-16.68195343017578,-16.950687408447266,-14.909834861755371,-16.1671142578125,-17.314697265625,-17.570541381835938,-12.069602966308594,-12.787697792053223,-17.948772430419922,-14.705951690673828,-27.822078704833984,-28.09081268310547,-40.43893814086914,-41.69621658325195
34,-15.560502052307129,-14.38083267211914,-15.07971477508545,-13.223410606384277,-17.570541381835938,-17.314697265625,-12.787697792053223,-12.069602966308594,-18.02428436279297,-15.263505935668945,-27.091747283935547,-25.912080764770508,-40.292274475097656,-38.435970306396484
35,-16.68195343017578,-16.950687408447266,-22.125743865966797,-23.027584075927734,-17.314697265625,-17.570541381835938,-16.812381744384766,-16.85921859741211,-17.948772430419922,-20.48681640625,-27.822078704833984,-28.09081268310547,-45.38550567626953,-46.28734588623047
36,-15.560502052307129,-14.38083267211914,-22.25514030456543,-20.479232788085938,-17.570541381835938,-17.314697265625,-16.85921859741211,-16.812381744384766,-18.02428436279297,-20.491512298583984,-27.091747283935547,-25.912080764770508,-45.697914123535156,-43.9220085144043
37,-16.68195343017578,-16.950687408447266,-25.080801010131836,-25.801727294921875,-17.314697265625,-17.570541381835938,-16.988269805908203,-16.934162139892578,-17.948772430419922,-21.42717742919922,-27.822078704833984,-28.09081268310547,-42.92999267578125,-43.65092086791992
38,-15.560502052307129,-14.38083267211914,-24.731718063354492,-22.823440551757812,-17.570541381835938,-17.314697265625,-16.934162139892578,-16.988269805908203,-18.02428436279297,-22.122764587402344,-27.091747283935547,-25.912080764770508,-42.78721618652344,-40.878936767578125
