idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-10.885223388671875,-10.540109634399414,-10.78329849243164,-10.491636276245117,-14.768257141113281,-15.330839157104492,-11.467350006103516,-11.911558151245117,-21.666362762451172,-21.74414825439453,-18.452512741088867,-18.107398986816406,-27.993515014648438,-27.701852798461914
2,-11.469339370727539,-11.19478988647461,-10.961145401000977,-10.835721969604492,-15.330839157104492,-14.768257141113281,-11.911558151245117,-11.467350006103516,-21.735031127929688,-22.02985954284668,-19.796127319335938,-19.521577835083008,-28.454357147216797,-28.328933715820312
3,-10.885223388671875,-10.540109634399414,-15.081483840942383,-15.5416841506958,-14.768257141113281,-15.330839157104492,-15.199670791625977,-16.035625457763672,-21.666362762451172,-24.068559646606445,-18.452512741088867,-18.107398986816406,-28.533584594726562,-28.993783950805664
4,-11.469339370727539,-11.19478988647461,-15.285295486450195,-14.369840621948242,-15.330839157104492,-14.768257141113281,-16.035625457763672,-15.199670791625977,-21.735031127929688,-25.135217666625977,-19.796127319335938,-19.521577835083008,-29.175737380981445,-28.26028060913086
5,-10.885223388671875,-10.540109634399414,-13.128864288330078,-14.049509048461914,-14.768257141113281,-15.330839157104492,-15.019153594970703,-15.508903503417969,-21.666362762451172,-23.57640838623047,-18.452512741088867,-18.107398986816406,-24.651857376098633,-25.57250213623047
6,-11.469339370727539,-11.19478988647461,-13.634942054748535,-13.007820129394531,-15.330839157104492,-14.768257141113281,-15.508903503417969,-15.019153594970703,-21.735031127929688,-24.497859954833984,-19.796127319335938,-19.521577835083008,-25.646520614624023,-25.019397735595703
7,-10.885223388671875,-10.540109634399414,-13.521294593811035,-14.143181800842285,-14.768257141113281,-15.330839157104492,-15.666423797607422,-16.757905960083008,-21.666362762451172,-22.91290283203125,-18.452512741088867,-18.107398986816406,-22.296558380126953,-22.918445587158203
8,-11.469339370727539,-11.19478988647461,-14.546941757202148,-13.528972625732422,-15.330839157104492,-14.768257141113281,-16.757905960083008,-15.666423797607422,-21.735031127929688,-24.17977523803711,-19.796127319335938,-19.521577835083008,-23.459030151367188,-22.441062927246094
9,-15.134227752685547,-16.939939498901367,-10.78329849243164,-10.491636276245117,-12.826662063598633,-13.778214454650879,-11.467350006103516,-11.911558151245117,-26.272438049316406,-21.74414825439453,-22.35605812072754,-24.16176986694336,-27.993515014648438,-27.701852798461914
10,-16.14950180053711,-15.237016677856445,-10.961145401000977,-10.835721969604492,-13.778214454650879,-12.826662063598633,-11.911558151245117,-11.467350006103516,-26.90655517578125,-22.02985954284668,-24.71942710876465,-23.806941986083984,-28.454357147216797,-28.328933715820312
11,-15.134227752685547,-16.939939498901367,-15.081483840942383,-15.5416841506958,-12.826662063598633,-13.778214454650879,-15.199670791625977,-16.035625457763672,-26.272438049316406,-24.068559646606445,-22.35605812072754,-24.16176986694336,-28.533584594726562,-28.993783950805664
12,-16.14950180053711,-15.237016677856445,-15.285295486450195,-14.369840621948242,-13.778214454650879,-12.826662063598633,-16.035625457763672,-15.199670791625977,-26.90655517578125,-25.135217666625977,-24.71942710876465,-23.806941986083984,-29.175737380981445,-28.26028060913086
13,-15.134227752685547,-16.939939498901367,-13.128864288330078,-14.049509048461914,-12.826662063598633,-13.778214454650879,-15.019153594970703,-15.508903503417969,-26.272438049316406,-23.57640838623047,-22.35605812072754,-24.16176986694336,-24.651857376098633,-25.57250213623047
14,-16.14950180053711,-15.237016677856445,-13.634942054748535,-13.007820129394531,-13.778214454650879,-12.826662063598633,-15.508903503417969,-15.019153594970703,-26.90655517578125,-24.497859954833984,-24.71942710876465,-23.806941986083984,-25.646520614624023,-25.019397735595703
15,-15.134227752685547,-16.939939498901367,-13.521294593811035,-14.143181800842285,-12.826662063598633,-13.778214454650879,-15.666423797607422,-16.757905960083008,-26.272438049316406,-22.91290283203125,-22.35605812072754,-24.16176986694336,-22.296558380126953,-22.918445587158203
16,-16.14950180053711,-15.237016677856445,-14.546941757202148,-13.528972625732422,-13.778214454650879,-12.826662063598633,-16.757905960083008,-15.666423797607422,-26.90655517578125,-24.17977523803711,-24.71942710876465,-23.806941986083984,-23.459030151367188,-22.441062927246094
