idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-18.6616268157959,-24.01219940185547,-19.7635498046875,-20.64861297607422,-12.777941703796387,-13.588112831115723,-12.855520248413086,-13.555231094360352,-32.03293228149414,-23.245018005371094,-48.43638610839844,-53.786956787109375,-66.717041015625,-67.60211181640625
2,-21.46002197265625,-17.44292449951172,-21.403745651245117,-19.599506378173828,-13.588112831115723,-12.777941703796387,-13.555231094360352,-12.855520248413086,-29.13547134399414,-24.746814727783203,-51.98999786376953,-47.972904205322266,-67.02102661132812,-65.216796875
3,-18.6616268157959,-24.01219940185547,-27.28145980834961,-34.725929260253906,-12.777941703796387,-13.588112831115723,-17.664079666137695,-20.492660522460938,-32.03293228149414,-33.772579193115234,-48.43638610839844,-53.786956787109375,-64.30191040039062,-71.74637603759766
4,-21.46002197265625,-17.44292449951172,-35.40988540649414,-26.08017349243164,-13.588112831115723,-12.777941703796387,-20.492660522460938,-17.664079666137695,-29.13547134399414,-30.16948127746582,-51.98999786376953,-47.972904205322266,-77.34208679199219,-68.01237487792969
5,-18.6616268157959,-24.01219940185547,-30.581405639648438,-36.26979446411133,-12.777941703796387,-13.588112831115723,-17.304553985595703,-18.968393325805664,-32.03293228149414,-32.454891204833984,-48.43638610839844,-53.786956787109375,-64.79600524902344,-70.48439025878906
6,-21.46002197265625,-17.44292449951172,-35.23811340332031,-30.152122497558594,-13.588112831115723,-12.777941703796387,-18.968393325805664,-17.304553985595703,-29.13547134399414,-31.71432876586914,-51.98999786376953,-47.972904205322266,-72.72123718261719,-67.63524627685547
7,-18.6616268157959,-24.01219940185547,-28.867902755737305,-36.03247833251953,-12.777941703796387,-13.588112831115723,-16.703536987304688,-18.221195220947266,-32.03293228149414,-35.849056243896484,-48.43638610839844,-53.786956787109375,-61.95431900024414,-69.118896484375
8,-21.46002197265625,-17.44292449951172,-32.77043914794922,-28.694324493408203,-13.588112831115723,-12.777941703796387,-18.221195220947266,-16.703536987304688,-29.13547134399414,-34.222877502441406,-51.98999786376953,-47.972904205322266,-68.08169555664062,-64.00557708740234
9,-26.736377716064453,-28.84593963623047,-19.7635498046875,-20.64861297607422,-12.682950973510742,-14.451691627502441,-12.855520248413086,-13.555231094360352,-34.810951232910156,-23.245018005371094,-59.33418273925781,-61.44374465942383,-66.717041015625,-67.60211181640625
10,-26.935514450073242,-24.924514770507812,-21.403745651245117,-19.599506378173828,-14.451691627502441,-12.682950973510742,-13.555231094360352,-12.855520248413086,-37.90708923339844,-24.746814727783203,-66.57695770263672,-64.56595611572266,-67.02102661132812,-65.216796875
