idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-19.784238815307617,-22.350080490112305,-25.363832473754883,-27.616634368896484,-13.707805633544922,-15.648015975952148,-12.193836212158203,-14.272845268249512,-21.242252349853516,-23.816370010375977,-34.13124084472656,-36.69708251953125,-55.32279968261719,-57.575599670410156
2,-24.523292541503906,-19.520904541015625,-30.489013671875,-26.46770477294922,-15.648015975952148,-13.707805633544922,-14.272845268249512,-12.193836212158203,-23.14989471435547,-26.196401596069336,-37.969207763671875,-32.966819763183594,-60.956871032714844,-56.9355583190918
3,-19.784238815307617,-22.350080490112305,-28.202138900756836,-30.407577514648438,-13.707805633544922,-15.648015975952148,-19.40566635131836,-22.450817108154297,-21.242252349853516,-21.810089111328125,-34.13124084472656,-36.69708251953125,-55.179786682128906,-57.38522720336914
4,-24.523292541503906,-19.520904541015625,-30.300086975097656,-28.158580780029297,-15.648015975952148,-13.707805633544922,-22.450817108154297,-19.40566635131836,-23.14989471435547,-21.443485260009766,-37.969207763671875,-32.966819763183594,-56.60602569580078,-54.464515686035156
5,-19.784238815307617,-22.350080490112305,-38.089412689208984,-39.89440155029297,-13.707805633544922,-15.648015975952148,-16.165943145751953,-18.378253936767578,-21.242252349853516,-31.4005126953125,-34.13124084472656,-36.69708251953125,-59.59752655029297,-61.40251922607422
6,-24.523292541503906,-19.520904541015625,-41.42377471923828,-39.92841339111328,-15.648015975952148,-13.707805633544922,-18.378253936767578,-16.165943145751953,-23.14989471435547,-32.10844421386719,-37.969207763671875,-32.966819763183594,-61.221839904785156,-59.726478576660156
7,-19.784238815307617,-22.350080490112305,-32.894588470458984,-35.356868743896484,-13.707805633544922,-15.648015975952148,-16.007488250732422,-18.701160430908203,-21.242252349853516,-27.037200927734375,-34.13124084472656,-36.69708251953125,-48.784481048583984,-51.24676513671875
8,-24.523292541503906,-19.520904541015625,-38.30206298828125,-35.59119415283203,-15.648015975952148,-13.707805633544922,-18.701160430908203,-16.007488250732422,-23.14989471435547,-30.85759925842285,-37.969207763671875,-32.966819763183594,-53.16880798339844,-50.45793914794922
9,-22.30010986328125,-23.705204010009766,-25.363832473754883,-27.616634368896484,-12.648497581481934,-15.947265625,-12.193836212158203,-14.272845268249512,-22.501033782958984,-23.816370010375977,-45.184505462646484,-46.589599609375,-55.32279968261719,-57.575599670410156
10,-24.228397369384766,-21.348905563354492,-30.489013671875,-26.46770477294922,-15.947265625,-12.648497581481934,-14.272845268249512,-12.193836212158203,-21.867015838623047,-26.196401596069336,-45.30944061279297,-42.42995071411133,-60.956871032714844,-56.9355583190918
11,-22.30010986328125,-23.705204010009766,-28.202138900756836,-30.407577514648438,-12.648497581481934,-15.947265625,-19.40566635131836,-22.450817108154297,-22.501033782958984,-21.810089111328125,-45.184505462646484,-46.589599609375,-55.179786682128906,-57.38522720336914
12,-24.228397369384766,-21.348905563354492,-30.300086975097656,-28.158580780029297,-15.947265625,-12.648497581481934,-22.450817108154297,-19.40566635131836,-21.867015838623047,-21.443485260009766,-45.30944061279297,-42.42995071411133,-56.60602569580078,-54.464515686035156
13,-22.30010986328125,-23.705204010009766,-38.089412689208984,-39.89440155029297,-12.648497581481934,-15.947265625,-16.165943145751953,-18.378253936767578,-22.501033782958984,-31.4005126953125,-45.184505462646484,-46.589599609375,-59.59752655029297,-61.40251922607422
14,-24.228397369384766,-21.348905563354492,-41.42377471923828,-39.92841339111328,-15.947265625,-12.648497581481934,-18.378253936767578,-16.165943145751953,-21.867015838623047,-32.10844421386719,-45.30944061279297,-42.42995071411133,-61.221839904785156,-59.726478576660156
15,-22.30010986328125,-23.705204010009766,-32.894588470458984,-35.356868743896484,-12.648497581481934,-15.947265625,-16.007488250732422,-18.701160430908203,-22.501033782958984,-27.037200927734375,-45.184505462646484,-46.589599609375,-48.784481048583984,-51.24676513671875
16,-24.228397369384766,-21.348905563354492,-38.30206298828125,-35.59119415283203,-15.947265625,-12.648497581481934,-18.701160430908203,-16.007488250732422,-21.867015838623047,-30.85759925842285,-45.30944061279297,-42.42995071411133,-53.16880798339844,-50.45793914794922
17,-24.174240112304688,-26.2523193359375,-25.363832473754883,-27.616634368896484,-16.635272979736328,-18.4647216796875,-12.193836212158203,-14.272845268249512,-22.82447052001953,-23.816370010375977,-47.211334228515625,-49.28941345214844,-55.32279968261719,-57.575599670410156
18,-27.753002166748047,-23.68039894104004,-30.489013671875,-26.46770477294922,-18.4647216796875,-16.635272979736328,-14.272845268249512,-12.193836212158203,-23.199199676513672,-26.196401596069336,-50.72462844848633,-46.65202331542969,-60.956871032714844,-56.9355583190918
19,-24.174240112304688,-26.2523193359375,-28.202138900756836,-30.407577514648438,-16.635272979736328,-18.4647216796875,-19.40566635131836,-22.450817108154297,-22.82447052001953,-21.810089111328125,-47.211334228515625,-49.28941345214844,-55.179786682128906,-57.38522720336914
20,-27.753002166748047,-23.68039894104004,-30.300086975097656,-28.158580780029297,-18.4647216796875,-16.635272979736328,-22.450817108154297,-19.40566635131836,-23.199199676513672,-21.443485260009766,-50.72462844848633,-46.65202331542969,-56.60602569580078,-54.464515686035156
21,-24.174240112304688,-26.2523193359375,-38.089412689208984,-39.89440155029297,-16.635272979736328,-18.4647216796875,-16.165943145751953,-18.378253936767578,-22.82447052001953,-31.4005126953125,-47.211334228515625,-49.28941345214844,-59.59752655029297,-61.40251922607422
22,-27.753002166748047,-23.68039894104004,-41.42377471923828,-39.92841339111328,-18.4647216796875,-16.635272979736328,-18.378253936767578,-16.165943145751953,-23.199199676513672,-32.10844421386719,-50.72462844848633,-46.65202331542969,-61.221839904785156,-59.726478576660156
23,-24.174240112304688,-26.2523193359375,-32.894588470458984,-35.356868743896484,-16.635272979736328,-18.4647216796875,-16.007488250732422,-18.701160430908203,-22.82447052001953,-27.037200927734375,-47.211334228515625,-49.28941345214844,-48.784481048583984,-51.24676513671875
24,-27.753002166748047,-23.68039894104004,-38.30206298828125,-35.59119415283203,-18.4647216796875,-16.635272979736328,-18.701160430908203,-16.007488250732422,-23.199199676513672,-30.85759925842285,-50.72462844848633,-46.65202331542969,-53.16880798339844,-50.45793914794922
25,-24.611791610717773,-25.786548614501953,-25.363832473754883,-27.616634368896484,-16.532371520996094,-18.22026824951172,-12.193836212158203,-14.272845268249512,-19.16097068786621,-23.816370010375977,-46.785614013671875,-47.96036911010742,-55.32279968261719,-57.575599670410156
26,-26.61406898498535,-24.081119537353516,-30.489013671875,-26.46770477294922,-18.22026824951172,-16.532371520996094,-14.272845268249512,-12.193836212158203,-18.92876625061035,-26.196401596069336,-49.954612731933594,-47.421661376953125,-60.956871032714844,-56.9355583190918
27,-24.611791610717773,-25.786548614501953,-28.202138900756836,-30.407577514648438,-16.532371520996094,-18.22026824951172,-19.40566635131836,-22.450817108154297,-19.16097068786621,-21.810089111328125,-46.785614013671875,-47.96036911010742,-55.179786682128906,-57.38522720336914
28,-26.61406898498535,-24.081119537353516,-30.300086975097656,-28.158580780029297,-18.22026824951172,-16.532371520996094,-22.450817108154297,-19.40566635131836,-18.92876625061035,-21.443485260009766,-49.954612731933594,-47.421661376953125,-56.60602569580078,-54.464515686035156
