idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-9.152725219726562,-9.530966758728027,-10.851033210754395,-11.224153518676758,-13.485594749450684,-14.077108383178711,-11.77259635925293,-12.794495582580566,-18.891292572021484,-18.772483825683594,-16.307376861572266,-16.68562126159668,-29.848114013671875,-30.221233367919922
2,-10.077384948730469,-8.092865943908691,-12.07657241821289,-9.578829765319824,-14.077108383178711,-13.485594749450684,-12.794495582580566,-11.77259635925293,-19.562332153320312,-19.406936645507812,-18.049863815307617,-16.065343856811523,-30.89708137512207,-28.399337768554688
3,-9.152725219726562,-9.530966758728027,-13.681154251098633,-15.420833587646484,-13.485594749450684,-14.077108383178711,-16.8120059967041,-19.067930221557617,-18.891292572021484,-19.709190368652344,-16.307376861572266,-16.68562126159668,-27.194049835205078,-28.933731079101562
4,-10.077384948730469,-8.092865943908691,-15.175750732421875,-12.25346565246582,-14.077108383178711,-13.485594749450684,-19.067930221557617,-16.8120059967041,-19.562332153320312,-19.90958023071289,-18.049863815307617,-16.065343856811523,-28.58589744567871,-25.663612365722656
5,-9.152725219726562,-9.530966758728027,-13.96015453338623,-15.527519226074219,-13.485594749450684,-14.077108383178711,-15.685303688049316,-16.666065216064453,-18.891292572021484,-19.290782928466797,-16.307376861572266,-16.68562126159668,-26.73711395263672,-28.304479598999023
6,-10.077384948730469,-8.092865943908691,-15.844886779785156,-12.952191352844238,-14.077108383178711,-13.485594749450684,-16.666065216064453,-15.685303688049316,-19.562332153320312,-19.697574615478516,-18.049863815307617,-16.065343856811523,-28.3441162109375,-25.4514217376709
7,-9.152725219726562,-9.530966758728027,-13.740740776062012,-15.662370681762695,-13.485594749450684,-14.077108383178711,-15.770730018615723,-17.746326446533203,-18.891292572021484,-19.55152130126953,-16.307376861572266,-16.68562126159668,-24.386817932128906,-26.308446884155273
8,-10.077384948730469,-8.092865943908691,-16.21359634399414,-12.967693328857422,-14.077108383178711,-13.485594749450684,-17.746326446533203,-15.770730018615723,-19.562332153320312,-19.92919158935547,-18.049863815307617,-16.065343856811523,-26.32590103149414,-23.07999610900879
9,-12.984440803527832,-12.791196823120117,-10.851033210754395,-11.224153518676758,-13.047941207885742,-14.478363990783691,-11.77259635925293,-12.794495582580566,-22.47879409790039,-18.772483825683594,-22.231700897216797,-22.0384578704834,-29.848114013671875,-30.221233367919922
10,-13.065404891967773,-10.387523651123047,-12.07657241821289,-9.578829765319824,-14.478363990783691,-13.047941207885742,-12.794495582580566,-11.77259635925293,-23.16574478149414,-19.406936645507812,-22.07434844970703,-19.396465301513672,-30.89708137512207,-28.399337768554688
11,-12.984440803527832,-12.791196823120117,-13.681154251098633,-15.420833587646484,-13.047941207885742,-14.478363990783691,-16.8120059967041,-19.067930221557617,-22.47879409790039,-19.709190368652344,-22.231700897216797,-22.0384578704834,-27.194049835205078,-28.933731079101562
12,-13.065404891967773,-10.387523651123047,-15.175750732421875,-12.25346565246582,-14.478363990783691,-13.047941207885742,-19.067930221557617,-16.8120059967041,-23.16574478149414,-19.90958023071289,-22.07434844970703,-19.396465301513672,-28.58589744567871,-25.663612365722656
13,-12.984440803527832,-12.791196823120117,-13.96015453338623,-15.527519226074219,-13.047941207885742,-14.478363990783691,-15.685303688049316,-16.666065216064453,-22.47879409790039,-19.290782928466797,-22.231700897216797,-22.0384578704834,-26.73711395263672,-28.304479598999023
14,-13.065404891967773,-10.387523651123047,-15.844886779785156,-12.952191352844238,-14.478363990783691,-13.047941207885742,-16.666065216064453,-15.685303688049316,-23.16574478149414,-19.697574615478516,-22.07434844970703,-19.396465301513672,-28.3441162109375,-25.4514217376709
15,-12.984440803527832,-12.791196823120117,-13.740740776062012,-15.662370681762695,-13.047941207885742,-14.478363990783691,-15.770730018615723,-17.746326446533203,-22.47879409790039,-19.55152130126953,-22.231700897216797,-22.0384578704834,-24.386817932128906,-26.308446884155273
16,-13.065404891967773,-10.387523651123047,-16.21359634399414,-12.967693328857422,-14.478363990783691,-13.047941207885742,-17.746326446533203,-15.770730018615723,-23.16574478149414,-19.92919158935547,-22.07434844970703,-19.396465301513672,-26.32590103149414,-23.07999610900879
17,-14.709692001342773,-15.407642364501953,-10.851033210754395,-11.224153518676758,-16.388229370117188,-16.62877655029297,-11.77259635925293,-12.794495582580566,-20.447282791137695,-18.772483825683594,-26.872398376464844,-27.57034683227539,-29.848114013671875,-30.221233367919922
18,-15.630075454711914,-14.088407516479492,-12.07657241821289,-9.578829765319824,-16.62877655029297,-16.388229370117188,-12.794495582580566,-11.77259635925293,-20.527254104614258,-19.406936645507812,-27.414194107055664,-25.872526168823242,-30.89708137512207,-28.399337768554688
19,-14.709692001342773,-15.407642364501953,-13.681154251098633,-15.420833587646484,-16.388229370117188,-16.62877655029297,-16.8120059967041,-19.067930221557617,-20.447282791137695,-19.709190368652344,-26.872398376464844,-27.57034683227539,-27.194049835205078,-28.933731079101562
20,-15.630075454711914,-14.088407516479492,-15.175750732421875,-12.25346565246582,-16.62877655029297,-16.388229370117188,-19.067930221557617,-16.8120059967041,-20.527254104614258,-19.90958023071289,-27.414194107055664,-25.872526168823242,-28.58589744567871,-25.663612365722656
21,-14.709692001342773,-15.407642364501953,-13.96015453338623,-15.527519226074219,-16.388229370117188,-16.62877655029297,-15.685303688049316,-16.666065216064453,-20.447282791137695,-19.290782928466797,-26.872398376464844,-27.57034683227539,-26.73711395263672,-28.304479598999023
22,-15.630075454711914,-14.088407516479492,-15.844886779785156,-12.952191352844238,-16.62877655029297,-16.388229370117188,-16.666065216064453,-15.685303688049316,-20.527254104614258,-19.697574615478516,-27.414194107055664,-25.872526168823242,-28.3441162109375,-25.4514217376709
23,-14.709692001342773,-15.407642364501953,-13.740740776062012,-15.662370681762695,-16.388229370117188,-16.62877655029297,-15.770730018615723,-17.746326446533203,-20.447282791137695,-19.55152130126953,-26.872398376464844,-27.57034683227539,-24.386817932128906,-26.308446884155273
24,-15.630075454711914,-14.088407516479492,-16.21359634399414,-12.967693328857422,-16.62877655029297,-16.388229370117188,-17.746326446533203,-15.770730018615723,-20.527254104614258,-19.92919158935547,-27.414194107055664,-25.872526168823242,-26.32590103149414,-23.07999610900879
25,-13.840495109558105,-14.897128105163574,-10.851033210754395,-11.224153518676758,-16.1964111328125,-16.555925369262695,-11.77259635925293,-12.794495582580566,-19.481868743896484,-18.772483825683594,-24.564674377441406,-25.621307373046875,-29.848114013671875,-30.221233367919922
26,-15.340066909790039,-12.747261047363281,-12.07657241821289,-9.578829765319824,-16.555925369262695,-16.1964111328125,-12.794495582580566,-11.77259635925293,-19.83653450012207,-19.406936645507812,-25.949888229370117,-23.357084274291992,-30.89708137512207,-28.399337768554688
27,-13.840495109558105,-14.897128105163574,-13.681154251098633,-15.420833587646484,-16.1964111328125,-16.555925369262695,-16.8120059967041,-19.067930221557617,-19.481868743896484,-19.709190368652344,-24.564674377441406,-25.621307373046875,-27.194049835205078,-28.933731079101562
28,-15.340066909790039,-12.747261047363281,-15.175750732421875,-12.25346565246582,-16.555925369262695,-16.1964111328125,-19.067930221557617,-16.8120059967041,-19.83653450012207,-19.90958023071289,-25.949888229370117,-23.357084274291992,-28.58589744567871,-25.663612365722656
29,-13.840495109558105,-14.897128105163574,-13.96015453338623,-15.527519226074219,-16.1964111328125,-16.555925369262695,-15.685303688049316,-16.666065216064453,-19.481868743896484,-19.290782928466797,-24.564674377441406,-25.621307373046875,-26.73711395263672,-28.304479598999023
30,-15.340066909790039,-12.747261047363281,-15.844886779785156,-12.952191352844238,-16.555925369262695,-16.1964111328125,-16.666065216064453,-15.685303688049316,-19.83653450012207,-19.697574615478516,-25.949888229370117,-23.357084274291992,-28.3441162109375,-25.4514217376709
31,-13.840495109558105,-14.897128105163574,-13.740740776062012,-15.662370681762695,-16.1964111328125,-16.555925369262695,-15.770730018615723,-17.746326446533203,-19.481868743896484,-19.55152130126953,-24.564674377441406,-25.621307373046875,-24.386817932128906,-26.308446884155273
32,-15.340066909790039,-12.747261047363281,-16.21359634399414,-12.967693328857422,-16.555925369262695,-16.1964111328125,-17.746326446533203,-15.770730018615723,-19.83653450012207,-19.92919158935547,-25.949888229370117,-23.357084274291992,-26.32590103149414,-23.07999610900879
33,-9.934087753295898,-10.117109298706055,-11.21805477142334,-11.792884826660156,-15.29042911529541,-15.721531867980957,-12.509550094604492,-13.440656661987305,-18.484554290771484,-18.707233428955078,-17.62696647644043,-17.809988021850586,-30.084308624267578,-30.659137725830078
34,-9.923726081848145,-9.158592224121094,-11.896564483642578,-10.611551284790039,-15.721531867980957,-15.29042911529541,-13.440656661987305,-12.509550094604492,-19.138965606689453,-18.697307586669922,-17.22381591796875,-16.458683013916016,-30.50470542907715,-29.219694137573242
35,-9.934087753295898,-10.117109298706055,-15.089177131652832,-17.450002670288086,-15.29042911529541,-15.721531867980957,-17.76346206665039,-20.02972412109375,-18.484554290771484,-19.2314395904541,-17.62696647644043,-17.809988021850586,-29.542545318603516,-31.903369903564453
36,-9.923726081848145,-9.158592224121094,-16.069318771362305,-14.255226135253906,-15.721531867980957,-15.29042911529541,-20.02972412109375,-17.76346206665039,-19.138965606689453,-20.492679595947266,-17.22381591796875,-16.458683013916016,-29.42876625061035,-27.614673614501953
