idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-9.802665710449219,-10.840242385864258,-8.852575302124023,-10.139344215393066,-23.91053581237793,-22.479366302490234
2,-11.013835906982422,-9.725081443786621,-10.157333374023438,-8.651683807373047,-24.54281997680664,-22.921810150146484
3,-9.802665710449219,-10.840242385864258,-11.124916076660156,-13.861984252929688,-23.91053581237793,-25.65225601196289
4,-11.013835906982422,-9.725081443786621,-13.836614608764648,-10.949942588806152,-24.54281997680664,-26.004100799560547
5,-9.802665710449219,-10.840242385864258,-12.271697044372559,-14.420600891113281,-23.91053581237793,-26.644145965576172
6,-11.013835906982422,-9.725081443786621,-14.620416641235352,-12.470240592956543,-24.54281997680664,-27.301912307739258
7,-9.802665710449219,-10.840242385864258,-11.791833877563477,-14.056133270263672,-23.91053581237793,-26.344223022460938
8,-11.013835906982422,-9.725081443786621,-14.365309715270996,-11.754748344421387,-24.54281997680664,-27.102802276611328
9,-11.356704711914062,-13.666191101074219,-8.852575302124023,-10.139344215393066,-28.74432945251465,-22.479366302490234
10,-13.468448638916016,-11.306352615356445,-10.157333374023438,-8.651683807373047,-29.443008422851562,-22.921810150146484
11,-11.356704711914062,-13.666191101074219,-11.124916076660156,-13.861984252929688,-28.74432945251465,-25.65225601196289
12,-13.468448638916016,-11.306352615356445,-13.836614608764648,-10.949942588806152,-29.443008422851562,-26.004100799560547
13,-11.356704711914062,-13.666191101074219,-12.271697044372559,-14.420600891113281,-28.74432945251465,-26.644145965576172
14,-13.468448638916016,-11.306352615356445,-14.620416641235352,-12.470240592956543,-29.443008422851562,-27.301912307739258
15,-11.356704711914062,-13.666191101074219,-11.791833877563477,-14.056133270263672,-28.74432945251465,-26.344223022460938
16,-13.468448638916016,-11.306352615356445,-14.365309715270996,-11.754748344421387,-29.443008422851562,-27.102802276611328
17,-11.497097969055176,-13.370926856994629,-8.852575302124023,-10.139344215393066,-26.197877883911133,-22.479366302490234
18,-12.810909271240234,-11.135668754577637,-10.157333374023438,-8.651683807373047,-26.440160751342773,-22.921810150146484
19,-11.497097969055176,-13.370926856994629,-11.124916076660156,-13.861984252929688,-26.197877883911133,-25.65225601196289
20,-12.810909271240234,-11.135668754577637,-13.836614608764648,-10.949942588806152,-26.440160751342773,-26.004100799560547
21,-11.497097969055176,-13.370926856994629,-12.271697044372559,-14.420600891113281,-26.197877883911133,-26.644145965576172
22,-12.810909271240234,-11.135668754577637,-14.620416641235352,-12.470240592956543,-26.440160751342773,-27.301912307739258
23,-11.497097969055176,-13.370926856994629,-11.791833877563477,-14.056133270263672,-26.197877883911133,-26.344223022460938
24,-12.810909271240234,-11.135668754577637,-14.365309715270996,-11.754748344421387,-26.440160751342773,-27.102802276611328
25,-11.704328536987305,-13.3038330078125,-8.852575302124023,-10.139344215393066,-26.271129608154297,-22.479366302490234
26,-13.367573738098145,-11.008769035339355,-10.157333374023438,-8.651683807373047,-26.679035186767578,-22.921810150146484
27,-11.704328536987305,-13.3038330078125,-11.124916076660156,-13.861984252929688,-26.271129608154297,-25.65225601196289
28,-13.367573738098145,-11.008769035339355,-13.836614608764648,-10.949942588806152,-26.679035186767578,-26.004100799560547
29,-11.704328536987305,-13.3038330078125,-12.271697044372559,-14.420600891113281,-26.271129608154297,-26.644145965576172
30,-13.367573738098145,-11.008769035339355,-14.620416641235352,-12.470240592956543,-26.679035186767578,-27.301912307739258
31,-11.704328536987305,-13.3038330078125,-11.791833877563477,-14.056133270263672,-26.271129608154297,-26.344223022460938
32,-13.367573738098145,-11.008769035339355,-14.365309715270996,-11.754748344421387,-26.679035186767578,-27.102802276611328
33,-12.304961204528809,-12.915178298950195,-12.372880935668945,-13.432879447937012,-22.96936798095703,-22.662548065185547
34,-13.326241493225098,-11.969438552856445,-13.563515663146973,-11.992595672607422,-21.86806869506836,-21.144893646240234
35,-12.304961204528809,-12.915178298950195,-15.751134872436523,-17.608570098876953,-22.96936798095703,-25.67959976196289
36,-13.326241493225098,-11.969438552856445,-17.66796112060547,-15.516282081604004,-21.86806869506836,-25.129207611083984
37,-12.304961204528809,-12.915178298950195,-15.814492225646973,-17.147302627563477,-22.96936798095703,-24.827476501464844
38,-13.326241493225098,-11.969438552856445,-17.197248458862305,-15.747753143310547,-21.86806869506836,-23.72308349609375
39,-12.304961204528809,-12.915178298950195,-16.493267059326172,-18.2924861907959,-22.96936798095703,-26.14207649230957
40,-13.326241493225098,-11.969438552856445,-18.155317306518555,-16.24260139465332,-21.86806869506836,-24.791858673095703
41,-13.852851867675781,-16.289669036865234,-12.372880935668945,-13.432879447937012,-29.10908317565918,-22.662548065185547
