idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-8.478135108947754,-9.886312484741211,-8.237678527832031,-9.962602615356445,-18.35386085510254,-16.34657859802246
2,-9.144977569580078,-8.660512924194336,-10.222920417785645,-8.669821739196777,-20.12812042236328,-17.468467712402344
3,-8.478135108947754,-9.886312484741211,-9.916435241699219,-11.184610366821289,-18.35386085510254,-19.243186950683594
4,-9.144977569580078,-8.660512924194336,-11.467595100402832,-10.70248794555664,-20.12812042236328,-20.060876846313477
5,-8.478135108947754,-9.886312484741211,-9.292892456054688,-10.92820930480957,-18.35386085510254,-18.172962188720703
6,-9.144977569580078,-8.660512924194336,-10.84400749206543,-9.57717227935791,-20.12812042236328,-19.875873565673828
7,-8.478135108947754,-9.886312484741211,-9.17965030670166,-10.548925399780273,-18.35386085510254,-18.745882034301758
8,-9.144977569580078,-8.660512924194336,-10.852802276611328,-9.835908889770508,-20.12812042236328,-20.305707931518555
9,-8.636258125305176,-9.315953254699707,-8.237678527832031,-9.962602615356445,-20.72575569152832,-16.34657859802246
10,-9.09547233581543,-8.32349681854248,-10.222920417785645,-8.669821739196777,-21.21565818786621,-17.468467712402344
11,-8.636258125305176,-9.315953254699707,-9.916435241699219,-11.184610366821289,-20.72575569152832,-19.243186950683594
12,-9.09547233581543,-8.32349681854248,-11.467595100402832,-10.70248794555664,-21.21565818786621,-20.060876846313477
13,-8.636258125305176,-9.315953254699707,-9.292892456054688,-10.92820930480957,-20.72575569152832,-18.172962188720703
14,-9.09547233581543,-8.32349681854248,-10.84400749206543,-9.57717227935791,-21.21565818786621,-19.875873565673828
15,-8.636258125305176,-9.315953254699707,-9.17965030670166,-10.548925399780273,-20.72575569152832,-18.745882034301758
16,-9.09547233581543,-8.32349681854248,-10.852802276611328,-9.835908889770508,-21.21565818786621,-20.305707931518555
17,-9.236064910888672,-9.419532775878906,-8.237678527832031,-9.962602615356445,-19.215600967407227,-16.34657859802246
18,-8.752156257629395,-8.991854667663574,-10.222920417785645,-8.669821739196777,-19.90765380859375,-17.468467712402344
19,-9.236064910888672,-9.419532775878906,-9.916435241699219,-11.184610366821289,-19.215600967407227,-19.243186950683594
20,-8.752156257629395,-8.991854667663574,-11.467595100402832,-10.70248794555664,-19.90765380859375,-20.060876846313477
21,-9.236064910888672,-9.419532775878906,-9.292892456054688,-10.92820930480957,-19.215600967407227,-18.172962188720703
22,-8.752156257629395,-8.991854667663574,-10.84400749206543,-9.57717227935791,-19.90765380859375,-19.875873565673828
23,-9.236064910888672,-9.419532775878906,-9.17965030670166,-10.548925399780273,-19.215600967407227,-18.745882034301758
24,-8.752156257629395,-8.991854667663574,-10.852802276611328,-9.835908889770508,-19.90765380859375,-20.305707931518555
25,-9.523260116577148,-10.66248607635498,-8.237678527832031,-9.962602615356445,-19.348966598510742,-16.34657859802246
26,-10.03976058959961,-9.466151237487793,-10.222920417785645,-8.669821739196777,-19.415456771850586,-17.468467712402344
27,-9.523260116577148,-10.66248607635498,-9.916435241699219,-11.184610366821289,-19.348966598510742,-19.243186950683594
28,-10.03976058959961,-9.466151237487793,-11.467595100402832,-10.70248794555664,-19.415456771850586,-20.060876846313477
29,-9.523260116577148,-10.66248607635498,-9.292892456054688,-10.92820930480957,-19.348966598510742,-18.172962188720703
30,-10.03976058959961,-9.466151237487793,-10.84400749206543,-9.57717227935791,-19.415456771850586,-19.875873565673828
31,-9.523260116577148,-10.66248607635498,-9.17965030670166,-10.548925399780273,-19.348966598510742,-18.745882034301758
32,-10.03976058959961,-9.466151237487793,-10.852802276611328,-9.835908889770508,-19.415456771850586,-20.305707931518555
33,-7.8964524269104,-7.054495811462402,-8.589588165283203,-7.940404891967773,-20.137405395507812,-19.67221450805664
34,-6.494688987731934,-7.360053062438965,-7.623503684997559,-8.476758003234863,-19.844636917114258,-18.92548370361328
35,-7.8964524269104,-7.054495811462402,-10.192680358886719,-10.554450035095215,-20.137405395507812,-21.215913772583008
36,-6.494688987731934,-7.360053062438965,-10.567678451538086,-10.587800979614258,-19.844636917114258,-20.491533279418945
37,-7.8964524269104,-7.054495811462402,-9.392739295959473,-9.437994003295898,-20.137405395507812,-21.285621643066406
38,-6.494688987731934,-7.360053062438965,-9.026769638061523,-9.278789520263672,-19.844636917114258,-20.3618221282959
39,-7.8964524269104,-7.054495811462402,-9.771374702453613,-9.974225044250488,-20.137405395507812,-21.31926155090332
40,-6.494688987731934,-7.360053062438965,-9.547439575195312,-9.466405868530273,-19.844636917114258,-20.19515609741211
41,-8.94113826751709,-7.559112548828125,-8.589588165283203,-7.940404891967773,-22.160409927368164,-19.67221450805664
42,-6.874118328094482,-8.575339317321777,-7.623503684997559,-8.476758003234863,-21.342979431152344,-18.92548370361328
43,-8.94113826751709,-7.559112548828125,-10.192680358886719,-10.554450035095215,-22.160409927368164,-21.215913772583008
44,-6.874118328094482,-8.575339317321777,-10.567678451538086,-10.587800979614258,-21.342979431152344,-20.491533279418945
45,-8.94113826751709,-7.559112548828125,-9.392739295959473,-9.437994003295898,-22.160409927368164,-21.285621643066406
46,-6.874118328094482,-8.575339317321777,-9.026769638061523,-9.278789520263672,-21.342979431152344,-20.3618221282959
47,-8.94113826751709,-7.559112548828125,-9.771374702453613,-9.974225044250488,-22.160409927368164,-21.31926155090332
48,-6.874118328094482,-8.575339317321777,-9.547439575195312,-9.466405868530273,-21.342979431152344,-20.19515609741211
49,-9.25149154663086,-8.37618350982666,-8.589588165283203,-7.940404891967773,-21.134798049926758,-19.67221450805664
50,-7.775201320648193,-8.804841995239258,-7.623503684997559,-8.476758003234863,-21.227771759033203,-18.92548370361328
51,-9.25149154663086,-8.37618350982666,-10.192680358886719,-10.554450035095215,-21.134798049926758,-21.215913772583008
52,-7.775201320648193,-8.804841995239258,-10.567678451538086,-10.587800979614258,-21.227771759033203,-20.491533279418945
53,-9.25149154663086,-8.37618350982666,-9.392739295959473,-9.437994003295898,-21.134798049926758,-21.285621643066406
54,-7.775201320648193,-8.804841995239258,-9.026769638061523,-9.278789520263672,-21.227771759033203,-20.3618221282959
55,-9.25149154663086,-8.37618350982666,-9.771374702453613,-9.974225044250488,-21.134798049926758,-21.31926155090332
56,-7.775201320648193,-8.804841995239258,-9.547439575195312,-9.466405868530273,-21.227771759033203,-20.19515609741211
57,-9.809000015258789,-8.969944953918457,-8.589588165283203,-7.940404891967773,-20.69997215270996,-19.67221450805664
58,-8.5716552734375,-9.455279350280762,-7.623503684997559,-8.476758003234863,-20.39496612548828,-18.92548370361328
59,-9.809000015258789,-8.969944953918457,-10.192680358886719,-10.554450035095215,-20.69997215270996,-21.215913772583008
60,-8.5716552734375,-9.455279350280762,-10.567678451538086,-10.587800979614258,-20.39496612548828,-20.491533279418945
61,-9.809000015258789,-8.969944953918457,-9.392739295959473,-9.437994003295898,-20.69997215270996,-21.285621643066406
62,-8.5716552734375,-9.455279350280762,-9.026769638061523,-9.278789520263672,-20.39496612548828,-20.3618221282959
63,-9.809000015258789,-8.969944953918457,-9.771374702453613,-9.974225044250488,-20.69997215270996,-21.31926155090332
64,-8.5716552734375,-9.455279350280762,-9.547439575195312,-9.466405868530273,-20.39496612548828,-20.19515609741211
65,-7.0695481300354,-5.18251895904541,-7.2144012451171875,-6.122659206390381,-20.626079559326172,-19.228662490844727
66,-4.962759971618652,-7.207464218139648,-5.731601715087891,-6.789422035217285,-19.356525421142578,-18.266294479370117
67,-7.0695481300354,-5.18251895904541,-9.105006217956543,-8.617618560791016,-20.626079559326172,-20.596097946166992
68,-4.962759971618652,-7.207464218139648,-8.163370132446289,-8.204258918762207,-19.356525421142578,-19.263809204101562
69,-7.0695481300354,-5.18251895904541,-8.208581924438477,-7.324054718017578,-20.626079559326172,-20.453577041625977
70,-4.962759971618652,-7.207464218139648,-7.047703266143799,-7.487313747406006,-19.356525421142578,-18.95253562927246
71,-7.0695481300354,-5.18251895904541,-8.984330177307129,-8.282262802124023,-20.626079559326172,-19.92947769165039
72,-4.962759971618652,-7.207464218139648,-8.421682357788086,-8.370287895202637,-19.356525421142578,-18.955305099487305
73,-8.481036186218262,-6.273576259613037,-7.2144012451171875,-6.122659206390381,-24.25094985961914,-19.228662490844727
74,-6.207406997680664,-8.471907615661621,-5.731601715087891,-6.789422035217285,-22.641183853149414,-18.266294479370117
75,-8.481036186218262,-6.273576259613037,-9.105006217956543,-8.617618560791016,-24.25094985961914,-20.596097946166992
76,-6.207406997680664,-8.471907615661621,-8.163370132446289,-8.204258918762207,-22.641183853149414,-19.263809204101562
77,-8.481036186218262,-6.273576259613037,-8.208581924438477,-7.324054718017578,-24.25094985961914,-20.453577041625977
78,-6.207406997680664,-8.471907615661621,-7.047703266143799,-7.487313747406006,-22.641183853149414,-18.95253562927246
79,-8.481036186218262,-6.273576259613037,-8.984330177307129,-8.282262802124023,-24.25094985961914,-19.92947769165039
80,-6.207406997680664,-8.471907615661621,-8.421682357788086,-8.370287895202637,-22.641183853149414,-18.955305099487305
81,-7.841621398925781,-6.340807914733887,-7.2144012451171875,-6.122659206390381,-21.514698028564453,-19.228662490844727
82,-6.506003379821777,-7.646313667297363,-5.731601715087891,-6.789422035217285,-20.779077529907227,-18.266294479370117
83,-7.841621398925781,-6.340807914733887,-9.105006217956543,-8.617618560791016,-21.514698028564453,-20.596097946166992
84,-6.506003379821777,-7.646313667297363,-8.163370132446289,-8.204258918762207,-20.779077529907227,-19.263809204101562
85,-7.841621398925781,-6.340807914733887,-8.208581924438477,-7.324054718017578,-21.514698028564453,-20.453577041625977
86,-6.506003379821777,-7.646313667297363,-7.047703266143799,-7.487313747406006,-20.779077529907227,-18.95253562927246
87,-7.841621398925781,-6.340807914733887,-8.984330177307129,-8.282262802124023,-21.514698028564453,-19.92947769165039
88,-6.506003379821777,-7.646313667297363,-8.421682357788086,-8.370287895202637,-20.779077529907227,-18.955305099487305
89,-8.725260734558105,-7.302122592926025,-7.2144012451171875,-6.122659206390381,-21.09096336364746,-19.228662490844727
90,-7.399783134460449,-8.694311141967773,-5.731601715087891,-6.789422035217285,-20.199081420898438,-18.266294479370117
91,-8.725260734558105,-7.302122592926025,-9.105006217956543,-8.617618560791016,-21.09096336364746,-20.596097946166992
92,-7.399783134460449,-8.694311141967773,-8.163370132446289,-8.204258918762207,-20.199081420898438,-19.263809204101562
93,-8.725260734558105,-7.302122592926025,-8.208581924438477,-7.324054718017578,-21.09096336364746,-20.453577041625977
94,-7.399783134460449,-8.694311141967773,-7.047703266143799,-7.487313747406006,-20.199081420898438,-18.95253562927246
95,-8.725260734558105,-7.302122592926025,-8.984330177307129,-8.282262802124023,-21.09096336364746,-19.92947769165039
96,-7.399783134460449,-8.694311141967773,-8.421682357788086,-8.370287895202637,-20.199081420898438,-18.955305099487305
97,-8.010744094848633,-7.005716800689697,-8.715707778930664,-8.047845840454102,-21.41029930114746,-20.052553176879883
98,-6.867749214172363,-8.926563262939453,-7.667330265045166,-9.180301666259766,-21.38343048095703,-19.391643524169922
99,-8.010744094848633,-7.005716800689697,-11.049667358398438,-11.23328971862793,-21.41029930114746,-20.84375
100,-6.867749214172363,-8.926563262939453,-11.166699409484863,-11.319921493530273,-21.38343048095703,-20.65390968322754
101,-8.010744094848633,-7.005716800689697,-9.659012794494629,-9.669082641601562,-21.41029930114746,-20.544185638427734
102,-6.867749214172363,-8.926563262939453,-9.859245300292969,-10.42078685760498,-21.38343048095703,-19.99551010131836
103,-8.010744094848633,-7.005716800689697,-9.968620300292969,-10.08226490020752,-21.41029930114746,-20.452102661132812
104,-6.867749214172363,-8.926563262939453,-10.470894813537598,-10.780311584472656,-21.38343048095703,-19.88654327392578
105,-8.75540542602539,-7.306379318237305,-8.715707778930664,-8.047845840454102,-23.1596622467041,-20.052553176879883
106,-7.725292205810547,-9.638044357299805,-7.667330265045166,-9.180301666259766,-22.784692764282227,-19.391643524169922
107,-8.75540542602539,-7.306379318237305,-11.049667358398438,-11.23328971862793,-23.1596622467041,-20.84375
108,-7.725292205810547,-9.638044357299805,-11.166699409484863,-11.319921493530273,-22.784692764282227,-20.65390968322754
109,-8.75540542602539,-7.306379318237305,-9.659012794494629,-9.669082641601562,-23.1596622467041,-20.544185638427734
110,-7.725292205810547,-9.638044357299805,-9.859245300292969,-10.42078685760498,-22.784692764282227,-19.99551010131836
111,-8.75540542602539,-7.306379318237305,-9.968620300292969,-10.08226490020752,-23.1596622467041,-20.452102661132812
112,-7.725292205810547,-9.638044357299805,-10.470894813537598,-10.780311584472656,-22.784692764282227,-19.88654327392578
113,-10.072732925415039,-8.49289321899414,-8.715707778930664,-8.047845840454102,-20.78794288635254,-20.052553176879883
114,-9.635698318481445,-10.673482894897461,-7.667330265045166,-9.180301666259766,-20.462373733520508,-19.391643524169922
115,-10.072732925415039,-8.49289321899414,-11.049667358398438,-11.23328971862793,-20.78794288635254,-20.84375
116,-9.635698318481445,-10.673482894897461,-11.166699409484863,-11.319921493530273,-20.462373733520508,-20.65390968322754
117,-10.072732925415039,-8.49289321899414,-9.659012794494629,-9.669082641601562,-20.78794288635254,-20.544185638427734
118,-9.635698318481445,-10.673482894897461,-9.859245300292969,-10.42078685760498,-20.462373733520508,-19.99551010131836
119,-10.072732925415039,-8.49289321899414,-9.968620300292969,-10.08226490020752,-20.78794288635254,-20.452102661132812
120,-9.635698318481445,-10.673482894897461,-10.470894813537598,-10.780311584472656,-20.462373733520508,-19.88654327392578
121,-9.857571601867676,-8.845630645751953,-8.715707778930664,-8.047845840454102,-21.137086868286133,-20.052553176879883
122,-9.38494873046875,-10.45425033569336,-7.667330265045166,-9.180301666259766,-21.029823303222656,-19.391643524169922
123,-9.857571601867676,-8.845630645751953,-11.049667358398438,-11.23328971862793,-21.137086868286133,-20.84375
124,-9.38494873046875,-10.45425033569336,-11.166699409484863,-11.319921493530273,-21.029823303222656,-20.65390968322754
125,-9.857571601867676,-8.845630645751953,-9.659012794494629,-9.669082641601562,-21.137086868286133,-20.544185638427734
