idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-19.76028823852539,-22.231264114379883,-15.222753524780273,-20.12507438659668,-14.072887420654297,-14.571682929992676,-11.698661804199219,-12.278578758239746,-31.592121124267578,-25.22958755493164,-47.056549072265625,-49.52752685546875,-56.730682373046875,-61.632999420166016
2,-19.788881301879883,-17.09697723388672,-17.399385452270508,-14.447710990905762,-14.571682929992676,-14.072887420654297,-12.278578758239746,-11.698661804199219,-26.391845703125,-27.46869659423828,-46.18230438232422,-43.49039840698242,-57.87592697143555,-54.924251556396484
3,-19.76028823852539,-22.231264114379883,-25.412036895751953,-30.80322265625,-14.072887420654297,-14.571682929992676,-14.896686553955078,-15.944931030273438,-31.592121124267578,-35.21698760986328,-47.056549072265625,-49.52752685546875,-59.676612854003906,-65.06780242919922
4,-19.788881301879883,-17.09697723388672,-29.42558479309082,-23.43323516845703,-14.571682929992676,-14.072887420654297,-15.944931030273438,-14.896686553955078,-26.391845703125,-35.190189361572266,-46.18230438232422,-43.49039840698242,-67.61715698242188,-61.62480163574219
5,-19.76028823852539,-22.231264114379883,-28.14216423034668,-31.121723175048828,-14.072887420654297,-14.571682929992676,-15.460050582885742,-16.082054138183594,-31.592121124267578,-35.700523376464844,-47.056549072265625,-49.52752685546875,-54.34428787231445,-57.32384490966797
6,-19.788881301879883,-17.09697723388672,-30.41194725036621,-24.604206085205078,-14.571682929992676,-14.072887420654297,-16.082054138183594,-15.460050582885742,-26.391845703125,-35.87650680541992,-46.18230438232422,-43.49039840698242,-56.488502502441406,-50.680763244628906
7,-19.76028823852539,-22.231264114379883,-24.69091796875,-29.959171295166016,-14.072887420654297,-14.571682929992676,-15.136100769042969,-16.459228515625,-31.592121124267578,-35.78683853149414,-47.056549072265625,-49.52752685546875,-53.59333801269531,-58.86159133911133
8,-19.788881301879883,-17.09697723388672,-27.69313621520996,-21.714500427246094,-14.571682929992676,-14.072887420654297,-16.459228515625,-15.136100769042969,-26.391845703125,-37.40663146972656,-46.18230438232422,-43.49039840698242,-58.31315994262695,-52.33452606201172
9,-26.218578338623047,-23.676694869995117,-15.222753524780273,-20.12507438659668,-12.274761199951172,-13.374844551086426,-11.698661804199219,-12.278578758239746,-38.718727111816406,-25.22958755493164,-52.989967346191406,-50.448081970214844,-56.730682373046875,-61.632999420166016
10,-23.982494354248047,-25.496103286743164,-17.399385452270508,-14.447710990905762,-13.374844551086426,-12.274761199951172,-12.278578758239746,-11.698661804199219,-37.54656219482422,-27.46869659423828,-48.64303970336914,-50.156646728515625,-57.87592697143555,-54.924251556396484
11,-26.218578338623047,-23.676694869995117,-25.412036895751953,-30.80322265625,-12.274761199951172,-13.374844551086426,-14.896686553955078,-15.944931030273438,-38.718727111816406,-35.21698760986328,-52.989967346191406,-50.448081970214844,-59.676612854003906,-65.06780242919922
12,-23.982494354248047,-25.496103286743164,-29.42558479309082,-23.43323516845703,-13.374844551086426,-12.274761199951172,-15.944931030273438,-14.896686553955078,-37.54656219482422,-35.190189361572266,-48.64303970336914,-50.156646728515625,-67.61715698242188,-61.62480163574219
13,-26.218578338623047,-23.676694869995117,-28.14216423034668,-31.121723175048828,-12.274761199951172,-13.374844551086426,-15.460050582885742,-16.082054138183594,-38.718727111816406,-35.700523376464844,-52.989967346191406,-50.448081970214844,-54.34428787231445,-57.32384490966797
14,-23.982494354248047,-25.496103286743164,-30.41194725036621,-24.604206085205078,-13.374844551086426,-12.274761199951172,-16.082054138183594,-15.460050582885742,-37.54656219482422,-35.87650680541992,-48.64303970336914,-50.156646728515625,-56.488502502441406,-50.680763244628906
15,-26.218578338623047,-23.676694869995117,-24.69091796875,-29.959171295166016,-12.274761199951172,-13.374844551086426,-15.136100769042969,-16.459228515625,-38.718727111816406,-35.78683853149414,-52.989967346191406,-50.448081970214844,-53.59333801269531,-58.86159133911133
16,-23.982494354248047,-25.496103286743164,-27.69313621520996,-21.714500427246094,-13.374844551086426,-12.274761199951172,-16.459228515625,-15.136100769042969,-37.54656219482422,-37.40663146972656,-48.64303970336914,-50.156646728515625,-58.31315994262695,-52.33452606201172
17,-33.4268798828125,-35.24475860595703,-15.222753524780273,-20.12507438659668,-12.882487297058105,-13.599710464477539,-11.698661804199219,-12.278578758239746,-43.42303466796875,-25.22958755493164,-66.55687713623047,-68.374755859375,-56.730682373046875,-61.632999420166016
18,-35.06932830810547,-29.95247459411621,-17.399385452270508,-14.447710990905762,-13.599710464477539,-12.882487297058105,-12.278578758239746,-11.698661804199219,-40.70877456665039,-27.46869659423828,-63.062862396240234,-57.946006774902344,-57.87592697143555,-54.924251556396484
19,-33.4268798828125,-35.24475860595703,-25.412036895751953,-30.80322265625,-12.882487297058105,-13.599710464477539,-14.896686553955078,-15.944931030273438,-43.42303466796875,-35.21698760986328,-66.55687713623047,-68.374755859375,-59.676612854003906,-65.06780242919922
20,-35.06932830810547,-29.95247459411621,-29.42558479309082,-23.43323516845703,-13.599710464477539,-12.882487297058105,-15.944931030273438,-14.896686553955078,-40.70877456665039,-35.190189361572266,-63.062862396240234,-57.946006774902344,-67.61715698242188,-61.62480163574219
21,-33.4268798828125,-35.24475860595703,-28.14216423034668,-31.121723175048828,-12.882487297058105,-13.599710464477539,-15.460050582885742,-16.082054138183594,-43.42303466796875,-35.700523376464844,-66.55687713623047,-68.374755859375,-54.34428787231445,-57.32384490966797
22,-35.06932830810547,-29.95247459411621,-30.41194725036621,-24.604206085205078,-13.599710464477539,-12.882487297058105,-16.082054138183594,-15.460050582885742,-40.70877456665039,-35.87650680541992,-63.062862396240234,-57.946006774902344,-56.488502502441406,-50.680763244628906
23,-33.4268798828125,-35.24475860595703,-24.69091796875,-29.959171295166016,-12.882487297058105,-13.599710464477539,-15.136100769042969,-16.459228515625,-43.42303466796875,-35.78683853149414,-66.55687713623047,-68.374755859375,-53.59333801269531,-58.86159133911133
24,-35.06932830810547,-29.95247459411621,-27.69313621520996,-21.714500427246094,-13.599710464477539,-12.882487297058105,-16.459228515625,-15.136100769042969,-40.70877456665039,-37.40663146972656,-63.062862396240234,-57.946006774902344,-58.31315994262695,-52.33452606201172
25,-30.439823150634766,-32.332054138183594,-15.222753524780273,-20.12507438659668,-12.982242584228516,-13.866924285888672,-11.698661804199219,-12.278578758239746,-42.22431182861328,-25.22958755493164,-62.09922790527344,-63.991455078125,-56.730682373046875,-61.632999420166016
26,-31.250259399414062,-25.38960075378418,-17.399385452270508,-14.447710990905762,-13.866924285888672,-12.982242584228516,-12.278578758239746,-11.698661804199219,-38.97437286376953,-27.46869659423828,-60.041969299316406,-54.181304931640625,-57.87592697143555,-54.924251556396484
27,-30.439823150634766,-32.332054138183594,-25.412036895751953,-30.80322265625,-12.982242584228516,-13.866924285888672,-14.896686553955078,-15.944931030273438,-42.22431182861328,-35.21698760986328,-62.09922790527344,-63.991455078125,-59.676612854003906,-65.06780242919922
28,-31.250259399414062,-25.38960075378418,-29.42558479309082,-23.43323516845703,-13.866924285888672,-12.982242584228516,-15.944931030273438,-14.896686553955078,-38.97437286376953,-35.190189361572266,-60.041969299316406,-54.181304931640625,-67.61715698242188,-61.62480163574219
29,-30.439823150634766,-32.332054138183594,-28.14216423034668,-31.121723175048828,-12.982242584228516,-13.866924285888672,-15.460050582885742,-16.082054138183594,-42.22431182861328,-35.700523376464844,-62.09922790527344,-63.991455078125,-54.34428787231445,-57.32384490966797
30,-31.250259399414062,-25.38960075378418,-30.41194725036621,-24.604206085205078,-13.866924285888672,-12.982242584228516,-16.082054138183594,-15.460050582885742,-38.97437286376953,-35.87650680541992,-60.041969299316406,-54.181304931640625,-56.488502502441406,-50.680763244628906
31,-30.439823150634766,-32.332054138183594,-24.69091796875,-29.959171295166016,-12.982242584228516,-13.866924285888672,-15.136100769042969,-16.459228515625,-42.22431182861328,-35.78683853149414,-62.09922790527344,-63.991455078125,-53.59333801269531,-58.86159133911133
32,-31.250259399414062,-25.38960075378418,-27.69313621520996,-21.714500427246094,-13.866924285888672,-12.982242584228516,-16.459228515625,-15.136100769042969,-38.97437286376953,-37.40663146972656,-60.041969299316406,-54.181304931640625,-58.31315994262695,-52.33452606201172
33,-33.30817413330078,-35.66823196411133,-19.101022720336914,-25.202716827392578,-13.265717506408691,-13.46773910522461,-13.413817405700684,-14.352241516113281,-28.27729034423828,-21.058303833007812,-58.700233459472656,-61.06028747558594,-62.98756408691406,-69.08926391601562
34,-27.870960235595703,-25.32501220703125,-20.62571144104004,-15.956755638122559,-13.46773910522461,-13.265717506408691,-14.352241516113281,-13.413817405700684,-33.46610641479492,-21.595096588134766,-55.404571533203125,-52.858619689941406,-64.092529296875,-59.42357635498047
35,-33.30817413330078,-35.66823196411133,-40.620452880859375,-41.57483673095703,-13.265717506408691,-13.46773910522461,-16.140151977539062,-17.699512481689453,-28.27729034423828,-34.74766159057617,-58.700233459472656,-61.06028747558594,-77.87625122070312,-78.83063507080078
36,-27.870960235595703,-25.32501220703125,-41.75236511230469,-37.487098693847656,-13.46773910522461,-13.265717506408691,-17.699512481689453,-16.140151977539062,-33.46610641479492,-36.5244140625,-55.404571533203125,-52.858619689941406,-78.85139465332031,-74.58612060546875
37,-33.30817413330078,-35.66823196411133,-40.656341552734375,-40.80698776245117,-13.265717506408691,-13.46773910522461,-15.829771041870117,-17.020626068115234,-28.27729034423828,-34.67487716674805,-58.700233459472656,-61.06028747558594,-62.84657669067383,-62.997222900390625
38,-27.870960235595703,-25.32501220703125,-38.69782257080078,-35.93251037597656,-13.46773910522461,-13.265717506408691,-17.020626068115234,-15.829771041870117,-33.46610641479492,-34.47370147705078,-55.404571533203125,-52.858619689941406,-62.37348937988281,-59.60816955566406
39,-33.30817413330078,-35.66823196411133,-37.775238037109375,-39.79463195800781,-13.265717506408691,-13.46773910522461,-15.972175598144531,-17.380769729614258,-28.27729034423828,-34.113094329833984,-58.700233459472656,-61.06028747558594,-69.44190216064453,-71.46129608154297
40,-27.870960235595703,-25.32501220703125,-37.17654800415039,-33.1928596496582,-13.46773910522461,-13.265717506408691,-17.380769729614258,-15.972175598144531,-33.46610641479492,-34.05794906616211,-55.404571533203125,-52.858619689941406,-66.68069458007812,-62.696998596191406
41,-36.84025573730469,-38.81800842285156,-19.101022720336914,-25.202716827392578,-14.623863220214844,-15.546751976013184,-13.413817405700684,-14.352241516113281,-35.66061782836914,-21.058303833007812,-61.172119140625,-63.14986801147461,-62.98756408691406,-69.08926391601562
42,-38.960365295410156,-39.502540588378906,-20.62571144104004,-15.956755638122559,-15.546751976013184,-14.623863220214844,-14.352241516113281,-13.413817405700684,-41.43232727050781,-21.595096588134766,-67.06798553466797,-67.61016082763672,-64.092529296875,-59.42357635498047
43,-36.84025573730469,-38.81800842285156,-40.620452880859375,-41.57483673095703,-14.623863220214844,-15.546751976013184,-16.140151977539062,-17.699512481689453,-35.66061782836914,-34.74766159057617,-61.172119140625,-63.14986801147461,-77.87625122070312,-78.83063507080078
44,-38.960365295410156,-39.502540588378906,-41.75236511230469,-37.487098693847656,-15.546751976013184,-14.623863220214844,-17.699512481689453,-16.140151977539062,-41.43232727050781,-36.5244140625,-67.06798553466797,-67.61016082763672,-78.85139465332031,-74.58612060546875
45,-36.84025573730469,-38.81800842285156,-40.656341552734375,-40.80698776245117,-14.623863220214844,-15.546751976013184,-15.829771041870117,-17.020626068115234,-35.66061782836914,-34.67487716674805,-61.172119140625,-63.14986801147461,-62.84657669067383,-62.997222900390625
46,-38.960365295410156,-39.502540588378906,-38.69782257080078,-35.93251037597656,-15.546751976013184,-14.623863220214844,-17.020626068115234,-15.829771041870117,-41.43232727050781,-34.47370147705078,-67.06798553466797,-67.61016082763672,-62.37348937988281,-59.60816955566406
47,-36.84025573730469,-38.81800842285156,-37.775238037109375,-39.79463195800781,-14.623863220214844,-15.546751976013184,-15.972175598144531,-17.380769729614258,-35.66061782836914,-34.113094329833984,-61.172119140625,-63.14986801147461,-69.44190216064453,-71.46129608154297
48,-38.960365295410156,-39.502540588378906,-37.17654800415039,-33.1928596496582,-15.546751976013184,-14.623863220214844,-17.380769729614258,-15.972175598144531,-41.43232727050781,-34.05794906616211,-67.06798553466797,-67.61016082763672,-66.68069458007812,-62.696998596191406
49,-42.940513610839844,-40.651397705078125,-19.101022720336914,-25.202716827392578,-13.812538146972656,-14.811418533325195,-13.413817405700684,-14.352241516113281,-33.17974090576172,-21.058303833007812,-82.68499755859375,-80.3958740234375,-62.98756408691406,-69.08926391601562
50,-39.48291778564453,-37.255210876464844,-20.62571144104004,-15.956755638122559,-14.811418533325195,-13.812538146972656,-14.352241516113281,-13.413817405700684,-46.230403900146484,-21.595096588134766,-77.10310363769531,-74.87540435791016,-64.092529296875,-59.42357635498047
51,-42.940513610839844,-40.651397705078125,-40.620452880859375,-41.57483673095703,-13.812538146972656,-14.811418533325195,-16.140151977539062,-17.699512481689453,-33.17974090576172,-34.74766159057617,-82.68499755859375,-80.3958740234375,-77.87625122070312,-78.83063507080078
52,-39.48291778564453,-37.255210876464844,-41.75236511230469,-37.487098693847656,-14.811418533325195,-13.812538146972656,-17.699512481689453,-16.140151977539062,-46.230403900146484,-36.5244140625,-77.10310363769531,-74.87540435791016,-78.85139465332031,-74.58612060546875
53,-42.940513610839844,-40.651397705078125,-40.656341552734375,-40.80698776245117,-13.812538146972656,-14.811418533325195,-15.829771041870117,-17.020626068115234,-33.17974090576172,-34.67487716674805,-82.68499755859375,-80.3958740234375,-62.84657669067383,-62.997222900390625
54,-39.48291778564453,-37.255210876464844,-38.69782257080078,-35.93251037597656,-14.811418533325195,-13.812538146972656,-17.020626068115234,-15.829771041870117,-46.230403900146484,-34.47370147705078,-77.10310363769531,-74.87540435791016,-62.37348937988281,-59.60816955566406
55,-42.940513610839844,-40.651397705078125,-37.775238037109375,-39.79463195800781,-13.812538146972656,-14.811418533325195,-15.972175598144531,-17.380769729614258,-33.17974090576172,-34.113094329833984,-82.68499755859375,-80.3958740234375,-69.44190216064453,-71.46129608154297
56,-39.48291778564453,-37.255210876464844,-37.17654800415039,-33.1928596496582,-14.811418533325195,-13.812538146972656,-17.380769729614258,-15.972175598144531,-46.230403900146484,-34.05794906616211,-77.10310363769531,-74.87540435791016,-66.68069458007812,-62.696998596191406
57,-43.892669677734375,-44.407936096191406,-19.101022720336914,-25.202716827392578,-14.479806900024414,-15.091471672058105,-13.413817405700684,-14.352241516113281,-37.2174186706543,-21.058303833007812,-73.76556396484375,-74.28083801269531,-62.98756408691406,-69.08926391601562
58,-41.78483581542969,-41.98511505126953,-20.62571144104004,-15.956755638122559,-15.091471672058105,-14.479806900024414,-14.352241516113281,-13.413817405700684,-40.34315490722656,-21.595096588134766,-72.26058959960938,-72.46087646484375,-64.092529296875,-59.42357635498047
59,-43.892669677734375,-44.407936096191406,-40.620452880859375,-41.57483673095703,-14.479806900024414,-15.091471672058105,-16.140151977539062,-17.699512481689453,-37.2174186706543,-34.74766159057617,-73.76556396484375,-74.28083801269531,-77.87625122070312,-78.83063507080078
60,-41.78483581542969,-41.98511505126953,-41.75236511230469,-37.487098693847656,-15.091471672058105,-14.479806900024414,-17.699512481689453,-16.140151977539062,-40.34315490722656,-36.5244140625,-72.26058959960938,-72.46087646484375,-78.85139465332031,-74.58612060546875
61,-43.892669677734375,-44.407936096191406,-40.656341552734375,-40.80698776245117,-14.479806900024414,-15.091471672058105,-15.829771041870117,-17.020626068115234,-37.2174186706543,-34.67487716674805,-73.76556396484375,-74.28083801269531,-62.84657669067383,-62.997222900390625
62,-41.78483581542969,-41.98511505126953,-38.69782257080078,-35.93251037597656,-15.091471672058105,-14.479806900024414,-17.020626068115234,-15.829771041870117,-40.34315490722656,-34.47370147705078,-72.26058959960938,-72.46087646484375,-62.37348937988281,-59.60816955566406
63,-43.892669677734375,-44.407936096191406,-37.775238037109375,-39.79463195800781,-14.479806900024414,-15.091471672058105,-15.972175598144531,-17.380769729614258,-37.2174186706543,-34.113094329833984,-73.76556396484375,-74.28083801269531,-69.44190216064453,-71.46129608154297
64,-41.78483581542969,-41.98511505126953,-37.17654800415039,-33.1928596496582,-15.091471672058105,-14.479806900024414,-17.380769729614258,-15.972175598144531,-40.34315490722656,-34.05794906616211,-72.26058959960938,-72.46087646484375,-66.68069458007812,-62.696998596191406
