idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-9.119977951049805,-8.687442779541016,-9.60104751586914,-8.741756439208984,-19.78070831298828,-18.986881256103516
2,-9.377788543701172,-9.742685317993164,-9.056989669799805,-9.683065414428711,-20.027965545654297,-18.48531723022461
3,-9.119977951049805,-8.687442779541016,-11.816469192504883,-11.64262580871582,-19.78070831298828,-19.529865264892578
4,-9.377788543701172,-9.742685317993164,-11.839122772216797,-11.888114929199219,-20.027965545654297,-19.13309097290039
5,-9.119977951049805,-8.687442779541016,-10.49660873413086,-10.655402183532715,-19.78070831298828,-18.720584869384766
6,-9.377788543701172,-9.742685317993164,-10.450016021728516,-10.496587753295898,-20.027965545654297,-18.51436424255371
7,-9.119977951049805,-8.687442779541016,-10.468694686889648,-10.574515342712402,-19.78070831298828,-19.107036590576172
8,-9.377788543701172,-9.742685317993164,-10.487777709960938,-10.591835975646973,-20.027965545654297,-18.46652603149414
9,-10.381688117980957,-9.512380599975586,-9.60104751586914,-8.741756439208984,-21.880908966064453,-18.986881256103516
10,-9.69491958618164,-10.65564250946045,-9.056989669799805,-9.683065414428711,-21.724210739135742,-18.48531723022461
11,-10.381688117980957,-9.512380599975586,-11.816469192504883,-11.64262580871582,-21.880908966064453,-19.529865264892578
12,-9.69491958618164,-10.65564250946045,-11.839122772216797,-11.888114929199219,-21.724210739135742,-19.13309097290039
13,-10.381688117980957,-9.512380599975586,-10.49660873413086,-10.655402183532715,-21.880908966064453,-18.720584869384766
14,-9.69491958618164,-10.65564250946045,-10.450016021728516,-10.496587753295898,-21.724210739135742,-18.51436424255371
15,-10.381688117980957,-9.512380599975586,-10.468694686889648,-10.574515342712402,-21.880908966064453,-19.107036590576172
16,-9.69491958618164,-10.65564250946045,-10.487777709960938,-10.591835975646973,-21.724210739135742,-18.46652603149414
17,-11.097980499267578,-10.478961944580078,-9.60104751586914,-8.741756439208984,-21.367286682128906,-18.986881256103516
18,-10.8097562789917,-11.989349365234375,-9.056989669799805,-9.683065414428711,-21.78917694091797,-18.48531723022461
19,-11.097980499267578,-10.478961944580078,-11.816469192504883,-11.64262580871582,-21.367286682128906,-19.529865264892578
20,-10.8097562789917,-11.989349365234375,-11.839122772216797,-11.888114929199219,-21.78917694091797,-19.13309097290039
