idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-19.99456214904785,-23.103282928466797,-22.5426025390625,-22.694196701049805,-39.72871398925781,-32.783790588378906
2,-21.473125457763672,-18.60264015197754,-23.494619369506836,-22.833087921142578,-40.04941177368164,-33.751243591308594
3,-19.99456214904785,-23.103282928466797,-23.5729923248291,-29.547531127929688,-39.72871398925781,-40.44990539550781
4,-21.473125457763672,-18.60264015197754,-25.90513038635254,-21.795217514038086,-40.04941177368164,-37.31182861328125
5,-19.99456214904785,-23.103282928466797,-28.22626304626465,-32.693878173828125,-39.72871398925781,-41.58714294433594
6,-21.473125457763672,-18.60264015197754,-28.565902709960938,-25.457141876220703,-40.04941177368164,-40.81574249267578
7,-19.99456214904785,-23.103282928466797,-28.40461540222168,-34.33877182006836,-39.72871398925781,-43.080413818359375
8,-21.473125457763672,-18.60264015197754,-30.226844787597656,-26.024850845336914,-40.04941177368164,-41.76705551147461
9,-17.89252471923828,-20.191587448120117,-22.5426025390625,-22.694196701049805,-43.76567840576172,-32.783790588378906
10,-21.00109100341797,-18.301258087158203,-23.494619369506836,-22.833087921142578,-40.10979080200195,-33.751243591308594
11,-17.89252471923828,-20.191587448120117,-23.5729923248291,-29.547531127929688,-43.76567840576172,-40.44990539550781
12,-21.00109100341797,-18.301258087158203,-25.90513038635254,-21.795217514038086,-40.10979080200195,-37.31182861328125
13,-17.89252471923828,-20.191587448120117,-28.22626304626465,-32.693878173828125,-43.76567840576172,-41.58714294433594
14,-21.00109100341797,-18.301258087158203,-28.565902709960938,-25.457141876220703,-40.10979080200195,-40.81574249267578
15,-17.89252471923828,-20.191587448120117,-28.40461540222168,-34.33877182006836,-43.76567840576172,-43.080413818359375
16,-21.00109100341797,-18.301258087158203,-30.226844787597656,-26.024850845336914,-40.10979080200195,-41.76705551147461
17,-23.270551681518555,-25.07880210876465,-22.5426025390625,-22.694196701049805,-41.57569885253906,-32.783790588378906
18,-24.72085952758789,-20.526290893554688,-23.494619369506836,-22.833087921142578,-39.23322677612305,-33.751243591308594
19,-23.270551681518555,-25.07880210876465,-23.5729923248291,-29.547531127929688,-41.57569885253906,-40.44990539550781
20,-24.72085952758789,-20.526290893554688,-25.90513038635254,-21.795217514038086,-39.23322677612305,-37.31182861328125
21,-23.270551681518555,-25.07880210876465,-28.22626304626465,-32.693878173828125,-41.57569885253906,-41.58714294433594
22,-24.72085952758789,-20.526290893554688,-28.565902709960938,-25.457141876220703,-39.23322677612305,-40.81574249267578
23,-23.270551681518555,-25.07880210876465,-28.40461540222168,-34.33877182006836,-41.57569885253906,-43.080413818359375
24,-24.72085952758789,-20.526290893554688,-30.226844787597656,-26.024850845336914,-39.23322677612305,-41.76705551147461
25,-20.93716812133789,-23.061059951782227,-22.5426025390625,-22.694196701049805,-36.51457214355469,-32.783790588378906
26,-22.882328033447266,-20.390718460083008,-23.494619369506836,-22.833087921142578,-34.58522033691406,-33.751243591308594
27,-20.93716812133789,-23.061059951782227,-23.5729923248291,-29.547531127929688,-36.51457214355469,-40.44990539550781
28,-22.882328033447266,-20.390718460083008,-25.90513038635254,-21.795217514038086,-34.58522033691406,-37.31182861328125
29,-20.93716812133789,-23.061059951782227,-28.22626304626465,-32.693878173828125,-36.51457214355469,-41.58714294433594
30,-22.882328033447266,-20.390718460083008,-28.565902709960938,-25.457141876220703,-34.58522033691406,-40.81574249267578
31,-20.93716812133789,-23.061059951782227,-28.40461540222168,-34.33877182006836,-36.51457214355469,-43.080413818359375
32,-22.882328033447266,-20.390718460083008,-30.226844787597656,-26.024850845336914,-34.58522033691406,-41.76705551147461
33,-22.58582878112793,-23.068172454833984,-20.2218017578125,-18.494857788085938,-37.98340606689453,-36.469268798828125
34,-17.332679748535156,-18.149730682373047,-16.825481414794922,-15.758599281311035,-38.407569885253906,-36.298274993896484
35,-22.58582878112793,-23.068172454833984,-27.960866928100586,-28.805255889892578,-37.98340606689453,-33.725555419921875
36,-17.332679748535156,-18.149730682373047,-25.229694366455078,-24.97332763671875,-38.407569885253906,-33.47648620605469
37,-22.58582878112793,-23.068172454833984,-30.22148895263672,-25.547822952270508,-37.98340606689453,-39.01707077026367
38,-17.332679748535156,-18.149730682373047,-25.4722957611084,-26.929859161376953,-38.407569885253906,-38.41805648803711
39,-22.58582878112793,-23.068172454833984,-28.16049575805664,-28.096546173095703,-37.98340606689453,-33.731632232666016
40,-17.332679748535156,-18.149730682373047,-28.358701705932617,-30.032636642456055,-38.407569885253906,-35.685096740722656
41,-19.505563735961914,-22.090255737304688,-20.2218017578125,-18.494857788085938,-38.812110900878906,-36.469268798828125
42,-18.672746658325195,-16.606576919555664,-16.825481414794922,-15.758599281311035,-38.92582321166992,-36.298274993896484
43,-19.505563735961914,-22.090255737304688,-27.960866928100586,-28.805255889892578,-38.812110900878906,-33.725555419921875
44,-18.672746658325195,-16.606576919555664,-25.229694366455078,-24.97332763671875,-38.92582321166992,-33.47648620605469
45,-19.505563735961914,-22.090255737304688,-30.22148895263672,-25.547822952270508,-38.812110900878906,-39.01707077026367
46,-18.672746658325195,-16.606576919555664,-25.4722957611084,-26.929859161376953,-38.92582321166992,-38.41805648803711
47,-19.505563735961914,-22.090255737304688,-28.16049575805664,-28.096546173095703,-38.812110900878906,-33.731632232666016
48,-18.672746658325195,-16.606576919555664,-28.358701705932617,-30.032636642456055,-38.92582321166992,-35.685096740722656
49,-27.146703720092773,-25.329448699951172,-20.2218017578125,-18.494857788085938,-31.354820251464844,-36.469268798828125
50,-21.574138641357422,-20.73781967163086,-16.825481414794922,-15.758599281311035,-31.802087783813477,-36.298274993896484
51,-27.146703720092773,-25.329448699951172,-27.960866928100586,-28.805255889892578,-31.354820251464844,-33.725555419921875
52,-21.574138641357422,-20.73781967163086,-25.229694366455078,-24.97332763671875,-31.802087783813477,-33.47648620605469
53,-27.146703720092773,-25.329448699951172,-30.22148895263672,-25.547822952270508,-31.354820251464844,-39.01707077026367
54,-21.574138641357422,-20.73781967163086,-25.4722957611084,-26.929859161376953,-31.802087783813477,-38.41805648803711
55,-27.146703720092773,-25.329448699951172,-28.16049575805664,-28.096546173095703,-31.354820251464844,-33.731632232666016
56,-21.574138641357422,-20.73781967163086,-28.358701705932617,-30.032636642456055,-31.802087783813477,-35.685096740722656
57,-23.66425132751465,-22.91360092163086,-20.2218017578125,-18.494857788085938,-29.02016830444336,-36.469268798828125
58,-17.95111083984375,-17.861642837524414,-16.825481414794922,-15.758599281311035,-32.023155212402344,-36.298274993896484
59,-23.66425132751465,-22.91360092163086,-27.960866928100586,-28.805255889892578,-29.02016830444336,-33.725555419921875
60,-17.95111083984375,-17.861642837524414,-25.229694366455078,-24.97332763671875,-32.023155212402344,-33.47648620605469
61,-23.66425132751465,-22.91360092163086,-30.22148895263672,-25.547822952270508,-29.02016830444336,-39.01707077026367
62,-17.95111083984375,-17.861642837524414,-25.4722957611084,-26.929859161376953,-32.023155212402344,-38.41805648803711
63,-23.66425132751465,-22.91360092163086,-28.16049575805664,-28.096546173095703,-29.02016830444336,-33.731632232666016
64,-17.95111083984375,-17.861642837524414,-28.358701705932617,-30.032636642456055,-32.023155212402344,-35.685096740722656
65,-22.898521423339844,-22.20995330810547,-25.42908477783203,-22.276777267456055,-38.67800521850586,-35.886146545410156
66,-20.786766052246094,-22.705171585083008,-18.90304183959961,-22.163623809814453,-40.86439895629883,-35.37574768066406
67,-22.898521423339844,-22.20995330810547,-28.479808807373047,-26.855613708496094,-38.67800521850586,-37.068416595458984
68,-20.786766052246094,-22.705171585083008,-25.703731536865234,-27.910137176513672,-40.86439895629883,-33.619808197021484
69,-22.898521423339844,-22.20995330810547,-30.716148376464844,-29.075267791748047,-38.67800521850586,-44.083953857421875
70,-20.786766052246094,-22.705171585083008,-26.696807861328125,-28.98981475830078,-40.86439895629883,-39.2564697265625
71,-22.898521423339844,-22.20995330810547,-33.073246002197266,-30.637256622314453,-38.67800521850586,-38.46315002441406
72,-20.786766052246094,-22.705171585083008,-28.93451499938965,-32.332393646240234,-40.86439895629883,-36.11035919189453
73,-17.97318458557129,-15.53310489654541,-25.42908477783203,-22.276777267456055,-40.0240478515625,-35.886146545410156
74,-14.519805908203125,-17.248228073120117,-18.90304183959961,-22.163623809814453,-40.073394775390625,-35.37574768066406
75,-17.97318458557129,-15.53310489654541,-28.479808807373047,-26.855613708496094,-40.0240478515625,-37.068416595458984
76,-14.519805908203125,-17.248228073120117,-25.703731536865234,-27.910137176513672,-40.073394775390625,-33.619808197021484
77,-17.97318458557129,-15.53310489654541,-30.716148376464844,-29.075267791748047,-40.0240478515625,-44.083953857421875
78,-14.519805908203125,-17.248228073120117,-26.696807861328125,-28.98981475830078,-40.073394775390625,-39.2564697265625
79,-17.97318458557129,-15.53310489654541,-33.073246002197266,-30.637256622314453,-40.0240478515625,-38.46315002441406
80,-14.519805908203125,-17.248228073120117,-28.93451499938965,-32.332393646240234,-40.073394775390625,-36.11035919189453
81,-24.544021606445312,-24.649887084960938,-25.42908477783203,-22.276777267456055,-33.574378967285156,-35.886146545410156
82,-19.8295955657959,-20.260726928710938,-18.90304183959961,-22.163623809814453,-32.51762008666992,-35.37574768066406
83,-24.544021606445312,-24.649887084960938,-28.479808807373047,-26.855613708496094,-33.574378967285156,-37.068416595458984
84,-19.8295955657959,-20.260726928710938,-25.703731536865234,-27.910137176513672,-32.51762008666992,-33.619808197021484
85,-24.544021606445312,-24.649887084960938,-30.716148376464844,-29.075267791748047,-33.574378967285156,-44.083953857421875
86,-19.8295955657959,-20.260726928710938,-26.696807861328125,-28.98981475830078,-32.51762008666992,-39.2564697265625
87,-24.544021606445312,-24.649887084960938,-33.073246002197266,-30.637256622314453,-33.574378967285156,-38.46315002441406
88,-19.8295955657959,-20.260726928710938,-28.93451499938965,-32.332393646240234,-32.51762008666992,-36.11035919189453
89,-22.529766082763672,-23.0233154296875,-25.42908477783203,-22.276777267456055,-31.42937469482422,-35.886146545410156
90,-21.185691833496094,-20.852619171142578,-18.90304183959961,-22.163623809814453,-30.834646224975586,-35.37574768066406
91,-22.529766082763672,-23.0233154296875,-28.479808807373047,-26.855613708496094,-31.42937469482422,-37.068416595458984
92,-21.185691833496094,-20.852619171142578,-25.703731536865234,-27.910137176513672,-30.834646224975586,-33.619808197021484
93,-22.529766082763672,-23.0233154296875,-30.716148376464844,-29.075267791748047,-31.42937469482422,-44.083953857421875
94,-21.185691833496094,-20.852619171142578,-26.696807861328125,-28.98981475830078,-30.834646224975586,-39.2564697265625
95,-22.529766082763672,-23.0233154296875,-33.073246002197266,-30.637256622314453,-31.42937469482422,-38.46315002441406
96,-21.185691833496094,-20.852619171142578,-28.93451499938965,-32.332393646240234,-30.834646224975586,-36.11035919189453
97,-24.24640464782715,-23.771474838256836,-21.41986846923828,-18.936931610107422,-36.42814636230469,-33.26926803588867
98,-22.232275009155273,-27.385663986206055,-14.742395401000977,-22.22991371154785,-40.79719161987305,-32.195980072021484
99,-24.24640464782715,-23.771474838256836,-25.742511749267578,-25.14478302001953,-36.42814636230469,-33.53936767578125
100,-22.232275009155273,-27.385663986206055,-23.749418258666992,-27.403827667236328,-40.79719161987305,-34.174774169921875
101,-24.24640464782715,-23.771474838256836,-28.528934478759766,-24.10008430480957,-36.42814636230469,-32.62167739868164
