idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2,no_control,wait_control,response_no_c1,response_no_c2,response_wait_c1,response_wait_c2
1,-9.072380065917969,-10.9910306930542,-10.3607759475708,-13.02345085144043,-12.760129928588867,-13.904468536376953,-12.84279727935791,-13.637914657592773,-17.21510887145996,-15.42562484741211,-17.024045944213867,-18.94269561767578,-25.134899139404297,-27.79757308959961
2,-10.3272123336792,-8.596977233886719,-12.815792083740234,-10.648031234741211,-13.904468536376953,-12.760129928588867,-13.637914657592773,-12.84279727935791,-18.149738311767578,-16.26399803161621,-17.94886589050293,-16.218631744384766,-27.46637725830078,-25.298614501953125
3,-9.072380065917969,-10.9910306930542,-13.725564956665039,-15.897488594055176,-12.760129928588867,-13.904468536376953,-17.126222610473633,-19.13288116455078,-17.21510887145996,-20.562759399414062,-17.024045944213867,-18.94269561767578,-27.643552780151367,-29.815475463867188
4,-10.3272123336792,-8.596977233886719,-14.954802513122559,-12.949750900268555,-13.904468536376953,-12.760129928588867,-19.13288116455078,-17.126222610473633,-18.149738311767578,-21.45127296447754,-17.94886589050293,-16.218631744384766,-29.132320404052734,-27.127267837524414
5,-9.072380065917969,-10.9910306930542,-14.648531913757324,-17.718727111816406,-12.760129928588867,-13.904468536376953,-16.937633514404297,-17.854406356811523,-17.21510887145996,-17.972335815429688,-17.024045944213867,-18.94269561767578,-26.585020065307617,-29.65521240234375
6,-10.3272123336792,-8.596977233886719,-16.14236068725586,-13.448219299316406,-13.904468536376953,-12.760129928588867,-17.854406356811523,-16.937633514404297,-18.149738311767578,-19.066097259521484,-17.94886589050293,-16.218631744384766,-27.648834228515625,-24.954694747924805
7,-9.072380065917969,-10.9910306930542,-12.963720321655273,-17.259132385253906,-12.760129928588867,-13.904468536376953,-16.159912109375,-17.509624481201172,-17.21510887145996,-18.912925720214844,-17.024045944213867,-18.94269561767578,-21.83098602294922,-26.12639808654785
8,-10.3272123336792,-8.596977233886719,-15.359121322631836,-12.667000770568848,-13.904468536376953,-12.760129928588867,-17.509624481201172,-16.159912109375,-18.149738311767578,-20.621723175048828,-17.94886589050293,-16.218631744384766,-24.14459800720215,-21.452476501464844
9,-12.225529670715332,-13.692398071289062,-10.3607759475708,-13.02345085144043,-13.282017707824707,-14.293182373046875,-12.84279727935791,-13.637914657592773,-20.96369743347168,-15.42562484741211,-20.678434371948242,-22.145301818847656,-25.134899139404297,-27.79757308959961
10,-12.644842147827148,-11.222700119018555,-12.815792083740234,-10.648031234741211,-14.293182373046875,-13.282017707824707,-13.637914657592773,-12.84279727935791,-21.8885440826416,-16.26399803161621,-20.50424575805664,-19.082103729248047,-27.46637725830078,-25.298614501953125
11,-12.225529670715332,-13.692398071289062,-13.725564956665039,-15.897488594055176,-13.282017707824707,-14.293182373046875,-17.126222610473633,-19.13288116455078,-20.96369743347168,-20.562759399414062,-20.678434371948242,-22.145301818847656,-27.643552780151367,-29.815475463867188
12,-12.644842147827148,-11.222700119018555,-14.954802513122559,-12.949750900268555,-14.293182373046875,-13.282017707824707,-19.13288116455078,-17.126222610473633,-21.8885440826416,-21.45127296447754,-20.50424575805664,-19.082103729248047,-29.132320404052734,-27.127267837524414
13,-12.225529670715332,-13.692398071289062,-14.648531913757324,-17.718727111816406,-13.282017707824707,-14.293182373046875,-16.937633514404297,-17.854406356811523,-20.96369743347168,-17.972335815429688,-20.678434371948242,-22.145301818847656,-26.585020065307617,-29.65521240234375
14,-12.644842147827148,-11.222700119018555,-16.14236068725586,-13.448219299316406,-14.293182373046875,-13.282017707824707,-17.854406356811523,-16.937633514404297,-21.8885440826416,-19.066097259521484,-20.50424575805664,-19.082103729248047,-27.648834228515625,-24.954694747924805
15,-12.225529670715332,-13.692398071289062,-12.963720321655273,-17.259132385253906,-13.282017707824707,-14.293182373046875,-16.159912109375,-17.509624481201172,-20.96369743347168,-18.912925720214844,-20.678434371948242,-22.145301818847656,-21.83098602294922,-26.12639808654785
16,-12.644842147827148,-11.222700119018555,-15.359121322631836,-12.667000770568848,-14.293182373046875,-13.282017707824707,-17.509624481201172,-16.159912109375,-21.8885440826416,-20.621723175048828,-20.50424575805664,-19.082103729248047,-24.14459800720215,-21.452476501464844
17,-16.038843154907227,-16.34262466430664,-10.3607759475708,-13.02345085144043,-13.638439178466797,-14.323026657104492,-12.84279727935791,-13.637914657592773,-21.20264434814453,-15.42562484741211,-26.32244873046875,-26.62622833251953,-25.134899139404297,-27.79757308959961
18,-14.958662033081055,-15.532072067260742,-12.815792083740234,-10.648031234741211,-14.323026657104492,-13.638439178466797,-13.637914657592773,-12.84279727935791,-22.851789474487305,-16.26399803161621,-25.811504364013672,-26.38491439819336,-27.46637725830078,-25.298614501953125
19,-16.038843154907227,-16.34262466430664,-13.725564956665039,-15.897488594055176,-13.638439178466797,-14.323026657104492,-17.126222610473633,-19.13288116455078,-21.20264434814453,-20.562759399414062,-26.32244873046875,-26.62622833251953,-27.643552780151367,-29.815475463867188
20,-14.958662033081055,-15.532072067260742,-14.954802513122559,-12.949750900268555,-14.323026657104492,-13.638439178466797,-19.13288116455078,-17.126222610473633,-22.851789474487305,-21.45127296447754,-25.811504364013672,-26.38491439819336,-29.132320404052734,-27.127267837524414
21,-16.038843154907227,-16.34262466430664,-14.648531913757324,-17.718727111816406,-13.638439178466797,-14.323026657104492,-16.937633514404297,-17.854406356811523,-21.20264434814453,-17.972335815429688,-26.32244873046875,-26.62622833251953,-26.585020065307617,-29.65521240234375
22,-14.958662033081055,-15.532072067260742,-16.14236068725586,-13.448219299316406,-14.323026657104492,-13.638439178466797,-17.854406356811523,-16.937633514404297,-22.851789474487305,-19.066097259521484,-25.811504364013672,-26.38491439819336,-27.648834228515625,-24.954694747924805
23,-16.038843154907227,-16.34262466430664,-12.963720321655273,-17.259132385253906,-13.638439178466797,-14.323026657104492,-16.159912109375,-17.509624481201172,-21.20264434814453,-18.912925720214844,-26.32244873046875,-26.62622833251953,-21.83098602294922,-26.12639808654785
24,-14.958662033081055,-15.532072067260742,-15.359121322631836,-12.667000770568848,-14.323026657104492,-13.638439178466797,-17.509624481201172,-16.159912109375,-22.851789474487305,-20.621723175048828,-25.811504364013672,-26.38491439819336,-24.14459800720215,-21.452476501464844
25,-13.907069206237793,-15.002004623413086,-10.3607759475708,-13.02345085144043,-15.972919464111328,-16.884872436523438,-12.84279727935791,-13.637914657592773,-19.34371566772461,-15.42562484741211,-23.052227020263672,-24.14716148376465,-25.134899139404297,-27.79757308959961
26,-14.780210494995117,-13.875537872314453,-12.815792083740234,-10.648031234741211,-16.884872436523438,-15.972919464111328,-13.637914657592773,-12.84279727935791,-20.87895393371582,-16.26399803161621,-23.924388885498047,-23.019716262817383,-27.46637725830078,-25.298614501953125
27,-13.907069206237793,-15.002004623413086,-13.725564956665039,-15.897488594055176,-15.972919464111328,-16.884872436523438,-17.126222610473633,-19.13288116455078,-19.34371566772461,-20.562759399414062,-23.052227020263672,-24.14716148376465,-27.643552780151367,-29.815475463867188
28,-14.780210494995117,-13.875537872314453,-14.954802513122559,-12.949750900268555,-16.884872436523438,-15.972919464111328,-19.13288116455078,-17.126222610473633,-20.87895393371582,-21.45127296447754,-23.924388885498047,-23.019716262817383,-29.132320404052734,-27.127267837524414
