idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-15.741748809814453,-17.894161224365234,-21.369129180908203,-23.287561416625977,-31.99932861328125,-34.45142364501953
2,-20.239280700683594,-15.947378158569336,-26.58305549621582,-23.02511215209961,-33.03106689453125,-36.53584671020508
3,-15.741748809814453,-17.894161224365234,-22.254589080810547,-24.17532730102539,-31.99932861328125,-28.78837776184082
4,-20.239280700683594,-15.947378158569336,-25.4798583984375,-23.438552856445312,-33.03106689453125,-32.37563705444336
5,-15.741748809814453,-17.894161224365234,-32.854339599609375,-34.786338806152344,-31.99932861328125,-43.777374267578125
6,-20.239280700683594,-15.947378158569336,-37.15779113769531,-35.05290222167969,-33.03106689453125,-44.90447235107422
7,-15.741748809814453,-17.894161224365234,-25.579648971557617,-27.55089569091797,-31.99932861328125,-37.47505187988281
8,-20.239280700683594,-15.947378158569336,-28.981136322021484,-26.752208709716797,-33.03106689453125,-37.825164794921875
9,-13.988927841186523,-15.514608383178711,-21.369129180908203,-23.287561416625977,-30.082799911499023,-34.45142364501953
10,-16.866283416748047,-13.37918758392334,-26.58305549621582,-23.02511215209961,-30.121376037597656,-36.53584671020508
11,-13.988927841186523,-15.514608383178711,-22.254589080810547,-24.17532730102539,-30.082799911499023,-28.78837776184082
12,-16.866283416748047,-13.37918758392334,-25.4798583984375,-23.438552856445312,-30.121376037597656,-32.37563705444336
13,-13.988927841186523,-15.514608383178711,-32.854339599609375,-34.786338806152344,-30.082799911499023,-43.777374267578125
14,-16.866283416748047,-13.37918758392334,-37.15779113769531,-35.05290222167969,-30.121376037597656,-44.90447235107422
15,-13.988927841186523,-15.514608383178711,-25.579648971557617,-27.55089569091797,-30.082799911499023,-37.47505187988281
16,-16.866283416748047,-13.37918758392334,-28.981136322021484,-26.752208709716797,-30.121376037597656,-37.825164794921875
17,-18.20913314819336,-19.311037063598633,-21.369129180908203,-23.287561416625977,-29.365026473999023,-34.45142364501953
18,-21.137598037719727,-18.78265380859375,-26.58305549621582,-23.02511215209961,-30.465984344482422,-36.53584671020508
19,-18.20913314819336,-19.311037063598633,-22.254589080810547,-24.17532730102539,-29.365026473999023,-28.78837776184082
20,-21.137598037719727,-18.78265380859375,-25.4798583984375,-23.438552856445312,-30.465984344482422,-32.37563705444336
21,-18.20913314819336,-19.311037063598633,-32.854339599609375,-34.786338806152344,-29.365026473999023,-43.777374267578125
22,-21.137598037719727,-18.78265380859375,-37.15779113769531,-35.05290222167969,-30.465984344482422,-44.90447235107422
23,-18.20913314819336,-19.311037063598633,-25.579648971557617,-27.55089569091797,-29.365026473999023,-37.47505187988281
24,-21.137598037719727,-18.78265380859375,-28.981136322021484,-26.752208709716797,-30.465984344482422,-37.825164794921875
25,-17.726367950439453,-18.508073806762695,-21.369129180908203,-23.287561416625977,-28.2988338470459,-34.45142364501953
26,-19.867801666259766,-18.004959106445312,-26.58305549621582,-23.02511215209961,-29.205408096313477,-36.53584671020508
27,-17.726367950439453,-18.508073806762695,-22.254589080810547,-24.17532730102539,-28.2988338470459,-28.78837776184082
28,-19.867801666259766,-18.004959106445312,-25.4798583984375,-23.438552856445312,-29.205408096313477,-32.37563705444336
29,-17.726367950439453,-18.508073806762695,-32.854339599609375,-34.786338806152344,-28.2988338470459,-43.777374267578125
30,-19.867801666259766,-18.004959106445312,-37.15779113769531,-35.05290222167969,-29.205408096313477,-44.90447235107422
31,-17.726367950439453,-18.508073806762695,-25.579648971557617,-27.55089569091797,-28.2988338470459,-37.47505187988281
32,-19.867801666259766,-18.004959106445312,-28.981136322021484,-26.752208709716797,-29.205408096313477,-37.825164794921875
33,-21.722259521484375,-22.036357879638672,-21.725543975830078,-23.66364860534668,-33.64281463623047,-33.793540954589844
34,-21.85760498046875,-20.622880935668945,-23.077926635742188,-20.69220733642578,-33.884986877441406,-33.07106018066406
35,-21.722259521484375,-22.036357879638672,-26.116161346435547,-27.04918098449707,-33.64281463623047,-33.46275329589844
36,-21.85760498046875,-20.622880935668945,-27.411373138427734,-27.096569061279297,-33.884986877441406,-33.13459014892578
37,-21.722259521484375,-22.036357879638672,-28.856407165527344,-30.2420597076416,-33.64281463623047,-38.65341567993164
38,-21.85760498046875,-20.622880935668945,-32.29744338989258,-31.777042388916016,-33.884986877441406,-39.27458953857422
39,-21.722259521484375,-22.036357879638672,-24.74724578857422,-26.484996795654297,-33.64281463623047,-34.68738555908203
40,-21.85760498046875,-20.622880935668945,-27.677509307861328,-26.381315231323242,-33.884986877441406,-35.06576156616211
