idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-7.313043117523193,-7.851753234863281,-8.733643531799316,-9.731550216674805,-17.70677375793457,-17.52352523803711
2,-8.106794357299805,-7.132437229156494,-9.984944343566895,-8.400632858276367,-17.53085708618164,-17.434410095214844
3,-7.313043117523193,-7.851753234863281,-9.656000137329102,-11.50221061706543,-17.70677375793457,-17.972434997558594
4,-8.106794357299805,-7.132437229156494,-11.35041618347168,-9.483613967895508,-17.53085708618164,-17.914745330810547
5,-7.313043117523193,-7.851753234863281,-9.809955596923828,-11.475931167602539,-17.70677375793457,-18.083404541015625
6,-8.106794357299805,-7.132437229156494,-11.781267166137695,-10.12283992767334,-17.53085708618164,-18.06024742126465
7,-7.313043117523193,-7.851753234863281,-9.83445930480957,-11.503700256347656,-17.70677375793457,-18.587862014770508
8,-8.106794357299805,-7.132437229156494,-12.019412994384766,-9.971437454223633,-17.53085708618164,-18.4565486907959
9,-7.990015983581543,-8.538265228271484,-8.733643531799316,-9.731550216674805,-20.181095123291016,-17.52352523803711
10,-8.591994285583496,-7.328106880187988,-9.984944343566895,-8.400632858276367,-20.79664421081543,-17.434410095214844
11,-7.990015983581543,-8.538265228271484,-9.656000137329102,-11.50221061706543,-20.181095123291016,-17.972434997558594
12,-8.591994285583496,-7.328106880187988,-11.35041618347168,-9.483613967895508,-20.79664421081543,-17.914745330810547
13,-7.990015983581543,-8.538265228271484,-9.809955596923828,-11.475931167602539,-20.181095123291016,-18.083404541015625
14,-8.591994285583496,-7.328106880187988,-11.781267166137695,-10.12283992767334,-20.79664421081543,-18.06024742126465
15,-7.990015983581543,-8.538265228271484,-9.83445930480957,-11.503700256347656,-20.181095123291016,-18.587862014770508
16,-8.591994285583496,-7.328106880187988,-12.019412994384766,-9.971437454223633,-20.79664421081543,-18.4565486907959
17,-8.432621002197266,-8.209380149841309,-8.733643531799316,-9.731550216674805,-19.46057891845703,-17.52352523803711
18,-8.260376930236816,-8.501113891601562,-9.984944343566895,-8.400632858276367,-19.25137710571289,-17.434410095214844
19,-8.432621002197266,-8.209380149841309,-9.656000137329102,-11.50221061706543,-19.46057891845703,-17.972434997558594
20,-8.260376930236816,-8.501113891601562,-11.35041618347168,-9.483613967895508,-19.25137710571289,-17.914745330810547
21,-8.432621002197266,-8.209380149841309,-9.809955596923828,-11.475931167602539,-19.46057891845703,-18.083404541015625
22,-8.260376930236816,-8.501113891601562,-11.781267166137695,-10.12283992767334,-19.25137710571289,-18.06024742126465
23,-8.432621002197266,-8.209380149841309,-9.83445930480957,-11.503700256347656,-19.46057891845703,-18.587862014770508
24,-8.260376930236816,-8.501113891601562,-12.019412994384766,-9.971437454223633,-19.25137710571289,-18.4565486907959
25,-8.555676460266113,-9.106778144836426,-8.733643531799316,-9.731550216674805,-18.087186813354492,-17.52352523803711
26,-9.387231826782227,-8.572409629821777,-9.984944343566895,-8.400632858276367,-18.674161911010742,-17.434410095214844
27,-8.555676460266113,-9.106778144836426,-9.656000137329102,-11.50221061706543,-18.087186813354492,-17.972434997558594
28,-9.387231826782227,-8.572409629821777,-11.35041618347168,-9.483613967895508,-18.674161911010742,-17.914745330810547
29,-8.555676460266113,-9.106778144836426,-9.809955596923828,-11.475931167602539,-18.087186813354492,-18.083404541015625
30,-9.387231826782227,-8.572409629821777,-11.781267166137695,-10.12283992767334,-18.674161911010742,-18.06024742126465
31,-8.555676460266113,-9.106778144836426,-9.83445930480957,-11.503700256347656,-18.087186813354492,-18.587862014770508
32,-9.387231826782227,-8.572409629821777,-12.019412994384766,-9.971437454223633,-18.674161911010742,-18.4565486907959
33,-8.092769622802734,-7.1977949142456055,-8.919841766357422,-8.967503547668457,-16.928308486938477,-17.651348114013672
34,-7.058891296386719,-7.138513565063477,-8.880680084228516,-8.678062438964844,-16.673324584960938,-16.977609634399414
35,-8.092769622802734,-7.1977949142456055,-10.471405029296875,-11.68480110168457,-16.928308486938477,-18.041444778442383
36,-7.058891296386719,-7.138513565063477,-11.011201858520508,-10.268011093139648,-16.673324584960938,-17.873567581176758
37,-8.092769622802734,-7.1977949142456055,-11.190439224243164,-11.763686180114746,-16.928308486938477,-17.6863956451416
38,-7.058891296386719,-7.138513565063477,-11.45596694946289,-10.762410163879395,-16.673324584960938,-17.202930450439453
39,-8.092769622802734,-7.1977949142456055,-11.425302505493164,-12.320451736450195,-16.928308486938477,-17.75337791442871
40,-7.058891296386719,-7.138513565063477,-12.20502758026123,-11.000134468078613,-16.673324584960938,-17.822128295898438
41,-8.148924827575684,-8.313241958618164,-8.919841766357422,-8.967503547668457,-20.477731704711914,-17.651348114013672
42,-7.546791076660156,-7.682734966278076,-8.880680084228516,-8.678062438964844,-19.9503173828125,-16.977609634399414
43,-8.148924827575684,-8.313241958618164,-10.471405029296875,-11.68480110168457,-20.477731704711914,-18.041444778442383
44,-7.546791076660156,-7.682734966278076,-11.011201858520508,-10.268011093139648,-19.9503173828125,-17.873567581176758
45,-8.148924827575684,-8.313241958618164,-11.190439224243164,-11.763686180114746,-20.477731704711914,-17.6863956451416
46,-7.546791076660156,-7.682734966278076,-11.45596694946289,-10.762410163879395,-19.9503173828125,-17.202930450439453
47,-8.148924827575684,-8.313241958618164,-11.425302505493164,-12.320451736450195,-20.477731704711914,-17.75337791442871
