idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-3.8808932304382324,-4.1461076736450195,-3.8048524856567383,-4.224321365356445,-4.4246978759765625,-3.9789578914642334
2,-3.4298276901245117,-3.795604705810547,-3.628525733947754,-3.664170026779175,-4.480776309967041,-3.9189453125
3,-3.8808932304382324,-4.1461076736450195,-4.015198230743408,-4.429983139038086,-4.4246978759765625,-5.354797840118408
4,-3.4298276901245117,-3.795604705810547,-4.021410942077637,-3.9004805088043213,-4.480776309967041,-5.214095592498779
5,-3.8808932304382324,-4.1461076736450195,-3.950174331665039,-4.559515476226807,-4.4246978759765625,-5.267262935638428
6,-3.4298276901245117,-3.795604705810547,-3.8969597816467285,-3.695725917816162,-4.480776309967041,-5.183364391326904
7,-3.8808932304382324,-4.1461076736450195,-3.4909074306488037,-4.149369239807129,-4.4246978759765625,-5.2002763748168945
8,-3.4298276901245117,-3.795604705810547,-3.789216995239258,-3.5307486057281494,-4.480776309967041,-5.137183666229248
9,-4.10612678527832,-4.7135748863220215,-3.8048524856567383,-4.224321365356445,-6.3459248542785645,-3.9789578914642334
10,-4.070770740509033,-3.716761827468872,-3.628525733947754,-3.664170026779175,-6.2066473960876465,-3.9189453125
11,-4.10612678527832,-4.7135748863220215,-4.015198230743408,-4.429983139038086,-6.3459248542785645,-5.354797840118408
12,-4.070770740509033,-3.716761827468872,-4.021410942077637,-3.9004805088043213,-6.2066473960876465,-5.214095592498779
13,-4.10612678527832,-4.7135748863220215,-3.950174331665039,-4.559515476226807,-6.3459248542785645,-5.267262935638428
14,-4.070770740509033,-3.716761827468872,-3.8969597816467285,-3.695725917816162,-6.2066473960876465,-5.183364391326904
15,-4.10612678527832,-4.7135748863220215,-3.4909074306488037,-4.149369239807129,-6.3459248542785645,-5.2002763748168945
16,-4.070770740509033,-3.716761827468872,-3.789216995239258,-3.5307486057281494,-6.2066473960876465,-5.137183666229248
17,-4.58565616607666,-4.507181167602539,-3.8048524856567383,-4.224321365356445,-6.030383586883545,-3.9789578914642334
18,-4.295055389404297,-4.152494430541992,-3.628525733947754,-3.664170026779175,-5.9066081047058105,-3.9189453125
19,-4.58565616607666,-4.507181167602539,-4.015198230743408,-4.429983139038086,-6.030383586883545,-5.354797840118408
20,-4.295055389404297,-4.152494430541992,-4.021410942077637,-3.9004805088043213,-5.9066081047058105,-5.214095592498779
21,-4.58565616607666,-4.507181167602539,-3.950174331665039,-4.559515476226807,-6.030383586883545,-5.267262935638428
22,-4.295055389404297,-4.152494430541992,-3.8969597816467285,-3.695725917816162,-5.9066081047058105,-5.183364391326904
23,-4.58565616607666,-4.507181167602539,-3.4909074306488037,-4.149369239807129,-6.030383586883545,-5.2002763748168945
24,-4.295055389404297,-4.152494430541992,-3.789216995239258,-3.5307486057281494,-5.9066081047058105,-5.137183666229248
25,-4.661277770996094,-4.994635581970215,-3.8048524856567383,-4.224321365356445,-6.26874303817749,-3.9789578914642334
26,-4.192633152008057,-3.8545713424682617,-3.628525733947754,-3.664170026779175,-6.0585198402404785,-3.9189453125
27,-4.661277770996094,-4.994635581970215,-4.015198230743408,-4.429983139038086,-6.26874303817749,-5.354797840118408
28,-4.192633152008057,-3.8545713424682617,-4.021410942077637,-3.9004805088043213,-6.0585198402404785,-5.214095592498779
29,-4.661277770996094,-4.994635581970215,-3.950174331665039,-4.559515476226807,-6.26874303817749,-5.267262935638428
30,-4.192633152008057,-3.8545713424682617,-3.8969597816467285,-3.695725917816162,-6.0585198402404785,-5.183364391326904
31,-4.661277770996094,-4.994635581970215,-3.4909074306488037,-4.149369239807129,-6.26874303817749,-5.2002763748168945
32,-4.192633152008057,-3.8545713424682617,-3.789216995239258,-3.5307486057281494,-6.0585198402404785,-5.137183666229248
33,-3.884922504425049,-4.130338668823242,-3.931936025619507,-4.301569938659668,-4.049598217010498,-3.8728082180023193
34,-4.168079376220703,-3.8715641498565674,-4.365251541137695,-3.9138927459716797,-4.05059289932251,-3.8771579265594482
35,-3.884922504425049,-4.130338668823242,-3.6886186599731445,-4.293271541595459,-4.049598217010498,-5.27462100982666
36,-4.168079376220703,-3.8715641498565674,-4.349778175354004,-3.7240099906921387,-4.05059289932251,-5.2852606773376465
37,-3.884922504425049,-4.130338668823242,-3.730236768722534,-4.314886569976807,-4.049598217010498,-5.4095048904418945
38,-4.168079376220703,-3.8715641498565674,-4.290801048278809,-3.6496095657348633,-4.05059289932251,-5.393354892730713
39,-3.884922504425049,-4.130338668823242,-3.517820119857788,-3.9728431701660156,-4.049598217010498,-5.160205364227295
40,-4.168079376220703,-3.8715641498565674,-3.9448137283325195,-3.434326171875,-4.05059289932251,-5.239713191986084
41,-3.202110767364502,-3.659639835357666,-3.931936025619507,-4.301569938659668,-6.376585483551025,-3.8728082180023193
42,-3.6583750247955322,-3.142947196960449,-4.365251541137695,-3.9138927459716797,-6.34499979019165,-3.8771579265594482
43,-3.202110767364502,-3.659639835357666,-3.6886186599731445,-4.293271541595459,-6.376585483551025,-5.27462100982666
44,-3.6583750247955322,-3.142947196960449,-4.349778175354004,-3.7240099906921387,-6.34499979019165,-5.2852606773376465
45,-3.202110767364502,-3.659639835357666,-3.730236768722534,-4.314886569976807,-6.376585483551025,-5.4095048904418945
46,-3.6583750247955322,-3.142947196960449,-4.290801048278809,-3.6496095657348633,-6.34499979019165,-5.393354892730713
47,-3.202110767364502,-3.659639835357666,-3.517820119857788,-3.9728431701660156,-6.376585483551025,-5.160205364227295
48,-3.6583750247955322,-3.142947196960449,-3.9448137283325195,-3.434326171875,-6.34499979019165,-5.239713191986084
49,-3.4033732414245605,-3.804300308227539,-3.931936025619507,-4.301569938659668,-6.037792682647705,-3.8728082180023193
50,-3.75791597366333,-3.1179327964782715,-4.365251541137695,-3.9138927459716797,-5.90451192855835,-3.8771579265594482
51,-3.4033732414245605,-3.804300308227539,-3.6886186599731445,-4.293271541595459,-6.037792682647705,-5.27462100982666
52,-3.75791597366333,-3.1179327964782715,-4.349778175354004,-3.7240099906921387,-5.90451192855835,-5.2852606773376465
53,-3.4033732414245605,-3.804300308227539,-3.730236768722534,-4.314886569976807,-6.037792682647705,-5.4095048904418945
54,-3.75791597366333,-3.1179327964782715,-4.290801048278809,-3.6496095657348633,-5.90451192855835,-5.393354892730713
55,-3.4033732414245605,-3.804300308227539,-3.517820119857788,-3.9728431701660156,-6.037792682647705,-5.160205364227295
56,-3.75791597366333,-3.1179327964782715,-3.9448137283325195,-3.434326171875,-5.90451192855835,-5.239713191986084
57,-3.4980945587158203,-3.95280122756958,-3.931936025619507,-4.301569938659668,-6.145984649658203,-3.8728082180023193
58,-4.059428691864014,-3.3785297870635986,-4.365251541137695,-3.9138927459716797,-5.9776105880737305,-3.8771579265594482
59,-3.4980945587158203,-3.95280122756958,-3.6886186599731445,-4.293271541595459,-6.145984649658203,-5.27462100982666
60,-4.059428691864014,-3.3785297870635986,-4.349778175354004,-3.7240099906921387,-5.9776105880737305,-5.2852606773376465
61,-3.4980945587158203,-3.95280122756958,-3.730236768722534,-4.314886569976807,-6.145984649658203,-5.4095048904418945
62,-4.059428691864014,-3.3785297870635986,-4.290801048278809,-3.6496095657348633,-5.9776105880737305,-5.393354892730713
63,-3.4980945587158203,-3.95280122756958,-3.517820119857788,-3.9728431701660156,-6.145984649658203,-5.160205364227295
64,-4.059428691864014,-3.3785297870635986,-3.9448137283325195,-3.434326171875,-5.9776105880737305,-5.239713191986084
65,-3.1295299530029297,-3.710505723953247,-3.3497323989868164,-3.8982534408569336,-4.08362340927124,-3.6909425258636475
