idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-4.202740669250488,-4.089585781097412,-3.815487861633301,-4.075279712677002,-3.641552686691284,-3.2214698791503906
2,-4.209320545196533,-4.149990558624268,-4.155632019042969,-3.886605978012085,-3.6634151935577393,-3.2738800048828125
3,-4.202740669250488,-4.089585781097412,-4.562727928161621,-4.949464321136475,-3.641552686691284,-4.701283931732178
4,-4.209320545196533,-4.149990558624268,-4.7136454582214355,-4.471538066864014,-3.6634151935577393,-4.851660251617432
5,-4.202740669250488,-4.089585781097412,-4.715015888214111,-4.783638954162598,-3.641552686691284,-5.285766124725342
6,-4.209320545196533,-4.149990558624268,-5.128909111022949,-5.006024360656738,-3.6634151935577393,-5.4981818199157715
7,-4.202740669250488,-4.089585781097412,-3.78273344039917,-4.189977645874023,-3.641552686691284,-4.5462751388549805
8,-4.209320545196533,-4.149990558624268,-4.419511318206787,-4.267611503601074,-3.6634151935577393,-4.794127941131592
9,-4.799816131591797,-4.589892387390137,-3.815487861633301,-4.075279712677002,-5.872918605804443,-3.2214698791503906
10,-5.086546897888184,-4.805882453918457,-4.155632019042969,-3.886605978012085,-5.615342140197754,-3.2738800048828125
11,-4.799816131591797,-4.589892387390137,-4.562727928161621,-4.949464321136475,-5.872918605804443,-4.701283931732178
12,-5.086546897888184,-4.805882453918457,-4.7136454582214355,-4.471538066864014,-5.615342140197754,-4.851660251617432
13,-4.799816131591797,-4.589892387390137,-4.715015888214111,-4.783638954162598,-5.872918605804443,-5.285766124725342
14,-5.086546897888184,-4.805882453918457,-5.128909111022949,-5.006024360656738,-5.615342140197754,-5.4981818199157715
15,-4.799816131591797,-4.589892387390137,-3.78273344039917,-4.189977645874023,-5.872918605804443,-4.5462751388549805
16,-5.086546897888184,-4.805882453918457,-4.419511318206787,-4.267611503601074,-5.615342140197754,-4.794127941131592
17,-4.723602294921875,-5.02793550491333,-3.815487861633301,-4.075279712677002,-5.751927375793457,-3.2214698791503906
18,-5.126097679138184,-4.440773963928223,-4.155632019042969,-3.886605978012085,-5.452224254608154,-3.2738800048828125
19,-4.723602294921875,-5.02793550491333,-4.562727928161621,-4.949464321136475,-5.751927375793457,-4.701283931732178
20,-5.126097679138184,-4.440773963928223,-4.7136454582214355,-4.471538066864014,-5.452224254608154,-4.851660251617432
21,-4.723602294921875,-5.02793550491333,-4.715015888214111,-4.783638954162598,-5.751927375793457,-5.285766124725342
22,-5.126097679138184,-4.440773963928223,-5.128909111022949,-5.006024360656738,-5.452224254608154,-5.4981818199157715
23,-4.723602294921875,-5.02793550491333,-3.78273344039917,-4.189977645874023,-5.751927375793457,-4.5462751388549805
24,-5.126097679138184,-4.440773963928223,-4.419511318206787,-4.267611503601074,-5.452224254608154,-4.794127941131592
25,-4.113331317901611,-4.1869001388549805,-3.815487861633301,-4.075279712677002,-4.802309513092041,-3.2214698791503906
26,-4.393311977386475,-4.091562271118164,-4.155632019042969,-3.886605978012085,-4.731015205383301,-3.2738800048828125
27,-4.113331317901611,-4.1869001388549805,-4.562727928161621,-4.949464321136475,-4.802309513092041,-4.701283931732178
28,-4.393311977386475,-4.091562271118164,-4.7136454582214355,-4.471538066864014,-4.731015205383301,-4.851660251617432
29,-4.113331317901611,-4.1869001388549805,-4.715015888214111,-4.783638954162598,-4.802309513092041,-5.285766124725342
30,-4.393311977386475,-4.091562271118164,-5.128909111022949,-5.006024360656738,-4.731015205383301,-5.4981818199157715
31,-4.113331317901611,-4.1869001388549805,-3.78273344039917,-4.189977645874023,-4.802309513092041,-4.5462751388549805
32,-4.393311977386475,-4.091562271118164,-4.419511318206787,-4.267611503601074,-4.731015205383301,-4.794127941131592
33,-5.098087310791016,-5.476935863494873,-4.350333213806152,-4.811671257019043,-3.7233078479766846,-3.114041566848755
34,-5.32134485244751,-5.039938926696777,-4.705836296081543,-4.192500591278076,-3.8951356410980225,-3.408247470855713
35,-5.098087310791016,-5.476935863494873,-5.531435966491699,-5.756896018981934,-3.7233078479766846,-4.738866329193115
36,-5.32134485244751,-5.039938926696777,-5.563785076141357,-5.119808197021484,-3.8951356410980225,-4.797898769378662
37,-5.098087310791016,-5.476935863494873,-6.270200252532959,-6.450431823730469,-3.7233078479766846,-5.053500175476074
38,-5.32134485244751,-5.039938926696777,-6.182929515838623,-5.705860137939453,-3.8951356410980225,-5.254370212554932
39,-5.098087310791016,-5.476935863494873,-5.350303649902344,-5.455018997192383,-3.7233078479766846,-4.380734920501709
40,-5.32134485244751,-5.039938926696777,-5.119202613830566,-4.612652778625488,-3.8951356410980225,-4.281317710876465
41,-5.156087875366211,-5.280467510223389,-4.350333213806152,-4.811671257019043,-5.313565731048584,-3.114041566848755
42,-4.948333740234375,-4.745566368103027,-4.705836296081543,-4.192500591278076,-5.375905513763428,-3.408247470855713
43,-5.156087875366211,-5.280467510223389,-5.531435966491699,-5.756896018981934,-5.313565731048584,-4.738866329193115
44,-4.948333740234375,-4.745566368103027,-5.563785076141357,-5.119808197021484,-5.375905513763428,-4.797898769378662
45,-5.156087875366211,-5.280467510223389,-6.270200252532959,-6.450431823730469,-5.313565731048584,-5.053500175476074
46,-4.948333740234375,-4.745566368103027,-6.182929515838623,-5.705860137939453,-5.375905513763428,-5.254370212554932
47,-5.156087875366211,-5.280467510223389,-5.350303649902344,-5.455018997192383,-5.313565731048584,-4.380734920501709
48,-4.948333740234375,-4.745566368103027,-5.119202613830566,-4.612652778625488,-5.375905513763428,-4.281317710876465
49,-5.729875087738037,-5.917491436004639,-4.350333213806152,-4.811671257019043,-4.675167083740234,-3.114041566848755
50,-5.575431823730469,-5.116583824157715,-4.705836296081543,-4.192500591278076,-4.730397701263428,-3.408247470855713
51,-5.729875087738037,-5.917491436004639,-5.531435966491699,-5.756896018981934,-4.675167083740234,-4.738866329193115
52,-5.575431823730469,-5.116583824157715,-5.563785076141357,-5.119808197021484,-4.730397701263428,-4.797898769378662
53,-5.729875087738037,-5.917491436004639,-6.270200252532959,-6.450431823730469,-4.675167083740234,-5.053500175476074
54,-5.575431823730469,-5.116583824157715,-6.182929515838623,-5.705860137939453,-4.730397701263428,-5.254370212554932
55,-5.729875087738037,-5.917491436004639,-5.350303649902344,-5.455018997192383,-4.675167083740234,-4.380734920501709
56,-5.575431823730469,-5.116583824157715,-5.119202613830566,-4.612652778625488,-4.730397701263428,-4.281317710876465
57,-5.25926399230957,-5.420942783355713,-4.350333213806152,-4.811671257019043,-4.395595073699951,-3.114041566848755
