idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-6.730193614959717,-7.093246936798096,-7.162169933319092,-7.43916654586792,-6.449499607086182,-6.917891025543213
2,-6.862297534942627,-6.534952163696289,-7.115187644958496,-7.100021839141846,-6.667488098144531,-7.57637357711792
3,-6.730193614959717,-7.093246936798096,-6.353009223937988,-7.7008056640625,-6.449499607086182,-9.280411720275879
4,-6.862297534942627,-6.534952163696289,-7.356396675109863,-5.858308792114258,-6.667488098144531,-9.554317474365234
5,-6.730193614959717,-7.093246936798096,-7.03554105758667,-7.780430316925049,-6.449499607086182,-9.305052757263184
6,-6.862297534942627,-6.534952163696289,-7.602987289428711,-6.1510515213012695,-6.667488098144531,-9.627493858337402
7,-6.730193614959717,-7.093246936798096,-6.1727294921875,-7.489792823791504,-6.449499607086182,-9.21220588684082
8,-6.862297534942627,-6.534952163696289,-6.92328405380249,-5.428625106811523,-6.667488098144531,-9.646905899047852
9,-6.554644584655762,-5.919173717498779,-7.162169933319092,-7.43916654586792,-10.64246940612793,-6.917891025543213
10,-5.995623588562012,-6.374025821685791,-7.115187644958496,-7.100021839141846,-10.611361503601074,-7.57637357711792
11,-6.554644584655762,-5.919173717498779,-6.353009223937988,-7.7008056640625,-10.64246940612793,-9.280411720275879
12,-5.995623588562012,-6.374025821685791,-7.356396675109863,-5.858308792114258,-10.611361503601074,-9.554317474365234
13,-6.554644584655762,-5.919173717498779,-7.03554105758667,-7.780430316925049,-10.64246940612793,-9.305052757263184
14,-5.995623588562012,-6.374025821685791,-7.602987289428711,-6.1510515213012695,-10.611361503601074,-9.627493858337402
15,-6.554644584655762,-5.919173717498779,-6.1727294921875,-7.489792823791504,-10.64246940612793,-9.21220588684082
16,-5.995623588562012,-6.374025821685791,-6.92328405380249,-5.428625106811523,-10.611361503601074,-9.646905899047852
17,-8.356719970703125,-8.811189651489258,-7.162169933319092,-7.43916654586792,-11.49429702758789,-6.917891025543213
18,-8.767332077026367,-7.488118648529053,-7.115187644958496,-7.100021839141846,-11.558834075927734,-7.57637357711792
19,-8.356719970703125,-8.811189651489258,-6.353009223937988,-7.7008056640625,-11.49429702758789,-9.280411720275879
20,-8.767332077026367,-7.488118648529053,-7.356396675109863,-5.858308792114258,-11.558834075927734,-9.554317474365234
21,-8.356719970703125,-8.811189651489258,-7.03554105758667,-7.780430316925049,-11.49429702758789,-9.305052757263184
22,-8.767332077026367,-7.488118648529053,-7.602987289428711,-6.1510515213012695,-11.558834075927734,-9.627493858337402
23,-8.356719970703125,-8.811189651489258,-6.1727294921875,-7.489792823791504,-11.49429702758789,-9.21220588684082
24,-8.767332077026367,-7.488118648529053,-6.92328405380249,-5.428625106811523,-11.558834075927734,-9.646905899047852
25,-7.609955787658691,-8.083013534545898,-7.162169933319092,-7.43916654586792,-11.123861312866211,-6.917891025543213
26,-7.812564849853516,-6.347400188446045,-7.115187644958496,-7.100021839141846,-10.97033405303955,-7.57637357711792
27,-7.609955787658691,-8.083013534545898,-6.353009223937988,-7.7008056640625,-11.123861312866211,-9.280411720275879
28,-7.812564849853516,-6.347400188446045,-7.356396675109863,-5.858308792114258,-10.97033405303955,-9.554317474365234
29,-7.609955787658691,-8.083013534545898,-7.03554105758667,-7.780430316925049,-11.123861312866211,-9.305052757263184
30,-7.812564849853516,-6.347400188446045,-7.602987289428711,-6.1510515213012695,-10.97033405303955,-9.627493858337402
31,-7.609955787658691,-8.083013534545898,-6.1727294921875,-7.489792823791504,-11.123861312866211,-9.21220588684082
32,-7.812564849853516,-6.347400188446045,-6.92328405380249,-5.428625106811523,-10.97033405303955,-9.646905899047852
33,-8.69149398803711,-10.018980026245117,-8.020464897155762,-9.194247245788574,-5.77156400680542,-5.093825340270996
34,-8.391839027404785,-7.344669818878174,-8.176281929016113,-7.429194450378418,-6.42263650894165,-5.3123040199279785
35,-8.69149398803711,-10.018980026245117,-10.155113220214844,-10.393709182739258,-5.77156400680542,-8.893927574157715
36,-8.391839027404785,-7.344669818878174,-10.438091278076172,-9.371774673461914,-6.42263650894165,-9.172630310058594
37,-8.69149398803711,-10.018980026245117,-10.164085388183594,-10.201746940612793,-5.77156400680542,-8.850251197814941
38,-8.391839027404785,-7.344669818878174,-9.674455642700195,-8.98312759399414,-6.42263650894165,-8.62716293334961
39,-8.69149398803711,-10.018980026245117,-9.443809509277344,-9.948657989501953,-5.77156400680542,-8.564017295837402
40,-8.391839027404785,-7.344669818878174,-9.294137001037598,-8.298213958740234,-6.42263650894165,-8.41019344329834
41,-9.210063934326172,-9.70450210571289,-8.020464897155762,-9.194247245788574,-9.711790084838867,-5.093825340270996
42,-9.740091323852539,-9.875635147094727,-8.176281929016113,-7.429194450378418,-10.892800331115723,-5.3123040199279785
43,-9.210063934326172,-9.70450210571289,-10.155113220214844,-10.393709182739258,-9.711790084838867,-8.893927574157715
44,-9.740091323852539,-9.875635147094727,-10.438091278076172,-9.371774673461914,-10.892800331115723,-9.172630310058594
45,-9.210063934326172,-9.70450210571289,-10.164085388183594,-10.201746940612793,-9.711790084838867,-8.850251197814941
46,-9.740091323852539,-9.875635147094727,-9.674455642700195,-8.98312759399414,-10.892800331115723,-8.62716293334961
47,-9.210063934326172,-9.70450210571289,-9.443809509277344,-9.948657989501953,-9.711790084838867,-8.564017295837402
48,-9.740091323852539,-9.875635147094727,-9.294137001037598,-8.298213958740234,-10.892800331115723,-8.41019344329834
49,-10.735128402709961,-10.162849426269531,-8.020464897155762,-9.194247245788574,-8.838201522827148,-5.093825340270996
50,-9.870729446411133,-9.313802719116211,-8.176281929016113,-7.429194450378418,-11.484996795654297,-5.3123040199279785
51,-10.735128402709961,-10.162849426269531,-10.155113220214844,-10.393709182739258,-8.838201522827148,-8.893927574157715
52,-9.870729446411133,-9.313802719116211,-10.438091278076172,-9.371774673461914,-11.484996795654297,-9.172630310058594
53,-10.735128402709961,-10.162849426269531,-10.164085388183594,-10.201746940612793,-8.838201522827148,-8.850251197814941
54,-9.870729446411133,-9.313802719116211,-9.674455642700195,-8.98312759399414,-11.484996795654297,-8.62716293334961
55,-10.735128402709961,-10.162849426269531,-9.443809509277344,-9.948657989501953,-8.838201522827148,-8.564017295837402
56,-9.870729446411133,-9.313802719116211,-9.294137001037598,-8.298213958740234,-11.484996795654297,-8.41019344329834
57,-10.973167419433594,-11.101984024047852,-8.020464897155762,-9.194247245788574,-9.62224292755127,-5.093825340270996
58,-10.446208953857422,-10.496278762817383,-8.176281929016113,-7.429194450378418,-10.317455291748047,-5.3123040199279785
59,-10.973167419433594,-11.101984024047852,-10.155113220214844,-10.393709182739258,-9.62224292755127,-8.893927574157715
60,-10.446208953857422,-10.496278762817383,-10.438091278076172,-9.371774673461914,-10.317455291748047,-9.172630310058594
61,-10.973167419433594,-11.101984024047852,-10.164085388183594,-10.201746940612793,-9.62224292755127,-8.850251197814941
62,-10.446208953857422,-10.496278762817383,-9.674455642700195,-8.98312759399414,-10.317455291748047,-8.62716293334961
63,-10.973167419433594,-11.101984024047852,-9.443809509277344,-9.948657989501953,-9.62224292755127,-8.564017295837402
64,-10.446208953857422,-10.496278762817383,-9.294137001037598,-8.298213958740234,-10.317455291748047,-8.41019344329834
65,-8.614124298095703,-9.819047927856445,-7.732367992401123,-8.455787658691406,-7.3656792640686035,-5.223853588104248
66,-8.879344940185547,-8.93588638305664,-8.141926765441895,-7.5231122970581055,-6.0465497970581055,-4.873738765716553
67,-8.614124298095703,-9.819047927856445,-8.35592269897461,-9.273553848266602,-7.3656792640686035,-9.548038482666016
68,-8.879344940185547,-8.93588638305664,-9.660484313964844,-9.209945678710938,-6.0465497970581055,-8.705831527709961
69,-8.614124298095703,-9.819047927856445,-8.137734413146973,-8.525083541870117,-7.3656792640686035,-8.78058910369873
70,-8.879344940185547,-8.93588638305664,-9.722526550292969,-9.552645683288574,-6.0465497970581055,-8.463908195495605
71,-8.614124298095703,-9.819047927856445,-7.918740749359131,-8.581133842468262,-7.3656792640686035,-8.462137222290039
72,-8.879344940185547,-8.93588638305664,-9.025873184204102,-8.135794639587402,-6.0465497970581055,-7.997749328613281
73,-8.266166687011719,-8.721481323242188,-7.732367992401123,-8.455787658691406,-9.724361419677734,-5.223853588104248
74,-9.284529685974121,-9.956136703491211,-8.141926765441895,-7.5231122970581055,-10.271475791931152,-4.873738765716553
75,-8.266166687011719,-8.721481323242188,-8.35592269897461,-9.273553848266602,-9.724361419677734,-9.548038482666016
76,-9.284529685974121,-9.956136703491211,-9.660484313964844,-9.209945678710938,-10.271475791931152,-8.705831527709961
77,-8.266166687011719,-8.721481323242188,-8.137734413146973,-8.525083541870117,-9.724361419677734,-8.78058910369873
78,-9.284529685974121,-9.956136703491211,-9.722526550292969,-9.552645683288574,-10.271475791931152,-8.463908195495605
79,-8.266166687011719,-8.721481323242188,-7.918740749359131,-8.581133842468262,-9.724361419677734,-8.462137222290039
80,-9.284529685974121,-9.956136703491211,-9.025873184204102,-8.135794639587402,-10.271475791931152,-7.997749328613281
81,-9.882678985595703,-9.55590534210205,-7.732367992401123,-8.455787658691406,-10.968527793884277,-5.223853588104248
82,-9.01733684539795,-9.384178161621094,-8.141926765441895,-7.5231122970581055,-9.600298881530762,-4.873738765716553
83,-9.882678985595703,-9.55590534210205,-8.35592269897461,-9.273553848266602,-10.968527793884277,-9.548038482666016
84,-9.01733684539795,-9.384178161621094,-9.660484313964844,-9.209945678710938,-9.600298881530762,-8.705831527709961
85,-9.882678985595703,-9.55590534210205,-8.137734413146973,-8.525083541870117,-10.968527793884277,-8.78058910369873
86,-9.01733684539795,-9.384178161621094,-9.722526550292969,-9.552645683288574,-9.600298881530762,-8.463908195495605
87,-9.882678985595703,-9.55590534210205,-7.918740749359131,-8.581133842468262,-10.968527793884277,-8.462137222290039
88,-9.01733684539795,-9.384178161621094,-9.025873184204102,-8.135794639587402,-9.600298881530762,-7.997749328613281
89,-8.765703201293945,-8.474027633666992,-7.732367992401123,-8.455787658691406,-10.351104736328125,-5.223853588104248
90,-8.377103805541992,-9.993695259094238,-8.141926765441895,-7.5231122970581055,-9.568780899047852,-4.873738765716553
91,-8.765703201293945,-8.474027633666992,-8.35592269897461,-9.273553848266602,-10.351104736328125,-9.548038482666016
92,-8.377103805541992,-9.993695259094238,-9.660484313964844,-9.209945678710938,-9.568780899047852,-8.705831527709961
