idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-3.983224868774414,-3.8759212493896484,-4.085357666015625,-3.947971820831299,-4.123778820037842,-3.997448682785034
2,-3.996614933013916,-4.049788951873779,-4.065077304840088,-4.039602279663086,-4.1529951095581055,-4.214724063873291
3,-3.983224868774414,-3.8759212493896484,-3.7703709602355957,-3.88542103767395,-4.123778820037842,-5.396457195281982
4,-3.996614933013916,-4.049788951873779,-3.821323871612549,-3.5924601554870605,-4.1529951095581055,-5.484713077545166
5,-3.983224868774414,-3.8759212493896484,-3.2822160720825195,-3.5123772621154785,-4.123778820037842,-5.361308574676514
6,-3.996614933013916,-4.049788951873779,-3.408735513687134,-3.251955270767212,-4.1529951095581055,-5.451188564300537
7,-3.983224868774414,-3.8759212493896484,-3.380323886871338,-3.5357956886291504,-4.123778820037842,-5.190642356872559
8,-3.996614933013916,-4.049788951873779,-3.636735200881958,-3.3822431564331055,-4.1529951095581055,-5.38995885848999
9,-3.7835566997528076,-4.234984874725342,-4.085357666015625,-3.947971820831299,-6.156414985656738,-3.997448682785034
10,-4.037375450134277,-3.8092541694641113,-4.065077304840088,-4.039602279663086,-6.3958845138549805,-4.214724063873291
11,-3.7835566997528076,-4.234984874725342,-3.7703709602355957,-3.88542103767395,-6.156414985656738,-5.396457195281982
12,-4.037375450134277,-3.8092541694641113,-3.821323871612549,-3.5924601554870605,-6.3958845138549805,-5.484713077545166
13,-3.7835566997528076,-4.234984874725342,-3.2822160720825195,-3.5123772621154785,-6.156414985656738,-5.361308574676514
14,-4.037375450134277,-3.8092541694641113,-3.408735513687134,-3.251955270767212,-6.3958845138549805,-5.451188564300537
15,-3.7835566997528076,-4.234984874725342,-3.380323886871338,-3.5357956886291504,-6.156414985656738,-5.190642356872559
16,-4.037375450134277,-3.8092541694641113,-3.636735200881958,-3.3822431564331055,-6.3958845138549805,-5.38995885848999
17,-4.273102760314941,-4.866422653198242,-4.085357666015625,-3.947971820831299,-6.0603837966918945,-3.997448682785034
18,-4.7991042137146,-4.61836576461792,-4.065077304840088,-4.039602279663086,-6.210563659667969,-4.214724063873291
19,-4.273102760314941,-4.866422653198242,-3.7703709602355957,-3.88542103767395,-6.0603837966918945,-5.396457195281982
20,-4.7991042137146,-4.61836576461792,-3.821323871612549,-3.5924601554870605,-6.210563659667969,-5.484713077545166
21,-4.273102760314941,-4.866422653198242,-3.2822160720825195,-3.5123772621154785,-6.0603837966918945,-5.361308574676514
22,-4.7991042137146,-4.61836576461792,-3.408735513687134,-3.251955270767212,-6.210563659667969,-5.451188564300537
23,-4.273102760314941,-4.866422653198242,-3.380323886871338,-3.5357956886291504,-6.0603837966918945,-5.190642356872559
24,-4.7991042137146,-4.61836576461792,-3.636735200881958,-3.3822431564331055,-6.210563659667969,-5.38995885848999
25,-4.018704414367676,-4.598248481750488,-4.085357666015625,-3.947971820831299,-5.912698268890381,-3.997448682785034
26,-4.294715881347656,-3.9958889484405518,-4.065077304840088,-4.039602279663086,-5.967240333557129,-4.214724063873291
27,-4.018704414367676,-4.598248481750488,-3.7703709602355957,-3.88542103767395,-5.912698268890381,-5.396457195281982
28,-4.294715881347656,-3.9958889484405518,-3.821323871612549,-3.5924601554870605,-5.967240333557129,-5.484713077545166
29,-4.018704414367676,-4.598248481750488,-3.2822160720825195,-3.5123772621154785,-5.912698268890381,-5.361308574676514
30,-4.294715881347656,-3.9958889484405518,-3.408735513687134,-3.251955270767212,-5.967240333557129,-5.451188564300537
31,-4.018704414367676,-4.598248481750488,-3.380323886871338,-3.5357956886291504,-5.912698268890381,-5.190642356872559
32,-4.294715881347656,-3.9958889484405518,-3.636735200881958,-3.3822431564331055,-5.967240333557129,-5.38995885848999
33,-3.961233139038086,-4.156747817993164,-4.231402397155762,-4.502408504486084,-4.4901652336120605,-4.340095520019531
34,-3.7040059566497803,-3.8750252723693848,-4.164738178253174,-4.152115821838379,-4.61305570602417,-4.5628790855407715
35,-3.961233139038086,-4.156747817993164,-3.5649375915527344,-3.8767952919006348,-4.4901652336120605,-5.6043524742126465
36,-3.7040059566497803,-3.8750252723693848,-3.6914830207824707,-3.773787021636963,-4.61305570602417,-5.766476154327393
37,-3.961233139038086,-4.156747817993164,-3.1964190006256104,-3.6138923168182373,-4.4901652336120605,-5.629727840423584
38,-3.7040059566497803,-3.8750252723693848,-3.507127285003662,-3.4969682693481445,-4.61305570602417,-5.854679107666016
39,-3.961233139038086,-4.156747817993164,-3.312497615814209,-3.6587142944335938,-4.4901652336120605,-5.383780479431152
40,-3.7040059566497803,-3.8750252723693848,-3.5962374210357666,-3.6318140029907227,-4.61305570602417,-5.610282897949219
41,-3.4868640899658203,-3.7494802474975586,-4.231402397155762,-4.502408504486084,-6.385035991668701,-4.340095520019531
42,-3.6182703971862793,-3.3547208309173584,-4.164738178253174,-4.152115821838379,-6.686366558074951,-4.5628790855407715
43,-3.4868640899658203,-3.7494802474975586,-3.5649375915527344,-3.8767952919006348,-6.385035991668701,-5.6043524742126465
44,-3.6182703971862793,-3.3547208309173584,-3.6914830207824707,-3.773787021636963,-6.686366558074951,-5.766476154327393
45,-3.4868640899658203,-3.7494802474975586,-3.1964190006256104,-3.6138923168182373,-6.385035991668701,-5.629727840423584
46,-3.6182703971862793,-3.3547208309173584,-3.507127285003662,-3.4969682693481445,-6.686366558074951,-5.854679107666016
47,-3.4868640899658203,-3.7494802474975586,-3.312497615814209,-3.6587142944335938,-6.385035991668701,-5.383780479431152
48,-3.6182703971862793,-3.3547208309173584,-3.5962374210357666,-3.6318140029907227,-6.686366558074951,-5.610282897949219
49,-4.035340785980225,-4.252786636352539,-4.231402397155762,-4.502408504486084,-6.317506790161133,-4.340095520019531
50,-4.112168312072754,-4.214868068695068,-4.164738178253174,-4.152115821838379,-6.673951148986816,-4.5628790855407715
51,-4.035340785980225,-4.252786636352539,-3.5649375915527344,-3.8767952919006348,-6.317506790161133,-5.6043524742126465
52,-4.112168312072754,-4.214868068695068,-3.6914830207824707,-3.773787021636963,-6.673951148986816,-5.766476154327393
53,-4.035340785980225,-4.252786636352539,-3.1964190006256104,-3.6138923168182373,-6.317506790161133,-5.629727840423584
54,-4.112168312072754,-4.214868068695068,-3.507127285003662,-3.4969682693481445,-6.673951148986816,-5.854679107666016
55,-4.035340785980225,-4.252786636352539,-3.312497615814209,-3.6587142944335938,-6.317506790161133,-5.383780479431152
56,-4.112168312072754,-4.214868068695068,-3.5962374210357666,-3.6318140029907227,-6.673951148986816,-5.610282897949219
57,-3.5804667472839355,-3.7544326782226562,-4.231402397155762,-4.502408504486084,-5.826771259307861,-4.340095520019531
58,-3.6248252391815186,-3.5341837406158447,-4.164738178253174,-4.152115821838379,-6.215119361877441,-4.5628790855407715
59,-3.5804667472839355,-3.7544326782226562,-3.5649375915527344,-3.8767952919006348,-5.826771259307861,-5.6043524742126465
60,-3.6248252391815186,-3.5341837406158447,-3.6914830207824707,-3.773787021636963,-6.215119361877441,-5.766476154327393
61,-3.5804667472839355,-3.7544326782226562,-3.1964190006256104,-3.6138923168182373,-5.826771259307861,-5.629727840423584
62,-3.6248252391815186,-3.5341837406158447,-3.507127285003662,-3.4969682693481445,-6.215119361877441,-5.854679107666016
63,-3.5804667472839355,-3.7544326782226562,-3.312497615814209,-3.6587142944335938,-5.826771259307861,-5.383780479431152
64,-3.6248252391815186,-3.5341837406158447,-3.5962374210357666,-3.6318140029907227,-6.215119361877441,-5.610282897949219
65,-3.610095262527466,-3.6733386516571045,-3.841413736343384,-3.887669324874878,-4.2676615715026855,-4.087921619415283
66,-3.5235681533813477,-3.7844619750976562,-4.060845375061035,-4.258813858032227,-4.639554500579834,-4.515908718109131
67,-3.610095262527466,-3.6733386516571045,-3.1435863971710205,-3.2225348949432373,-4.2676615715026855,-5.231695652008057
68,-3.5235681533813477,-3.7844619750976562,-3.4887197017669678,-3.6284520626068115,-4.639554500579834,-5.513411521911621
69,-3.610095262527466,-3.6733386516571045,-2.752523899078369,-2.8419198989868164,-4.2676615715026855,-5.3399152755737305
70,-3.5235681533813477,-3.7844619750976562,-3.026289463043213,-3.166018486022949,-4.639554500579834,-5.650866985321045
71,-3.610095262527466,-3.6733386516571045,-2.854234218597412,-2.961297035217285,-4.2676615715026855,-5.085890769958496
72,-3.5235681533813477,-3.7844619750976562,-3.1862258911132812,-3.260997772216797,-4.639554500579834,-5.417846202850342
73,-2.9300763607025146,-3.2763967514038086,-3.841413736343384,-3.887669324874878,-5.8626227378845215,-4.087921619415283
74,-3.209629535675049,-3.236135721206665,-4.060845375061035,-4.258813858032227,-6.113129615783691,-4.515908718109131
75,-2.9300763607025146,-3.2763967514038086,-3.1435863971710205,-3.2225348949432373,-5.8626227378845215,-5.231695652008057
76,-3.209629535675049,-3.236135721206665,-3.4887197017669678,-3.6284520626068115,-6.113129615783691,-5.513411521911621
77,-2.9300763607025146,-3.2763967514038086,-2.752523899078369,-2.8419198989868164,-5.8626227378845215,-5.3399152755737305
78,-3.209629535675049,-3.236135721206665,-3.026289463043213,-3.166018486022949,-6.113129615783691,-5.650866985321045
79,-2.9300763607025146,-3.2763967514038086,-2.854234218597412,-2.961297035217285,-5.8626227378845215,-5.085890769958496
80,-3.209629535675049,-3.236135721206665,-3.1862258911132812,-3.260997772216797,-6.113129615783691,-5.417846202850342
81,-3.2052998542785645,-3.5257363319396973,-3.841413736343384,-3.887669324874878,-5.90544319152832,-4.087921619415283
82,-3.7598671913146973,-3.5213890075683594,-4.060845375061035,-4.258813858032227,-6.298775672912598,-4.515908718109131
83,-3.2052998542785645,-3.5257363319396973,-3.1435863971710205,-3.2225348949432373,-5.90544319152832,-5.231695652008057
84,-3.7598671913146973,-3.5213890075683594,-3.4887197017669678,-3.6284520626068115,-6.298775672912598,-5.513411521911621
85,-3.2052998542785645,-3.5257363319396973,-2.752523899078369,-2.8419198989868164,-5.90544319152832,-5.3399152755737305
86,-3.7598671913146973,-3.5213890075683594,-3.026289463043213,-3.166018486022949,-6.298775672912598,-5.650866985321045
87,-3.2052998542785645,-3.5257363319396973,-2.854234218597412,-2.961297035217285,-5.90544319152832,-5.085890769958496
88,-3.7598671913146973,-3.5213890075683594,-3.1862258911132812,-3.260997772216797,-6.298775672912598,-5.417846202850342
89,-3.044734477996826,-3.1310009956359863,-3.841413736343384,-3.887669324874878,-5.3509602546691895,-4.087921619415283
90,-3.2232327461242676,-3.3399221897125244,-4.060845375061035,-4.258813858032227,-5.608601093292236,-4.515908718109131
91,-3.044734477996826,-3.1310009956359863,-3.1435863971710205,-3.2225348949432373,-5.3509602546691895,-5.231695652008057
92,-3.2232327461242676,-3.3399221897125244,-3.4887197017669678,-3.6284520626068115,-5.608601093292236,-5.513411521911621
93,-3.044734477996826,-3.1310009956359863,-2.752523899078369,-2.8419198989868164,-5.3509602546691895,-5.3399152755737305
94,-3.2232327461242676,-3.3399221897125244,-3.026289463043213,-3.166018486022949,-5.608601093292236,-5.650866985321045
95,-3.044734477996826,-3.1310009956359863,-2.854234218597412,-2.961297035217285,-5.3509602546691895,-5.085890769958496
96,-3.2232327461242676,-3.3399221897125244,-3.1862258911132812,-3.260997772216797,-5.608601093292236,-5.417846202850342
97,-4.449444770812988,-4.5095906257629395,-4.7935895919799805,-4.838813304901123,-5.524210453033447,-5.662224769592285
98,-4.187719345092773,-4.842036247253418,-4.477596759796143,-4.933227062225342,-5.080711364746094,-5.1357645988464355
99,-4.449444770812988,-4.5095906257629395,-3.531748056411743,-4.03731632232666,-5.524210453033447,-5.8095526695251465
100,-4.187719345092773,-4.842036247253418,-3.7740354537963867,-3.983771324157715,-5.080711364746094,-5.5597381591796875
101,-4.449444770812988,-4.5095906257629395,-3.236935615539551,-3.427617311477661,-5.524210453033447,-6.068833827972412
102,-4.187719345092773,-4.842036247253418,-3.4355485439300537,-3.9104623794555664,-5.080711364746094,-5.799561500549316
103,-4.449444770812988,-4.5095906257629395,-3.5270838737487793,-3.6284003257751465,-5.524210453033447,-5.801394939422607
104,-4.187719345092773,-4.842036247253418,-3.621330499649048,-4.0225653648376465,-5.080711364746094,-5.692688941955566
105,-4.445348739624023,-4.564795970916748,-4.7935895919799805,-4.838813304901123,-7.115426540374756,-5.662224769592285
106,-3.993629217147827,-4.737092971801758,-4.477596759796143,-4.933227062225342,-6.830779552459717,-5.1357645988464355
107,-4.445348739624023,-4.564795970916748,-3.531748056411743,-4.03731632232666,-7.115426540374756,-5.8095526695251465
108,-3.993629217147827,-4.737092971801758,-3.7740354537963867,-3.983771324157715,-6.830779552459717,-5.5597381591796875
109,-4.445348739624023,-4.564795970916748,-3.236935615539551,-3.427617311477661,-7.115426540374756,-6.068833827972412
110,-3.993629217147827,-4.737092971801758,-3.4355485439300537,-3.9104623794555664,-6.830779552459717,-5.799561500549316
111,-4.445348739624023,-4.564795970916748,-3.5270838737487793,-3.6284003257751465,-7.115426540374756,-5.801394939422607
112,-3.993629217147827,-4.737092971801758,-3.621330499649048,-4.0225653648376465,-6.830779552459717,-5.692688941955566
113,-4.994892597198486,-4.91728401184082,-4.7935895919799805,-4.838813304901123,-7.151548862457275,-5.662224769592285
114,-4.334049701690674,-5.10542106628418,-4.477596759796143,-4.933227062225342,-6.721210479736328,-5.1357645988464355
115,-4.994892597198486,-4.91728401184082,-3.531748056411743,-4.03731632232666,-7.151548862457275,-5.8095526695251465
116,-4.334049701690674,-5.10542106628418,-3.7740354537963867,-3.983771324157715,-6.721210479736328,-5.5597381591796875
117,-4.994892597198486,-4.91728401184082,-3.236935615539551,-3.427617311477661,-7.151548862457275,-6.068833827972412
118,-4.334049701690674,-5.10542106628418,-3.4355485439300537,-3.9104623794555664,-6.721210479736328,-5.799561500549316
119,-4.994892597198486,-4.91728401184082,-3.5270838737487793,-3.6284003257751465,-7.151548862457275,-5.801394939422607
120,-4.334049701690674,-5.10542106628418,-3.621330499649048,-4.0225653648376465,-6.721210479736328,-5.692688941955566
121,-4.543050289154053,-4.571693420410156,-4.7935895919799805,-4.838813304901123,-6.6685380935668945,-5.662224769592285
122,-4.045456886291504,-4.786502361297607,-4.477596759796143,-4.933227062225342,-6.202687740325928,-5.1357645988464355
123,-4.543050289154053,-4.571693420410156,-3.531748056411743,-4.03731632232666,-6.6685380935668945,-5.8095526695251465
124,-4.045456886291504,-4.786502361297607,-3.7740354537963867,-3.983771324157715,-6.202687740325928,-5.5597381591796875
125,-4.543050289154053,-4.571693420410156,-3.236935615539551,-3.427617311477661,-6.6685380935668945,-6.068833827972412
126,-4.045456886291504,-4.786502361297607,-3.4355485439300537,-3.9104623794555664,-6.202687740325928,-5.799561500549316
127,-4.543050289154053,-4.571693420410156,-3.5270838737487793,-3.6284003257751465,-6.6685380935668945,-5.801394939422607
128,-4.045456886291504,-4.786502361297607,-3.621330499649048,-4.0225653648376465,-6.202687740325928,-5.692688941955566
129,-4.73384952545166,-5.2424139976501465,-4.587741374969482,-4.924571514129639,-4.4575934410095215,-4.225156784057617
130,-5.256434440612793,-4.715497970581055,-5.038251876831055,-4.845974922180176,-4.887744426727295,-4.216871738433838
131,-4.73384952545166,-5.2424139976501465,-3.8125224113464355,-4.3280229568481445,-4.4575934410095215,-5.536019802093506
132,-5.256434440612793,-4.715497970581055,-4.328227996826172,-4.038749694824219,-4.887744426727295,-5.65747594833374
133,-4.73384952545166,-5.2424139976501465,-3.7070870399475098,-4.086740016937256,-4.4575934410095215,-5.608999729156494
134,-5.256434440612793,-4.715497970581055,-4.302382946014404,-4.074187278747559,-4.887744426727295,-5.741179943084717
135,-4.73384952545166,-5.2424139976501465,-3.585719108581543,-3.917980194091797,-4.4575934410095215,-5.249253273010254
136,-5.256434440612793,-4.715497970581055,-4.050206184387207,-4.0739946365356445,-4.887744426727295,-5.107753276824951
137,-4.19672155380249,-4.691442489624023,-4.587741374969482,-4.924571514129639,-5.930007457733154,-4.225156784057617
138,-4.681763648986816,-4.337845802307129,-5.038251876831055,-4.845974922180176,-5.805735111236572,-4.216871738433838
139,-4.19672155380249,-4.691442489624023,-3.8125224113464355,-4.3280229568481445,-5.930007457733154,-5.536019802093506
140,-4.681763648986816,-4.337845802307129,-4.328227996826172,-4.038749694824219,-5.805735111236572,-5.65747594833374
141,-4.19672155380249,-4.691442489624023,-3.7070870399475098,-4.086740016937256,-5.930007457733154,-5.608999729156494
142,-4.681763648986816,-4.337845802307129,-4.302382946014404,-4.074187278747559,-5.805735111236572,-5.741179943084717
143,-4.19672155380249,-4.691442489624023,-3.585719108581543,-3.917980194091797,-5.930007457733154,-5.249253273010254
144,-4.681763648986816,-4.337845802307129,-4.050206184387207,-4.0739946365356445,-5.805735111236572,-5.107753276824951
145,-4.170426368713379,-4.553846836090088,-4.587741374969482,-4.924571514129639,-6.242013454437256,-4.225156784057617
146,-4.844460487365723,-4.520466327667236,-5.038251876831055,-4.845974922180176,-6.059584617614746,-4.216871738433838
147,-4.170426368713379,-4.553846836090088,-3.8125224113464355,-4.3280229568481445,-6.242013454437256,-5.536019802093506
148,-4.844460487365723,-4.520466327667236,-4.328227996826172,-4.038749694824219,-6.059584617614746,-5.65747594833374
149,-4.170426368713379,-4.553846836090088,-3.7070870399475098,-4.086740016937256,-6.242013454437256,-5.608999729156494
150,-4.844460487365723,-4.520466327667236,-4.302382946014404,-4.074187278747559,-6.059584617614746,-5.741179943084717
151,-4.170426368713379,-4.553846836090088,-3.585719108581543,-3.917980194091797,-6.242013454437256,-5.249253273010254
