idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-5.033137798309326,-5.600386142730713,-5.545247554779053,-6.105184078216553,-2.798060894012451,-2.3974146842956543
2,-5.612932205200195,-4.672572135925293,-6.169910430908203,-5.39802885055542,-2.8477888107299805,-2.5491366386413574
3,-5.033137798309326,-5.600386142730713,-5.640428066253662,-6.081515789031982,-2.798060894012451,-4.26019287109375
4,-5.612932205200195,-4.672572135925293,-6.0600175857543945,-5.631716251373291,-2.8477888107299805,-4.29524564743042
5,-5.033137798309326,-5.600386142730713,-7.61788272857666,-7.978880405426025,-2.798060894012451,-6.001107692718506
6,-5.612932205200195,-4.672572135925293,-8.284754753112793,-7.985682964324951,-2.8477888107299805,-6.128921031951904
7,-5.033137798309326,-5.600386142730713,-6.578917026519775,-7.07137393951416,-2.798060894012451,-4.97519588470459
8,-5.612932205200195,-4.672572135925293,-7.660412788391113,-7.118238925933838,-2.8477888107299805,-5.683156967163086
9,-4.46002197265625,-4.7410407066345215,-5.545247554779053,-6.105184078216553,-4.644684791564941,-2.3974146842956543
10,-4.845679759979248,-4.269781589508057,-6.169910430908203,-5.39802885055542,-4.603394508361816,-2.5491366386413574
11,-4.46002197265625,-4.7410407066345215,-5.640428066253662,-6.081515789031982,-4.644684791564941,-4.26019287109375
12,-4.845679759979248,-4.269781589508057,-6.0600175857543945,-5.631716251373291,-4.603394508361816,-4.29524564743042
13,-4.46002197265625,-4.7410407066345215,-7.61788272857666,-7.978880405426025,-4.644684791564941,-6.001107692718506
14,-4.845679759979248,-4.269781589508057,-8.284754753112793,-7.985682964324951,-4.603394508361816,-6.128921031951904
15,-4.46002197265625,-4.7410407066345215,-6.578917026519775,-7.07137393951416,-4.644684791564941,-4.97519588470459
16,-4.845679759979248,-4.269781589508057,-7.660412788391113,-7.118238925933838,-4.603394508361816,-5.683156967163086
17,-4.834847927093506,-5.250463962554932,-5.545247554779053,-6.105184078216553,-4.757463455200195,-2.3974146842956543
18,-5.550600528717041,-4.736079692840576,-6.169910430908203,-5.39802885055542,-4.993511199951172,-2.5491366386413574
19,-4.834847927093506,-5.250463962554932,-5.640428066253662,-6.081515789031982,-4.757463455200195,-4.26019287109375
