idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-3.6528713703155518,-3.867598533630371,-4.20819616317749,-4.418211936950684,-3.9506561756134033,-3.433911085128784
2,-3.9082131385803223,-3.3935484886169434,-4.528797149658203,-3.94262433052063,-4.014455318450928,-3.5938973426818848
3,-3.6528713703155518,-3.867598533630371,-3.420288562774658,-3.855208396911621,-3.9506561756134033,-4.350966930389404
4,-3.9082131385803223,-3.3935484886169434,-3.7939376831054688,-3.063366413116455,-4.014455318450928,-4.386970043182373
5,-3.6528713703155518,-3.867598533630371,-3.4900383949279785,-3.8818795680999756,-3.9506561756134033,-4.359335422515869
6,-3.9082131385803223,-3.3935484886169434,-3.961221694946289,-3.2380480766296387,-4.014455318450928,-4.45236349105835
7,-3.6528713703155518,-3.867598533630371,-3.435185194015503,-3.915592670440674,-3.9506561756134033,-4.288933277130127
8,-3.9082131385803223,-3.3935484886169434,-4.053399085998535,-3.2419233322143555,-4.014455318450928,-4.359763145446777
9,-3.246110200881958,-3.1977996826171875,-4.20819616317749,-4.418211936950684,-4.956720352172852,-3.433911085128784
10,-3.2663512229919434,-2.5968806743621826,-4.528797149658203,-3.94262433052063,-4.989623546600342,-3.5938973426818848
11,-3.246110200881958,-3.1977996826171875,-3.420288562774658,-3.855208396911621,-4.956720352172852,-4.350966930389404
12,-3.2663512229919434,-2.5968806743621826,-3.7939376831054688,-3.063366413116455,-4.989623546600342,-4.386970043182373
13,-3.246110200881958,-3.1977996826171875,-3.4900383949279785,-3.8818795680999756,-4.956720352172852,-4.359335422515869
14,-3.2663512229919434,-2.5968806743621826,-3.961221694946289,-3.2380480766296387,-4.989623546600342,-4.45236349105835
15,-3.246110200881958,-3.1977996826171875,-3.435185194015503,-3.915592670440674,-4.956720352172852,-4.288933277130127
16,-3.2663512229919434,-2.5968806743621826,-4.053399085998535,-3.2419233322143555,-4.989623546600342,-4.359763145446777
17,-3.6774230003356934,-3.8519105911254883,-4.20819616317749,-4.418211936950684,-4.716550350189209,-3.433911085128784
18,-3.9075188636779785,-3.522101879119873,-4.528797149658203,-3.94262433052063,-4.595149517059326,-3.5938973426818848
19,-3.6774230003356934,-3.8519105911254883,-3.420288562774658,-3.855208396911621,-4.716550350189209,-4.350966930389404
20,-3.9075188636779785,-3.522101879119873,-3.7939376831054688,-3.063366413116455,-4.595149517059326,-4.386970043182373
21,-3.6774230003356934,-3.8519105911254883,-3.4900383949279785,-3.8818795680999756,-4.716550350189209,-4.359335422515869
22,-3.9075188636779785,-3.522101879119873,-3.961221694946289,-3.2380480766296387,-4.595149517059326,-4.45236349105835
23,-3.6774230003356934,-3.8519105911254883,-3.435185194015503,-3.915592670440674,-4.716550350189209,-4.288933277130127
24,-3.9075188636779785,-3.522101879119873,-4.053399085998535,-3.2419233322143555,-4.595149517059326,-4.359763145446777
25,-3.4601237773895264,-3.7242820262908936,-4.20819616317749,-4.418211936950684,-4.504748821258545,-3.433911085128784
26,-3.8350167274475098,-3.1868157386779785,-4.528797149658203,-3.94262433052063,-4.441902160644531,-3.5938973426818848
27,-3.4601237773895264,-3.7242820262908936,-3.420288562774658,-3.855208396911621,-4.504748821258545,-4.350966930389404
28,-3.8350167274475098,-3.1868157386779785,-3.7939376831054688,-3.063366413116455,-4.441902160644531,-4.386970043182373
29,-3.4601237773895264,-3.7242820262908936,-3.4900383949279785,-3.8818795680999756,-4.504748821258545,-4.359335422515869
30,-3.8350167274475098,-3.1868157386779785,-3.961221694946289,-3.2380480766296387,-4.441902160644531,-4.45236349105835
31,-3.4601237773895264,-3.7242820262908936,-3.435185194015503,-3.915592670440674,-4.504748821258545,-4.288933277130127
32,-3.8350167274475098,-3.1868157386779785,-4.053399085998535,-3.2419233322143555,-4.441902160644531,-4.359763145446777
33,-3.7556710243225098,-3.8802666664123535,-4.029104232788086,-4.233338832855225,-3.7214035987854004,-3.4293229579925537
34,-3.7693052291870117,-3.4545488357543945,-4.2160139083862305,-3.850773334503174,-3.8766160011291504,-3.6048219203948975
35,-3.7556710243225098,-3.8802666664123535,-3.772294282913208,-4.3625006675720215,-3.7214035987854004,-4.171114444732666
36,-3.7693052291870117,-3.4545488357543945,-4.017329692840576,-3.5638060569763184,-3.8766160011291504,-4.464030742645264
37,-3.7556710243225098,-3.8802666664123535,-3.9596195220947266,-4.338366508483887,-3.7214035987854004,-4.180034637451172
38,-3.7693052291870117,-3.4545488357543945,-4.116693496704102,-3.7658889293670654,-3.8766160011291504,-4.344828128814697
39,-3.7556710243225098,-3.8802666664123535,-3.882517099380493,-4.242766380310059,-3.7214035987854004,-4.207024574279785
40,-3.7693052291870117,-3.4545488357543945,-4.0335845947265625,-3.769202709197998,-3.8766160011291504,-4.42464017868042
41,-3.3743433952331543,-3.6390435695648193,-4.029104232788086,-4.233338832855225,-4.883522987365723,-3.4293229579925537
42,-3.346804141998291,-3.160304546356201,-4.2160139083862305,-3.850773334503174,-4.965853214263916,-3.6048219203948975
43,-3.3743433952331543,-3.6390435695648193,-3.772294282913208,-4.3625006675720215,-4.883522987365723,-4.171114444732666
44,-3.346804141998291,-3.160304546356201,-4.017329692840576,-3.5638060569763184,-4.965853214263916,-4.464030742645264
45,-3.3743433952331543,-3.6390435695648193,-3.9596195220947266,-4.338366508483887,-4.883522987365723,-4.180034637451172
46,-3.346804141998291,-3.160304546356201,-4.116693496704102,-3.7658889293670654,-4.965853214263916,-4.344828128814697
47,-3.3743433952331543,-3.6390435695648193,-3.882517099380493,-4.242766380310059,-4.883522987365723,-4.207024574279785
48,-3.346804141998291,-3.160304546356201,-4.0335845947265625,-3.769202709197998,-4.965853214263916,-4.42464017868042
49,-3.762681484222412,-4.194571495056152,-4.029104232788086,-4.233338832855225,-4.84143590927124,-3.4293229579925537
50,-3.776458740234375,-3.6412625312805176,-4.2160139083862305,-3.850773334503174,-5.077060699462891,-3.6048219203948975
51,-3.762681484222412,-4.194571495056152,-3.772294282913208,-4.3625006675720215,-4.84143590927124,-4.171114444732666
52,-3.776458740234375,-3.6412625312805176,-4.017329692840576,-3.5638060569763184,-5.077060699462891,-4.464030742645264
53,-3.762681484222412,-4.194571495056152,-3.9596195220947266,-4.338366508483887,-4.84143590927124,-4.180034637451172
54,-3.776458740234375,-3.6412625312805176,-4.116693496704102,-3.7658889293670654,-5.077060699462891,-4.344828128814697
55,-3.762681484222412,-4.194571495056152,-3.882517099380493,-4.242766380310059,-4.84143590927124,-4.207024574279785
56,-3.776458740234375,-3.6412625312805176,-4.0335845947265625,-3.769202709197998,-5.077060699462891,-4.42464017868042
57,-3.948410749435425,-4.277457237243652,-4.029104232788086,-4.233338832855225,-4.441089153289795,-3.4293229579925537
58,-4.096732139587402,-3.8431670665740967,-4.2160139083862305,-3.850773334503174,-4.509021282196045,-3.6048219203948975
59,-3.948410749435425,-4.277457237243652,-3.772294282913208,-4.3625006675720215,-4.441089153289795,-4.171114444732666
60,-4.096732139587402,-3.8431670665740967,-4.017329692840576,-3.5638060569763184,-4.509021282196045,-4.464030742645264
61,-3.948410749435425,-4.277457237243652,-3.9596195220947266,-4.338366508483887,-4.441089153289795,-4.180034637451172
62,-4.096732139587402,-3.8431670665740967,-4.116693496704102,-3.7658889293670654,-4.509021282196045,-4.344828128814697
63,-3.948410749435425,-4.277457237243652,-3.882517099380493,-4.242766380310059,-4.441089153289795,-4.207024574279785
64,-4.096732139587402,-3.8431670665740967,-4.0335845947265625,-3.769202709197998,-4.509021282196045,-4.42464017868042
65,-3.8218846321105957,-3.5574440956115723,-4.190815448760986,-4.063190460205078,-4.112806797027588,-3.748098134994507
66,-3.460322856903076,-3.6528127193450928,-4.064581394195557,-4.0352396965026855,-4.108844757080078,-3.7563672065734863
67,-3.8218846321105957,-3.5574440956115723,-3.77348256111145,-4.037599563598633,-4.112806797027588,-4.301767826080322
68,-3.460322856903076,-3.6528127193450928,-3.9362454414367676,-3.736445665359497,-4.108844757080078,-4.374695777893066
69,-3.8218846321105957,-3.5574440956115723,-3.743685245513916,-3.8616392612457275,-4.112806797027588,-4.292106628417969
70,-3.460322856903076,-3.6528127193450928,-3.714306592941284,-3.5659477710723877,-4.108844757080078,-4.370301723480225
71,-3.8218846321105957,-3.5574440956115723,-3.7620086669921875,-3.9747650623321533,-4.112806797027588,-4.308603763580322
72,-3.460322856903076,-3.6528127193450928,-4.009011268615723,-3.7249345779418945,-4.108844757080078,-4.407710552215576
73,-3.62642502784729,-3.148247003555298,-4.190815448760986,-4.063190460205078,-5.139938831329346,-3.748098134994507
74,-3.043522357940674,-3.6148264408111572,-4.064581394195557,-4.0352396965026855,-4.842027187347412,-3.7563672065734863
75,-3.62642502784729,-3.148247003555298,-3.77348256111145,-4.037599563598633,-5.139938831329346,-4.301767826080322
76,-3.043522357940674,-3.6148264408111572,-3.9362454414367676,-3.736445665359497,-4.842027187347412,-4.374695777893066
77,-3.62642502784729,-3.148247003555298,-3.743685245513916,-3.8616392612457275,-5.139938831329346,-4.292106628417969
78,-3.043522357940674,-3.6148264408111572,-3.714306592941284,-3.5659477710723877,-4.842027187347412,-4.370301723480225
79,-3.62642502784729,-3.148247003555298,-3.7620086669921875,-3.9747650623321533,-5.139938831329346,-4.308603763580322
80,-3.043522357940674,-3.6148264408111572,-4.009011268615723,-3.7249345779418945,-4.842027187347412,-4.407710552215576
81,-3.7717623710632324,-3.630403518676758,-4.190815448760986,-4.063190460205078,-4.949950695037842,-3.748098134994507
82,-3.60998272895813,-3.9940590858459473,-4.064581394195557,-4.0352396965026855,-4.843316555023193,-3.7563672065734863
83,-3.7717623710632324,-3.630403518676758,-3.77348256111145,-4.037599563598633,-4.949950695037842,-4.301767826080322
84,-3.60998272895813,-3.9940590858459473,-3.9362454414367676,-3.736445665359497,-4.843316555023193,-4.374695777893066
85,-3.7717623710632324,-3.630403518676758,-3.743685245513916,-3.8616392612457275,-4.949950695037842,-4.292106628417969
86,-3.60998272895813,-3.9940590858459473,-3.714306592941284,-3.5659477710723877,-4.843316555023193,-4.370301723480225
87,-3.7717623710632324,-3.630403518676758,-3.7620086669921875,-3.9747650623321533,-4.949950695037842,-4.308603763580322
88,-3.60998272895813,-3.9940590858459473,-4.009011268615723,-3.7249345779418945,-4.843316555023193,-4.407710552215576
89,-3.777346134185791,-3.520761489868164,-4.190815448760986,-4.063190460205078,-4.845101356506348,-3.748098134994507
90,-3.4866671562194824,-3.923153877258301,-4.064581394195557,-4.0352396965026855,-4.699785232543945,-3.7563672065734863
91,-3.777346134185791,-3.520761489868164,-3.77348256111145,-4.037599563598633,-4.845101356506348,-4.301767826080322
92,-3.4866671562194824,-3.923153877258301,-3.9362454414367676,-3.736445665359497,-4.699785232543945,-4.374695777893066
93,-3.777346134185791,-3.520761489868164,-3.743685245513916,-3.8616392612457275,-4.845101356506348,-4.292106628417969
94,-3.4866671562194824,-3.923153877258301,-3.714306592941284,-3.5659477710723877,-4.699785232543945,-4.370301723480225
95,-3.777346134185791,-3.520761489868164,-3.7620086669921875,-3.9747650623321533,-4.845101356506348,-4.308603763580322
96,-3.4866671562194824,-3.923153877258301,-4.009011268615723,-3.7249345779418945,-4.699785232543945,-4.407710552215576
