idx,item,type,logprob
0,0,neg_main_good,-2.0043208599090576
0,0,neg_main_bad,-2.648200750350952
0,0,neg_arc_good,-2.799372434616089
0,0,neg_arc_bad,-2.548078775405884
1,0,neg_main_good,-1.7542343139648438
1,0,neg_main_bad,-2.370967149734497
1,0,neg_arc_good,-2.966646671295166
1,0,neg_arc_bad,-2.474027633666992
2,1,neg_main_good,-2.043445348739624
2,1,neg_main_bad,-2.6477484703063965
2,1,neg_arc_good,-2.863394260406494
2,1,neg_arc_bad,-2.420915126800537
3,1,neg_main_good,-2.175712823867798
3,1,neg_main_bad,-2.730623245239258
3,1,neg_arc_good,-3.4432594776153564
3,1,neg_arc_bad,-2.7440452575683594
4,2,neg_main_good,-1.726120114326477
4,2,neg_main_bad,-2.2930285930633545
4,2,neg_arc_good,-2.591092824935913
4,2,neg_arc_bad,-2.1767187118530273
5,2,neg_main_good,-1.7236714363098145
5,2,neg_main_bad,-2.261296510696411
5,2,neg_arc_good,-2.614255666732788
5,2,neg_arc_bad,-2.046736240386963
6,3,neg_main_good,-2.22247052192688
6,3,neg_main_bad,-2.8911633491516113
6,3,neg_arc_good,-3.0331532955169678
6,3,neg_arc_bad,-2.767130136489868
7,3,neg_main_good,-2.3414201736450195
7,3,neg_main_bad,-2.7921664714813232
7,3,neg_arc_good,-3.187286376953125
7,3,neg_arc_bad,-2.457547187805176
8,4,neg_main_good,-2.7475814819335938
8,4,neg_main_bad,-3.252397060394287
8,4,neg_arc_good,-3.488065242767334
8,4,neg_arc_bad,-3.3657994270324707
9,4,neg_main_good,-2.2354564666748047
9,4,neg_main_bad,-2.6809587478637695
9,4,neg_arc_good,-3.8378171920776367
9,4,neg_arc_bad,-3.304992198944092
10,5,neg_main_good,-2.87591290473938
10,5,neg_main_bad,-3.8851523399353027
10,5,neg_arc_good,-4.052678108215332
10,5,neg_arc_bad,-3.334010601043701
11,5,neg_main_good,-3.0077364444732666
11,5,neg_main_bad,-3.763838052749634
11,5,neg_arc_good,-4.196922302246094
11,5,neg_arc_bad,-3.2723870277404785
12,6,neg_main_good,-2.1631505489349365
12,6,neg_main_bad,-2.7022063732147217
12,6,neg_arc_good,-2.634411334991455
12,6,neg_arc_bad,-2.378401279449463
13,6,neg_main_good,-1.8509750366210938
13,6,neg_main_bad,-2.2520408630371094
13,6,neg_arc_good,-2.8986129760742188
13,6,neg_arc_bad,-2.5257341861724854
14,7,neg_main_good,-1.9303948879241943
14,7,neg_main_bad,-2.709012508392334
14,7,neg_arc_good,-2.7095794677734375
14,7,neg_arc_bad,-2.128805160522461
15,7,neg_main_good,-1.7945631742477417
15,7,neg_main_bad,-2.508391857147217
15,7,neg_arc_good,-3.3397674560546875
15,7,neg_arc_bad,-2.6884329319000244
16,8,neg_main_good,-1.8004570007324219
16,8,neg_main_bad,-2.428957939147949
16,8,neg_arc_good,-2.7959036827087402
16,8,neg_arc_bad,-2.3181121349334717
17,8,neg_main_good,-1.999803066253662
17,8,neg_main_bad,-2.586796760559082
17,8,neg_arc_good,-3.0010290145874023
17,8,neg_arc_bad,-2.410473585128784
18,9,neg_main_good,-1.990602731704712
18,9,neg_main_bad,-2.818965196609497
18,9,neg_arc_good,-2.7125589847564697
18,9,neg_arc_bad,-2.391411542892456
19,9,neg_main_good,-1.7198100090026855
19,9,neg_main_bad,-2.1743505001068115
19,9,neg_arc_good,-3.030146837234497
19,9,neg_arc_bad,-2.7181382179260254
20,10,neg_main_good,-2.2680349349975586
20,10,neg_main_bad,-2.9972004890441895
20,10,neg_arc_good,-3.1789073944091797
20,10,neg_arc_bad,-2.8444290161132812
21,10,neg_main_good,-2.2164127826690674
21,10,neg_main_bad,-2.61891770362854
21,10,neg_arc_good,-3.265794277191162
21,10,neg_arc_bad,-2.600109577178955
22,11,neg_main_good,-1.347318410873413
22,11,neg_main_bad,-1.9543460607528687
22,11,neg_arc_good,-2.3020987510681152
22,11,neg_arc_bad,-1.7343740463256836
23,11,neg_main_good,-1.7179501056671143
23,11,neg_main_bad,-2.2034525871276855
23,11,neg_arc_good,-2.6468963623046875
23,11,neg_arc_bad,-2.011779546737671
24,12,neg_main_good,-1.5835788249969482
24,12,neg_main_bad,-2.2580437660217285
24,12,neg_arc_good,-2.5172278881073
24,12,neg_arc_bad,-2.061272621154785
25,12,neg_main_good,-2.175318956375122
25,12,neg_main_bad,-2.4448189735412598
25,12,neg_arc_good,-3.0707755088806152
25,12,neg_arc_bad,-2.609910011291504
26,13,neg_main_good,-1.5155994892120361
26,13,neg_main_bad,-2.268311023712158
26,13,neg_arc_good,-2.508497953414917
26,13,neg_arc_bad,-2.0228919982910156
27,13,neg_main_good,-1.5784521102905273
27,13,neg_main_bad,-2.212597131729126
27,13,neg_arc_good,-2.7721517086029053
27,13,neg_arc_bad,-1.9080758094787598
28,14,neg_main_good,-1.975355625152588
28,14,neg_main_bad,-2.7607598304748535
28,14,neg_arc_good,-2.9036569595336914
28,14,neg_arc_bad,-2.5773322582244873
29,14,neg_main_good,-2.0255706310272217
29,14,neg_main_bad,-2.610016345977783
29,14,neg_arc_good,-3.293503522872925
29,14,neg_arc_bad,-2.51991868019104
30,15,neg_main_good,-2.0248003005981445
30,15,neg_main_bad,-2.7490172386169434
30,15,neg_arc_good,-2.591170310974121
30,15,neg_arc_bad,-2.0873260498046875
31,15,neg_main_good,-1.495308518409729
31,15,neg_main_bad,-2.088369369506836
31,15,neg_arc_good,-3.0066819190979004
31,15,neg_arc_bad,-2.2195496559143066
32,16,neg_main_good,-1.8653403520584106
32,16,neg_main_bad,-2.5112295150756836
32,16,neg_arc_good,-2.593477964401245
32,16,neg_arc_bad,-2.27186918258667
33,16,neg_main_good,-2.0789709091186523
33,16,neg_main_bad,-2.373793601989746
33,16,neg_arc_good,-3.243856430053711
33,16,neg_arc_bad,-2.7850775718688965
34,17,neg_main_good,-2.4201035499572754
34,17,neg_main_bad,-3.3631014823913574
34,17,neg_arc_good,-3.0729897022247314
34,17,neg_arc_bad,-2.51055908203125
35,17,neg_main_good,-2.111701488494873
35,17,neg_main_bad,-2.6570825576782227
35,17,neg_arc_good,-3.259854316711426
35,17,neg_arc_bad,-2.6250879764556885
36,18,neg_main_good,-2.1129817962646484
36,18,neg_main_bad,-2.8221447467803955
36,18,neg_arc_good,-2.7364869117736816
36,18,neg_arc_bad,-2.33821439743042
37,18,neg_main_good,-1.7665165662765503
37,18,neg_main_bad,-2.256105899810791
37,18,neg_arc_good,-3.113638401031494
37,18,neg_arc_bad,-2.5111842155456543
38,19,neg_main_good,-1.8574249744415283
38,19,neg_main_bad,-2.7235169410705566
38,19,neg_arc_good,-2.9031810760498047
38,19,neg_arc_bad,-2.343024492263794
39,19,neg_main_good,-1.681560754776001
39,19,neg_main_bad,-2.299234390258789
39,19,neg_arc_good,-2.805370807647705
39,19,neg_arc_bad,-2.1212263107299805
40,20,neg_main_good,-1.9111387729644775
40,20,neg_main_bad,-2.3317458629608154
40,20,neg_arc_good,-3.198841094970703
40,20,neg_arc_bad,-2.929903030395508
41,20,neg_main_good,-1.9969462156295776
41,20,neg_main_bad,-2.535581111907959
41,20,neg_arc_good,-3.447035789489746
41,20,neg_arc_bad,-3.0957465171813965
42,21,neg_main_good,-1.4975837469100952
42,21,neg_main_bad,-1.9572365283966064
42,21,neg_arc_good,-2.6527464389801025
42,21,neg_arc_bad,-2.3255794048309326
43,21,neg_main_good,-1.8392293453216553
43,21,neg_main_bad,-2.421841621398926
43,21,neg_arc_good,-3.048539161682129
43,21,neg_arc_bad,-2.564528703689575
44,22,neg_main_good,-1.7170391082763672
44,22,neg_main_bad,-2.207874059677124
44,22,neg_arc_good,-3.26375412940979
44,22,neg_arc_bad,-2.993448495864868
45,22,neg_main_good,-1.8428899049758911
45,22,neg_main_bad,-2.4075469970703125
45,22,neg_arc_good,-2.598071336746216
45,22,neg_arc_bad,-2.287489175796509
46,23,neg_main_good,-1.5492336750030518
46,23,neg_main_bad,-2.0639820098876953
46,23,neg_arc_good,-2.777864694595337
46,23,neg_arc_bad,-2.4897427558898926
47,23,neg_main_good,-1.652618408203125
47,23,neg_main_bad,-2.054999351501465
47,23,neg_arc_good,-2.604804277420044
47,23,neg_arc_bad,-2.13051700592041
48,24,neg_main_good,-1.9258475303649902
48,24,neg_main_bad,-2.531014919281006
48,24,neg_arc_good,-3.1676058769226074
48,24,neg_arc_bad,-2.557711601257324
49,24,neg_main_good,-2.4272801876068115
49,24,neg_main_bad,-2.860799551010132
49,24,neg_arc_good,-3.33096981048584
49,24,neg_arc_bad,-2.810654640197754
50,25,neg_main_good,-2.0295653343200684
50,25,neg_main_bad,-2.598581314086914
50,25,neg_arc_good,-3.4777274131774902
50,25,neg_arc_bad,-3.2369155883789062
51,25,neg_main_good,-2.148801565170288
51,25,neg_main_bad,-2.6404035091400146
51,25,neg_arc_good,-3.262111186981201
51,25,neg_arc_bad,-2.6807658672332764
52,26,neg_main_good,-1.813192367553711
52,26,neg_main_bad,-2.3965072631835938
52,26,neg_arc_good,-3.3888328075408936
52,26,neg_arc_bad,-3.145496368408203
53,26,neg_main_good,-2.004087448120117
53,26,neg_main_bad,-2.527702569961548
53,26,neg_arc_good,-2.961951494216919
53,26,neg_arc_bad,-2.3213770389556885
54,27,neg_main_good,-1.6686129570007324
54,27,neg_main_bad,-2.2668838500976562
54,27,neg_arc_good,-3.2012994289398193
54,27,neg_arc_bad,-2.674731731414795
55,27,neg_main_good,-1.7105443477630615
55,27,neg_main_bad,-2.4246268272399902
55,27,neg_arc_good,-2.7532882690429688
55,27,neg_arc_bad,-2.410717248916626
56,28,neg_main_good,-1.8081607818603516
56,28,neg_main_bad,-2.392606496810913
56,28,neg_arc_good,-3.4013285636901855
56,28,neg_arc_bad,-2.8977959156036377
57,28,neg_main_good,-1.6178324222564697
57,28,neg_main_bad,-2.23358416557312
57,28,neg_arc_good,-2.865373373031616
57,28,neg_arc_bad,-2.356654644012451
58,29,neg_main_good,-1.8841830492019653
58,29,neg_main_bad,-2.3361153602600098
58,29,neg_arc_good,-3.300994396209717
58,29,neg_arc_bad,-2.9679906368255615
59,29,neg_main_good,-2.099470615386963
59,29,neg_main_bad,-2.547605514526367
59,29,neg_arc_good,-3.245082139968872
59,29,neg_arc_bad,-2.852895975112915
60,30,neg_main_good,-2.1143178939819336
60,30,neg_main_bad,-2.8426828384399414
60,30,neg_arc_good,-2.925480365753174
60,30,neg_arc_bad,-2.3440308570861816
61,30,neg_main_good,-1.827765703201294
61,30,neg_main_bad,-2.543903350830078
61,30,neg_arc_good,-3.695190668106079
61,30,neg_arc_bad,-3.0368430614471436
62,31,neg_main_good,-2.2413578033447266
62,31,neg_main_bad,-3.299402952194214
62,31,neg_arc_good,-3.2075209617614746
62,31,neg_arc_bad,-2.4548022747039795
63,31,neg_main_good,-2.1432137489318848
63,31,neg_main_bad,-2.873383045196533
63,31,neg_arc_good,-3.569406509399414
63,31,neg_arc_bad,-2.704176425933838
64,32,neg_main_good,-1.7994823455810547
64,32,neg_main_bad,-2.363377809524536
64,32,neg_arc_good,-2.7712793350219727
64,32,neg_arc_bad,-2.631495714187622
65,32,neg_main_good,-1.9894626140594482
65,32,neg_main_bad,-2.31033992767334
65,32,neg_arc_good,-3.339085340499878
65,32,neg_arc_bad,-2.949357032775879
66,33,neg_main_good,-1.8285751342773438
66,33,neg_main_bad,-2.237997531890869
66,33,neg_arc_good,-2.4905519485473633
66,33,neg_arc_bad,-2.355539321899414
67,33,neg_main_good,-1.699535608291626
67,33,neg_main_bad,-2.3939642906188965
67,33,neg_arc_good,-2.740605115890503
67,33,neg_arc_bad,-2.1680235862731934
68,34,neg_main_good,-1.9855499267578125
68,34,neg_main_bad,-2.5040645599365234
