idx,item,type,logprob
0,0,neg_main_good,-2.0115880966186523
0,0,neg_main_bad,-2.5073516368865967
0,0,neg_arc_good,-2.567918300628662
0,0,neg_arc_bad,-2.2800283432006836
1,0,neg_main_good,-1.9568792581558228
1,0,neg_main_bad,-2.5037455558776855
1,0,neg_arc_good,-3.6501855850219727
1,0,neg_arc_bad,-2.9781622886657715
2,1,neg_main_good,-1.7954906225204468
2,1,neg_main_bad,-2.5157618522644043
2,1,neg_arc_good,-2.8080217838287354
2,1,neg_arc_bad,-2.2468101978302
3,1,neg_main_good,-1.8242639303207397
3,1,neg_main_bad,-2.4886739253997803
3,1,neg_arc_good,-3.1356492042541504
3,1,neg_arc_bad,-2.4604439735412598
4,2,neg_main_good,-1.5463792085647583
4,2,neg_main_bad,-2.2062690258026123
4,2,neg_arc_good,-2.3517820835113525
4,2,neg_arc_bad,-1.8736963272094727
5,2,neg_main_good,-1.597097396850586
5,2,neg_main_bad,-2.0935277938842773
5,2,neg_arc_good,-2.4926204681396484
5,2,neg_arc_bad,-1.943807601928711
6,3,neg_main_good,-1.9704324007034302
6,3,neg_main_bad,-2.755587100982666
6,3,neg_arc_good,-3.4646410942077637
6,3,neg_arc_bad,-2.724931478500366
7,3,neg_main_good,-2.1378965377807617
7,3,neg_main_bad,-2.903796672821045
7,3,neg_arc_good,-3.4694461822509766
7,3,neg_arc_bad,-2.5899858474731445
8,4,neg_main_good,-2.7156243324279785
8,4,neg_main_bad,-3.4599990844726562
8,4,neg_arc_good,-4.093347072601318
8,4,neg_arc_bad,-3.6168994903564453
9,4,neg_main_good,-2.473635673522949
9,4,neg_main_bad,-2.949313163757324
9,4,neg_arc_good,-4.008208751678467
9,4,neg_arc_bad,-3.5402634143829346
10,5,neg_main_good,-2.7861030101776123
10,5,neg_main_bad,-3.6437644958496094
10,5,neg_arc_good,-3.7140212059020996
10,5,neg_arc_bad,-3.1104516983032227
11,5,neg_main_good,-2.69697642326355
11,5,neg_main_bad,-3.396243095397949
11,5,neg_arc_good,-4.035488128662109
11,5,neg_arc_bad,-3.3733229637145996
12,6,neg_main_good,-2.0435595512390137
12,6,neg_main_bad,-2.6487793922424316
12,6,neg_arc_good,-2.9954752922058105
12,6,neg_arc_bad,-2.4737699031829834
13,6,neg_main_good,-2.148099899291992
13,6,neg_main_bad,-2.7113161087036133
13,6,neg_arc_good,-3.357316493988037
13,6,neg_arc_bad,-2.972325325012207
14,7,neg_main_good,-1.6974916458129883
14,7,neg_main_bad,-2.336822032928467
14,7,neg_arc_good,-2.5984652042388916
14,7,neg_arc_bad,-2.164193868637085
15,7,neg_main_good,-1.8831470012664795
15,7,neg_main_bad,-2.447373151779175
15,7,neg_arc_good,-3.275725841522217
15,7,neg_arc_bad,-2.7496848106384277
16,8,neg_main_good,-1.8252872228622437
16,8,neg_main_bad,-2.371140956878662
16,8,neg_arc_good,-2.6273880004882812
16,8,neg_arc_bad,-2.1966378688812256
17,8,neg_main_good,-1.7344179153442383
17,8,neg_main_bad,-2.188504934310913
17,8,neg_arc_good,-2.781331777572632
17,8,neg_arc_bad,-2.5382609367370605
