idx,item,type,logprob
0,0,neg_main_good,-1.8686718940734863
0,0,neg_main_bad,-2.6236085891723633
0,0,neg_arc_good,-3.0300564765930176
0,0,neg_arc_bad,-2.5036935806274414
1,0,neg_main_good,-2.1719372272491455
1,0,neg_main_bad,-2.7874972820281982
1,0,neg_arc_good,-3.402556896209717
1,0,neg_arc_bad,-2.9411404132843018
2,1,neg_main_good,-2.0849623680114746
2,1,neg_main_bad,-3.018432140350342
2,1,neg_arc_good,-2.874422788619995
2,1,neg_arc_bad,-2.20660662651062
3,1,neg_main_good,-1.969887375831604
3,1,neg_main_bad,-2.6673617362976074
3,1,neg_arc_good,-3.32425594329834
3,1,neg_arc_bad,-2.632387399673462
4,2,neg_main_good,-1.6785482168197632
4,2,neg_main_bad,-2.5876855850219727
4,2,neg_arc_good,-2.7490596771240234
4,2,neg_arc_bad,-1.9555957317352295
5,2,neg_main_good,-1.6790809631347656
5,2,neg_main_bad,-2.447479724884033
5,2,neg_arc_good,-3.1597323417663574
5,2,neg_arc_bad,-2.1896591186523438
6,3,neg_main_good,-2.1674981117248535
6,3,neg_main_bad,-2.9789328575134277
6,3,neg_arc_good,-3.435131072998047
6,3,neg_arc_bad,-2.776217460632324
7,3,neg_main_good,-2.7896223068237305
7,3,neg_main_bad,-3.6478939056396484
7,3,neg_arc_good,-3.4696433544158936
7,3,neg_arc_bad,-2.6311683654785156
8,4,neg_main_good,-2.614579677581787
8,4,neg_main_bad,-3.2141199111938477
8,4,neg_arc_good,-3.29544997215271
8,4,neg_arc_bad,-2.973729133605957
9,4,neg_main_good,-2.372908115386963
9,4,neg_main_bad,-2.9800264835357666
9,4,neg_arc_good,-3.538668155670166
9,4,neg_arc_bad,-3.1673216819763184
10,5,neg_main_good,-2.9412007331848145
10,5,neg_main_bad,-3.3725016117095947
10,5,neg_arc_good,-3.6712985038757324
10,5,neg_arc_bad,-3.4704203605651855
11,5,neg_main_good,-2.8675537109375
11,5,neg_main_bad,-3.3867554664611816
11,5,neg_arc_good,-3.7257351875305176
11,5,neg_arc_bad,-3.3365590572357178
12,6,neg_main_good,-2.0791749954223633
12,6,neg_main_bad,-2.761484384536743
12,6,neg_arc_good,-2.8809080123901367
12,6,neg_arc_bad,-2.3009703159332275
13,6,neg_main_good,-1.890715479850769
13,6,neg_main_bad,-2.49491024017334
13,6,neg_arc_good,-2.9974348545074463
13,6,neg_arc_bad,-2.5662622451782227
14,7,neg_main_good,-1.9911214113235474
14,7,neg_main_bad,-2.8147687911987305
14,7,neg_arc_good,-3.021376371383667
14,7,neg_arc_bad,-2.4159300327301025
15,7,neg_main_good,-1.9976556301116943
15,7,neg_main_bad,-2.752793312072754
15,7,neg_arc_good,-3.3095767498016357
15,7,neg_arc_bad,-2.7106080055236816
16,8,neg_main_good,-1.774398922920227
16,8,neg_main_bad,-2.701488494873047
16,8,neg_arc_good,-2.9691271781921387
16,8,neg_arc_bad,-1.9408597946166992
17,8,neg_main_good,-1.5808781385421753
17,8,neg_main_bad,-2.5582313537597656
17,8,neg_arc_good,-3.080404043197632
17,8,neg_arc_bad,-2.1952004432678223
18,9,neg_main_good,-2.1698474884033203
18,9,neg_main_bad,-2.731616973876953
18,9,neg_arc_good,-2.8743860721588135
18,9,neg_arc_bad,-2.6345021724700928
19,9,neg_main_good,-2.0620579719543457
19,9,neg_main_bad,-2.643012523651123
19,9,neg_arc_good,-3.142578363418579
19,9,neg_arc_bad,-2.8597803115844727
20,10,neg_main_good,-2.258305788040161
20,10,neg_main_bad,-2.9912705421447754
20,10,neg_arc_good,-2.9350669384002686
20,10,neg_arc_bad,-2.4338579177856445
21,10,neg_main_good,-2.201716423034668
21,10,neg_main_bad,-2.7959370613098145
21,10,neg_arc_good,-3.487240791320801
21,10,neg_arc_bad,-2.9038236141204834
22,11,neg_main_good,-1.427716851234436
22,11,neg_main_bad,-2.311842918395996
22,11,neg_arc_good,-2.4731369018554688
22,11,neg_arc_bad,-1.654152750968933
23,11,neg_main_good,-1.357871174812317
23,11,neg_main_bad,-2.181898593902588
23,11,neg_arc_good,-2.725895881652832
23,11,neg_arc_bad,-1.8495433330535889
24,12,neg_main_good,-1.8799854516983032
24,12,neg_main_bad,-2.667299270629883
24,12,neg_arc_good,-2.857374906539917
24,12,neg_arc_bad,-2.1935224533081055
25,12,neg_main_good,-2.1872479915618896
25,12,neg_main_bad,-2.7651119232177734
25,12,neg_arc_good,-3.245069742202759
25,12,neg_arc_bad,-2.609083652496338
26,13,neg_main_good,-1.738219141960144
26,13,neg_main_bad,-2.587026596069336
26,13,neg_arc_good,-2.6555728912353516
26,13,neg_arc_bad,-1.9212925434112549
27,13,neg_main_good,-1.444542646408081
27,13,neg_main_bad,-2.1253223419189453
27,13,neg_arc_good,-2.745079517364502
27,13,neg_arc_bad,-1.9844648838043213
28,14,neg_main_good,-2.3151063919067383
28,14,neg_main_bad,-3.014434337615967
28,14,neg_arc_good,-3.084819793701172
28,14,neg_arc_bad,-2.59110164642334
29,14,neg_main_good,-1.87764310836792
29,14,neg_main_bad,-2.5648891925811768
29,14,neg_arc_good,-3.16615629196167
29,14,neg_arc_bad,-2.4233815670013428
30,15,neg_main_good,-1.7306814193725586
30,15,neg_main_bad,-2.4926626682281494
30,15,neg_arc_good,-2.5379185676574707
30,15,neg_arc_bad,-1.8341047763824463
31,15,neg_main_good,-1.6079421043395996
31,15,neg_main_bad,-2.1830854415893555
31,15,neg_arc_good,-2.5175600051879883
31,15,neg_arc_bad,-2.088134527206421
32,16,neg_main_good,-2.0674667358398438
32,16,neg_main_bad,-2.72605037689209
32,16,neg_arc_good,-2.8579485416412354
32,16,neg_arc_bad,-2.3434531688690186
33,16,neg_main_good,-2.1663637161254883
33,16,neg_main_bad,-2.595227003097534
33,16,neg_arc_good,-3.269411563873291
33,16,neg_arc_bad,-2.6568946838378906
34,17,neg_main_good,-2.263617515563965
34,17,neg_main_bad,-3.1570820808410645
34,17,neg_arc_good,-3.3706798553466797
34,17,neg_arc_bad,-2.7231955528259277
35,17,neg_main_good,-2.158006191253662
35,17,neg_main_bad,-2.8604631423950195
35,17,neg_arc_good,-3.048408031463623
35,17,neg_arc_bad,-2.357457399368286
36,18,neg_main_good,-1.8865001201629639
36,18,neg_main_bad,-2.9088406562805176
36,18,neg_arc_good,-3.208409309387207
36,18,neg_arc_bad,-2.3813557624816895
37,18,neg_main_good,-1.984975814819336
37,18,neg_main_bad,-2.7300033569335938
37,18,neg_arc_good,-3.1069724559783936
37,18,neg_arc_bad,-2.2590932846069336
38,19,neg_main_good,-1.6591495275497437
38,19,neg_main_bad,-2.5723018646240234
38,19,neg_arc_good,-2.863328456878662
38,19,neg_arc_bad,-2.0450024604797363
39,19,neg_main_good,-1.531663417816162
39,19,neg_main_bad,-2.3520586490631104
39,19,neg_arc_good,-2.9157233238220215
39,19,neg_arc_bad,-2.070561408996582
40,20,neg_main_good,-1.4257969856262207
40,20,neg_main_bad,-2.0115339756011963
40,20,neg_arc_good,-3.1784133911132812
40,20,neg_arc_bad,-2.7929720878601074
41,20,neg_main_good,-1.684315800666809
41,20,neg_main_bad,-2.478915214538574
41,20,neg_arc_good,-2.9758248329162598
41,20,neg_arc_bad,-2.5954856872558594
42,21,neg_main_good,-1.2878254652023315
42,21,neg_main_bad,-1.9214340448379517
42,21,neg_arc_good,-2.5002195835113525
42,21,neg_arc_bad,-1.9237010478973389
43,21,neg_main_good,-1.6999646425247192
43,21,neg_main_bad,-2.391849994659424
43,21,neg_arc_good,-2.7276079654693604
43,21,neg_arc_bad,-2.1474461555480957
44,22,neg_main_good,-1.7558915615081787
44,22,neg_main_bad,-2.3807129859924316
44,22,neg_arc_good,-3.5705668926239014
44,22,neg_arc_bad,-2.8543989658355713
45,22,neg_main_good,-2.1478490829467773
45,22,neg_main_bad,-2.7692034244537354
45,22,neg_arc_good,-2.718095302581787
45,22,neg_arc_bad,-2.5137147903442383
46,23,neg_main_good,-1.461387038230896
46,23,neg_main_bad,-2.008441925048828
46,23,neg_arc_good,-3.0444111824035645
46,23,neg_arc_bad,-2.5488128662109375
47,23,neg_main_good,-1.7341872453689575
47,23,neg_main_bad,-2.2201714515686035
47,23,neg_arc_good,-2.5397706031799316
47,23,neg_arc_bad,-2.0752205848693848
48,24,neg_main_good,-1.9047820568084717
48,24,neg_main_bad,-2.547318458557129
48,24,neg_arc_good,-3.3483023643493652
48,24,neg_arc_bad,-2.6859664916992188
49,24,neg_main_good,-2.523332118988037
