idx,item,type,logprob
0,0,neg_main_good,-2.2562665939331055
0,0,neg_main_bad,-3.314859390258789
0,0,neg_arc_good,-3.0495617389678955
0,0,neg_arc_bad,-2.5685369968414307
1,0,neg_main_good,-1.9124948978424072
1,0,neg_main_bad,-2.5530643463134766
1,0,neg_arc_good,-3.7505362033843994
1,0,neg_arc_bad,-3.1038119792938232
2,1,neg_main_good,-1.6289993524551392
2,1,neg_main_bad,-2.532080888748169
2,1,neg_arc_good,-2.994429111480713
2,1,neg_arc_bad,-2.458205223083496
3,1,neg_main_good,-1.7315294742584229
3,1,neg_main_bad,-2.435749053955078
3,1,neg_arc_good,-2.998166084289551
3,1,neg_arc_bad,-2.6860761642456055
4,2,neg_main_good,-1.771541953086853
4,2,neg_main_bad,-2.536719799041748
4,2,neg_arc_good,-3.4555113315582275
4,2,neg_arc_bad,-3.257882595062256
5,2,neg_main_good,-1.81473970413208
5,2,neg_main_bad,-2.5343241691589355
5,2,neg_arc_good,-2.5483875274658203
5,2,neg_arc_bad,-1.845921516418457
6,3,neg_main_good,-1.8903729915618896
6,3,neg_main_bad,-2.5490376949310303
6,3,neg_arc_good,-3.389709949493408
6,3,neg_arc_bad,-2.983945369720459
7,3,neg_main_good,-1.944588541984558
7,3,neg_main_bad,-2.557375192642212
7,3,neg_arc_good,-2.823042154312134
7,3,neg_arc_bad,-2.5492756366729736
8,4,neg_main_good,-3.23329758644104
8,4,neg_main_bad,-3.542313575744629
8,4,neg_arc_good,-4.1125712394714355
8,4,neg_arc_bad,-4.166254997253418
9,4,neg_main_good,-3.4381558895111084
9,4,neg_main_bad,-3.855708599090576
9,4,neg_arc_good,-4.30374813079834
9,4,neg_arc_bad,-4.349186420440674
10,5,neg_main_good,-2.873359441757202
10,5,neg_main_bad,-3.668541431427002
10,5,neg_arc_good,-3.936049461364746
10,5,neg_arc_bad,-3.550340175628662
11,5,neg_main_good,-2.9215803146362305
11,5,neg_main_bad,-3.4082372188568115
11,5,neg_arc_good,-3.7634801864624023
11,5,neg_arc_bad,-3.354506254196167
12,6,neg_main_good,-2.1548831462860107
12,6,neg_main_bad,-2.970372438430786
12,6,neg_arc_good,-2.8744397163391113
12,6,neg_arc_bad,-2.7626359462738037
13,6,neg_main_good,-2.102750778198242
13,6,neg_main_bad,-2.571566343307495
13,6,neg_arc_good,-3.770979166030884
13,6,neg_arc_bad,-3.383089542388916
14,7,neg_main_good,-1.894608974456787
14,7,neg_main_bad,-2.603616714477539
14,7,neg_arc_good,-3.1289892196655273
14,7,neg_arc_bad,-2.586893320083618
15,7,neg_main_good,-1.8102777004241943
15,7,neg_main_bad,-2.6985268592834473
15,7,neg_arc_good,-3.3537182807922363
15,7,neg_arc_bad,-2.911806344985962
16,8,neg_main_good,-1.884684681892395
16,8,neg_main_bad,-2.618809461593628
16,8,neg_arc_good,-2.9999334812164307
16,8,neg_arc_bad,-2.5100631713867188
17,8,neg_main_good,-2.2280213832855225
17,8,neg_main_bad,-2.661012649536133
17,8,neg_arc_good,-2.993703842163086
17,8,neg_arc_bad,-2.699986219406128
18,9,neg_main_good,-2.2517752647399902
18,9,neg_main_bad,-3.192307949066162
18,9,neg_arc_good,-3.2257440090179443
18,9,neg_arc_bad,-2.8886895179748535
19,9,neg_main_good,-2.520073175430298
19,9,neg_main_bad,-3.0837783813476562
19,9,neg_arc_good,-4.079468727111816
19,9,neg_arc_bad,-3.4018921852111816
20,10,neg_main_good,-2.0862772464752197
20,10,neg_main_bad,-3.2379701137542725
20,10,neg_arc_good,-3.005734443664551
20,10,neg_arc_bad,-2.365081787109375
21,10,neg_main_good,-2.2975268363952637
21,10,neg_main_bad,-2.9035227298736572
21,10,neg_arc_good,-3.7876553535461426
21,10,neg_arc_bad,-3.157630681991577
22,11,neg_main_good,-1.6522395610809326
22,11,neg_main_bad,-2.4890403747558594
22,11,neg_arc_good,-2.5510663986206055
22,11,neg_arc_bad,-1.9392187595367432
23,11,neg_main_good,-1.8917465209960938
23,11,neg_main_bad,-2.5286381244659424
23,11,neg_arc_good,-3.1753287315368652
23,11,neg_arc_bad,-2.367534637451172
24,12,neg_main_good,-1.6153526306152344
24,12,neg_main_bad,-2.3440043926239014
24,12,neg_arc_good,-2.5206196308135986
24,12,neg_arc_bad,-2.119434118270874
25,12,neg_main_good,-1.720524549484253
25,12,neg_main_bad,-2.4975383281707764
25,12,neg_arc_good,-3.121466636657715
25,12,neg_arc_bad,-2.353626251220703
26,13,neg_main_good,-1.5173193216323853
26,13,neg_main_bad,-2.459779739379883
26,13,neg_arc_good,-2.705066204071045
26,13,neg_arc_bad,-2.127119302749634
27,13,neg_main_good,-1.7411389350891113
27,13,neg_main_bad,-2.4345967769622803
27,13,neg_arc_good,-3.240684747695923
27,13,neg_arc_bad,-2.268360137939453
28,14,neg_main_good,-1.9531617164611816
28,14,neg_main_bad,-2.865652561187744
28,14,neg_arc_good,-2.904770851135254
28,14,neg_arc_bad,-2.456481456756592
29,14,neg_main_good,-1.8611350059509277
29,14,neg_main_bad,-2.776562452316284
29,14,neg_arc_good,-3.5727689266204834
29,14,neg_arc_bad,-2.8119921684265137
30,15,neg_main_good,-2.3206729888916016
30,15,neg_main_bad,-3.140439033508301
