idx,item,type,logprob
0,0,neg_main_good,-2.1643080711364746
0,0,neg_main_bad,-2.5412437915802
0,0,neg_arc_good,-2.815082550048828
0,0,neg_arc_bad,-2.539717435836792
1,0,neg_main_good,-2.041116714477539
1,0,neg_main_bad,-2.361499309539795
1,0,neg_arc_good,-3.063685655593872
1,0,neg_arc_bad,-2.8358988761901855
2,1,neg_main_good,-1.9785587787628174
2,1,neg_main_bad,-2.645519971847534
2,1,neg_arc_good,-2.6777868270874023
2,1,neg_arc_bad,-2.146270513534546
3,1,neg_main_good,-1.7968828678131104
3,1,neg_main_bad,-2.4489927291870117
3,1,neg_arc_good,-3.0539915561676025
3,1,neg_arc_bad,-2.6735830307006836
4,2,neg_main_good,-1.4364564418792725
4,2,neg_main_bad,-2.116158962249756
4,2,neg_arc_good,-2.58746600151062
4,2,neg_arc_bad,-2.0071334838867188
5,2,neg_main_good,-1.6426761150360107
5,2,neg_main_bad,-2.192079544067383
5,2,neg_arc_good,-2.1316428184509277
5,2,neg_arc_bad,-1.6607345342636108
6,3,neg_main_good,-1.697601318359375
6,3,neg_main_bad,-2.2584469318389893
6,3,neg_arc_good,-2.7486324310302734
6,3,neg_arc_bad,-2.2861952781677246
7,3,neg_main_good,-1.941411018371582
7,3,neg_main_bad,-2.5271756649017334
7,3,neg_arc_good,-2.561298131942749
7,3,neg_arc_bad,-2.0152475833892822
8,4,neg_main_good,-2.7061829566955566
8,4,neg_main_bad,-3.4416985511779785
8,4,neg_arc_good,-3.815239191055298
8,4,neg_arc_bad,-3.671712875366211
9,4,neg_main_good,-2.5460944175720215
9,4,neg_main_bad,-2.9294614791870117
9,4,neg_arc_good,-3.8841099739074707
9,4,neg_arc_bad,-3.333787441253662
10,5,neg_main_good,-2.6638965606689453
10,5,neg_main_bad,-3.1110377311706543
10,5,neg_arc_good,-3.829141855239868
10,5,neg_arc_bad,-3.3000948429107666
11,5,neg_main_good,-2.492088794708252
11,5,neg_main_bad,-3.6162867546081543
11,5,neg_arc_good,-3.477322816848755
11,5,neg_arc_bad,-2.532985210418701
12,6,neg_main_good,-1.8943696022033691
12,6,neg_main_bad,-2.5131313800811768
12,6,neg_arc_good,-2.254122018814087
12,6,neg_arc_bad,-1.8486967086791992
13,6,neg_main_good,-1.4708055257797241
13,6,neg_main_bad,-1.9771698713302612
13,6,neg_arc_good,-2.862403392791748
13,6,neg_arc_bad,-2.489687442779541
14,7,neg_main_good,-1.5265998840332031
14,7,neg_main_bad,-1.9183849096298218
14,7,neg_arc_good,-2.1696507930755615
14,7,neg_arc_bad,-1.9290530681610107
15,7,neg_main_good,-1.7005774974822998
15,7,neg_main_bad,-2.0406858921051025
15,7,neg_arc_good,-3.0524098873138428
15,7,neg_arc_bad,-2.8382344245910645
16,8,neg_main_good,-2.44726824760437
16,8,neg_main_bad,-2.4808034896850586
16,8,neg_arc_good,-2.654839038848877
16,8,neg_arc_bad,-2.527852773666382
17,8,neg_main_good,-2.481783866882324
17,8,neg_main_bad,-2.511557102203369
17,8,neg_arc_good,-2.9300036430358887
17,8,neg_arc_bad,-3.4198949337005615
18,9,neg_main_good,-2.4524714946746826
18,9,neg_main_bad,-2.856886386871338
18,9,neg_arc_good,-2.706622838973999
18,9,neg_arc_bad,-2.374319076538086
19,9,neg_main_good,-1.9202953577041626
19,9,neg_main_bad,-2.446723461151123
19,9,neg_arc_good,-3.216552734375
19,9,neg_arc_bad,-2.68369460105896
20,10,neg_main_good,-3.043842315673828
20,10,neg_main_bad,-3.5338146686553955
20,10,neg_arc_good,-3.5500283241271973
20,10,neg_arc_bad,-3.2906508445739746
21,10,neg_main_good,-2.5408544540405273
21,10,neg_main_bad,-3.127984046936035
21,10,neg_arc_good,-3.857492208480835
21,10,neg_arc_bad,-3.725966453552246
22,11,neg_main_good,-1.935562252998352
22,11,neg_main_bad,-2.1901564598083496
22,11,neg_arc_good,-2.0712602138519287
22,11,neg_arc_bad,-1.9459867477416992
23,11,neg_main_good,-1.7509641647338867
23,11,neg_main_bad,-2.0211896896362305
23,11,neg_arc_good,-2.666879415512085
23,11,neg_arc_bad,-2.8094534873962402
24,12,neg_main_good,-1.6729291677474976
24,12,neg_main_bad,-2.4827263355255127
24,12,neg_arc_good,-2.4305012226104736
24,12,neg_arc_bad,-1.8873777389526367
25,12,neg_main_good,-1.8936283588409424
25,12,neg_main_bad,-2.3119125366210938
25,12,neg_arc_good,-3.173185348510742
25,12,neg_arc_bad,-2.670764446258545
26,13,neg_main_good,-2.0091958045959473
