idx,item,type,logprob
0,0,neg_main_good,-2.0617010593414307
0,0,neg_main_bad,-2.6551451683044434
0,0,neg_arc_good,-2.6072301864624023
0,0,neg_arc_bad,-2.5323498249053955
1,0,neg_main_good,-1.8095004558563232
1,0,neg_main_bad,-2.347010374069214
1,0,neg_arc_good,-2.7501606941223145
1,0,neg_arc_bad,-2.4709205627441406
2,1,neg_main_good,-1.7747938632965088
2,1,neg_main_bad,-2.5412511825561523
2,1,neg_arc_good,-2.6901769638061523
2,1,neg_arc_bad,-2.079183340072632
3,1,neg_main_good,-1.7481025457382202
3,1,neg_main_bad,-2.4747071266174316
3,1,neg_arc_good,-2.7351157665252686
3,1,neg_arc_bad,-2.21260666847229
4,2,neg_main_good,-1.7654424905776978
4,2,neg_main_bad,-2.2860989570617676
4,2,neg_arc_good,-2.536686897277832
4,2,neg_arc_bad,-2.0195229053497314
5,2,neg_main_good,-1.7391350269317627
5,2,neg_main_bad,-2.2370011806488037
5,2,neg_arc_good,-2.3884754180908203
5,2,neg_arc_bad,-2.0875792503356934
6,3,neg_main_good,-1.9036304950714111
6,3,neg_main_bad,-2.4808363914489746
6,3,neg_arc_good,-2.7310333251953125
6,3,neg_arc_bad,-2.1274709701538086
7,3,neg_main_good,-1.9133925437927246
7,3,neg_main_bad,-2.561800718307495
7,3,neg_arc_good,-2.7412848472595215
7,3,neg_arc_bad,-2.2414159774780273
8,4,neg_main_good,-2.4409334659576416
8,4,neg_main_bad,-3.1251039505004883
8,4,neg_arc_good,-3.67669415473938
8,4,neg_arc_bad,-3.275783061981201
9,4,neg_main_good,-2.380542278289795
9,4,neg_main_bad,-3.099702835083008
9,4,neg_arc_good,-3.3429715633392334
9,4,neg_arc_bad,-2.932847261428833
10,5,neg_main_good,-2.5902788639068604
10,5,neg_main_bad,-3.203721523284912
10,5,neg_arc_good,-3.5606534481048584
10,5,neg_arc_bad,-3.09913969039917
11,5,neg_main_good,-2.7073171138763428
11,5,neg_main_bad,-3.3012168407440186
11,5,neg_arc_good,-3.388760805130005
11,5,neg_arc_bad,-2.970700740814209
12,6,neg_main_good,-2.175156354904175
12,6,neg_main_bad,-2.8288605213165283
12,6,neg_arc_good,-2.9294991493225098
12,6,neg_arc_bad,-2.259871244430542
13,6,neg_main_good,-1.9316896200180054
13,6,neg_main_bad,-2.599862575531006
13,6,neg_arc_good,-2.9720888137817383
13,6,neg_arc_bad,-2.6873397827148438
14,7,neg_main_good,-2.0868515968322754
14,7,neg_main_bad,-2.793928861618042
14,7,neg_arc_good,-2.9538228511810303
14,7,neg_arc_bad,-2.5210249423980713
15,7,neg_main_good,-1.8917526006698608
15,7,neg_main_bad,-2.623445510864258
