idx,item,type,logprob
0,0,neg_main_good,-1.8916895389556885
0,0,neg_main_bad,-2.466139078140259
0,0,neg_arc_good,-2.452134847640991
0,0,neg_arc_bad,-2.202120542526245
1,0,neg_main_good,-1.896580457687378
1,0,neg_main_bad,-2.2793068885803223
1,0,neg_arc_good,-3.091792106628418
1,0,neg_arc_bad,-2.577897310256958
2,1,neg_main_good,-1.7827059030532837
2,1,neg_main_bad,-2.574660301208496
2,1,neg_arc_good,-2.7581136226654053
2,1,neg_arc_bad,-2.1913576126098633
3,1,neg_main_good,-1.4336957931518555
3,1,neg_main_bad,-2.2523903846740723
3,1,neg_arc_good,-2.8390157222747803
3,1,neg_arc_bad,-2.065117597579956
4,2,neg_main_good,-1.8605356216430664
4,2,neg_main_bad,-2.3969156742095947
4,2,neg_arc_good,-2.8404746055603027
4,2,neg_arc_bad,-2.5144479274749756
5,2,neg_main_good,-1.781064748764038
5,2,neg_main_bad,-2.2726244926452637
5,2,neg_arc_good,-2.26487398147583
5,2,neg_arc_bad,-1.6229392290115356
6,3,neg_main_good,-1.7367582321166992
6,3,neg_main_bad,-2.240292549133301
6,3,neg_arc_good,-2.712602138519287
6,3,neg_arc_bad,-2.390897512435913
7,3,neg_main_good,-1.7826236486434937
7,3,neg_main_bad,-2.3184380531311035
7,3,neg_arc_good,-2.5028157234191895
7,3,neg_arc_bad,-2.063807249069214
8,4,neg_main_good,-2.2224955558776855
8,4,neg_main_bad,-2.678424835205078
8,4,neg_arc_good,-3.3044931888580322
8,4,neg_arc_bad,-3.0200023651123047
9,4,neg_main_good,-2.4771220684051514
9,4,neg_main_bad,-2.9700875282287598
9,4,neg_arc_good,-3.4187309741973877
9,4,neg_arc_bad,-2.9759140014648438
10,5,neg_main_good,-2.354769706726074
10,5,neg_main_bad,-3.0200355052948
10,5,neg_arc_good,-3.308004856109619
10,5,neg_arc_bad,-2.8911585807800293
11,5,neg_main_good,-2.5814049243927
11,5,neg_main_bad,-3.1277899742126465
11,5,neg_arc_good,-3.410568952560425
11,5,neg_arc_bad,-2.781179189682007
12,6,neg_main_good,-1.8717514276504517
12,6,neg_main_bad,-2.7355031967163086
12,6,neg_arc_good,-2.557453155517578
12,6,neg_arc_bad,-2.2658565044403076
13,6,neg_main_good,-1.9858232736587524
13,6,neg_main_bad,-2.4721388816833496
13,6,neg_arc_good,-3.319775104522705
13,6,neg_arc_bad,-2.8326117992401123
14,7,neg_main_good,-1.751663088798523
14,7,neg_main_bad,-2.432657241821289
14,7,neg_arc_good,-2.77476167678833
14,7,neg_arc_bad,-2.4272220134735107
15,7,neg_main_good,-1.871017336845398
15,7,neg_main_bad,-2.4284543991088867
15,7,neg_arc_good,-3.050126791000366
15,7,neg_arc_bad,-2.518829584121704
16,8,neg_main_good,-1.5227935314178467
16,8,neg_main_bad,-2.1950325965881348
16,8,neg_arc_good,-2.463758945465088
16,8,neg_arc_bad,-1.9195436239242554
17,8,neg_main_good,-1.887879729270935
17,8,neg_main_bad,-2.3203506469726562
17,8,neg_arc_good,-2.665229558944702
17,8,neg_arc_bad,-2.1512463092803955
18,9,neg_main_good,-2.40897798538208
18,9,neg_main_bad,-2.9615352153778076
18,9,neg_arc_good,-2.8260879516601562
18,9,neg_arc_bad,-2.6898276805877686
19,9,neg_main_good,-2.4185914993286133
19,9,neg_main_bad,-2.8831968307495117
19,9,neg_arc_good,-3.7196526527404785
19,9,neg_arc_bad,-3.1583151817321777
20,10,neg_main_good,-2.2000839710235596
20,10,neg_main_bad,-2.941591739654541
20,10,neg_arc_good,-3.1079928874969482
20,10,neg_arc_bad,-2.742337703704834
21,10,neg_main_good,-2.3103628158569336
21,10,neg_main_bad,-2.8601346015930176
21,10,neg_arc_good,-3.4976797103881836
21,10,neg_arc_bad,-2.8338871002197266
22,11,neg_main_good,-1.6894441843032837
22,11,neg_main_bad,-2.3820557594299316
22,11,neg_arc_good,-2.3555331230163574
22,11,neg_arc_bad,-1.8241868019104004
23,11,neg_main_good,-1.6943018436431885
23,11,neg_main_bad,-2.2103214263916016
23,11,neg_arc_good,-2.929670810699463
23,11,neg_arc_bad,-2.2608156204223633
24,12,neg_main_good,-1.706838846206665
24,12,neg_main_bad,-2.43687105178833
24,12,neg_arc_good,-2.4781174659729004
24,12,neg_arc_bad,-2.0145413875579834
25,12,neg_main_good,-1.6869242191314697
25,12,neg_main_bad,-2.410291910171509
25,12,neg_arc_good,-3.1144042015075684
25,12,neg_arc_bad,-2.261543035507202
26,13,neg_main_good,-1.3622345924377441
26,13,neg_main_bad,-2.1772525310516357
26,13,neg_arc_good,-2.580667734146118
26,13,neg_arc_bad,-2.0073766708374023
27,13,neg_main_good,-1.4922611713409424
27,13,neg_main_bad,-2.389277458190918
27,13,neg_arc_good,-2.951345682144165
27,13,neg_arc_bad,-1.8872110843658447
28,14,neg_main_good,-2.301422595977783
28,14,neg_main_bad,-2.8490569591522217
28,14,neg_arc_good,-3.032008647918701
28,14,neg_arc_bad,-2.77888822555542
29,14,neg_main_good,-2.1893231868743896
29,14,neg_main_bad,-2.58559250831604
29,14,neg_arc_good,-3.6270596981048584
29,14,neg_arc_bad,-3.1936299800872803
30,15,neg_main_good,-2.7809717655181885
30,15,neg_main_bad,-3.3185415267944336
30,15,neg_arc_good,-2.899533748626709
30,15,neg_arc_bad,-2.5674257278442383
31,15,neg_main_good,-1.8987982273101807
31,15,neg_main_bad,-2.3434255123138428
31,15,neg_arc_good,-3.2472498416900635
31,15,neg_arc_bad,-2.7725892066955566
32,16,neg_main_good,-2.108057975769043
32,16,neg_main_bad,-2.690387725830078
32,16,neg_arc_good,-2.7032501697540283
32,16,neg_arc_bad,-2.4032399654388428
33,16,neg_main_good,-1.6903181076049805
33,16,neg_main_bad,-2.2600293159484863
33,16,neg_arc_good,-3.355962038040161
33,16,neg_arc_bad,-2.5630435943603516
34,17,neg_main_good,-2.4539730548858643
34,17,neg_main_bad,-3.0955493450164795
34,17,neg_arc_good,-2.9327516555786133
34,17,neg_arc_bad,-2.532123327255249
35,17,neg_main_good,-2.2417688369750977
35,17,neg_main_bad,-2.7742929458618164
35,17,neg_arc_good,-3.3556766510009766
35,17,neg_arc_bad,-2.9506096839904785
36,18,neg_main_good,-2.415426254272461
36,18,neg_main_bad,-2.9963178634643555
36,18,neg_arc_good,-3.117647647857666
36,18,neg_arc_bad,-2.8376576900482178
37,18,neg_main_good,-1.9490408897399902
37,18,neg_main_bad,-2.3008904457092285
37,18,neg_arc_good,-3.416274070739746
37,18,neg_arc_bad,-2.8478446006774902
