idx,item,type,logprob
0,0,neg_main_good,-2.0071988105773926
0,0,neg_main_bad,-2.6223630905151367
0,0,neg_arc_good,-2.7216086387634277
0,0,neg_arc_bad,-2.5988588333129883
1,0,neg_main_good,-1.9891839027404785
1,0,neg_main_bad,-2.402207374572754
1,0,neg_arc_good,-3.002547264099121
1,0,neg_arc_bad,-2.564971446990967
2,1,neg_main_good,-2.068105936050415
2,1,neg_main_bad,-2.447148323059082
2,1,neg_arc_good,-2.701262950897217
2,1,neg_arc_bad,-2.5243608951568604
3,1,neg_main_good,-2.30475115776062
3,1,neg_main_bad,-2.6117758750915527
3,1,neg_arc_good,-3.108283519744873
3,1,neg_arc_bad,-2.689513683319092
4,2,neg_main_good,-1.8822108507156372
4,2,neg_main_bad,-2.313369035720825
4,2,neg_arc_good,-2.584584951400757
4,2,neg_arc_bad,-2.139461040496826
5,2,neg_main_good,-1.981533408164978
5,2,neg_main_bad,-2.5027379989624023
5,2,neg_arc_good,-2.68855619430542
5,2,neg_arc_bad,-2.2807626724243164
6,3,neg_main_good,-2.220824956893921
6,3,neg_main_bad,-2.941084861755371
6,3,neg_arc_good,-3.357261896133423
6,3,neg_arc_bad,-2.7831106185913086
7,3,neg_main_good,-2.322802782058716
7,3,neg_main_bad,-2.8508880138397217
7,3,neg_arc_good,-2.9543232917785645
7,3,neg_arc_bad,-2.3867225646972656
8,4,neg_main_good,-2.6062850952148438
8,4,neg_main_bad,-3.1968226432800293
8,4,neg_arc_good,-3.5062217712402344
8,4,neg_arc_bad,-3.211021661758423
9,4,neg_main_good,-2.4766833782196045
9,4,neg_main_bad,-3.082423210144043
9,4,neg_arc_good,-3.391115665435791
9,4,neg_arc_bad,-2.7808122634887695
10,5,neg_main_good,-3.0631587505340576
10,5,neg_main_bad,-3.368112087249756
10,5,neg_arc_good,-3.7267508506774902
10,5,neg_arc_bad,-3.5856781005859375
11,5,neg_main_good,-3.0279479026794434
11,5,neg_main_bad,-3.3261094093322754
11,5,neg_arc_good,-3.495194911956787
11,5,neg_arc_bad,-3.248776435852051
12,6,neg_main_good,-2.390131950378418
12,6,neg_main_bad,-2.8762362003326416
12,6,neg_arc_good,-2.764659881591797
12,6,neg_arc_bad,-2.3506672382354736
13,6,neg_main_good,-2.1068968772888184
13,6,neg_main_bad,-2.5030832290649414
13,6,neg_arc_good,-3.107903480529785
13,6,neg_arc_bad,-2.775991439819336
14,7,neg_main_good,-2.2256617546081543
14,7,neg_main_bad,-2.886610507965088
14,7,neg_arc_good,-2.948390245437622
14,7,neg_arc_bad,-2.614198684692383
15,7,neg_main_good,-2.3245177268981934
15,7,neg_main_bad,-2.8488922119140625
15,7,neg_arc_good,-3.3796470165252686
15,7,neg_arc_bad,-2.794678211212158
16,8,neg_main_good,-1.8847583532333374
16,8,neg_main_bad,-2.5111641883850098
16,8,neg_arc_good,-2.4940431118011475
16,8,neg_arc_bad,-2.0381669998168945
17,8,neg_main_good,-1.7984461784362793
17,8,neg_main_bad,-2.261201858520508
17,8,neg_arc_good,-2.8772544860839844
17,8,neg_arc_bad,-2.416485548019409
18,9,neg_main_good,-2.7582311630249023
18,9,neg_main_bad,-3.049125909805298
18,9,neg_arc_good,-2.9484336376190186
18,9,neg_arc_bad,-3.1155521869659424
19,9,neg_main_good,-2.1635234355926514
19,9,neg_main_bad,-2.5517101287841797
19,9,neg_arc_good,-3.265928030014038
19,9,neg_arc_bad,-2.885744094848633
20,10,neg_main_good,-2.6206307411193848
20,10,neg_main_bad,-3.300896406173706
20,10,neg_arc_good,-3.031679630279541
20,10,neg_arc_bad,-2.6603426933288574
21,10,neg_main_good,-2.2182352542877197
21,10,neg_main_bad,-2.646284580230713
21,10,neg_arc_good,-3.640587329864502
21,10,neg_arc_bad,-3.1053547859191895
22,11,neg_main_good,-1.2865715026855469
22,11,neg_main_bad,-1.8377941846847534
22,11,neg_arc_good,-2.075101852416992
22,11,neg_arc_bad,-1.5619035959243774
23,11,neg_main_good,-1.3542879819869995
23,11,neg_main_bad,-1.8473448753356934
23,11,neg_arc_good,-2.5393571853637695
23,11,neg_arc_bad,-1.935791254043579
24,12,neg_main_good,-2.275538444519043
24,12,neg_main_bad,-2.9497222900390625
24,12,neg_arc_good,-2.6575257778167725
24,12,neg_arc_bad,-2.25382137298584
25,12,neg_main_good,-2.368252992630005
25,12,neg_main_bad,-2.768671989440918
25,12,neg_arc_good,-3.6989243030548096
25,12,neg_arc_bad,-3.1561150550842285
26,13,neg_main_good,-2.071073055267334
26,13,neg_main_bad,-2.537428855895996
26,13,neg_arc_good,-2.484811305999756
26,13,neg_arc_bad,-2.211357831954956
27,13,neg_main_good,-1.7123326063156128
27,13,neg_main_bad,-2.1980724334716797
27,13,neg_arc_good,-3.063307046890259
27,13,neg_arc_bad,-2.50730562210083
28,14,neg_main_good,-2.9584720134735107
28,14,neg_main_bad,-3.4493799209594727
28,14,neg_arc_good,-3.2121663093566895
28,14,neg_arc_bad,-2.9674787521362305
29,14,neg_main_good,-2.4200069904327393
29,14,neg_main_bad,-2.880373239517212
29,14,neg_arc_good,-3.7261457443237305
29,14,neg_arc_bad,-3.166461944580078
30,15,neg_main_good,-1.96974778175354
30,15,neg_main_bad,-2.5711817741394043
30,15,neg_arc_good,-2.3700098991394043
30,15,neg_arc_bad,-1.9452000856399536
31,15,neg_main_good,-1.7089118957519531
31,15,neg_main_bad,-2.0884528160095215
31,15,neg_arc_good,-2.9793739318847656
31,15,neg_arc_bad,-2.529338836669922
32,16,neg_main_good,-2.5262980461120605
32,16,neg_main_bad,-3.0395421981811523
32,16,neg_arc_good,-2.78830623626709
32,16,neg_arc_bad,-2.4722697734832764
33,16,neg_main_good,-2.6455538272857666
33,16,neg_main_bad,-2.8448572158813477
33,16,neg_arc_good,-3.755481243133545
33,16,neg_arc_bad,-3.408936023712158
34,17,neg_main_good,-2.6060571670532227
34,17,neg_main_bad,-3.322385549545288
34,17,neg_arc_good,-3.236579418182373
34,17,neg_arc_bad,-2.7738149166107178
35,17,neg_main_good,-2.2982065677642822
35,17,neg_main_bad,-2.7707245349884033
35,17,neg_arc_good,-3.459287166595459
35,17,neg_arc_bad,-2.944960832595825
36,18,neg_main_good,-2.406604766845703
36,18,neg_main_bad,-3.076315402984619
36,18,neg_arc_good,-2.8451461791992188
36,18,neg_arc_bad,-2.447746992111206
37,18,neg_main_good,-1.996842384338379
37,18,neg_main_bad,-2.3619441986083984
37,18,neg_arc_good,-3.3325061798095703
37,18,neg_arc_bad,-2.7750730514526367
38,19,neg_main_good,-2.20684814453125
38,19,neg_main_bad,-2.9059629440307617
38,19,neg_arc_good,-2.558696746826172
38,19,neg_arc_bad,-2.128133773803711
39,19,neg_main_good,-1.9366741180419922
39,19,neg_main_bad,-2.368462562561035
39,19,neg_arc_good,-3.4259581565856934
39,19,neg_arc_bad,-2.7894561290740967
40,20,neg_main_good,-1.7153143882751465
40,20,neg_main_bad,-2.219275712966919
40,20,neg_arc_good,-2.6562235355377197
40,20,neg_arc_bad,-2.18257999420166
41,20,neg_main_good,-1.930182695388794
41,20,neg_main_bad,-2.370673656463623
41,20,neg_arc_good,-3.079279899597168
41,20,neg_arc_bad,-2.6732778549194336
42,21,neg_main_good,-1.7544939517974854
42,21,neg_main_bad,-2.095034599304199
42,21,neg_arc_good,-2.4364802837371826
42,21,neg_arc_bad,-2.102966785430908
43,21,neg_main_good,-1.9937885999679565
43,21,neg_main_bad,-2.3531930446624756
43,21,neg_arc_good,-2.6691343784332275
43,21,neg_arc_bad,-2.367689609527588
44,22,neg_main_good,-1.9553461074829102
44,22,neg_main_bad,-2.50327730178833
44,22,neg_arc_good,-3.2742133140563965
44,22,neg_arc_bad,-2.821676015853882
45,22,neg_main_good,-2.2678370475769043
45,22,neg_main_bad,-2.9347262382507324
45,22,neg_arc_good,-3.3770153522491455
45,22,neg_arc_bad,-2.996734380722046
46,23,neg_main_good,-2.251664638519287
46,23,neg_main_bad,-2.3835034370422363
46,23,neg_arc_good,-2.991325855255127
46,23,neg_arc_bad,-2.7115797996520996
47,23,neg_main_good,-2.711923837661743
47,23,neg_main_bad,-2.8997228145599365
47,23,neg_arc_good,-3.223093271255493
47,23,neg_arc_bad,-3.217726230621338
48,24,neg_main_good,-2.1938552856445312
48,24,neg_main_bad,-2.5830490589141846
48,24,neg_arc_good,-3.0737979412078857
48,24,neg_arc_bad,-2.8554177284240723
49,24,neg_main_good,-2.8478169441223145
49,24,neg_main_bad,-3.048743486404419
49,24,neg_arc_good,-3.288954734802246
49,24,neg_arc_bad,-3.0225143432617188
50,25,neg_main_good,-2.276618719100952
50,25,neg_main_bad,-2.5967347621917725
50,25,neg_arc_good,-3.006959915161133
