new_idx,idx,cont_type,cont_target,cont_id,stimuli,logprob
0,1,lexical overlap,arc,1,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Which restaurant was it?""",-4.89385461807251
1,1,lexical overlap,arc,2,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I didn't know the governor likes Greek food.""",-4.56640625
2,1,lexical overlap,arc,3,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Where was the restaurant located?""",-4.83721923828125
3,1,lexical overlap,arc,4,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Was it only the governor, or were there other people as well?""",-4.477239608764648
4,1,lexical overlap,arc,5,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Is any of them Greek?""",-4.958165645599365
5,1,situational inference,arc,6,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Did they take a picture together?""",-4.772300720214844
6,1,situational inference,arc,7,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I wonder if they talked about educational policies.""",-4.760098934173584
7,1,situational inference,arc,8,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I thought the two were incompatible.""",-4.750557899475098
8,1,situational inference,arc,9,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""I can see that the election season is coming up.""",-4.453416347503662
9,1,situational inference,arc,10,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""Do you know if it was a coincidence?""",-4.4648637771606445
10,1,event association,arc,11,"Erika said, ""The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations."" Cameron replied, ""When did the meeting happen?""",-4.758354663848877
