idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.038716173171997,EleutherAI_pythia-1.4b-deduped
1,event association,mc,-4.027344655990601,EleutherAI_pythia-1.4b-deduped
1,lexical overlap,arc,-3.9959178924560548,EleutherAI_pythia-1.4b-deduped
1,lexical overlap,mc,-3.921002960205078,EleutherAI_pythia-1.4b-deduped
1,situational inference,arc,-4.055938386917115,EleutherAI_pythia-1.4b-deduped
1,situational inference,mc,-4.068002796173095,EleutherAI_pythia-1.4b-deduped
2,event association,arc,-3.912200450897217,EleutherAI_pythia-1.4b-deduped
2,event association,mc,-3.68456449508667,EleutherAI_pythia-1.4b-deduped
2,lexical overlap,arc,-3.8240577220916747,EleutherAI_pythia-1.4b-deduped
2,lexical overlap,mc,-3.7393163681030273,EleutherAI_pythia-1.4b-deduped
2,situational inference,arc,-3.7579240798950195,EleutherAI_pythia-1.4b-deduped
2,situational inference,mc,-3.911689043045044,EleutherAI_pythia-1.4b-deduped
3,event association,arc,-3.441023921966553,EleutherAI_pythia-1.4b-deduped
3,event association,mc,-3.4627631664276124,EleutherAI_pythia-1.4b-deduped
3,lexical overlap,arc,-3.4026737213134766,EleutherAI_pythia-1.4b-deduped
3,lexical overlap,mc,-3.281173276901245,EleutherAI_pythia-1.4b-deduped
3,situational inference,arc,-3.593745708465576,EleutherAI_pythia-1.4b-deduped
3,situational inference,mc,-3.454268789291382,EleutherAI_pythia-1.4b-deduped
4,event association,arc,-3.928701972961426,EleutherAI_pythia-1.4b-deduped
4,event association,mc,-3.860679817199707,EleutherAI_pythia-1.4b-deduped
4,lexical overlap,arc,-3.6755126953125,EleutherAI_pythia-1.4b-deduped
4,lexical overlap,mc,-3.5209112644195555,EleutherAI_pythia-1.4b-deduped
4,situational inference,arc,-3.8037063598632814,EleutherAI_pythia-1.4b-deduped
4,situational inference,mc,-3.8183390617370607,EleutherAI_pythia-1.4b-deduped
5,event association,arc,-3.6090749740600585,EleutherAI_pythia-1.4b-deduped
5,event association,mc,-3.7080408573150634,EleutherAI_pythia-1.4b-deduped
5,lexical overlap,arc,-3.4564599990844727,EleutherAI_pythia-1.4b-deduped
5,lexical overlap,mc,-3.3537721157073976,EleutherAI_pythia-1.4b-deduped
5,situational inference,arc,-3.6405811309814453,EleutherAI_pythia-1.4b-deduped
5,situational inference,mc,-3.632419729232788,EleutherAI_pythia-1.4b-deduped
6,event association,arc,-4.020879220962525,EleutherAI_pythia-1.4b-deduped
6,event association,mc,-3.7520408630371094,EleutherAI_pythia-1.4b-deduped
6,lexical overlap,arc,-3.778395891189575,EleutherAI_pythia-1.4b-deduped
6,lexical overlap,mc,-3.8854334354400635,EleutherAI_pythia-1.4b-deduped
6,situational inference,arc,-3.9321719646453857,EleutherAI_pythia-1.4b-deduped
6,situational inference,mc,-3.7854662418365477,EleutherAI_pythia-1.4b-deduped
7,event association,arc,-3.7859527587890627,EleutherAI_pythia-1.4b-deduped
7,event association,mc,-3.7392208099365236,EleutherAI_pythia-1.4b-deduped
7,lexical overlap,arc,-3.6395336627960204,EleutherAI_pythia-1.4b-deduped
7,lexical overlap,mc,-3.5466916084289553,EleutherAI_pythia-1.4b-deduped
7,situational inference,arc,-3.753080892562866,EleutherAI_pythia-1.4b-deduped
7,situational inference,mc,-3.6961950302124023,EleutherAI_pythia-1.4b-deduped
8,event association,arc,-3.6293051719665526,EleutherAI_pythia-1.4b-deduped
8,event association,mc,-3.3820703506469725,EleutherAI_pythia-1.4b-deduped
8,lexical overlap,arc,-3.3569374561309813,EleutherAI_pythia-1.4b-deduped
8,lexical overlap,mc,-3.4994974613189695,EleutherAI_pythia-1.4b-deduped
8,situational inference,arc,-3.5164849281311037,EleutherAI_pythia-1.4b-deduped
8,situational inference,mc,-3.646391725540161,EleutherAI_pythia-1.4b-deduped
9,event association,arc,-3.4401236534118653,EleutherAI_pythia-1.4b-deduped
9,event association,mc,-3.431325340270996,EleutherAI_pythia-1.4b-deduped
9,lexical overlap,arc,-3.255605697631836,EleutherAI_pythia-1.4b-deduped
9,lexical overlap,mc,-3.141961908340454,EleutherAI_pythia-1.4b-deduped
9,situational inference,arc,-3.5636415481567383,EleutherAI_pythia-1.4b-deduped
9,situational inference,mc,-3.4365715980529785,EleutherAI_pythia-1.4b-deduped
10,event association,arc,-3.7452600955963136,EleutherAI_pythia-1.4b-deduped
10,event association,mc,-3.83171067237854,EleutherAI_pythia-1.4b-deduped
10,lexical overlap,arc,-3.7598026275634764,EleutherAI_pythia-1.4b-deduped
10,lexical overlap,mc,-3.716325044631958,EleutherAI_pythia-1.4b-deduped
10,situational inference,arc,-3.8583189487457275,EleutherAI_pythia-1.4b-deduped
10,situational inference,mc,-3.9090872287750242,EleutherAI_pythia-1.4b-deduped
11,event association,arc,-4.384564018249511,EleutherAI_pythia-1.4b-deduped
11,event association,mc,-4.3642370223999025,EleutherAI_pythia-1.4b-deduped
11,lexical overlap,arc,-4.2499596118927006,EleutherAI_pythia-1.4b-deduped
11,lexical overlap,mc,-4.44348783493042,EleutherAI_pythia-1.4b-deduped
11,situational inference,arc,-4.303619003295898,EleutherAI_pythia-1.4b-deduped
11,situational inference,mc,-4.382027244567871,EleutherAI_pythia-1.4b-deduped
12,event association,arc,-3.484962558746338,EleutherAI_pythia-1.4b-deduped
12,event association,mc,-3.4742551326751707,EleutherAI_pythia-1.4b-deduped
12,lexical overlap,arc,-3.2161841869354246,EleutherAI_pythia-1.4b-deduped
12,lexical overlap,mc,-3.306679344177246,EleutherAI_pythia-1.4b-deduped
12,situational inference,arc,-3.4881746768951416,EleutherAI_pythia-1.4b-deduped
12,situational inference,mc,-3.3294247150421143,EleutherAI_pythia-1.4b-deduped
13,event association,arc,-3.4214735984802247,EleutherAI_pythia-1.4b-deduped
13,event association,mc,-3.479224681854248,EleutherAI_pythia-1.4b-deduped
13,lexical overlap,arc,-3.126723623275757,EleutherAI_pythia-1.4b-deduped
13,lexical overlap,mc,-3.6271291732788087,EleutherAI_pythia-1.4b-deduped
13,situational inference,arc,-3.609901762008667,EleutherAI_pythia-1.4b-deduped
13,situational inference,mc,-3.420434284210205,EleutherAI_pythia-1.4b-deduped
14,event association,arc,-3.4696771144866942,EleutherAI_pythia-1.4b-deduped
14,event association,mc,-3.8075398921966555,EleutherAI_pythia-1.4b-deduped
14,lexical overlap,arc,-3.4009588241577147,EleutherAI_pythia-1.4b-deduped
14,lexical overlap,mc,-3.4771886348724363,EleutherAI_pythia-1.4b-deduped
14,situational inference,arc,-3.5535207271575926,EleutherAI_pythia-1.4b-deduped
14,situational inference,mc,-3.8040379524230956,EleutherAI_pythia-1.4b-deduped
15,event association,arc,-3.8532154083251955,EleutherAI_pythia-1.4b-deduped
15,event association,mc,-4.167958974838257,EleutherAI_pythia-1.4b-deduped
15,lexical overlap,arc,-3.8715378761291506,EleutherAI_pythia-1.4b-deduped
15,lexical overlap,mc,-3.9268898963928223,EleutherAI_pythia-1.4b-deduped
15,situational inference,arc,-4.072828006744385,EleutherAI_pythia-1.4b-deduped
15,situational inference,mc,-3.8699910163879396,EleutherAI_pythia-1.4b-deduped
16,event association,arc,-3.7764375686645506,EleutherAI_pythia-1.4b-deduped
16,event association,mc,-3.5427125453948975,EleutherAI_pythia-1.4b-deduped
16,lexical overlap,arc,-3.7628170967102053,EleutherAI_pythia-1.4b-deduped
16,lexical overlap,mc,-3.598419713973999,EleutherAI_pythia-1.4b-deduped
16,situational inference,arc,-3.7686553955078126,EleutherAI_pythia-1.4b-deduped
16,situational inference,mc,-3.6202859401702883,EleutherAI_pythia-1.4b-deduped
