idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.0317083358764645,EleutherAI_pythia-12b-deduped
1,event association,mc,-4.067715692520141,EleutherAI_pythia-12b-deduped
1,lexical overlap,arc,-3.9919554233551025,EleutherAI_pythia-12b-deduped
1,lexical overlap,mc,-3.963984727859497,EleutherAI_pythia-12b-deduped
1,situational inference,arc,-4.058443641662597,EleutherAI_pythia-12b-deduped
1,situational inference,mc,-4.069412279129028,EleutherAI_pythia-12b-deduped
2,event association,arc,-3.7355587482452393,EleutherAI_pythia-12b-deduped
2,event association,mc,-3.5952322006225588,EleutherAI_pythia-12b-deduped
2,lexical overlap,arc,-3.674817705154419,EleutherAI_pythia-12b-deduped
2,lexical overlap,mc,-3.646889591217041,EleutherAI_pythia-12b-deduped
2,situational inference,arc,-3.6490087032318117,EleutherAI_pythia-12b-deduped
2,situational inference,mc,-3.767905330657959,EleutherAI_pythia-12b-deduped
3,event association,arc,-3.3739712238311768,EleutherAI_pythia-12b-deduped
3,event association,mc,-3.3514572620391845,EleutherAI_pythia-12b-deduped
3,lexical overlap,arc,-3.2796438694000245,EleutherAI_pythia-12b-deduped
3,lexical overlap,mc,-3.191926383972168,EleutherAI_pythia-12b-deduped
3,situational inference,arc,-3.4764575481414797,EleutherAI_pythia-12b-deduped
3,situational inference,mc,-3.395958662033081,EleutherAI_pythia-12b-deduped
4,event association,arc,-3.7780206203460693,EleutherAI_pythia-12b-deduped
4,event association,mc,-3.7671560287475585,EleutherAI_pythia-12b-deduped
4,lexical overlap,arc,-3.58829288482666,EleutherAI_pythia-12b-deduped
4,lexical overlap,mc,-3.402414894104004,EleutherAI_pythia-12b-deduped
4,situational inference,arc,-3.7064690589904785,EleutherAI_pythia-12b-deduped
4,situational inference,mc,-3.7369956493377687,EleutherAI_pythia-12b-deduped
5,event association,arc,-3.6870687007904053,EleutherAI_pythia-12b-deduped
5,event association,mc,-3.7540956020355223,EleutherAI_pythia-12b-deduped
5,lexical overlap,arc,-3.515428590774536,EleutherAI_pythia-12b-deduped
5,lexical overlap,mc,-3.3912080764770507,EleutherAI_pythia-12b-deduped
5,situational inference,arc,-3.6222354888916017,EleutherAI_pythia-12b-deduped
5,situational inference,mc,-3.6587706089019774,EleutherAI_pythia-12b-deduped
6,event association,arc,-4.0198890209198,EleutherAI_pythia-12b-deduped
6,event association,mc,-3.799392890930176,EleutherAI_pythia-12b-deduped
6,lexical overlap,arc,-3.832412528991699,EleutherAI_pythia-12b-deduped
6,lexical overlap,mc,-3.9736424922943114,EleutherAI_pythia-12b-deduped
6,situational inference,arc,-4.048854780197144,EleutherAI_pythia-12b-deduped
6,situational inference,mc,-3.863168716430664,EleutherAI_pythia-12b-deduped
7,event association,arc,-3.6079039096832277,EleutherAI_pythia-12b-deduped
7,event association,mc,-3.6011533737182617,EleutherAI_pythia-12b-deduped
7,lexical overlap,arc,-3.4522005558013915,EleutherAI_pythia-12b-deduped
7,lexical overlap,mc,-3.408693218231201,EleutherAI_pythia-12b-deduped
7,situational inference,arc,-3.587372398376465,EleutherAI_pythia-12b-deduped
7,situational inference,mc,-3.562975215911865,EleutherAI_pythia-12b-deduped
8,event association,arc,-3.521995115280151,EleutherAI_pythia-12b-deduped
8,event association,mc,-3.275523805618286,EleutherAI_pythia-12b-deduped
8,lexical overlap,arc,-3.295354652404785,EleutherAI_pythia-12b-deduped
8,lexical overlap,mc,-3.352451229095459,EleutherAI_pythia-12b-deduped
8,situational inference,arc,-3.4478320598602297,EleutherAI_pythia-12b-deduped
8,situational inference,mc,-3.5506027221679686,EleutherAI_pythia-12b-deduped
9,event association,arc,-3.487327480316162,EleutherAI_pythia-12b-deduped
9,event association,mc,-3.450858402252197,EleutherAI_pythia-12b-deduped
9,lexical overlap,arc,-3.2945535659790037,EleutherAI_pythia-12b-deduped
9,lexical overlap,mc,-3.1934840202331545,EleutherAI_pythia-12b-deduped
9,situational inference,arc,-3.6194292068481446,EleutherAI_pythia-12b-deduped
9,situational inference,mc,-3.43948073387146,EleutherAI_pythia-12b-deduped
10,event association,arc,-3.5778390407562255,EleutherAI_pythia-12b-deduped
10,event association,mc,-3.6717989921569822,EleutherAI_pythia-12b-deduped
10,lexical overlap,arc,-3.5761194705963133,EleutherAI_pythia-12b-deduped
10,lexical overlap,mc,-3.5460323333740233,EleutherAI_pythia-12b-deduped
10,situational inference,arc,-3.7046460628509523,EleutherAI_pythia-12b-deduped
10,situational inference,mc,-3.735430145263672,EleutherAI_pythia-12b-deduped
11,event association,arc,-4.236136722564697,EleutherAI_pythia-12b-deduped
11,event association,mc,-4.163559818267823,EleutherAI_pythia-12b-deduped
11,lexical overlap,arc,-4.09143385887146,EleutherAI_pythia-12b-deduped
11,lexical overlap,mc,-4.24869933128357,EleutherAI_pythia-12b-deduped
11,situational inference,arc,-4.18253903388977,EleutherAI_pythia-12b-deduped
11,situational inference,mc,-4.237595748901367,EleutherAI_pythia-12b-deduped
12,event association,arc,-3.5537836074829103,EleutherAI_pythia-12b-deduped
12,event association,mc,-3.496980619430542,EleutherAI_pythia-12b-deduped
12,lexical overlap,arc,-3.172447156906128,EleutherAI_pythia-12b-deduped
12,lexical overlap,mc,-3.331778335571289,EleutherAI_pythia-12b-deduped
12,situational inference,arc,-3.5017226696014405,EleutherAI_pythia-12b-deduped
12,situational inference,mc,-3.3004763603210447,EleutherAI_pythia-12b-deduped
13,event association,arc,-3.437729549407959,EleutherAI_pythia-12b-deduped
13,event association,mc,-3.501526403427124,EleutherAI_pythia-12b-deduped
13,lexical overlap,arc,-3.1264527797698975,EleutherAI_pythia-12b-deduped
13,lexical overlap,mc,-3.5846391677856446,EleutherAI_pythia-12b-deduped
13,situational inference,arc,-3.57369065284729,EleutherAI_pythia-12b-deduped
13,situational inference,mc,-3.450435018539429,EleutherAI_pythia-12b-deduped
14,event association,arc,-3.5350286960601807,EleutherAI_pythia-12b-deduped
14,event association,mc,-3.8841335773468018,EleutherAI_pythia-12b-deduped
