idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.504930400848389,EleutherAI_pythia-160m-deduped
1,event association,mc,-4.4603721618652346,EleutherAI_pythia-160m-deduped
1,lexical overlap,arc,-4.541887378692627,EleutherAI_pythia-160m-deduped
1,lexical overlap,mc,-4.367118453979492,EleutherAI_pythia-160m-deduped
1,situational inference,arc,-4.5027586936950685,EleutherAI_pythia-160m-deduped
1,situational inference,mc,-4.473319149017334,EleutherAI_pythia-160m-deduped
2,event association,arc,-4.2478944778442385,EleutherAI_pythia-160m-deduped
2,event association,mc,-4.069848442077637,EleutherAI_pythia-160m-deduped
2,lexical overlap,arc,-4.232359457015991,EleutherAI_pythia-160m-deduped
2,lexical overlap,mc,-4.162398195266723,EleutherAI_pythia-160m-deduped
2,situational inference,arc,-4.160971689224243,EleutherAI_pythia-160m-deduped
2,situational inference,mc,-4.309668159484863,EleutherAI_pythia-160m-deduped
3,event association,arc,-3.6539168834686278,EleutherAI_pythia-160m-deduped
3,event association,mc,-3.598261022567749,EleutherAI_pythia-160m-deduped
3,lexical overlap,arc,-3.6011744499206544,EleutherAI_pythia-160m-deduped
3,lexical overlap,mc,-3.5441472053527834,EleutherAI_pythia-160m-deduped
3,situational inference,arc,-3.7710798740386964,EleutherAI_pythia-160m-deduped
3,situational inference,mc,-3.6755233287811278,EleutherAI_pythia-160m-deduped
4,event association,arc,-4.143942880630493,EleutherAI_pythia-160m-deduped
4,event association,mc,-4.11264181137085,EleutherAI_pythia-160m-deduped
4,lexical overlap,arc,-3.9456137657165526,EleutherAI_pythia-160m-deduped
4,lexical overlap,mc,-3.6823055267333986,EleutherAI_pythia-160m-deduped
4,situational inference,arc,-3.986787223815918,EleutherAI_pythia-160m-deduped
4,situational inference,mc,-4.06329665184021,EleutherAI_pythia-160m-deduped
5,event association,arc,-3.837291717529297,EleutherAI_pythia-160m-deduped
5,event association,mc,-3.932855796813965,EleutherAI_pythia-160m-deduped
5,lexical overlap,arc,-3.6208144664764403,EleutherAI_pythia-160m-deduped
5,lexical overlap,mc,-3.600043773651123,EleutherAI_pythia-160m-deduped
5,situational inference,arc,-3.8139453887939454,EleutherAI_pythia-160m-deduped
5,situational inference,mc,-3.8659455299377443,EleutherAI_pythia-160m-deduped
6,event association,arc,-4.34337968826294,EleutherAI_pythia-160m-deduped
6,event association,mc,-4.041742992401123,EleutherAI_pythia-160m-deduped
6,lexical overlap,arc,-4.116746330261231,EleutherAI_pythia-160m-deduped
6,lexical overlap,mc,-4.284636545181274,EleutherAI_pythia-160m-deduped
6,situational inference,arc,-4.2361487865448,EleutherAI_pythia-160m-deduped
6,situational inference,mc,-4.073437118530274,EleutherAI_pythia-160m-deduped
7,event association,arc,-4.103280019760132,EleutherAI_pythia-160m-deduped
7,event association,mc,-4.058575105667114,EleutherAI_pythia-160m-deduped
7,lexical overlap,arc,-3.9624991416931152,EleutherAI_pythia-160m-deduped
7,lexical overlap,mc,-3.890414667129517,EleutherAI_pythia-160m-deduped
7,situational inference,arc,-4.1220509052276615,EleutherAI_pythia-160m-deduped
7,situational inference,mc,-3.9367511749267576,EleutherAI_pythia-160m-deduped
8,event association,arc,-3.8367831707000732,EleutherAI_pythia-160m-deduped
8,event association,mc,-3.6063103675842285,EleutherAI_pythia-160m-deduped
8,lexical overlap,arc,-3.6095545291900635,EleutherAI_pythia-160m-deduped
8,lexical overlap,mc,-3.8668792247772217,EleutherAI_pythia-160m-deduped
8,situational inference,arc,-3.7595795154571534,EleutherAI_pythia-160m-deduped
8,situational inference,mc,-3.8466951847076416,EleutherAI_pythia-160m-deduped
9,event association,arc,-3.8033425331115724,EleutherAI_pythia-160m-deduped
9,event association,mc,-3.7861430168151857,EleutherAI_pythia-160m-deduped
9,lexical overlap,arc,-3.634285736083984,EleutherAI_pythia-160m-deduped
9,lexical overlap,mc,-3.5362027645111085,EleutherAI_pythia-160m-deduped
9,situational inference,arc,-3.841337966918945,EleutherAI_pythia-160m-deduped
9,situational inference,mc,-3.7719810009002686,EleutherAI_pythia-160m-deduped
10,event association,arc,-3.9755258560180664,EleutherAI_pythia-160m-deduped
10,event association,mc,-4.0889115810394285,EleutherAI_pythia-160m-deduped
10,lexical overlap,arc,-4.031258678436279,EleutherAI_pythia-160m-deduped
10,lexical overlap,mc,-4.057454061508179,EleutherAI_pythia-160m-deduped
10,situational inference,arc,-4.009766292572022,EleutherAI_pythia-160m-deduped
10,situational inference,mc,-4.084640836715698,EleutherAI_pythia-160m-deduped
11,event association,arc,-4.529097843170166,EleutherAI_pythia-160m-deduped
11,event association,mc,-4.573910427093506,EleutherAI_pythia-160m-deduped
11,lexical overlap,arc,-4.376258754730225,EleutherAI_pythia-160m-deduped
11,lexical overlap,mc,-4.655417537689209,EleutherAI_pythia-160m-deduped
11,situational inference,arc,-4.435817241668701,EleutherAI_pythia-160m-deduped
11,situational inference,mc,-4.610017490386963,EleutherAI_pythia-160m-deduped
12,event association,arc,-3.5413753509521486,EleutherAI_pythia-160m-deduped
12,event association,mc,-3.6197486400604246,EleutherAI_pythia-160m-deduped
12,lexical overlap,arc,-3.4276685237884523,EleutherAI_pythia-160m-deduped
12,lexical overlap,mc,-3.303916501998901,EleutherAI_pythia-160m-deduped
12,situational inference,arc,-3.572196865081787,EleutherAI_pythia-160m-deduped
12,situational inference,mc,-3.478974723815918,EleutherAI_pythia-160m-deduped
13,event association,arc,-3.619720935821533,EleutherAI_pythia-160m-deduped
13,event association,mc,-3.7139206886291505,EleutherAI_pythia-160m-deduped
13,lexical overlap,arc,-3.345284843444824,EleutherAI_pythia-160m-deduped
13,lexical overlap,mc,-3.819447660446167,EleutherAI_pythia-160m-deduped
13,situational inference,arc,-3.7384682655334474,EleutherAI_pythia-160m-deduped
13,situational inference,mc,-3.630981969833374,EleutherAI_pythia-160m-deduped
14,event association,arc,-3.5833519458770753,EleutherAI_pythia-160m-deduped
14,event association,mc,-3.9459789276123045,EleutherAI_pythia-160m-deduped
14,lexical overlap,arc,-3.5983498096466064,EleutherAI_pythia-160m-deduped
14,lexical overlap,mc,-3.7424571037292482,EleutherAI_pythia-160m-deduped
14,situational inference,arc,-3.7909477233886717,EleutherAI_pythia-160m-deduped
14,situational inference,mc,-3.9611330032348633,EleutherAI_pythia-160m-deduped
15,event association,arc,-4.069574451446533,EleutherAI_pythia-160m-deduped
15,event association,mc,-4.402372169494629,EleutherAI_pythia-160m-deduped
15,lexical overlap,arc,-4.10672550201416,EleutherAI_pythia-160m-deduped
15,lexical overlap,mc,-4.185886287689209,EleutherAI_pythia-160m-deduped
15,situational inference,arc,-4.22658863067627,EleutherAI_pythia-160m-deduped
15,situational inference,mc,-4.103543329238891,EleutherAI_pythia-160m-deduped
16,event association,arc,-3.9449376106262206,EleutherAI_pythia-160m-deduped
16,event association,mc,-3.821036767959595,EleutherAI_pythia-160m-deduped
16,lexical overlap,arc,-4.073033952713013,EleutherAI_pythia-160m-deduped
16,lexical overlap,mc,-3.8496001243591307,EleutherAI_pythia-160m-deduped
16,situational inference,arc,-3.962063360214233,EleutherAI_pythia-160m-deduped
16,situational inference,mc,-3.866640567779541,EleutherAI_pythia-160m-deduped
