idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.085881996154785,EleutherAI_pythia-6.9b-deduped
1,event association,mc,-4.102706241607666,EleutherAI_pythia-6.9b-deduped
1,lexical overlap,arc,-4.041140413284301,EleutherAI_pythia-6.9b-deduped
1,lexical overlap,mc,-3.9706581592559815,EleutherAI_pythia-6.9b-deduped
1,situational inference,arc,-4.10852165222168,EleutherAI_pythia-6.9b-deduped
1,situational inference,mc,-4.076720428466797,EleutherAI_pythia-6.9b-deduped
2,event association,arc,-3.794437551498413,EleutherAI_pythia-6.9b-deduped
2,event association,mc,-3.641844654083252,EleutherAI_pythia-6.9b-deduped
2,lexical overlap,arc,-3.763430643081665,EleutherAI_pythia-6.9b-deduped
2,lexical overlap,mc,-3.6990657329559324,EleutherAI_pythia-6.9b-deduped
2,situational inference,arc,-3.6892589569091796,EleutherAI_pythia-6.9b-deduped
2,situational inference,mc,-3.834173250198364,EleutherAI_pythia-6.9b-deduped
3,event association,arc,-3.4300762176513673,EleutherAI_pythia-6.9b-deduped
3,event association,mc,-3.409392833709717,EleutherAI_pythia-6.9b-deduped
3,lexical overlap,arc,-3.3748005867004394,EleutherAI_pythia-6.9b-deduped
3,lexical overlap,mc,-3.26789231300354,EleutherAI_pythia-6.9b-deduped
3,situational inference,arc,-3.5353959083557127,EleutherAI_pythia-6.9b-deduped
3,situational inference,mc,-3.4435385704040526,EleutherAI_pythia-6.9b-deduped
4,event association,arc,-3.830257940292358,EleutherAI_pythia-6.9b-deduped
4,event association,mc,-3.8067948818206787,EleutherAI_pythia-6.9b-deduped
4,lexical overlap,arc,-3.6331953525543215,EleutherAI_pythia-6.9b-deduped
4,lexical overlap,mc,-3.4702125549316407,EleutherAI_pythia-6.9b-deduped
4,situational inference,arc,-3.7552998065948486,EleutherAI_pythia-6.9b-deduped
4,situational inference,mc,-3.7822008609771727,EleutherAI_pythia-6.9b-deduped
5,event association,arc,-3.7892464637756347,EleutherAI_pythia-6.9b-deduped
5,event association,mc,-3.788826417922974,EleutherAI_pythia-6.9b-deduped
5,lexical overlap,arc,-3.5743269443511965,EleutherAI_pythia-6.9b-deduped
5,lexical overlap,mc,-3.4575241565704347,EleutherAI_pythia-6.9b-deduped
5,situational inference,arc,-3.7003244876861574,EleutherAI_pythia-6.9b-deduped
5,situational inference,mc,-3.7059953212738037,EleutherAI_pythia-6.9b-deduped
6,event association,arc,-4.125140810012818,EleutherAI_pythia-6.9b-deduped
6,event association,mc,-3.773864221572876,EleutherAI_pythia-6.9b-deduped
6,lexical overlap,arc,-3.841722297668457,EleutherAI_pythia-6.9b-deduped
6,lexical overlap,mc,-3.9671874046325684,EleutherAI_pythia-6.9b-deduped
6,situational inference,arc,-4.005892992019653,EleutherAI_pythia-6.9b-deduped
6,situational inference,mc,-3.799523115158081,EleutherAI_pythia-6.9b-deduped
7,event association,arc,-3.72801513671875,EleutherAI_pythia-6.9b-deduped
7,event association,mc,-3.7328474521636963,EleutherAI_pythia-6.9b-deduped
7,lexical overlap,arc,-3.6120238304138184,EleutherAI_pythia-6.9b-deduped
7,lexical overlap,mc,-3.514988565444946,EleutherAI_pythia-6.9b-deduped
7,situational inference,arc,-3.680759811401367,EleutherAI_pythia-6.9b-deduped
7,situational inference,mc,-3.664656400680542,EleutherAI_pythia-6.9b-deduped
8,event association,arc,-3.4573092460632324,EleutherAI_pythia-6.9b-deduped
8,event association,mc,-3.240218162536621,EleutherAI_pythia-6.9b-deduped
8,lexical overlap,arc,-3.2528408050537108,EleutherAI_pythia-6.9b-deduped
8,lexical overlap,mc,-3.3264277458190916,EleutherAI_pythia-6.9b-deduped
8,situational inference,arc,-3.4121829509735107,EleutherAI_pythia-6.9b-deduped
8,situational inference,mc,-3.495918083190918,EleutherAI_pythia-6.9b-deduped
9,event association,arc,-3.4530622482299806,EleutherAI_pythia-6.9b-deduped
9,event association,mc,-3.4254221439361574,EleutherAI_pythia-6.9b-deduped
9,lexical overlap,arc,-3.2898655414581297,EleutherAI_pythia-6.9b-deduped
9,lexical overlap,mc,-3.1597316741943358,EleutherAI_pythia-6.9b-deduped
9,situational inference,arc,-3.57600884437561,EleutherAI_pythia-6.9b-deduped
9,situational inference,mc,-3.415111255645752,EleutherAI_pythia-6.9b-deduped
10,event association,arc,-3.699902057647705,EleutherAI_pythia-6.9b-deduped
10,event association,mc,-3.7953246593475343,EleutherAI_pythia-6.9b-deduped
10,lexical overlap,arc,-3.6874763488769533,EleutherAI_pythia-6.9b-deduped
10,lexical overlap,mc,-3.6810778617858886,EleutherAI_pythia-6.9b-deduped
10,situational inference,arc,-3.8316723823547365,EleutherAI_pythia-6.9b-deduped
10,situational inference,mc,-3.857063341140747,EleutherAI_pythia-6.9b-deduped
11,event association,arc,-4.300618362426758,EleutherAI_pythia-6.9b-deduped
11,event association,mc,-4.2257129669189455,EleutherAI_pythia-6.9b-deduped
11,lexical overlap,arc,-4.120721101760864,EleutherAI_pythia-6.9b-deduped
11,lexical overlap,mc,-4.324727630615234,EleutherAI_pythia-6.9b-deduped
11,situational inference,arc,-4.227163314819336,EleutherAI_pythia-6.9b-deduped
11,situational inference,mc,-4.288066101074219,EleutherAI_pythia-6.9b-deduped
12,event association,arc,-3.4789567947387696,EleutherAI_pythia-6.9b-deduped
12,event association,mc,-3.3808770179748535,EleutherAI_pythia-6.9b-deduped
12,lexical overlap,arc,-3.081390380859375,EleutherAI_pythia-6.9b-deduped
12,lexical overlap,mc,-3.25380392074585,EleutherAI_pythia-6.9b-deduped
12,situational inference,arc,-3.406871128082275,EleutherAI_pythia-6.9b-deduped
12,situational inference,mc,-3.260945510864258,EleutherAI_pythia-6.9b-deduped
13,event association,arc,-3.4576133728027343,EleutherAI_pythia-6.9b-deduped
13,event association,mc,-3.5368887901306154,EleutherAI_pythia-6.9b-deduped
13,lexical overlap,arc,-3.1113218307495116,EleutherAI_pythia-6.9b-deduped
13,lexical overlap,mc,-3.637073850631714,EleutherAI_pythia-6.9b-deduped
13,situational inference,arc,-3.61686372756958,EleutherAI_pythia-6.9b-deduped
13,situational inference,mc,-3.4975101947784424,EleutherAI_pythia-6.9b-deduped
14,event association,arc,-3.706018257141113,EleutherAI_pythia-6.9b-deduped
14,event association,mc,-4.05453200340271,EleutherAI_pythia-6.9b-deduped
14,lexical overlap,arc,-3.5769911766052247,EleutherAI_pythia-6.9b-deduped
14,lexical overlap,mc,-3.6957401275634765,EleutherAI_pythia-6.9b-deduped
14,situational inference,arc,-3.7525383472442626,EleutherAI_pythia-6.9b-deduped
14,situational inference,mc,-4.007374811172485,EleutherAI_pythia-6.9b-deduped
15,event association,arc,-3.80199556350708,EleutherAI_pythia-6.9b-deduped
15,event association,mc,-4.0636392593383786,EleutherAI_pythia-6.9b-deduped
15,lexical overlap,arc,-3.824084520339966,EleutherAI_pythia-6.9b-deduped
15,lexical overlap,mc,-3.8449316024780273,EleutherAI_pythia-6.9b-deduped
15,situational inference,arc,-3.9900815963745115,EleutherAI_pythia-6.9b-deduped
15,situational inference,mc,-3.773417663574219,EleutherAI_pythia-6.9b-deduped
16,event association,arc,-3.73809609413147,EleutherAI_pythia-6.9b-deduped
16,event association,mc,-3.5801698684692385,EleutherAI_pythia-6.9b-deduped
16,lexical overlap,arc,-3.75836820602417,EleutherAI_pythia-6.9b-deduped
16,lexical overlap,mc,-3.637138557434082,EleutherAI_pythia-6.9b-deduped
16,situational inference,arc,-3.7694208145141603,EleutherAI_pythia-6.9b-deduped
16,situational inference,mc,-3.6509265899658203,EleutherAI_pythia-6.9b-deduped
17,event association,arc,-3.961154890060425,EleutherAI_pythia-6.9b-deduped
17,event association,mc,-4.0162547588348385,EleutherAI_pythia-6.9b-deduped
17,lexical overlap,arc,-3.7411163330078123,EleutherAI_pythia-6.9b-deduped
17,lexical overlap,mc,-3.729322814941406,EleutherAI_pythia-6.9b-deduped
17,situational inference,arc,-3.9326833724975585,EleutherAI_pythia-6.9b-deduped
17,situational inference,mc,-3.8763696193695067,EleutherAI_pythia-6.9b-deduped
18,event association,arc,-3.926627826690674,EleutherAI_pythia-6.9b-deduped
18,event association,mc,-3.7800549983978273,EleutherAI_pythia-6.9b-deduped
18,lexical overlap,arc,-3.803055191040039,EleutherAI_pythia-6.9b-deduped
18,lexical overlap,mc,-3.6662902355194094,EleutherAI_pythia-6.9b-deduped
18,situational inference,arc,-4.007936477661133,EleutherAI_pythia-6.9b-deduped
18,situational inference,mc,-3.8748722076416016,EleutherAI_pythia-6.9b-deduped
19,event association,arc,-3.8005015373229982,EleutherAI_pythia-6.9b-deduped
19,event association,mc,-3.737781047821045,EleutherAI_pythia-6.9b-deduped
19,lexical overlap,arc,-3.703546953201294,EleutherAI_pythia-6.9b-deduped
19,lexical overlap,mc,-3.5361361503601074,EleutherAI_pythia-6.9b-deduped
