idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-3.9856913566589354,allenai_OLMo-2-1124-7B
1,event association,mc,-3.939699983596802,allenai_OLMo-2-1124-7B
1,lexical overlap,arc,-3.9217434883117677,allenai_OLMo-2-1124-7B
1,lexical overlap,mc,-3.927091693878174,allenai_OLMo-2-1124-7B
1,situational inference,arc,-4.016525745391846,allenai_OLMo-2-1124-7B
1,situational inference,mc,-3.9551825523376465,allenai_OLMo-2-1124-7B
2,event association,arc,-3.5108920097351075,allenai_OLMo-2-1124-7B
2,event association,mc,-3.439181089401245,allenai_OLMo-2-1124-7B
2,lexical overlap,arc,-3.5813647747039794,allenai_OLMo-2-1124-7B
2,lexical overlap,mc,-3.4675293922424317,allenai_OLMo-2-1124-7B
2,situational inference,arc,-3.5136788368225096,allenai_OLMo-2-1124-7B
2,situational inference,mc,-3.621412420272827,allenai_OLMo-2-1124-7B
3,event association,arc,-3.474099349975586,allenai_OLMo-2-1124-7B
3,event association,mc,-3.4443113803863525,allenai_OLMo-2-1124-7B
3,lexical overlap,arc,-3.3794888496398925,allenai_OLMo-2-1124-7B
3,lexical overlap,mc,-3.2841471672058105,allenai_OLMo-2-1124-7B
3,situational inference,arc,-3.5350603580474855,allenai_OLMo-2-1124-7B
3,situational inference,mc,-3.5175215721130373,allenai_OLMo-2-1124-7B
4,event association,arc,-3.6429171562194824,allenai_OLMo-2-1124-7B
4,event association,mc,-3.6497623920440674,allenai_OLMo-2-1124-7B
4,lexical overlap,arc,-3.4937243461608887,allenai_OLMo-2-1124-7B
4,lexical overlap,mc,-3.248675489425659,allenai_OLMo-2-1124-7B
4,situational inference,arc,-3.547420072555542,allenai_OLMo-2-1124-7B
4,situational inference,mc,-3.6185121536254883,allenai_OLMo-2-1124-7B
5,event association,arc,-3.8219032764434813,allenai_OLMo-2-1124-7B
5,event association,mc,-3.932620477676392,allenai_OLMo-2-1124-7B
5,lexical overlap,arc,-3.6943342685699463,allenai_OLMo-2-1124-7B
5,lexical overlap,mc,-3.494065761566162,allenai_OLMo-2-1124-7B
5,situational inference,arc,-3.7808559417724608,allenai_OLMo-2-1124-7B
5,situational inference,mc,-3.831905746459961,allenai_OLMo-2-1124-7B
6,event association,arc,-4.065016031265259,allenai_OLMo-2-1124-7B
6,event association,mc,-3.8974810600280763,allenai_OLMo-2-1124-7B
6,lexical overlap,arc,-3.9689213275909423,allenai_OLMo-2-1124-7B
6,lexical overlap,mc,-4.037618732452392,allenai_OLMo-2-1124-7B
6,situational inference,arc,-4.091093444824219,allenai_OLMo-2-1124-7B
6,situational inference,mc,-3.9509469509124755,allenai_OLMo-2-1124-7B
7,event association,arc,-3.7150348663330077,allenai_OLMo-2-1124-7B
7,event association,mc,-3.6773666381835937,allenai_OLMo-2-1124-7B
7,lexical overlap,arc,-3.56608190536499,allenai_OLMo-2-1124-7B
7,lexical overlap,mc,-3.514007329940796,allenai_OLMo-2-1124-7B
7,situational inference,arc,-3.6135883808135985,allenai_OLMo-2-1124-7B
7,situational inference,mc,-3.644325828552246,allenai_OLMo-2-1124-7B
8,event association,arc,-3.489511775970459,allenai_OLMo-2-1124-7B
8,event association,mc,-3.3165079593658446,allenai_OLMo-2-1124-7B
8,lexical overlap,arc,-3.308845615386963,allenai_OLMo-2-1124-7B
8,lexical overlap,mc,-3.2681617736816406,allenai_OLMo-2-1124-7B
8,situational inference,arc,-3.4349713802337645,allenai_OLMo-2-1124-7B
8,situational inference,mc,-3.5691452026367188,allenai_OLMo-2-1124-7B
9,event association,arc,-3.6026174545288088,allenai_OLMo-2-1124-7B
9,event association,mc,-3.6367889404296876,allenai_OLMo-2-1124-7B
9,lexical overlap,arc,-3.452583360671997,allenai_OLMo-2-1124-7B
9,lexical overlap,mc,-3.341015434265137,allenai_OLMo-2-1124-7B
9,situational inference,arc,-3.7014002323150637,allenai_OLMo-2-1124-7B
9,situational inference,mc,-3.558452272415161,allenai_OLMo-2-1124-7B
10,event association,arc,-3.474492073059082,allenai_OLMo-2-1124-7B
10,event association,mc,-3.6415989875793455,allenai_OLMo-2-1124-7B
10,lexical overlap,arc,-3.452224683761597,allenai_OLMo-2-1124-7B
10,lexical overlap,mc,-3.491571474075317,allenai_OLMo-2-1124-7B
10,situational inference,arc,-3.59091739654541,allenai_OLMo-2-1124-7B
10,situational inference,mc,-3.673123836517334,allenai_OLMo-2-1124-7B
11,event association,arc,-4.09648380279541,allenai_OLMo-2-1124-7B
11,event association,mc,-4.014100790023804,allenai_OLMo-2-1124-7B
11,lexical overlap,arc,-3.9625622272491454,allenai_OLMo-2-1124-7B
11,lexical overlap,mc,-4.0614067077636715,allenai_OLMo-2-1124-7B
11,situational inference,arc,-4.0627758502960205,allenai_OLMo-2-1124-7B
11,situational inference,mc,-4.0677026271820065,allenai_OLMo-2-1124-7B
12,event association,arc,-3.2932031631469725,allenai_OLMo-2-1124-7B
12,event association,mc,-3.2575045108795164,allenai_OLMo-2-1124-7B
12,lexical overlap,arc,-2.9650752544403076,allenai_OLMo-2-1124-7B
12,lexical overlap,mc,-3.1252649784088136,allenai_OLMo-2-1124-7B
12,situational inference,arc,-3.376897382736206,allenai_OLMo-2-1124-7B
12,situational inference,mc,-3.1324270248413084,allenai_OLMo-2-1124-7B
13,event association,arc,-3.3054226875305175,allenai_OLMo-2-1124-7B
13,event association,mc,-3.3215524673461916,allenai_OLMo-2-1124-7B
13,lexical overlap,arc,-2.9559563636779784,allenai_OLMo-2-1124-7B
13,lexical overlap,mc,-3.5197714805603026,allenai_OLMo-2-1124-7B
13,situational inference,arc,-3.4507001399993897,allenai_OLMo-2-1124-7B
13,situational inference,mc,-3.306287670135498,allenai_OLMo-2-1124-7B
14,event association,arc,-3.513008975982666,allenai_OLMo-2-1124-7B
14,event association,mc,-3.8745805263519286,allenai_OLMo-2-1124-7B
14,lexical overlap,arc,-3.3412613391876222,allenai_OLMo-2-1124-7B
14,lexical overlap,mc,-3.392983913421631,allenai_OLMo-2-1124-7B
14,situational inference,arc,-3.5342337608337404,allenai_OLMo-2-1124-7B
14,situational inference,mc,-3.8470547199249268,allenai_OLMo-2-1124-7B
