idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.924386310577392,google_Gemma-2-2B
1,event association,mc,-4.86419095993042,google_Gemma-2-2B
1,lexical overlap,arc,-4.832367324829102,google_Gemma-2-2B
1,lexical overlap,mc,-4.811263084411621,google_Gemma-2-2B
1,situational inference,arc,-4.908480262756347,google_Gemma-2-2B
1,situational inference,mc,-4.8422243118286135,google_Gemma-2-2B
2,event association,arc,-4.564583778381348,google_Gemma-2-2B
2,event association,mc,-4.4178516387939455,google_Gemma-2-2B
2,lexical overlap,arc,-4.649649620056152,google_Gemma-2-2B
2,lexical overlap,mc,-4.520949172973633,google_Gemma-2-2B
2,situational inference,arc,-4.488105392456054,google_Gemma-2-2B
2,situational inference,mc,-4.620573806762695,google_Gemma-2-2B
3,event association,arc,-3.9790900230407713,google_Gemma-2-2B
3,event association,mc,-3.9586798667907717,google_Gemma-2-2B
3,lexical overlap,arc,-3.936005115509033,google_Gemma-2-2B
3,lexical overlap,mc,-3.917466163635254,google_Gemma-2-2B
3,situational inference,arc,-4.078124952316284,google_Gemma-2-2B
3,situational inference,mc,-4.071838521957398,google_Gemma-2-2B
4,event association,arc,-4.866503810882568,google_Gemma-2-2B
4,event association,mc,-4.848022937774658,google_Gemma-2-2B
4,lexical overlap,arc,-4.672775745391846,google_Gemma-2-2B
4,lexical overlap,mc,-4.470092868804931,google_Gemma-2-2B
4,situational inference,arc,-4.738957309722901,google_Gemma-2-2B
4,situational inference,mc,-5.019801902770996,google_Gemma-2-2B
5,event association,arc,-4.666733646392823,google_Gemma-2-2B
5,event association,mc,-4.628545188903809,google_Gemma-2-2B
5,lexical overlap,arc,-4.5328470230102536,google_Gemma-2-2B
5,lexical overlap,mc,-4.207316589355469,google_Gemma-2-2B
5,situational inference,arc,-4.545196056365967,google_Gemma-2-2B
5,situational inference,mc,-4.627164554595947,google_Gemma-2-2B
6,event association,arc,-4.865128517150879,google_Gemma-2-2B
6,event association,mc,-4.580010986328125,google_Gemma-2-2B
6,lexical overlap,arc,-4.670236968994141,google_Gemma-2-2B
6,lexical overlap,mc,-4.742634105682373,google_Gemma-2-2B
6,situational inference,arc,-4.792258548736572,google_Gemma-2-2B
6,situational inference,mc,-4.560304164886475,google_Gemma-2-2B
7,event association,arc,-4.41495304107666,google_Gemma-2-2B
7,event association,mc,-4.4567718505859375,google_Gemma-2-2B
7,lexical overlap,arc,-4.2252401351928714,google_Gemma-2-2B
7,lexical overlap,mc,-4.307486248016358,google_Gemma-2-2B
7,situational inference,arc,-4.32043342590332,google_Gemma-2-2B
7,situational inference,mc,-4.303611803054809,google_Gemma-2-2B
8,event association,arc,-3.8436709880828857,google_Gemma-2-2B
8,event association,mc,-3.583602523803711,google_Gemma-2-2B
8,lexical overlap,arc,-3.6019474983215334,google_Gemma-2-2B
8,lexical overlap,mc,-3.5699540615081786,google_Gemma-2-2B
8,situational inference,arc,-3.7552574634552003,google_Gemma-2-2B
8,situational inference,mc,-3.8348930358886717,google_Gemma-2-2B
9,event association,arc,-4.319119453430176,google_Gemma-2-2B
9,event association,mc,-4.369446659088135,google_Gemma-2-2B
9,lexical overlap,arc,-4.114817762374878,google_Gemma-2-2B
9,lexical overlap,mc,-3.9914392471313476,google_Gemma-2-2B
9,situational inference,arc,-4.380949974060059,google_Gemma-2-2B
9,situational inference,mc,-4.276780605316162,google_Gemma-2-2B
10,event association,arc,-4.319660568237305,google_Gemma-2-2B
10,event association,mc,-4.516833877563476,google_Gemma-2-2B
10,lexical overlap,arc,-4.3694719791412355,google_Gemma-2-2B
10,lexical overlap,mc,-4.307435607910156,google_Gemma-2-2B
10,situational inference,arc,-4.477671813964844,google_Gemma-2-2B
10,situational inference,mc,-4.5410685539245605,google_Gemma-2-2B
11,event association,arc,-5.0144857406616214,google_Gemma-2-2B
11,event association,mc,-4.961523151397705,google_Gemma-2-2B
11,lexical overlap,arc,-4.9058130264282225,google_Gemma-2-2B
11,lexical overlap,mc,-5.086508846282959,google_Gemma-2-2B
11,situational inference,arc,-4.865896320343017,google_Gemma-2-2B
11,situational inference,mc,-4.942824935913086,google_Gemma-2-2B
12,event association,arc,-4.076065874099731,google_Gemma-2-2B
12,event association,mc,-4.0065343379974365,google_Gemma-2-2B
12,lexical overlap,arc,-3.620496702194214,google_Gemma-2-2B
12,lexical overlap,mc,-3.7617456912994385,google_Gemma-2-2B
12,situational inference,arc,-3.9524340629577637,google_Gemma-2-2B
12,situational inference,mc,-3.801567268371582,google_Gemma-2-2B
13,event association,arc,-4.307351016998291,google_Gemma-2-2B
13,event association,mc,-4.334175968170166,google_Gemma-2-2B
13,lexical overlap,arc,-3.9426727294921875,google_Gemma-2-2B
13,lexical overlap,mc,-4.475767517089844,google_Gemma-2-2B
13,situational inference,arc,-4.610038566589355,google_Gemma-2-2B
13,situational inference,mc,-4.339071750640869,google_Gemma-2-2B
14,event association,arc,-4.256320381164551,google_Gemma-2-2B
14,event association,mc,-4.603277778625488,google_Gemma-2-2B
14,lexical overlap,arc,-4.0719279766082765,google_Gemma-2-2B
14,lexical overlap,mc,-4.233784103393555,google_Gemma-2-2B
14,situational inference,arc,-4.240524435043335,google_Gemma-2-2B
14,situational inference,mc,-4.5888059616088865,google_Gemma-2-2B
15,event association,arc,-4.2516097068786625,google_Gemma-2-2B
15,event association,mc,-4.5639293670654295,google_Gemma-2-2B
15,lexical overlap,arc,-4.273725509643555,google_Gemma-2-2B
15,lexical overlap,mc,-4.294622087478638,google_Gemma-2-2B
15,situational inference,arc,-4.468343353271484,google_Gemma-2-2B
15,situational inference,mc,-4.174433183670044,google_Gemma-2-2B
16,event association,arc,-4.466018009185791,google_Gemma-2-2B
16,event association,mc,-4.469639587402344,google_Gemma-2-2B
16,lexical overlap,arc,-4.602788639068604,google_Gemma-2-2B
16,lexical overlap,mc,-4.4803976058959964,google_Gemma-2-2B
16,situational inference,arc,-4.44566593170166,google_Gemma-2-2B
16,situational inference,mc,-4.471205997467041,google_Gemma-2-2B
17,event association,arc,-4.980087947845459,google_Gemma-2-2B
17,event association,mc,-5.240002059936524,google_Gemma-2-2B
17,lexical overlap,arc,-4.826778507232666,google_Gemma-2-2B
17,lexical overlap,mc,-4.730258274078369,google_Gemma-2-2B
17,situational inference,arc,-4.947455024719238,google_Gemma-2-2B
17,situational inference,mc,-5.001633548736573,google_Gemma-2-2B
18,event association,arc,-4.829042911529541,google_Gemma-2-2B
18,event association,mc,-4.588515853881836,google_Gemma-2-2B
18,lexical overlap,arc,-4.5746337890625,google_Gemma-2-2B
18,lexical overlap,mc,-4.425468254089355,google_Gemma-2-2B
18,situational inference,arc,-4.848811435699463,google_Gemma-2-2B
18,situational inference,mc,-4.718019580841064,google_Gemma-2-2B
19,event association,arc,-4.101024103164673,google_Gemma-2-2B
19,event association,mc,-3.97729287147522,google_Gemma-2-2B
19,lexical overlap,arc,-3.912145471572876,google_Gemma-2-2B
19,lexical overlap,mc,-3.8621199131011963,google_Gemma-2-2B
19,situational inference,arc,-3.7705875396728517,google_Gemma-2-2B
19,situational inference,mc,-4.090613794326782,google_Gemma-2-2B
20,event association,arc,-4.476657199859619,google_Gemma-2-2B
20,event association,mc,-4.299614524841308,google_Gemma-2-2B
