idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.207519245147705,gpt2-medium
1,event association,mc,-4.168426179885865,gpt2-medium
1,lexical overlap,arc,-4.19716362953186,gpt2-medium
1,lexical overlap,mc,-4.12189245223999,gpt2-medium
1,situational inference,arc,-4.23153657913208,gpt2-medium
1,situational inference,mc,-4.181612491607666,gpt2-medium
2,event association,arc,-3.995209217071533,gpt2-medium
2,event association,mc,-3.778551721572876,gpt2-medium
2,lexical overlap,arc,-4.013098049163818,gpt2-medium
2,lexical overlap,mc,-3.8686610221862794,gpt2-medium
2,situational inference,arc,-3.9041185855865477,gpt2-medium
2,situational inference,mc,-4.090492391586304,gpt2-medium
3,event association,arc,-3.4718740463256834,gpt2-medium
3,event association,mc,-3.407396650314331,gpt2-medium
3,lexical overlap,arc,-3.3971800327301027,gpt2-medium
3,lexical overlap,mc,-3.2427234172821047,gpt2-medium
3,situational inference,arc,-3.525039625167847,gpt2-medium
3,situational inference,mc,-3.4121066093444825,gpt2-medium
4,event association,arc,-4.012050294876099,gpt2-medium
4,event association,mc,-3.9140607357025146,gpt2-medium
4,lexical overlap,arc,-3.806092357635498,gpt2-medium
4,lexical overlap,mc,-3.5796945571899412,gpt2-medium
4,situational inference,arc,-3.8493203639984133,gpt2-medium
4,situational inference,mc,-3.938667058944702,gpt2-medium
5,event association,arc,-3.8641315937042235,gpt2-medium
5,event association,mc,-3.908871603012085,gpt2-medium
5,lexical overlap,arc,-3.693133592605591,gpt2-medium
5,lexical overlap,mc,-3.540396308898926,gpt2-medium
5,situational inference,arc,-3.7915013790130616,gpt2-medium
5,situational inference,mc,-3.8588268756866455,gpt2-medium
6,event association,arc,-4.319576644897461,gpt2-medium
6,event association,mc,-4.029981803894043,gpt2-medium
6,lexical overlap,arc,-4.132373857498169,gpt2-medium
6,lexical overlap,mc,-4.240002775192261,gpt2-medium
6,situational inference,arc,-4.242475318908691,gpt2-medium
6,situational inference,mc,-4.03987488746643,gpt2-medium
7,event association,arc,-4.130193567276001,gpt2-medium
7,event association,mc,-3.984340047836304,gpt2-medium
7,lexical overlap,arc,-3.947325086593628,gpt2-medium
7,lexical overlap,mc,-3.8368491172790526,gpt2-medium
7,situational inference,arc,-4.058082342147827,gpt2-medium
7,situational inference,mc,-3.9406766414642336,gpt2-medium
8,event association,arc,-3.5841508865356446,gpt2-medium
8,event association,mc,-3.348400354385376,gpt2-medium
8,lexical overlap,arc,-3.356765699386597,gpt2-medium
8,lexical overlap,mc,-3.466360330581665,gpt2-medium
8,situational inference,arc,-3.493531370162964,gpt2-medium
8,situational inference,mc,-3.5950264930725098,gpt2-medium
9,event association,arc,-3.675645875930786,gpt2-medium
9,event association,mc,-3.6099283695220947,gpt2-medium
9,lexical overlap,arc,-3.538197231292725,gpt2-medium
9,lexical overlap,mc,-3.3479846477508546,gpt2-medium
