idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.221070861816406,gpt2-xl
1,event association,mc,-4.226580619812012,gpt2-xl
1,lexical overlap,arc,-4.218957185745239,gpt2-xl
1,lexical overlap,mc,-4.1806541919708256,gpt2-xl
1,situational inference,arc,-4.243938159942627,gpt2-xl
1,situational inference,mc,-4.21909761428833,gpt2-xl
2,event association,arc,-3.9473268032073974,gpt2-xl
2,event association,mc,-3.728912878036499,gpt2-xl
2,lexical overlap,arc,-3.9646039485931395,gpt2-xl
2,lexical overlap,mc,-3.8019728660583496,gpt2-xl
2,situational inference,arc,-3.8414209842681886,gpt2-xl
2,situational inference,mc,-4.025320386886596,gpt2-xl
3,event association,arc,-3.4164915561676024,gpt2-xl
3,event association,mc,-3.3469058513641357,gpt2-xl
3,lexical overlap,arc,-3.34191689491272,gpt2-xl
3,lexical overlap,mc,-3.2123221874237062,gpt2-xl
3,situational inference,arc,-3.4818875789642334,gpt2-xl
3,situational inference,mc,-3.3727965354919434,gpt2-xl
4,event association,arc,-3.969580554962158,gpt2-xl
4,event association,mc,-3.899277925491333,gpt2-xl
4,lexical overlap,arc,-3.704295253753662,gpt2-xl
4,lexical overlap,mc,-3.509721040725708,gpt2-xl
4,situational inference,arc,-3.8069748878479004,gpt2-xl
4,situational inference,mc,-3.872711944580078,gpt2-xl
5,event association,arc,-3.8401647567749024,gpt2-xl
5,event association,mc,-3.975315809249878,gpt2-xl
5,lexical overlap,arc,-3.694269609451294,gpt2-xl
5,lexical overlap,mc,-3.5528043270111085,gpt2-xl
5,situational inference,arc,-3.8201362609863283,gpt2-xl
5,situational inference,mc,-3.863085651397705,gpt2-xl
6,event association,arc,-4.258564567565918,gpt2-xl
6,event association,mc,-4.047743272781372,gpt2-xl
6,lexical overlap,arc,-3.992293119430542,gpt2-xl
6,lexical overlap,mc,-4.196017932891846,gpt2-xl
6,situational inference,arc,-4.213534641265869,gpt2-xl
6,situational inference,mc,-4.031362247467041,gpt2-xl
7,event association,arc,-3.833728218078613,gpt2-xl
7,event association,mc,-3.699778127670288,gpt2-xl
7,lexical overlap,arc,-3.6510298252105713,gpt2-xl
7,lexical overlap,mc,-3.57043342590332,gpt2-xl
7,situational inference,arc,-3.7610716342926027,gpt2-xl
7,situational inference,mc,-3.693991470336914,gpt2-xl
8,event association,arc,-3.670153999328613,gpt2-xl
8,event association,mc,-3.4107961654663086,gpt2-xl
8,lexical overlap,arc,-3.3865919589996336,gpt2-xl
8,lexical overlap,mc,-3.542850971221924,gpt2-xl
8,situational inference,arc,-3.5899040699005127,gpt2-xl
8,situational inference,mc,-3.69722900390625,gpt2-xl
9,event association,arc,-3.7643664360046385,gpt2-xl
9,event association,mc,-3.6852437019348145,gpt2-xl
9,lexical overlap,arc,-3.5456854343414306,gpt2-xl
9,lexical overlap,mc,-3.4192833423614504,gpt2-xl
9,situational inference,arc,-3.792955255508423,gpt2-xl
9,situational inference,mc,-3.6638529777526854,gpt2-xl
10,event association,arc,-3.612454319000244,gpt2-xl
10,event association,mc,-3.683451747894287,gpt2-xl
10,lexical overlap,arc,-3.674081325531006,gpt2-xl
10,lexical overlap,mc,-3.5556637763977053,gpt2-xl
10,situational inference,arc,-3.6878812313079834,gpt2-xl
10,situational inference,mc,-3.723288345336914,gpt2-xl
11,event association,arc,-4.18393611907959,gpt2-xl
11,event association,mc,-4.172159671783447,gpt2-xl
11,lexical overlap,arc,-4.09639048576355,gpt2-xl
11,lexical overlap,mc,-4.210969638824463,gpt2-xl
11,situational inference,arc,-4.147261714935302,gpt2-xl
11,situational inference,mc,-4.194328689575196,gpt2-xl
12,event association,arc,-3.458078384399414,gpt2-xl
12,event association,mc,-3.4610859870910646,gpt2-xl
12,lexical overlap,arc,-3.1443350315093994,gpt2-xl
12,lexical overlap,mc,-3.248196315765381,gpt2-xl
12,situational inference,arc,-3.4544569492340087,gpt2-xl
12,situational inference,mc,-3.3399675369262694,gpt2-xl
13,event association,arc,-3.5446281909942625,gpt2-xl
13,event association,mc,-3.534957027435303,gpt2-xl
13,lexical overlap,arc,-3.1556676387786866,gpt2-xl
13,lexical overlap,mc,-3.6895660400390624,gpt2-xl
13,situational inference,arc,-3.6820640087127687,gpt2-xl
13,situational inference,mc,-3.5104358196258545,gpt2-xl
14,event association,arc,-3.618593120574951,gpt2-xl
14,event association,mc,-3.9366662979125975,gpt2-xl
14,lexical overlap,arc,-3.495012331008911,gpt2-xl
14,lexical overlap,mc,-3.5528072834014894,gpt2-xl
14,situational inference,arc,-3.671602392196655,gpt2-xl
14,situational inference,mc,-3.936736822128296,gpt2-xl
15,event association,arc,-3.8009861946105956,gpt2-xl
15,event association,mc,-4.047444915771484,gpt2-xl
15,lexical overlap,arc,-3.7389132499694826,gpt2-xl
15,lexical overlap,mc,-3.8348952770233153,gpt2-xl
15,situational inference,arc,-3.9667091369628906,gpt2-xl
15,situational inference,mc,-3.782371664047241,gpt2-xl
16,event association,arc,-3.842817783355713,gpt2-xl
16,event association,mc,-3.665954065322876,gpt2-xl
16,lexical overlap,arc,-3.8226373195648193,gpt2-xl
16,lexical overlap,mc,-3.6877777099609377,gpt2-xl
16,situational inference,arc,-3.7882411956787108,gpt2-xl
16,situational inference,mc,-3.765207386016846,gpt2-xl
17,event association,arc,-4.112552499771118,gpt2-xl
