idx,cont_type,cont_target,avg_logprob,model_name
1,event association,arc,-4.480137920379638,gpt2
1,event association,mc,-4.367021560668945,gpt2
1,lexical overlap,arc,-4.475736331939697,gpt2
1,lexical overlap,mc,-4.36494140625,gpt2
1,situational inference,arc,-4.470154476165772,gpt2
1,situational inference,mc,-4.4382140159606935,gpt2
2,event association,arc,-4.240552997589111,gpt2
2,event association,mc,-4.038452768325806,gpt2
2,lexical overlap,arc,-4.282499885559082,gpt2
2,lexical overlap,mc,-4.147231960296631,gpt2
2,situational inference,arc,-4.114417171478271,gpt2
2,situational inference,mc,-4.386600303649902,gpt2
3,event association,arc,-3.645139694213867,gpt2
3,event association,mc,-3.595874214172363,gpt2
3,lexical overlap,arc,-3.590473508834839,gpt2
3,lexical overlap,mc,-3.4745194911956787,gpt2
3,situational inference,arc,-3.73130087852478,gpt2
3,situational inference,mc,-3.6692222118377686,gpt2
4,event association,arc,-4.145971488952637,gpt2
4,event association,mc,-4.066899919509888,gpt2
4,lexical overlap,arc,-3.8632298946380614,gpt2
4,lexical overlap,mc,-3.6552831172943114,gpt2
4,situational inference,arc,-3.933503532409668,gpt2
4,situational inference,mc,-4.022680044174194,gpt2
5,event association,arc,-4.034853124618531,gpt2
5,event association,mc,-4.124567317962646,gpt2
5,lexical overlap,arc,-3.848978137969971,gpt2
5,lexical overlap,mc,-3.713505983352661,gpt2
5,situational inference,arc,-3.9740316390991213,gpt2
5,situational inference,mc,-4.050100421905517,gpt2
6,event association,arc,-4.528770637512207,gpt2
6,event association,mc,-4.254043388366699,gpt2
6,lexical overlap,arc,-4.316736221313477,gpt2
6,lexical overlap,mc,-4.528083801269531,gpt2
6,situational inference,arc,-4.484494400024414,gpt2
6,situational inference,mc,-4.27518744468689,gpt2
7,event association,arc,-4.267923736572266,gpt2
7,event association,mc,-4.122615766525269,gpt2
7,lexical overlap,arc,-4.098837804794312,gpt2
7,lexical overlap,mc,-4.011078786849976,gpt2
7,situational inference,arc,-4.252477169036865,gpt2
7,situational inference,mc,-4.073424291610718,gpt2
8,event association,arc,-3.747688865661621,gpt2
8,event association,mc,-3.5384495735168455,gpt2
8,lexical overlap,arc,-3.520886468887329,gpt2
8,lexical overlap,mc,-3.726899814605713,gpt2
8,situational inference,arc,-3.656450128555298,gpt2
8,situational inference,mc,-3.802999496459961,gpt2
9,event association,arc,-3.7713613510131836,gpt2
9,event association,mc,-3.677264165878296,gpt2
9,lexical overlap,arc,-3.575714874267578,gpt2
9,lexical overlap,mc,-3.4422210693359374,gpt2
9,situational inference,arc,-3.7656976699829103,gpt2
9,situational inference,mc,-3.7225504875183106,gpt2
10,event association,arc,-3.863005447387695,gpt2
10,event association,mc,-3.972395181655884,gpt2
10,lexical overlap,arc,-4.006474542617798,gpt2
10,lexical overlap,mc,-3.860036611557007,gpt2
10,situational inference,arc,-3.8839883327484133,gpt2
10,situational inference,mc,-3.9485363006591796,gpt2
11,event association,arc,-4.47793664932251,gpt2
11,event association,mc,-4.514254093170166,gpt2
11,lexical overlap,arc,-4.350627326965332,gpt2
11,lexical overlap,mc,-4.589600086212158,gpt2
11,situational inference,arc,-4.379617691040039,gpt2
11,situational inference,mc,-4.5067214012146,gpt2
12,event association,arc,-3.5993059158325194,gpt2
12,event association,mc,-3.643440103530884,gpt2
12,lexical overlap,arc,-3.3433307647705077,gpt2
12,lexical overlap,mc,-3.339095115661621,gpt2
12,situational inference,arc,-3.5933587551116943,gpt2
12,situational inference,mc,-3.5498284339904784,gpt2
13,event association,arc,-3.653683805465698,gpt2
13,event association,mc,-3.7189779758453367,gpt2
13,lexical overlap,arc,-3.317588520050049,gpt2
13,lexical overlap,mc,-3.876417303085327,gpt2
13,situational inference,arc,-3.8015105724334717,gpt2
13,situational inference,mc,-3.6900989532470705,gpt2
14,event association,arc,-3.754191017150879,gpt2
14,event association,mc,-4.147694396972656,gpt2
14,lexical overlap,arc,-3.704971694946289,gpt2
14,lexical overlap,mc,-3.810285806655884,gpt2
14,situational inference,arc,-3.833854913711548,gpt2
14,situational inference,mc,-4.0070757389068605,gpt2
15,event association,arc,-3.895966053009033,gpt2
15,event association,mc,-4.192943048477173,gpt2
15,lexical overlap,arc,-3.8547616004943848,gpt2
15,lexical overlap,mc,-3.961441707611084,gpt2
15,situational inference,arc,-4.030384635925293,gpt2
15,situational inference,mc,-3.8957348346710203,gpt2
16,event association,arc,-3.9571479320526124,gpt2
16,event association,mc,-3.8615872859954834,gpt2
16,lexical overlap,arc,-3.999420166015625,gpt2
16,lexical overlap,mc,-3.8797825813293456,gpt2
16,situational inference,arc,-3.9565556049346924,gpt2
16,situational inference,mc,-3.9086710929870607,gpt2
17,event association,arc,-4.4225129127502445,gpt2
17,event association,mc,-4.566095066070557,gpt2
17,lexical overlap,arc,-4.224746799468994,gpt2
17,lexical overlap,mc,-4.216238117218017,gpt2
17,situational inference,arc,-4.52267427444458,gpt2
17,situational inference,mc,-4.524722290039063,gpt2
18,event association,arc,-4.213644409179688,gpt2
18,event association,mc,-3.9137524127960206,gpt2
18,lexical overlap,arc,-3.9196223258972167,gpt2
18,lexical overlap,mc,-3.7417001724243164,gpt2
18,situational inference,arc,-4.222063827514648,gpt2
18,situational inference,mc,-4.083091783523559,gpt2
19,event association,arc,-4.225516366958618,gpt2
19,event association,mc,-4.064463090896607,gpt2
19,lexical overlap,arc,-4.022774934768677,gpt2
19,lexical overlap,mc,-3.8802350997924804,gpt2
19,situational inference,arc,-3.813111925125122,gpt2
19,situational inference,mc,-4.159893989562988,gpt2
20,event association,arc,-4.113227081298828,gpt2
20,event association,mc,-4.091599702835083,gpt2
20,lexical overlap,arc,-4.17733154296875,gpt2
20,lexical overlap,mc,-4.054741668701172,gpt2
20,situational inference,arc,-4.116519117355347,gpt2
20,situational inference,mc,-3.9930127620697022,gpt2
21,event association,arc,-3.973380279541016,gpt2
21,event association,mc,-4.154841470718384,gpt2
21,lexical overlap,arc,-4.144189739227295,gpt2
21,lexical overlap,mc,-3.862969446182251,gpt2
21,situational inference,arc,-4.192700672149658,gpt2
21,situational inference,mc,-4.313465881347656,gpt2
22,event association,arc,-4.216893339157105,gpt2
22,event association,mc,-4.343170833587647,gpt2
22,lexical overlap,arc,-4.1707405090332035,gpt2
22,lexical overlap,mc,-4.118271541595459,gpt2
22,situational inference,arc,-4.3707681655883786,gpt2
22,situational inference,mc,-4.23504056930542,gpt2
23,event association,arc,-3.5431426048278807,gpt2
23,event association,mc,-3.6213118553161623,gpt2
23,lexical overlap,arc,-3.35631103515625,gpt2
23,lexical overlap,mc,-3.5482552528381346,gpt2
23,situational inference,arc,-3.4843329906463625,gpt2
23,situational inference,mc,-3.7604406833648683,gpt2
24,event association,arc,-4.204345607757569,gpt2
24,event association,mc,-4.190422010421753,gpt2
24,lexical overlap,arc,-4.077183866500855,gpt2
24,lexical overlap,mc,-4.139068984985352,gpt2
24,situational inference,arc,-4.135122299194336,gpt2
24,situational inference,mc,-4.205835151672363,gpt2
25,event association,arc,-4.131685066223144,gpt2
25,event association,mc,-4.099906969070434,gpt2
25,lexical overlap,arc,-4.067340660095215,gpt2
25,lexical overlap,mc,-4.032235527038575,gpt2
25,situational inference,arc,-3.98148398399353,gpt2
25,situational inference,mc,-4.120917415618896,gpt2
26,event association,arc,-4.161072492599487,gpt2
26,event association,mc,-3.972781181335449,gpt2
26,lexical overlap,arc,-4.2238105773925785,gpt2
26,lexical overlap,mc,-3.9331994533538817,gpt2
26,situational inference,arc,-4.165625858306885,gpt2
26,situational inference,mc,-4.0315775871276855,gpt2
27,event association,arc,-3.683035659790039,gpt2
27,event association,mc,-3.551103353500366,gpt2
27,lexical overlap,arc,-3.5858182430267336,gpt2
27,lexical overlap,mc,-3.537971544265747,gpt2
27,situational inference,arc,-3.625950002670288,gpt2
27,situational inference,mc,-3.894910192489624,gpt2
28,event association,arc,-3.8902463912963867,gpt2
28,event association,mc,-3.8763999462127687,gpt2
28,lexical overlap,arc,-3.8275779724121093,gpt2
28,lexical overlap,mc,-3.6354484081268312,gpt2
28,situational inference,arc,-3.935103178024292,gpt2
28,situational inference,mc,-3.929627704620361,gpt2
29,event association,arc,-4.00348539352417,gpt2
29,event association,mc,-4.063769912719726,gpt2
29,lexical overlap,arc,-3.871083116531372,gpt2
29,lexical overlap,mc,-3.5805341243743896,gpt2
29,situational inference,arc,-3.936304712295532,gpt2
29,situational inference,mc,-4.057208824157715,gpt2
30,event association,arc,-4.20071496963501,gpt2
30,event association,mc,-4.359449100494385,gpt2
30,lexical overlap,arc,-4.193436908721924,gpt2
30,lexical overlap,mc,-4.146161460876465,gpt2
30,situational inference,arc,-4.46484227180481,gpt2
30,situational inference,mc,-4.445055294036865,gpt2
