idx,item,rejection_id,swapped,type,name1,name2,preamble,no,wait,continuation1,continuation2
1,1,0,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",No.,Wait no.,He did not,He does not
2,1,0,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",No.,Wait no.,He does not,He did not
3,1,1,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",No.,"Hey, wait a minute.",He did not,He does not
4,1,1,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",No.,"Hey, wait a minute.",He does not,He did not
5,1,2,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",No.,Hold on.,He did not,He does not
6,1,2,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",No.,Hold on.,He does not,He did not
7,1,3,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",No.,"Hang on, hang on.",He did not,He does not
8,1,3,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",No.,"Hang on, hang on.",He does not,He did not
9,1,4,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",That's not true.,Wait no.,He did not,He does not
10,1,4,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",That's not true.,Wait no.,He does not,He did not
11,1,5,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",That's not true.,"Hey, wait a minute.",He did not,He does not
12,1,5,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",That's not true.,"Hey, wait a minute.",He does not,He did not
13,1,6,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",That's not true.,Hold on.,He did not,He does not
14,1,6,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",That's not true.,Hold on.,He does not,He did not
15,1,7,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",That's not true.,"Hang on, hang on.",He did not,He does not
16,1,7,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",That's not true.,"Hang on, hang on.",He does not,He did not
17,1,8,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I doubt that.,Wait no.,He did not,He does not
18,1,8,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I doubt that.,Wait no.,He does not,He did not
19,1,9,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I doubt that.,"Hey, wait a minute.",He did not,He does not
20,1,9,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I doubt that.,"Hey, wait a minute.",He does not,He did not
21,1,10,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I doubt that.,Hold on.,He did not,He does not
22,1,10,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I doubt that.,Hold on.,He does not,He did not
23,1,11,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I doubt that.,"Hang on, hang on.",He did not,He does not
24,1,11,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I doubt that.,"Hang on, hang on.",He does not,He did not
25,1,12,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I don't think so.,Wait no.,He did not,He does not
26,1,12,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I don't think so.,Wait no.,He does not,He did not
27,1,13,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I don't think so.,"Hey, wait a minute.",He did not,He does not
28,1,13,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I don't think so.,"Hey, wait a minute.",He does not,He did not
29,1,14,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I don't think so.,Hold on.,He did not,He does not
30,1,14,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I don't think so.,Hold on.,He does not,He did not
31,1,15,False,arc,Erika,Cameron,"The teacher, who met the Illinois governor at a Greek restaurant, finds humor in the worst situations.",I don't think so.,"Hang on, hang on.",He did not,He does not
32,1,15,True,arc,Erika,Cameron,"The teacher, who finds humor in the worst situations, met the Illinois governor at a Greek restaurant.",I don't think so.,"Hang on, hang on.",He does not,He did not
33,2,0,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",No.,Wait no.,She did not,She does not
34,2,0,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",No.,Wait no.,She does not,She did not
35,2,1,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",No.,"Hey, wait a minute.",She did not,She does not
36,2,1,True,arc,Adrian,Autumn,"The reporter, who volunteers regularly at a local church, opened a new bank account today.",No.,"Hey, wait a minute.",She does not,She did not
37,2,2,False,arc,Adrian,Autumn,"The reporter, who opened a new bank account today, volunteers regularly at a local church.",No.,Hold on.,She did not,She does not
