idx,item,rejection_id,swapped,type,name1,name2,preamble,no,wait,continuation1,continuation2
1,1,0,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,No.,Wait no.,He did not.,He does not.
2,1,0,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,No.,Wait no.,He does not.,He did not.
3,1,1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,No.,"Hey, wait a minute.",He did not.,He does not.
4,1,1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,No.,"Hey, wait a minute.",He does not.,He did not.
5,1,2,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,No.,Hang on a minute.,He did not.,He does not.
6,1,2,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,No.,Hang on a minute.,He does not.,He did not.
7,1,3,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,That's not true.,Wait no.,He did not.,He does not.
8,1,3,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,That's not true.,Wait no.,He does not.,He did not.
9,1,4,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,That's not true.,"Hey, wait a minute.",He did not.,He does not.
10,1,4,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,That's not true.,"Hey, wait a minute.",He does not.,He did not.
11,1,5,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,That's not true.,Hang on a minute.,He did not.,He does not.
12,1,5,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,That's not true.,Hang on a minute.,He does not.,He did not.
13,1,6,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,Nope.,Wait no.,He did not.,He does not.
14,1,6,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,Nope.,Wait no.,He does not.,He did not.
15,1,7,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,Nope.,"Hey, wait a minute.",He did not.,He does not.
16,1,7,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,Nope.,"Hey, wait a minute.",He does not.,He did not.
17,1,8,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.,Nope.,Hang on a minute.,He did not.,He does not.
18,1,8,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.,Nope.,Hang on a minute.,He does not.,He did not.
19,2,0,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,No.,Wait no.,She did not.,She does not.
20,2,0,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,No.,Wait no.,She does not.,She did not.
21,2,1,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,No.,"Hey, wait a minute.",She did not.,She does not.
22,2,1,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,No.,"Hey, wait a minute.",She does not.,She did not.
23,2,2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,No.,Hang on a minute.,She did not.,She does not.
24,2,2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,No.,Hang on a minute.,She does not.,She did not.
25,2,3,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,That's not true.,Wait no.,She did not.,She does not.
26,2,3,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,That's not true.,Wait no.,She does not.,She did not.
27,2,4,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,That's not true.,"Hey, wait a minute.",She did not.,She does not.
28,2,4,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,That's not true.,"Hey, wait a minute.",She does not.,She did not.
29,2,5,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,That's not true.,Hang on a minute.,She did not.,She does not.
30,2,5,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.,That's not true.,Hang on a minute.,She does not.,She did not.
31,2,6,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.,Nope.,Wait no.,She did not.,She does not.
